			Earners1	Earners2	Income1		Income2
0-10		20			3072187		92			14786937
10-15		189183		1193901		2724165		14763803
15-20		848659		571357		15119373	10068236
20-30		2908057		1450390		72182387	36156720
30-40		2003498		719111		70149962	24680152
40-45		856293		131279		36495797	5573432
45-50		760235		63527		36232847	3016372
50-60		1228720		40238		67646817	2175543
60-80		1616925		10747		112403713	724770
80-100		913453		1115		81406696	110688
100-200		804447		1344		102985929	232024
200-300		68247		0			16304865	0
300-500		28446		0			10628105	0
500-1000	10566		0			7053216		0
1000-		3414		0			6642436		0
