"","id","scores"
"1","20183210",100
"2","20183225",75
"3","20193535",100
"4","20195116",100
"5","20196532",100
"6","20203217",83.75
"7","20203241",100
"8","20205137",40
"9","20205248",85
"10","20212941",86.67
"11","20213203",98.33
"12","20213217",96.67
"13","20213225",100
"14","20213235",93.33
"15","20213257",92.5
"16","20213260",72.5
"17","20213823",93.33
"18","20222108",98.33
"19","20223229",95
"20","20232228",98.33
"21","20232606",93.33
"22","20232613",100
"23","20232635",100
"24","20233202",91.67
"25","20233203",45
"26","20233204",77.5
"27","20233205",98.33
"28","20233211",83.33
"29","20233214",52.5
"30","20233215",53.75
"31","20233217",83.75
"32","20233219",85
"33","20233220",75
"34","20233224",13.33
"35","20233227",81.67
"36","20233229",66.67
"37","20233231",90
"38","20233232",93.33
"39","20233235",100
"40","20233237",87.5
"41","20233240",100
"42","20233241",50
"43","20233250",90
"44","20233251",80
"45","20233252",93.33
"46","20233253",100
"47","20233261",66.25
"48","20233412",97.67
"49","20233819",100
"50","20243363",80
