counts	vote class	region
21	yes	high	Seoul
194	no	high	Seoul
259	yes	third.current	Seoul
393	no	third.current	Seoul
443	yes	third.ex	Seoul
117	no	third.ex	Seoul
1123	yes	ordinary	yuhu
71	no	ordinary	yuhu
29	yes	chief	gyunggi
5	no	chief	gyunggi
17076	yes	ordinary	gyunggi
236	no	ordinary	gyunggi
1	no	high	pyungan
6	yes	chief	pyungan
35	no	chief	pyungan
1326	yes	ordinary	pyungan
28474	no	ordinary	pyungan
17	yes	chief	hwanghae
17	no	chief	hwanghae
4454	yes	ordinary	hwanghae
15601	no	ordinary	hwanghae
2	no	high	chungcheong
35	yes	chief	chungcheong
26	no	chief	chungcheong
6982	yes	ordinary	chungcheong
14013	no	ordinary	chungcheong
5	yes	chief	kangwon
10	no	chief	kangwon
939	yes	ordinary	kangwon
6888	no	ordinary	kangwon
1	no	high	hamgil
3	yes	chief	hamgil
14	no	chief	hamgil
75	yes	ordinary	hamgil
7387	no	ordinary	hamgil
55	yes	chief	gyungsang
16	no	chief	gyungsang
36262	yes	ordinary	gyungsang
377	no	ordinary	gyungsang
2	no	high	jeolla
42 yes chief	jeolla
12	no	chief	jeolla
29505	yes	ordinary	jeolla
257	no	ordinary	jeolla
