country;variable;percentile;year;value;age;pop
AD;aedugo999i;p0p100;2000;571.2;999;i
AD;aedugo999i;p0p100;2001;619.0;999;i
AD;aedugo999i;p0p100;2002;609.7;999;i
AD;aedugo999i;p0p100;2003;579.3;999;i
AD;aedugo999i;p0p100;2004;616.0;999;i
AD;aedugo999i;p0p100;2005;679.5;999;i
AD;aedugo999i;p0p100;2006;665.7;999;i
AD;aedugo999i;p0p100;2007;685.2;999;i
AD;aedugo999i;p0p100;2008;705.3;999;i
AD;aedugo999i;p0p100;2009;705.5;999;i
AD;aedugo999i;p0p100;2010;730.2;999;i
AD;aedugo999i;p0p100;2011;768.3;999;i
AD;aedugo999i;p0p100;2012;786.0;999;i
AD;aedugo999i;p0p100;2013;812.6;999;i
AD;aedugo999i;p0p100;2014;834.7;999;i
AD;aedugo999i;p0p100;2015;841.5;999;i
AD;aedugo999i;p0p100;2016;862.6;999;i
AD;aedugo999i;p0p100;2017;877.0;999;i
AD;aedugo999i;p0p100;2018;893.4;999;i
AD;aedugo999i;p0p100;2019;880.7;999;i
AD;asopgo999i;p0p100;2000;82.1;999;i
AD;asopgo999i;p0p100;2001;91.9;999;i
AD;asopgo999i;p0p100;2002;93.2;999;i
AD;asopgo999i;p0p100;2003;90.3;999;i
AD;asopgo999i;p0p100;2004;93.3;999;i
AD;asopgo999i;p0p100;2005;91.3;999;i
AD;asopgo999i;p0p100;2006;109.0;999;i
AD;asopgo999i;p0p100;2007;123.2;999;i
AD;asopgo999i;p0p100;2008;127.4;999;i
AD;asopgo999i;p0p100;2009;155.4;999;i
AD;asopgo999i;p0p100;2010;163.5;999;i
AD;asopgo999i;p0p100;2011;166.5;999;i
AD;asopgo999i;p0p100;2012;205.8;999;i
AD;asopgo999i;p0p100;2013;238.0;999;i
AD;asopgo999i;p0p100;2014;242.2;999;i
AD;asopgo999i;p0p100;2015;263.6;999;i
AD;asopgo999i;p0p100;2016;259.6;999;i
AD;asopgo999i;p0p100;2017;275.6;999;i
AD;asopgo999i;p0p100;2018;298.9;999;i
AD;asopgo999i;p0p100;2019;301.8;999;i
AD;aothgo999i;p0p100;2000;0.0;999;i
AD;aothgo999i;p0p100;2001;0.0;999;i
AD;aothgo999i;p0p100;2002;0.0;999;i
AD;aothgo999i;p0p100;2003;0.0;999;i
AD;aothgo999i;p0p100;2004;0.0;999;i
AD;aothgo999i;p0p100;2005;0.0;999;i
AD;aothgo999i;p0p100;2006;0.0;999;i
AD;aothgo999i;p0p100;2007;0.0;999;i
AD;aothgo999i;p0p100;2008;0.0;999;i
AD;aothgo999i;p0p100;2009;0.0;999;i
AD;aothgo999i;p0p100;2010;0.0;999;i
AD;aothgo999i;p0p100;2011;0.0;999;i
AD;aothgo999i;p0p100;2012;0.0;999;i
AD;aothgo999i;p0p100;2013;0.0;999;i
AD;aothgo999i;p0p100;2014;0.0;999;i
AD;aothgo999i;p0p100;2015;0.0;999;i
AD;aothgo999i;p0p100;2016;0.0;999;i
AD;aothgo999i;p0p100;2017;0.0;999;i
AD;aothgo999i;p0p100;2018;0.0;999;i
AD;aothgo999i;p0p100;2019;0.0;999;i
AD;aconfc999i;p0p100;1970;4736.1;999;i
AD;aconfc999i;p0p100;1971;4788.0;999;i
AD;aconfc999i;p0p100;1972;4840.2;999;i
AD;aconfc999i;p0p100;1973;4879.5;999;i
AD;aconfc999i;p0p100;1974;4892.1;999;i
AD;aconfc999i;p0p100;1975;4875.4;999;i
AD;aconfc999i;p0p100;1976;4841.3;999;i
AD;aconfc999i;p0p100;1977;4788.8;999;i
AD;aconfc999i;p0p100;1978;4714.5;999;i
AD;aconfc999i;p0p100;1979;4606.8;999;i
AD;aconfc999i;p0p100;1980;4474.4;999;i
AD;aconfc999i;p0p100;1981;4327.1;999;i
AD;aconfc999i;p0p100;1982;4181.0;999;i
AD;aconfc999i;p0p100;1983;4051.8;999;i
AD;aconfc999i;p0p100;1984;3951.3;999;i
AD;aconfc999i;p0p100;1985;3885.7;999;i
AD;aconfc999i;p0p100;1986;3857.2;999;i
AD;aconfc999i;p0p100;1987;3857.5;999;i
AD;aconfc999i;p0p100;1988;3866.7;999;i
AD;aconfc999i;p0p100;1989;3866.1;999;i
AD;aconfc999i;p0p100;1990;3839.7;999;i
AD;aconfc999i;p0p100;1991;3778.4;999;i
AD;aconfc999i;p0p100;1992;3694.5;999;i
AD;aconfc999i;p0p100;1993;3621.5;999;i
AD;aconfc999i;p0p100;1994;3598.5;999;i
AD;aconfc999i;p0p100;1995;3646.5;999;i
AD;aconfc999i;p0p100;1996;3778.2;999;i
AD;aconfc999i;p0p100;1997;3982.7;999;i
AD;aconfc999i;p0p100;1998;4221.0;999;i
AD;aconfc999i;p0p100;1999;4453.3;999;i
AD;aconfc999i;p0p100;2000;4656.0;999;i
AD;aconfc999i;p0p100;2001;4824.1;999;i
AD;aconfc999i;p0p100;2002;4963.3;999;i
AD;aconfc999i;p0p100;2003;5088.4;999;i
AD;aconfc999i;p0p100;2004;5201.2;999;i
AD;aconfc999i;p0p100;2005;5281.2;999;i
AD;aconfc999i;p0p100;2006;5291.2;999;i
AD;aconfc999i;p0p100;2007;5202.2;999;i
AD;aconfc999i;p0p100;2008;5032.7;999;i
AD;aconfc999i;p0p100;2009;4841.4;999;i
AD;aconfc999i;p0p100;2010;4681.0;999;i
AD;aconfc999i;p0p100;2011;4580.6;999;i
AD;aconfc999i;p0p100;2012;4548.7;999;i
AD;aconfc999i;p0p100;2013;4593.4;999;i
AD;aconfc999i;p0p100;2014;4703.3;999;i
AD;aconfc999i;p0p100;2015;4842.2;999;i
AD;aconfc999i;p0p100;2016;4964.3;999;i
AD;aconfc999i;p0p100;2017;5022.0;999;i
AD;aconfc999i;p0p100;2018;4980.0;999;i
AD;aconfc999i;p0p100;2019;4818.5;999;i
AD;aconfc999i;p0p100;2020;4550.7;999;i
AD;aconfc999i;p0p100;2021;4247.4;999;i
AD;xlceux999i;p0p100;1999;1.0;999;i
AD;xlceux999i;p0p100;2000;1.0;999;i
AD;xlceux999i;p0p100;2001;1.0;999;i
AD;xlceux999i;p0p100;2002;1.0;999;i
AD;xlceux999i;p0p100;2003;1.0;999;i
AD;xlceux999i;p0p100;2004;1.0;999;i
AD;xlceux999i;p0p100;2005;1.0;999;i
AD;xlceux999i;p0p100;2006;1.0;999;i
AD;xlceux999i;p0p100;2007;1.0;999;i
AD;xlceux999i;p0p100;2008;1.0;999;i
AD;xlceux999i;p0p100;2009;1.0;999;i
AD;xlceux999i;p0p100;2010;1.0;999;i
AD;xlceux999i;p0p100;2011;1.0;999;i
AD;xlceux999i;p0p100;2012;1.0;999;i
AD;xlceux999i;p0p100;2013;1.0;999;i
AD;xlceux999i;p0p100;2014;1.0;999;i
AD;xlceux999i;p0p100;2015;1.0;999;i
AD;xlceux999i;p0p100;2016;1.0;999;i
AD;xlceux999i;p0p100;2017;1.0;999;i
AD;xlceux999i;p0p100;2018;1.0;999;i
AD;xlceux999i;p0p100;2019;1.0;999;i
AD;xlceux999i;p0p100;2020;1.0;999;i
AD;xlceux999i;p0p100;2021;1.0;999;i
AD;wwealn999i;p0p100;1995;0.517477035522461;999;i
AD;wwealn999i;p0p100;1996;0.585537850856781;999;i
AD;wwealn999i;p0p100;1997;0.652069091796875;999;i
AD;wwealn999i;p0p100;1998;0.719985663890839;999;i
AD;wwealn999i;p0p100;1999;0.786796748638153;999;i
AD;wwealn999i;p0p100;2000;0.860345005989075;999;i
AD;wwealn999i;p0p100;2001;0.933683454990387;999;i
AD;wwealn999i;p0p100;2002;1.0120849609375;999;i
AD;wwealn999i;p0p100;2003;1.09758567810059;999;i
AD;wwealn999i;p0p100;2004;1.18841516971588;999;i
AD;wwealn999i;p0p100;2005;1.2830650806427;999;i
AD;wwealn999i;p0p100;2006;1.37782990932465;999;i
AD;wwealn999i;p0p100;2007;1.46757900714874;999;i
AD;wwealn999i;p0p100;2008;1.54742980003357;999;i
AD;wwealn999i;p0p100;2009;1.61443996429443;999;i
AD;wwealn999i;p0p100;2010;1.66910207271576;999;i
AD;wwealn999i;p0p100;2011;1.71364068984985;999;i
AD;wwealn999i;p0p100;2012;1.7532445192337;999;i
AD;wwealn999i;p0p100;2013;1.7885195016861;999;i
AD;wwealn999i;p0p100;2014;1.8230711221695;999;i
AD;wwealn999i;p0p100;2015;1.85970163345337;999;i
AD;wwealn999i;p0p100;2016;1.90003657341003;999;i
AD;wwealn999i;p0p100;2017;1.94542646408081;999;i
AD;wwealn999i;p0p100;2018;1.99566090106964;999;i
AD;wwealn999i;p0p100;2019;2.05172491073608;999;i
AD;wwealn999i;p0p100;2020;2.11038446426392;999;i
AD;wwealn999i;p0p100;2021;2.16944313049316;999;i
AD;acfcnf999i;p0p100;2012;2709.1;999;i
AD;acfcnf999i;p0p100;2013;2735.7;999;i
AD;acfcnf999i;p0p100;2014;2801.2;999;i
AD;acfcnf999i;p0p100;2015;2883.9;999;i
AD;acfcnf999i;p0p100;2016;2956.6;999;i
AD;mcfcnf999i;p0p100;2012;223302560.0;999;i
AD;mcfcnf999i;p0p100;2013;220976640.0;999;i
AD;mcfcnf999i;p0p100;2014;221889664.0;999;i
AD;mcfcnf999i;p0p100;2015;224975728.0;999;i
AD;mcfcnf999i;p0p100;2016;228539104.0;999;i
AD;wwealg999i;p0p100;1995;0.0764643251895905;999;i
AD;wwealg999i;p0p100;1996;0.0972819924354553;999;i
AD;wwealg999i;p0p100;1997;0.117751896381378;999;i
AD;wwealg999i;p0p100;1998;0.138106778264046;999;i
AD;wwealg999i;p0p100;1999;0.15920515358448;999;i
AD;wwealg999i;p0p100;2000;0.181880339980125;999;i
AD;wwealg999i;p0p100;2001;0.206739023327828;999;i
AD;wwealg999i;p0p100;2002;0.233848839998245;999;i
AD;wwealg999i;p0p100;2003;0.263175994157791;999;i
AD;wwealg999i;p0p100;2004;0.294293820858002;999;i
AD;wwealg999i;p0p100;2005;0.325977027416229;999;i
