country;variable;percentile;year;value;age;pop
AG;aedugo992i;p0p100;1977;823.7;992;i
AG;aedugo992i;p0p100;1978;981.7;992;i
AG;aedugo992i;p0p100;1979;1011.1;992;i
AG;aedugo992i;p0p100;1980;938.0;992;i
AG;aedugo992i;p0p100;1981;1078.1;992;i
AG;aedugo992i;p0p100;1982;1073.0;992;i
AG;aedugo992i;p0p100;1983;1051.5;992;i
AG;aedugo992i;p0p100;1984;981.5;992;i
AG;aedugo992i;p0p100;1985;958.0;992;i
AG;aedugo992i;p0p100;1986;1253.2;992;i
AG;aflcir999i;p0p100;1977;60.0;999;i
AG;aflcir999i;p0p100;1978;18.5;999;i
AG;aflcir999i;p0p100;1979;129.9;999;i
AG;aflcir999i;p0p100;1980;412.8;999;i
AG;aflcir999i;p0p100;1981;433.4;999;i
AG;aflcir999i;p0p100;1982;806.3;999;i
AG;aflcir999i;p0p100;1983;579.1;999;i
AG;aflcir999i;p0p100;1984;575.0;999;i
AG;aflcir999i;p0p100;1985;252.2;999;i
AG;aflcir999i;p0p100;1986;142.0;999;i
AG;aflcir999i;p0p100;1987;128.5;999;i
AG;aflcir999i;p0p100;1988;115.7;999;i
AG;aflcir999i;p0p100;1989;92.6;999;i
AG;aflcir999i;p0p100;1990;186.7;999;i
AG;aflcir999i;p0p100;1991;191.9;999;i
AG;aflcir999i;p0p100;1992;256.1;999;i
AG;aflcir999i;p0p100;1993;207.3;999;i
AG;aflcir999i;p0p100;1994;268.8;999;i
AG;aflcir999i;p0p100;1995;314.3;999;i
AG;aflcir999i;p0p100;1996;332.3;999;i
AG;aflcir999i;p0p100;1997;204.4;999;i
AG;aflcir999i;p0p100;1998;681.2;999;i
AG;aflcir999i;p0p100;1999;597.3;999;i
AG;aflcir999i;p0p100;2000;766.8;999;i
AG;aflcir999i;p0p100;2001;895.4;999;i
AG;aflcir999i;p0p100;2002;379.6;999;i
AG;aflcir999i;p0p100;2003;402.5;999;i
AG;aflcir999i;p0p100;2004;524.3;999;i
AG;aflcir999i;p0p100;2005;770.4;999;i
AG;aflcir999i;p0p100;2006;1124.0;999;i
AG;aflcir999i;p0p100;2007;1029.8;999;i
AG;aflcir999i;p0p100;2008;606.3;999;i
AG;aflcir999i;p0p100;2009;476.9;999;i
AG;aflcir999i;p0p100;2010;393.5;999;i
AG;aflcir999i;p0p100;2011;352.8;999;i
AG;aflcir999i;p0p100;2012;350.8;999;i
AG;aflcir999i;p0p100;2013;354.2;999;i
AG;aflcir999i;p0p100;2014;472.2;999;i
AG;aflcir999i;p0p100;2015;652.4;999;i
AG;aflcir999i;p0p100;2016;554.2;999;i
AG;aflcir999i;p0p100;2017;484.6;999;i
AG;aflcir999i;p0p100;2018;501.9;999;i
AG;apinpx992i;p0p100;1977;205.8;992;i
AG;apinpx992i;p0p100;1978;188.0;992;i
AG;apinpx992i;p0p100;1979;831.9;992;i
AG;apinpx992i;p0p100;1980;1144.3;992;i
AG;apinpx992i;p0p100;1981;1346.8;992;i
AG;apinpx992i;p0p100;1982;2366.6;992;i
AG;apinpx992i;p0p100;1983;1290.7;992;i
AG;apinpx992i;p0p100;1984;1135.6;992;i
AG;apinpx992i;p0p100;1985;968.9;992;i
AG;apinpx992i;p0p100;1986;4898.7;992;i
AG;apinpx992i;p0p100;1987;5227.5;992;i
AG;apinpx992i;p0p100;1988;4399.8;992;i
AG;apinpx992i;p0p100;1989;5385.3;992;i
AG;apinpx992i;p0p100;1990;5763.2;992;i
AG;apinpx992i;p0p100;1991;4173.0;992;i
AG;apinpx992i;p0p100;1992;3818.4;992;i
AG;apinpx992i;p0p100;1993;2864.5;992;i
AG;apinpx992i;p0p100;1994;3198.0;992;i
AG;apinpx992i;p0p100;1995;3147.4;992;i
AG;apinpx992i;p0p100;1996;2989.4;992;i
AG;apinpx992i;p0p100;1997;2322.7;992;i
AG;apinpx992i;p0p100;1998;2917.8;992;i
AG;apinpx992i;p0p100;1999;2897.1;992;i
AG;apinpx992i;p0p100;2000;4790.0;992;i
AG;apinpx992i;p0p100;2001;3364.9;992;i
AG;apinpx992i;p0p100;2002;3658.7;992;i
AG;apinpx992i;p0p100;2003;3636.8;992;i
AG;apinpx992i;p0p100;2004;4142.6;992;i
AG;apinpx992i;p0p100;2005;4266.2;992;i
AG;apinpx992i;p0p100;2006;5068.2;992;i
AG;apinpx992i;p0p100;2007;5444.7;992;i
AG;apinpx992i;p0p100;2008;5264.0;992;i
AG;apinpx992i;p0p100;2009;4285.9;992;i
AG;apinpx992i;p0p100;2010;2943.7;992;i
AG;apinpx992i;p0p100;2011;3032.5;992;i
AG;apinpx992i;p0p100;2012;3569.6;992;i
AG;apinpx992i;p0p100;2013;3676.7;992;i
AG;apinpx992i;p0p100;2014;3170.0;992;i
AG;apinpx992i;p0p100;2015;4765.3;992;i
AG;apinpx992i;p0p100;2016;4942.6;992;i
AG;apinpx992i;p0p100;2017;4871.0;992;i
AG;apinpx992i;p0p100;2018;4560.5;992;i
AG;aptfpx999i;p0p100;1977;101.8;999;i
AG;aptfpx999i;p0p100;1978;94.5;999;i
