country;variable;percentile;year;value;age;pop
AI;anweal999i;p0p100;1995;47019.4;999;i
AI;anweal999i;p0p100;1996;46230.5;999;i
AI;anweal999i;p0p100;1997;49505.0;999;i
AI;anweal999i;p0p100;1998;55404.2;999;i
AI;anweal999i;p0p100;1999;52413.0;999;i
AI;anweal999i;p0p100;2000;42348.5;999;i
AI;anweal999i;p0p100;2001;41309.9;999;i
AI;anweal999i;p0p100;2002;40337.4;999;i
AI;anweal999i;p0p100;2003;44315.1;999;i
AI;anweal999i;p0p100;2004;58771.4;999;i
AI;anweal999i;p0p100;2005;73057.1;999;i
AI;anweal999i;p0p100;2006;96338.2;999;i
AI;anweal999i;p0p100;2007;108849.7;999;i
AI;anweal999i;p0p100;2008;84732.9;999;i
AI;anweal999i;p0p100;2009;31799.1;999;i
AI;anweal999i;p0p100;2010;27826.0;999;i
AI;anweal999i;p0p100;2011;39570.2;999;i
AI;anweal999i;p0p100;2012;29105.3;999;i
AI;anweal999i;p0p100;2013;3120.3;999;i
AI;anweal999i;p0p100;2014;-5713.7;999;i
AI;anweal999i;p0p100;2015;4018.3;999;i
AI;anweal999i;p0p100;2016;67779.3;999;i
AI;anweal999i;p0p100;2017;96079.6;999;i
AI;anweal999i;p0p100;2018;116165.4;999;i
AI;anweal999i;p0p100;2019;126220.2;999;i
AI;anweal999i;p0p100;2020;88232.7;999;i
AI;anweal999i;p0p100;2021;61209.0;999;i
AI;mndpro999i;p0p100;1970;102708408.0;999;i
AI;mndpro999i;p0p100;1971;99339504.0;999;i
AI;mndpro999i;p0p100;1972;111721688.0;999;i
AI;mndpro999i;p0p100;1973;116421568.0;999;i
AI;mndpro999i;p0p100;1974;115692880.0;999;i
AI;mndpro999i;p0p100;1975;119678616.0;999;i
AI;mndpro999i;p0p100;1976;121255192.0;999;i
AI;mndpro999i;p0p100;1977;120888848.0;999;i
AI;mndpro999i;p0p100;1978;130273944.0;999;i
AI;mndpro999i;p0p100;1979;143348544.0;999;i
AI;mndpro999i;p0p100;1980;150329088.0;999;i
AI;mndpro999i;p0p100;1981;155842592.0;999;i
AI;mndpro999i;p0p100;1982;153132224.0;999;i
AI;mndpro999i;p0p100;1983;152297024.0;999;i
AI;mndpro999i;p0p100;1984;158518224.0;999;i
AI;mndpro999i;p0p100;1985;179596592.0;999;i
AI;mndpro999i;p0p100;1986;202726608.0;999;i
AI;mndpro999i;p0p100;1987;223669280.0;999;i
AI;mndpro999i;p0p100;1988;259233632.0;999;i
AI;mndpro999i;p0p100;1989;279939936.0;999;i
AI;mndpro999i;p0p100;1990;357074528.0;999;i
AI;mndpro999i;p0p100;1991;280306016.0;999;i
AI;mndpro999i;p0p100;1992;370129024.0;999;i
AI;mndpro999i;p0p100;1993;397214240.0;999;i
AI;mndpro999i;p0p100;1994;429669280.0;999;i
AI;mndpro999i;p0p100;1995;414904896.0;999;i
AI;mndpro999i;p0p100;1996;423442720.0;999;i
AI;mndpro999i;p0p100;1997;472032576.0;999;i
AI;mndpro999i;p0p100;1998;524190752.0;999;i
AI;mndpro999i;p0p100;1999;543001856.0;999;i
AI;mndpro999i;p0p100;2000;549324480.0;999;i
AI;mndpro999i;p0p100;2001;560469888.0;999;i
AI;mndpro999i;p0p100;2002;532585184.0;999;i
AI;mndpro999i;p0p100;2003;563704064.0;999;i
AI;mndpro999i;p0p100;2004;642392128.0;999;i
AI;mndpro999i;p0p100;2005;727937088.0;999;i
AI;mndpro999i;p0p100;2006;883197440.0;999;i
AI;mndpro999i;p0p100;2007;1015509120.0;999;i
AI;mndpro999i;p0p100;2008;999220224.0;999;i
AI;mndpro999i;p0p100;2009;792514048.0;999;i
AI;mndpro999i;p0p100;2010;755501568.0;999;i
AI;mndpro999i;p0p100;2011;793605056.0;999;i
AI;mndpro999i;p0p100;2012;742874688.0;999;i
AI;mndpro999i;p0p100;2013;739466112.0;999;i
AI;mndpro999i;p0p100;2014;778849408.0;999;i
AI;mndpro999i;p0p100;2015;810601664.0;999;i
AI;mndpro999i;p0p100;2016;787882432.0;999;i
AI;mndpro999i;p0p100;2017;730212544.0;999;i
AI;mndpro999i;p0p100;2018;808947968.0;999;i
AI;mndpro999i;p0p100;2019;871355200.0;999;i
AI;mndpro999i;p0p100;2020;596438656.0;999;i
AI;mndpro999i;p0p100;2021;408256832.0;999;i
AI;apolgo999i;p0p100;1984;306.1;999;i
AI;apolgo999i;p0p100;1985;342.8;999;i
AI;apolgo999i;p0p100;1986;355.0;999;i
AI;apolgo999i;p0p100;1987;331.1;999;i
AI;apolgo999i;p0p100;1988;383.2;999;i
AI;apolgo999i;p0p100;1989;376.7;999;i
AI;apolgo999i;p0p100;1990;477.3;999;i
AI;apolgo999i;p0p100;1991;425.3;999;i
AI;apolgo999i;p0p100;1992;543.8;999;i
AI;apolgo999i;p0p100;1993;522.0;999;i
AI;apolgo999i;p0p100;1994;557.8;999;i
AI;apolgo999i;p0p100;1995;545.2;999;i
AI;apolgo999i;p0p100;1996;603.9;999;i
AI;apolgo999i;p0p100;1997;638.9;999;i
AI;apolgo999i;p0p100;1998;692.1;999;i
AI;apolgo999i;p0p100;1999;834.7;999;i
AI;apolgo999i;p0p100;2000;829.7;999;i
AI;apolgo999i;p0p100;2001;936.0;999;i
AI;apolgo999i;p0p100;2002;929.2;999;i
AI;apolgo999i;p0p100;2003;931.9;999;i
AI;apolgo999i;p0p100;2004;968.7;999;i
AI;apolgo999i;p0p100;2005;1117.3;999;i
AI;apolgo999i;p0p100;2006;1348.0;999;i
AI;aptfrr999i;p0p100;1970;0.0;999;i
AI;aptfrr999i;p0p100;1971;0.0;999;i
AI;aptfrr999i;p0p100;1972;0.0;999;i
AI;aptfrr999i;p0p100;1973;0.0;999;i
AI;aptfrr999i;p0p100;1974;0.0;999;i
AI;aptfrr999i;p0p100;1975;0.0;999;i
AI;aptfrr999i;p0p100;1976;0.0;999;i
AI;aptfrr999i;p0p100;1977;0.0;999;i
AI;aptfrr999i;p0p100;1978;0.0;999;i
AI;aptfrr999i;p0p100;1979;0.0;999;i
AI;aptfrr999i;p0p100;1980;0.0;999;i
AI;aptfrr999i;p0p100;1981;0.0;999;i
AI;aptfrr999i;p0p100;1982;0.0;999;i
AI;aptfrr999i;p0p100;1983;0.0;999;i
AI;aptfrr999i;p0p100;1984;0.0;999;i
AI;aptfrr999i;p0p100;1985;0.0;999;i
AI;aptfrr999i;p0p100;1986;0.0;999;i
AI;aptfrr999i;p0p100;1987;0.0;999;i
AI;aptfrr999i;p0p100;1988;0.0;999;i
AI;aptfrr999i;p0p100;1989;0.0;999;i
AI;aptfrr999i;p0p100;1990;0.0;999;i
AI;aptfrr999i;p0p100;1991;0.0;999;i
AI;aptfrr999i;p0p100;1992;0.0;999;i
AI;aptfrr999i;p0p100;1993;0.0;999;i
AI;aptfrr999i;p0p100;1994;0.0;999;i
AI;aptfrr999i;p0p100;1995;0.0;999;i
AI;aptfrr999i;p0p100;1996;0.0;999;i
AI;aptfrr999i;p0p100;1997;0.0;999;i
AI;aptfrr999i;p0p100;1998;0.0;999;i
