country;variable;percentile;year;value;age;pop
AS;mpweal999i;p0p100;2002;835178547.0;999;i
AS;mpweal999i;p0p100;2003;889131586.0;999;i
AS;mpweal999i;p0p100;2004;942091294.0;999;i
AS;mpweal999i;p0p100;2005;990154254.0;999;i
AS;mpweal999i;p0p100;2006;996486389.0;999;i
AS;mpweal999i;p0p100;2007;1070312248.0;999;i
AS;mpweal999i;p0p100;2008;1087355782.0;999;i
AS;mpweal999i;p0p100;2009;1080030911.0;999;i
AS;mpweal999i;p0p100;2010;1124180064.0;999;i
AS;mpweal999i;p0p100;2011;1162522249.0;999;i
AS;mpweal999i;p0p100;2012;1141807753.0;999;i
AS;mpweal999i;p0p100;2013;1145189758.0;999;i
AS;mpweal999i;p0p100;2014;1205682713.0;999;i
AS;mpweal999i;p0p100;2015;1289654893.0;999;i
AS;mpweal999i;p0p100;2016;1308136652.0;999;i
AS;mpweal999i;p0p100;2017;1246761944.0;999;i
AS;mpweal999i;p0p100;2018;1328408224.0;999;i
AS;mpweal999i;p0p100;2019;1365292541.0;999;i
AS;mpweal999i;p0p100;2020;1472895800.0;999;i
AS;mpweal999i;p0p100;2021;1586548364.0;999;i
AS;aconfc999i;p0p100;2002;1723.8;999;i
AS;aconfc999i;p0p100;2003;1704.3;999;i
AS;aconfc999i;p0p100;2004;1689.6;999;i
AS;aconfc999i;p0p100;2005;1677.7;999;i
AS;aconfc999i;p0p100;2006;1669.2;999;i
AS;aconfc999i;p0p100;2007;1666.4;999;i
AS;aconfc999i;p0p100;2008;1662.7;999;i
AS;aconfc999i;p0p100;2009;1654.7;999;i
AS;aconfc999i;p0p100;2010;1642.7;999;i
AS;aconfc999i;p0p100;2011;1623.2;999;i
AS;aconfc999i;p0p100;2012;1597.9;999;i
AS;aconfc999i;p0p100;2013;1574.9;999;i
AS;aconfc999i;p0p100;2014;1559.2;999;i
AS;aconfc999i;p0p100;2015;1547.6;999;i
AS;aconfc999i;p0p100;2016;1535.0;999;i
AS;aconfc999i;p0p100;2017;1524.5;999;i
AS;aconfc999i;p0p100;2018;1527.8;999;i
AS;aconfc999i;p0p100;2019;1545.6;999;i
AS;aconfc999i;p0p100;2020;1576.3;999;i
