country;variable;percentile;year;value;age;pop
AW;acomnx999i;p0p100;1986;0.0;999;i
AW;acomnx999i;p0p100;1987;0.0;999;i
AW;acomnx999i;p0p100;1988;0.0;999;i
AW;acomnx999i;p0p100;1989;0.0;999;i
AW;acomnx999i;p0p100;1990;0.0;999;i
AW;acomnx999i;p0p100;1991;0.0;999;i
AW;acomnx999i;p0p100;1992;0.0;999;i
AW;acomnx999i;p0p100;1993;0.0;999;i
AW;acomnx999i;p0p100;1994;0.0;999;i
AW;acomnx999i;p0p100;1995;39.0;999;i
AW;acomnx999i;p0p100;1996;29.5;999;i
AW;acomnx999i;p0p100;1997;59.0;999;i
AW;acomnx999i;p0p100;1998;5.5;999;i
AW;acomnx999i;p0p100;1999;27.4;999;i
AW;acomnx999i;p0p100;2000;0.4;999;i
AW;acomnx999i;p0p100;2001;0.3;999;i
AW;acomnx999i;p0p100;2002;-14.4;999;i
AW;acomnx999i;p0p100;2003;-19.8;999;i
AW;acomnx999i;p0p100;2004;-14.3;999;i
AW;acomnx999i;p0p100;2005;-55.1;999;i
AW;acomnx999i;p0p100;2006;-181.3;999;i
AW;acomnx999i;p0p100;2007;-101.0;999;i
AW;acomnx999i;p0p100;2008;-9.9;999;i
AW;acomnx999i;p0p100;2009;66.1;999;i
AW;acomnx999i;p0p100;2010;-22.9;999;i
AW;acomnx999i;p0p100;2011;-25.2;999;i
AW;acomnx999i;p0p100;2012;-11.4;999;i
AW;acomnx999i;p0p100;2013;13.0;999;i
AW;acomnx999i;p0p100;2014;-28.9;999;i
AW;acomnx999i;p0p100;2015;-58.1;999;i
AW;acomnx999i;p0p100;2016;-37.5;999;i
AW;acomnx999i;p0p100;2017;-57.6;999;i
AW;acomnx999i;p0p100;2018;-203.5;999;i
AW;atpigo999i;p0p100;1995;7875.0;999;i
AW;atpigo999i;p0p100;1996;7713.6;999;i
AW;atpigo999i;p0p100;1997;7643.9;999;i
AW;atpigo999i;p0p100;1998;7421.3;999;i
AW;atpigo999i;p0p100;1999;6340.0;999;i
AW;atpigo999i;p0p100;2000;7126.9;999;i
AW;atpigo999i;p0p100;2001;4490.5;999;i
AW;mfinpx999i;p0p100;1986;63432944.0;999;i
AW;mfinpx999i;p0p100;1987;94497360.0;999;i
AW;mfinpx999i;p0p100;1988;120861344.0;999;i
AW;mfinpx999i;p0p100;1989;103943096.0;999;i
AW;mfinpx999i;p0p100;1990;90750432.0;999;i
AW;mfinpx999i;p0p100;1991;98093112.0;999;i
AW;mfinpx999i;p0p100;1992;81645824.0;999;i
AW;mfinpx999i;p0p100;1993;87770280.0;999;i
AW;mfinpx999i;p0p100;1994;76649672.0;999;i
AW;mfinpx999i;p0p100;1995;87020752.0;999;i
AW;mfinpx999i;p0p100;1996;103365464.0;999;i
AW;mfinpx999i;p0p100;1997;123991264.0;999;i
AW;mfinpx999i;p0p100;1998;124341824.0;999;i
AW;mfinpx999i;p0p100;1999;229479936.0;999;i
AW;mfinpx999i;p0p100;2000;210251808.0;999;i
AW;mfinpx999i;p0p100;2001;277449344.0;999;i
AW;mfinpx999i;p0p100;2002;414715424.0;999;i
AW;mfinpx999i;p0p100;2003;208597744.0;999;i
AW;mfinpx999i;p0p100;2004;260948240.0;999;i
AW;mfinpx999i;p0p100;2005;1193894144.0;999;i
AW;mfinpx999i;p0p100;2006;374530112.0;999;i
AW;mfinpx999i;p0p100;2007;999759808.0;999;i
AW;mfinpx999i;p0p100;2008;377510432.0;999;i
AW;mfinpx999i;p0p100;2009;291654592.0;999;i
AW;mfinpx999i;p0p100;2010;368763296.0;999;i
AW;mfinpx999i;p0p100;2011;549701440.0;999;i
AW;mfinpx999i;p0p100;2012;288600096.0;999;i
AW;mfinpx999i;p0p100;2013;395456192.0;999;i
AW;mfinpx999i;p0p100;2014;283373376.0;999;i
AW;mfinpx999i;p0p100;2015;332988768.0;999;i
AW;mfinpx999i;p0p100;2016;361030720.0;999;i
AW;mfinpx999i;p0p100;2017;436292352.0;999;i
AW;mfinpx999i;p0p100;2018;496567392.0;999;i
AW;mgdpro999i;p0p100;1970;505967152.0;999;i
AW;mgdpro999i;p0p100;1971;551952599.0;999;i
AW;mgdpro999i;p0p100;1972;602116309.0;999;i
AW;mgdpro999i;p0p100;1973;656839070.0;999;i
AW;mgdpro999i;p0p100;1974;716536687.0;999;i
AW;mgdpro999i;p0p100;1975;781658528.0;999;i
AW;mgdpro999i;p0p100;1976;852698773.0;999;i
AW;mgdpro999i;p0p100;1977;930197327.0;999;i
AW;mgdpro999i;p0p100;1978;1014737440.0;999;i
AW;mgdpro999i;p0p100;1979;1106960908.0;999;i
AW;mgdpro999i;p0p100;1980;1207568322.0;999;i
AW;mgdpro999i;p0p100;1981;1317317172.0;999;i
AW;mgdpro999i;p0p100;1982;1437040369.0;999;i
AW;mgdpro999i;p0p100;1983;1567647440.0;999;i
AW;mgdpro999i;p0p100;1984;1710121601.0;999;i
AW;mgdpro999i;p0p100;1985;1865544549.0;999;i
AW;mgdpro999i;p0p100;1986;2035096662.0;999;i
AW;mgdpro999i;p0p100;1987;2362307467.0;999;i
AW;mgdpro999i;p0p100;1988;2802845243.0;999;i
AW;mgdpro999i;p0p100;1989;3142825544.0;999;i
AW;mgdpro999i;p0p100;1990;3267326474.0;999;i
AW;mgdpro999i;p0p100;1991;3527497859.0;999;i
AW;mgdpro999i;p0p100;1992;3734999899.0;999;i
AW;mgdpro999i;p0p100;1993;4007945040.0;999;i
AW;mgdpro999i;p0p100;1994;4336747049.0;999;i
AW;mgdpro999i;p0p100;1995;4447213742.0;999;i
AW;mgdpro999i;p0p100;1996;4499947587.0;999;i
AW;mgdpro999i;p0p100;1997;4817052947.0;999;i
AW;mgdpro999i;p0p100;1998;4913004829.0;999;i
AW;mgdpro999i;p0p100;1999;4973834276.0;999;i
AW;mgdpro999i;p0p100;2000;5352663619.0;999;i
AW;mgdpro999i;p0p100;2001;5193625447.0;999;i
AW;mgdpro999i;p0p100;2002;5023607499.0;999;i
AW;mgdpro999i;p0p100;2003;5122850557.0;999;i
AW;mgdpro999i;p0p100;2004;5528142610.0;999;i
AW;mgdpro999i;p0p100;2005;5595275673.0;999;i
AW;mgdpro999i;p0p100;2006;5654067848.0;999;i
AW;mgdpro999i;p0p100;2007;5755843901.0;999;i
AW;mgdpro999i;p0p100;2008;5750623215.0;999;i
AW;mgdpro999i;p0p100;2009;5145675090.0;999;i
AW;mgdpro999i;p0p100;2010;4956054482.0;999;i
AW;mgdpro999i;p0p100;2011;5126841467.0;999;i
AW;mgdpro999i;p0p100;2012;5056619303.0;999;i
AW;mgdpro999i;p0p100;2013;5268907201.0;999;i
AW;mgdpro999i;p0p100;2014;5284705861.0;999;i
AW;mgdpro999i;p0p100;2015;5585934316.0;999;i
AW;mgdpro999i;p0p100;2016;5703241268.0;999;i
AW;mgdpro999i;p0p100;2017;5817305821.0;999;i
AW;mgdpro999i;p0p100;2018;5799688441.0;999;i
AW;mgdpro999i;p0p100;2019;5759087822.0;999;i
AW;mgdpro999i;p0p100;2020;4473634885.0;999;i
AW;mgdpro999i;p0p100;2021;4694802944.0;999;i
