country;variable;percentile;year;value;age;pop
BM;agdpro999i;p0p100;1960;38984.9;999;i
BM;agdpro999i;p0p100;1961;39994.9;999;i
BM;agdpro999i;p0p100;1962;40962.4;999;i
BM;agdpro999i;p0p100;1963;40608.8;999;i
BM;agdpro999i;p0p100;1964;44317.1;999;i
BM;agdpro999i;p0p100;1965;45678.4;999;i
BM;agdpro999i;p0p100;1966;51479.6;999;i
BM;agdpro999i;p0p100;1967;57552.2;999;i
BM;agdpro999i;p0p100;1968;58070.8;999;i
BM;agdpro999i;p0p100;1969;59384.5;999;i
BM;agdpro999i;p0p100;1970;62425.7;999;i
BM;agdpro999i;p0p100;1971;63846.4;999;i
BM;agdpro999i;p0p100;1972;64290.2;999;i
BM;agdpro999i;p0p100;1973;64551.2;999;i
BM;agdpro999i;p0p100;1974;64460.1;999;i
BM;agdpro999i;p0p100;1975;66264.9;999;i
BM;agdpro999i;p0p100;1976;71562.8;999;i
BM;agdpro999i;p0p100;1977;75183.1;999;i
BM;agdpro999i;p0p100;1978;75697.5;999;i
BM;agdpro999i;p0p100;1979;76758.1;999;i
BM;agdpro999i;p0p100;1980;82287.4;999;i
BM;agdpro999i;p0p100;1981;83646.5;999;i
BM;agdpro999i;p0p100;1982;78681.3;999;i
BM;agdpro999i;p0p100;1983;79711.8;999;i
BM;agdpro999i;p0p100;1984;79554.2;999;i
BM;agdpro999i;p0p100;1985;77421.4;999;i
BM;agdpro999i;p0p100;1986;82021.5;999;i
BM;agdpro999i;p0p100;1987;84521.3;999;i
BM;agdpro999i;p0p100;1988;87342.3;999;i
BM;agdpro999i;p0p100;1989;87151.3;999;i
BM;agdpro999i;p0p100;1990;86615.2;999;i
BM;agdpro999i;p0p100;1991;83033.7;999;i
BM;agdpro999i;p0p100;1992;82493.4;999;i
BM;agdpro999i;p0p100;1993;84486.4;999;i
BM;agdpro999i;p0p100;1994;84520.2;999;i
BM;agdpro999i;p0p100;1995;87764.1;999;i
BM;agdpro999i;p0p100;1996;89577.6;999;i
BM;agdpro999i;p0p100;1997;93250.7;999;i
BM;agdpro999i;p0p100;1998;96416.6;999;i
BM;agdpro999i;p0p100;1999;99204.9;999;i
BM;agdpro999i;p0p100;2000;107927.7;999;i
BM;agdpro999i;p0p100;2001;115161.1;999;i
BM;agdpro999i;p0p100;2002;112894.1;999;i
BM;agdpro999i;p0p100;2003;116236.4;999;i
BM;agdpro999i;p0p100;2004;118562.5;999;i
BM;agdpro999i;p0p100;2005;120352.8;999;i
BM;agdpro999i;p0p100;2006;127042.3;999;i
BM;agdpro999i;p0p100;2007;131528.4;999;i
BM;agdpro999i;p0p100;2008;129461.7;999;i
BM;agdpro999i;p0p100;2009;122655.3;999;i
BM;agdpro999i;p0p100;2010;120106.6;999;i
BM;agdpro999i;p0p100;2011;116163.9;999;i
BM;agdpro999i;p0p100;2012;110580.4;999;i
BM;agdpro999i;p0p100;2013;110872.4;999;i
BM;agdpro999i;p0p100;2014;107357.4;999;i
BM;agdpro999i;p0p100;2015;108769.2;999;i
BM;agdpro999i;p0p100;2016;108617.1;999;i
BM;agdpro999i;p0p100;2017;113098.4;999;i
BM;agdpro999i;p0p100;2018;113134.7;999;i
BM;agdpro999i;p0p100;2019;114109.5;999;i
BM;agdpro999i;p0p100;2020;107261.7;999;i
BM;agdpro999i;p0p100;2021;100761.2;999;i
BM;acompx999i;p0p100;1996;77.5;999;i
BM;acompx999i;p0p100;1997;334.0;999;i
BM;acompx999i;p0p100;1998;324.2;999;i
BM;acompx999i;p0p100;1999;164.6;999;i
BM;acompx999i;p0p100;2000;1138.5;999;i
BM;acompx999i;p0p100;2001;1515.8;999;i
BM;acompx999i;p0p100;2002;1577.6;999;i
BM;acompx999i;p0p100;2003;1702.9;999;i
BM;acompx999i;p0p100;2004;1930.2;999;i
BM;acompx999i;p0p100;2005;2112.9;999;i
BM;acompx999i;p0p100;2006;1902.3;999;i
BM;acompx999i;p0p100;2007;1845.3;999;i
BM;acompx999i;p0p100;2008;1628.2;999;i
BM;acompx999i;p0p100;2009;1517.5;999;i
BM;acompx999i;p0p100;2010;1987.1;999;i
BM;acompx999i;p0p100;2011;1491.6;999;i
BM;acompx999i;p0p100;2012;1523.0;999;i
BM;acompx999i;p0p100;2013;1387.3;999;i
BM;acompx999i;p0p100;2014;1459.8;999;i
BM;acompx999i;p0p100;2015;593.0;999;i
BM;acompx999i;p0p100;2016;1049.2;999;i
BM;acompx999i;p0p100;2017;1146.5;999;i
BM;acompx999i;p0p100;2018;1164.1;999;i
BM;mnsrco999i;p0p100;2000;2706207744.0;999;i
BM;mnsrco999i;p0p100;2001;2361678848.0;999;i
BM;mnsrco999i;p0p100;2002;2281499904.0;999;i
BM;mnsrco999i;p0p100;2003;2370503168.0;999;i
BM;mnsrco999i;p0p100;2004;2376923648.0;999;i
BM;mnsrco999i;p0p100;2005;2405719296.0;999;i
BM;mnsrco999i;p0p100;2006;3018012928.0;999;i
BM;mnsrco999i;p0p100;2007;3186881280.0;999;i
BM;mnsrco999i;p0p100;2008;3163253248.0;999;i
BM;mnsrco999i;p0p100;2009;2613930240.0;999;i
BM;mnsrco999i;p0p100;2010;2413078528.0;999;i
BM;mnsrco999i;p0p100;2011;2281779200.0;999;i
BM;mnsrco999i;p0p100;2012;2190055680.0;999;i
BM;mnsrco999i;p0p100;2013;2210119680.0;999;i
BM;mnsrco999i;p0p100;2014;2211253248.0;999;i
BM;mnsrco999i;p0p100;2015;2192055552.0;999;i
BM;mnsrco999i;p0p100;2016;2321412608.0;999;i
BM;mnsrco999i;p0p100;2017;2309328384.0;999;i
BM;mnsrco999i;p0p100;2018;2341097984.0;999;i
BM;acfcco999i;p0p100;2000;7236.0;999;i
BM;acfcco999i;p0p100;2001;7937.3;999;i
BM;acfcco999i;p0p100;2002;5387.5;999;i
BM;acfcco999i;p0p100;2003;6815.5;999;i
BM;acfcco999i;p0p100;2004;7415.0;999;i
BM;acfcco999i;p0p100;2005;5703.8;999;i
BM;acfcco999i;p0p100;2006;4655.3;999;i
BM;acfcco999i;p0p100;2007;4496.7;999;i
BM;acfcco999i;p0p100;2008;4445.7;999;i
BM;acfcco999i;p0p100;2009;4670.5;999;i
BM;acfcco999i;p0p100;2010;4875.2;999;i
BM;acfcco999i;p0p100;2011;5060.6;999;i
BM;acfcco999i;p0p100;2012;4397.2;999;i
BM;acfcco999i;p0p100;2013;4372.6;999;i
BM;acfcco999i;p0p100;2014;4199.0;999;i
BM;acfcco999i;p0p100;2015;4480.8;999;i
BM;acfcco999i;p0p100;2016;4208.6;999;i
BM;acfcco999i;p0p100;2017;4347.1;999;i
BM;acfcco999i;p0p100;2018;4130.2;999;i
BM;agsrnp999i;p0p100;2000;-5.7;999;i
BM;agsrnp999i;p0p100;2001;133.1;999;i
BM;agsrnp999i;p0p100;2002;105.6;999;i
BM;agsrnp999i;p0p100;2003;88.0;999;i
BM;agsrnp999i;p0p100;2004;144.8;999;i
BM;agsrnp999i;p0p100;2005;146.0;999;i
BM;agsrnp999i;p0p100;2006;134.0;999;i
BM;agsrnp999i;p0p100;2007;111.2;999;i
BM;agsrnp999i;p0p100;2008;83.9;999;i
BM;agsrnp999i;p0p100;2009;123.9;999;i
BM;agsrnp999i;p0p100;2010;123.1;999;i
BM;agsrnp999i;p0p100;2011;93.5;999;i
BM;agsrnp999i;p0p100;2012;117.2;999;i
BM;agsrnp999i;p0p100;2013;134.3;999;i
BM;agsrnp999i;p0p100;2014;115.8;999;i
BM;agsrnp999i;p0p100;2015;140.3;999;i
BM;agsrnp999i;p0p100;2016;144.4;999;i
BM;agsrnp999i;p0p100;2017;152.0;999;i
BM;agsrnp999i;p0p100;2018;172.8;999;i
BM;mgsmho999i;p0p100;2000;-28702514.0;999;i
BM;mgsmho999i;p0p100;2001;608191232.0;999;i
BM;mgsmho999i;p0p100;2002;633840960.0;999;i
BM;mgsmho999i;p0p100;2003;642256256.0;999;i
BM;mgsmho999i;p0p100;2004;630015424.0;999;i
