country;variable;percentile;year;value;age;pop
BY;aptfpx992i;p0p100;1997;49.7;992;i
BY;aptfpx992i;p0p100;1998;47.9;992;i
BY;aptfpx992i;p0p100;1999;43.9;992;i
BY;aptfpx992i;p0p100;2000;61.3;992;i
BY;aptfpx992i;p0p100;2001;50.8;992;i
BY;aptfpx992i;p0p100;2002;50.1;992;i
BY;aptfpx992i;p0p100;2003;47.1;992;i
BY;aptfpx992i;p0p100;2004;45.3;992;i
BY;aptfpx992i;p0p100;2005;38.0;992;i
BY;aptfpx992i;p0p100;2006;44.5;992;i
BY;aptfpx992i;p0p100;2007;76.0;992;i
BY;aptfpx992i;p0p100;2008;125.0;992;i
BY;aptfpx992i;p0p100;2009;146.4;992;i
BY;aptfpx992i;p0p100;2010;181.9;992;i
BY;aptfpx992i;p0p100;2011;282.6;992;i
BY;aptfpx992i;p0p100;2012;347.5;992;i
BY;aptfpx992i;p0p100;2013;309.5;992;i
BY;aptfpx992i;p0p100;2014;322.4;992;i
BY;aptfpx992i;p0p100;2015;439.4;992;i
BY;aptfpx992i;p0p100;2016;513.4;992;i
BY;aptfpx992i;p0p100;2017;466.4;992;i
BY;aptfpx992i;p0p100;2018;456.0;992;i
BY;aptinc992j;p29p100;1980;10240.1;992;j
BY;aptinc992j;p29p100;1981;10353.8;992;j
BY;aptinc992j;p29p100;1982;10479.7;992;j
BY;aptinc992j;p29p100;1983;10618.8;992;j
BY;aptinc992j;p29p100;1984;10766.7;992;j
BY;aptinc992j;p29p100;1985;10921.6;992;j
BY;aptinc992j;p29p100;1986;11094.4;992;j
BY;aptinc992j;p29p100;1987;11284.3;992;j
BY;aptinc992j;p29p100;1988;11504.8;992;j
BY;aptinc992j;p29p100;1989;11770.9;992;j
BY;aptinc992j;p29p100;1990;11982.0;992;j
BY;aptinc992j;p29p100;1991;11930.1;992;j
BY;aptinc992j;p29p100;1992;10492.5;992;j
BY;aptinc992j;p29p100;1993;9227.7;992;j
BY;aptinc992j;p29p100;1994;8374.7;992;j
BY;aptinc992j;p29p100;1995;7822.0;992;j
BY;aptinc992j;p29p100;1996;8078.0;992;j
BY;aptinc992j;p29p100;1997;9096.8;992;j
BY;aptinc992j;p29p100;1998;9865.6;992;j
BY;aptinc992j;p29p100;1999;10143.5;992;j
BY;aptinc992j;p29p100;2000;10617.7;992;j
BY;aptinc992j;p29p100;2001;10973.4;992;j
BY;aptinc992j;p29p100;2002;11416.1;992;j
BY;aptinc992j;p29p100;2003;12149.1;992;j
BY;aptinc992j;p29p100;2004;13458.3;992;j
BY;aptinc992j;p29p100;2005;14636.9;992;j
BY;aptinc992j;p29p100;2006;16000.5;992;j
BY;aptinc992j;p29p100;2007;17226.2;992;j
BY;aptinc992j;p29p100;2008;18937.1;992;j
BY;aptinc992j;p29p100;2009;18333.5;992;j
BY;aptinc992j;p29p100;2010;19723.7;992;j
BY;aptinc992j;p29p100;2011;20824.5;992;j
BY;aptinc992j;p29p100;2012;20924.6;992;j
BY;aptinc992j;p29p100;2013;20524.9;992;j
BY;aptinc992j;p29p100;2014;21155.0;992;j
BY;aptinc992j;p29p100;2015;19742.9;992;j
BY;aptinc992j;p29p100;2016;19048.6;992;j
BY;aptinc992j;p29p100;2017;19935.7;992;j
BY;aptinc992j;p29p100;2018;20726.5;992;j
BY;aptinc992j;p29p100;2019;21209.0;992;j
BY;aptinc992j;p29p100;2020;21021.0;992;j
BY;aptinc992j;p29p100;2021;20936.0;992;j
BY;bptinc992j;p10p100;1980;5.73941898345947;992;j
BY;bptinc992j;p10p100;1981;5.73941898345947;992;j
BY;bptinc992j;p10p100;1982;5.73941898345947;992;j
BY;bptinc992j;p10p100;1983;5.73941898345947;992;j
BY;bptinc992j;p10p100;1984;5.73941898345947;992;j
BY;bptinc992j;p10p100;1985;5.73941898345947;992;j
