country;variable;percentile;year;value;age;pop
FM;npopul051m;p0p100;1950;2203.0;051;m
FM;npopul051m;p0p100;1951;2279.0;051;m
FM;npopul051m;p0p100;1952;2311.0;051;m
FM;npopul051m;p0p100;1953;2336.0;051;m
FM;npopul051m;p0p100;1954;2378.0;051;m
FM;npopul051m;p0p100;1955;2468.0;051;m
FM;npopul051m;p0p100;1956;2606.0;051;m
FM;npopul051m;p0p100;1957;2835.0;051;m
FM;npopul051m;p0p100;1958;3139.0;051;m
FM;npopul051m;p0p100;1959;3461.0;051;m
FM;npopul051m;p0p100;1960;3725.0;051;m
FM;npopul051m;p0p100;1961;3946.0;051;m
FM;npopul051m;p0p100;1962;4075.0;051;m
FM;npopul051m;p0p100;1963;4123.0;051;m
FM;npopul051m;p0p100;1964;4139.0;051;m
FM;npopul051m;p0p100;1965;4184.0;051;m
FM;npopul051m;p0p100;1966;4283.0;051;m
FM;npopul051m;p0p100;1967;4409.0;051;m
FM;npopul051m;p0p100;1968;4553.0;051;m
FM;npopul051m;p0p100;1969;4683.0;051;m
FM;npopul051m;p0p100;1970;4773.0;051;m
FM;npopul051m;p0p100;1971;4885.0;051;m
FM;npopul051m;p0p100;1972;4986.0;051;m
FM;npopul051m;p0p100;1973;5088.0;051;m
FM;npopul051m;p0p100;1974;5207.0;051;m
FM;npopul051m;p0p100;1975;5339.0;051;m
FM;npopul051m;p0p100;1976;5451.0;051;m
FM;npopul051m;p0p100;1977;5595.0;051;m
FM;npopul051m;p0p100;1978;5764.0;051;m
FM;npopul051m;p0p100;1979;5945.0;051;m
FM;npopul051m;p0p100;1980;6139.0;051;m
FM;npopul051m;p0p100;1981;6272.0;051;m
FM;npopul051m;p0p100;1982;6366.0;051;m
FM;npopul051m;p0p100;1983;6426.0;051;m
FM;npopul051m;p0p100;1984;6475.0;051;m
FM;npopul051m;p0p100;1985;6545.0;051;m
FM;npopul051m;p0p100;1986;6676.0;051;m
FM;npopul051m;p0p100;1987;6869.0;051;m
FM;npopul051m;p0p100;1988;7117.0;051;m
FM;npopul051m;p0p100;1989;7380.0;051;m
FM;npopul051m;p0p100;1990;7600.0;051;m
FM;npopul051m;p0p100;1991;7824.0;051;m
FM;npopul051m;p0p100;1992;7995.0;051;m
FM;npopul051m;p0p100;1993;8104.0;051;m
FM;npopul051m;p0p100;1994;8156.0;051;m
FM;npopul051m;p0p100;1995;8167.0;051;m
FM;npopul051m;p0p100;1996;8103.0;051;m
FM;npopul051m;p0p100;1997;7954.0;051;m
FM;npopul051m;p0p100;1998;7743.0;051;m
FM;npopul051m;p0p100;1999;7504.0;051;m
FM;npopul051m;p0p100;2000;7266.0;051;m
FM;npopul051m;p0p100;2001;7210.0;051;m
FM;npopul051m;p0p100;2002;7214.0;051;m
FM;npopul051m;p0p100;2003;7238.0;051;m
FM;npopul051m;p0p100;2004;7227.0;051;m
FM;npopul051m;p0p100;2005;7130.0;051;m
FM;npopul051m;p0p100;2006;6950.0;051;m
FM;npopul051m;p0p100;2007;6744.0;051;m
FM;npopul051m;p0p100;2008;6527.0;051;m
FM;npopul051m;p0p100;2009;6320.0;051;m
FM;npopul051m;p0p100;2010;6145.0;051;m
FM;npopul051m;p0p100;2011;6033.0;051;m
FM;npopul051m;p0p100;2012;5993.0;051;m
FM;npopul051m;p0p100;2013;6010.0;051;m
FM;npopul051m;p0p100;2014;6046.0;051;m
FM;npopul051m;p0p100;2015;6066.0;051;m
FM;npopul051m;p0p100;2016;6076.0;051;m
FM;npopul051m;p0p100;2017;6082.0;051;m
FM;npopul051m;p0p100;2018;6080.0;051;m
FM;npopul051m;p0p100;2019;6074.0;051;m
FM;npopul051m;p0p100;2020;6073.0;051;m
FM;npopul051m;p0p100;2021;6091.0;051;m
FM;npopul801m;p0p100;1950;73.0;801;m
FM;npopul801m;p0p100;1951;69.0;801;m
FM;npopul801m;p0p100;1952;62.0;801;m
FM;npopul801m;p0p100;1953;57.0;801;m
FM;npopul801m;p0p100;1954;55.0;801;m
FM;npopul801m;p0p100;1955;54.0;801;m
FM;npopul801m;p0p100;1956;55.0;801;m
FM;npopul801m;p0p100;1957;56.0;801;m
FM;npopul801m;p0p100;1958;56.0;801;m
FM;npopul801m;p0p100;1959;57.0;801;m
FM;npopul801m;p0p100;1960;59.0;801;m
FM;npopul801m;p0p100;1961;60.0;801;m
FM;npopul801m;p0p100;1962;61.0;801;m
FM;npopul801m;p0p100;1963;62.0;801;m
FM;npopul801m;p0p100;1964;65.0;801;m
FM;npopul801m;p0p100;1965;65.0;801;m
FM;npopul801m;p0p100;1966;67.0;801;m
FM;npopul801m;p0p100;1967;70.0;801;m
FM;npopul801m;p0p100;1968;71.0;801;m
FM;npopul801m;p0p100;1969;73.0;801;m
FM;npopul801m;p0p100;1970;77.0;801;m
FM;npopul801m;p0p100;1971;80.0;801;m
FM;npopul801m;p0p100;1972;81.0;801;m
FM;npopul801m;p0p100;1973;86.0;801;m
FM;npopul801m;p0p100;1974;97.0;801;m
FM;npopul801m;p0p100;1975;113.0;801;m
FM;npopul801m;p0p100;1976;120.0;801;m
FM;npopul801m;p0p100;1977;128.0;801;m
FM;npopul801m;p0p100;1978;135.0;801;m
FM;npopul801m;p0p100;1979;138.0;801;m
FM;npopul801m;p0p100;1980;133.0;801;m
FM;npopul801m;p0p100;1981;127.0;801;m
FM;npopul801m;p0p100;1982;120.0;801;m
FM;npopul801m;p0p100;1983;113.0;801;m
FM;npopul801m;p0p100;1984;112.0;801;m
FM;npopul801m;p0p100;1985;113.0;801;m
FM;npopul801m;p0p100;1986;115.0;801;m
FM;npopul801m;p0p100;1987;115.0;801;m
FM;npopul801m;p0p100;1988;117.0;801;m
FM;npopul801m;p0p100;1989;123.0;801;m
FM;npopul801m;p0p100;1990;132.0;801;m
FM;npopul801m;p0p100;1991;138.0;801;m
FM;npopul801m;p0p100;1992;137.0;801;m
FM;npopul801m;p0p100;1993;133.0;801;m
FM;npopul801m;p0p100;1994;127.0;801;m
FM;npopul801m;p0p100;1995;124.0;801;m
FM;npopul801m;p0p100;1996;141.0;801;m
FM;npopul801m;p0p100;1997;160.0;801;m
FM;npopul801m;p0p100;1998;176.0;801;m
FM;npopul801m;p0p100;1999;191.0;801;m
FM;npopul801m;p0p100;2000;206.0;801;m
FM;npopul801m;p0p100;2001;218.0;801;m
FM;npopul801m;p0p100;2002;239.0;801;m
FM;npopul801m;p0p100;2003;265.0;801;m
FM;npopul801m;p0p100;2004;284.0;801;m
FM;npopul801m;p0p100;2005;287.0;801;m
FM;npopul801m;p0p100;2006;255.0;801;m
FM;npopul801m;p0p100;2007;208.0;801;m
FM;npopul801m;p0p100;2008;168.0;801;m
FM;npopul801m;p0p100;2009;144.0;801;m
FM;npopul801m;p0p100;2010;132.0;801;m
FM;npopul801m;p0p100;2011;130.0;801;m
FM;npopul801m;p0p100;2012;128.0;801;m
FM;npopul801m;p0p100;2013;123.0;801;m
FM;npopul801m;p0p100;2014;112.0;801;m
FM;npopul801m;p0p100;2015;98.0;801;m
FM;npopul801m;p0p100;2016;100.0;801;m
FM;npopul801m;p0p100;2017;99.0;801;m
FM;npopul801m;p0p100;2018;97.0;801;m
FM;npopul801m;p0p100;2019;89.0;801;m
FM;npopul801m;p0p100;2020;78.0;801;m
FM;npopul801m;p0p100;2021;76.0;801;m
FM;wwealh999i;p0p100;1995;1.46189200878143;999;i
FM;wwealh999i;p0p100;1996;1.50389218330383;999;i
FM;wwealh999i;p0p100;1997;1.59641408920288;999;i
FM;wwealh999i;p0p100;1998;1.67654776573181;999;i
FM;wwealh999i;p0p100;1999;1.7171037197113;999;i
FM;wwealh999i;p0p100;2000;1.78217685222626;999;i
FM;wwealh999i;p0p100;2001;1.83521854877472;999;i
FM;wwealh999i;p0p100;2002;1.88827669620514;999;i
FM;wwealh999i;p0p100;2003;1.9605792760849;999;i
FM;wwealh999i;p0p100;2004;1.98995733261108;999;i
FM;wwealh999i;p0p100;2005;1.99468529224396;999;i
FM;wwealh999i;p0p100;2006;2.02384090423584;999;i
FM;wwealh999i;p0p100;2007;2.08822751045227;999;i
FM;wwealh999i;p0p100;2008;2.12041544914246;999;i
FM;wwealh999i;p0p100;2009;2.12297654151917;999;i
FM;wwealh999i;p0p100;2010;2.20277643203735;999;i
FM;wwealh999i;p0p100;2011;2.28192448616028;999;i
FM;wwealh999i;p0p100;2012;2.36025238037109;999;i
FM;wwealh999i;p0p100;2013;2.38886785507202;999;i
FM;wwealh999i;p0p100;2014;2.41844201087952;999;i
FM;wwealh999i;p0p100;2015;2.47898864746094;999;i
FM;wwealh999i;p0p100;2016;2.53728604316711;999;i
FM;wwealh999i;p0p100;2017;2.60540699958801;999;i
FM;wwealh999i;p0p100;2018;2.64484620094299;999;i
FM;wwealh999i;p0p100;2019;2.72489428520203;999;i
FM;wwealh999i;p0p100;2020;2.79603910446167;999;i
FM;wwealh999i;p0p100;2021;2.86788558959961;999;i
FM;acfchn992i;p0p100;1995;112.7;992;i
FM;acfchn992i;p0p100;1996;147.3;992;i
FM;acfchn992i;p0p100;1997;168.9;992;i
FM;acfchn992i;p0p100;1998;102.1;992;i
FM;acfchn992i;p0p100;1999;150.0;992;i
FM;acfchn992i;p0p100;2000;114.5;992;i
FM;acfchn992i;p0p100;2001;114.8;992;i
FM;acfchn992i;p0p100;2002;141.1;992;i
FM;acfchn992i;p0p100;2003;120.8;992;i
FM;acfchn992i;p0p100;2004;139.5;992;i
FM;acfchn992i;p0p100;2005;139.2;992;i
FM;acfchn992i;p0p100;2006;144.8;992;i
