country;variable;percentile;year;value;age;pop
GL;mgweal999i;p0p100;1995;2806603509.0;999;i
GL;mgweal999i;p0p100;1996;3077755425.0;999;i
GL;mgweal999i;p0p100;1997;3307812773.0;999;i
GL;mgweal999i;p0p100;1998;3814722230.0;999;i
GL;mgweal999i;p0p100;1999;4064525298.0;999;i
GL;mgweal999i;p0p100;2000;4631452324.0;999;i
GL;mgweal999i;p0p100;2001;4924581920.0;999;i
GL;mgweal999i;p0p100;2002;5130185019.0;999;i
GL;mgweal999i;p0p100;2003;5681948554.0;999;i
GL;mgweal999i;p0p100;2004;6476217842.0;999;i
GL;mgweal999i;p0p100;2005;7199294766.0;999;i
GL;mgweal999i;p0p100;2006;8043045924.0;999;i
GL;mgweal999i;p0p100;2007;8596304522.0;999;i
GL;mgweal999i;p0p100;2008;9462844666.0;999;i
GL;mgweal999i;p0p100;2009;9728040941.0;999;i
GL;mgweal999i;p0p100;2010;9863504111.0;999;i
GL;mgweal999i;p0p100;2011;9732725752.0;999;i
GL;mgweal999i;p0p100;2012;9784913142.0;999;i
GL;mgweal999i;p0p100;2013;9439325962.0;999;i
GL;mgweal999i;p0p100;2014;9678484298.0;999;i
GL;mgweal999i;p0p100;2015;9178033061.0;999;i
GL;mgweal999i;p0p100;2016;9395916137.0;999;i
GL;mgweal999i;p0p100;2017;9048884049.0;999;i
GL;mgweal999i;p0p100;2018;8900150221.0;999;i
GL;mgweal999i;p0p100;2019;8729816019.0;999;i
GL;mgweal999i;p0p100;2020;8546206504.0;999;i
GL;mgweal999i;p0p100;2021;8325810477.0;999;i
GL;inyixx999i;p0p100;1970;0.0962058901786804;999;i
GL;inyixx999i;p0p100;1971;0.107219286262989;999;i
GL;inyixx999i;p0p100;1972;0.113330781459808;999;i
GL;inyixx999i;p0p100;1973;0.122015528380871;999;i
GL;inyixx999i;p0p100;1974;0.140993386507034;999;i
GL;inyixx999i;p0p100;1975;0.16415274143219;999;i
GL;inyixx999i;p0p100;1976;0.185811027884483;999;i
GL;inyixx999i;p0p100;1977;0.198784530162811;999;i
GL;inyixx999i;p0p100;1978;0.217226296663284;999;i
GL;inyixx999i;p0p100;1979;0.233523622155189;999;i
GL;inyixx999i;p0p100;1980;0.260517150163651;999;i
GL;inyixx999i;p0p100;1981;0.299404054880142;999;i
GL;inyixx999i;p0p100;1982;0.338377088308334;999;i
GL;inyixx999i;p0p100;1983;0.37125763297081;999;i
GL;inyixx999i;p0p100;1984;0.404191255569458;999;i
GL;inyixx999i;p0p100;1985;0.434197008609772;999;i
GL;inyixx999i;p0p100;1986;0.452127724885941;999;i
GL;inyixx999i;p0p100;1987;0.473019182682037;999;i
GL;inyixx999i;p0p100;1988;0.50305712223053;999;i
GL;inyixx999i;p0p100;1989;0.529969871044159;999;i
GL;inyixx999i;p0p100;1990;0.556959092617035;999;i
GL;inyixx999i;p0p100;1991;0.574922561645508;999;i
GL;inyixx999i;p0p100;1992;0.583808898925781;999;i
GL;inyixx999i;p0p100;1993;0.589892387390137;999;i
GL;inyixx999i;p0p100;1994;0.592655181884766;999;i
GL;inyixx999i;p0p100;1995;0.604839503765106;999;i
GL;inyixx999i;p0p100;1996;0.610767543315887;999;i
