country;variable;percentile;year;value;age;pop
GQ;ahweal992j;p17p100;1995;732175.1;992;j
GQ;ahweal992j;p17p100;1996;992264.5;992;j
GQ;ahweal992j;p17p100;1997;2779573.9;992;j
GQ;ahweal992j;p17p100;1998;2280704.2;992;j
GQ;ahweal992j;p17p100;1999;3462190.3;992;j
GQ;ahweal992j;p17p100;2000;4565753.8;992;j
GQ;ahweal992j;p17p100;2001;6105929.7;992;j
GQ;ahweal992j;p17p100;2002;6057501.6;992;j
GQ;ahweal992j;p17p100;2003;6448608.8;992;j
GQ;ahweal992j;p17p100;2004;8723844.7;992;j
GQ;ahweal992j;p17p100;2005;9948588.9;992;j
GQ;ahweal992j;p17p100;2006;10500092.0;992;j
GQ;ahweal992j;p17p100;2007;12037722.0;992;j
GQ;ahweal992j;p17p100;2008;14411893.0;992;j
GQ;ahweal992j;p17p100;2009;13936262.1;992;j
GQ;ahweal992j;p17p100;2010;11957668.9;992;j
GQ;ahweal992j;p17p100;2011;12338830.2;992;j
GQ;ahweal992j;p17p100;2012;12184544.6;992;j
GQ;ahweal992j;p17p100;2013;11071898.4;992;j
GQ;ahweal992j;p17p100;2014;10535958.3;992;j
GQ;ahweal992j;p17p100;2015;8947982.8;992;j
GQ;ahweal992j;p17p100;2016;8086713.4;992;j
GQ;ahweal992j;p17p100;2017;7819969.8;992;j
GQ;ahweal992j;p17p100;2018;7492371.1;992;j
GQ;ahweal992j;p17p100;2019;7044586.2;992;j
GQ;ahweal992j;p17p100;2020;6997974.6;992;j
GQ;ahweal992j;p17p100;2021;7769751.1;992;j
GQ;ahweal992j;p96p97;1995;2547903.8;992;j
GQ;ahweal992j;p96p97;1996;3448537.4;992;j
GQ;ahweal992j;p96p97;1997;9647265.1;992;j
GQ;ahweal992j;p96p97;1998;7908808.2;992;j
GQ;ahweal992j;p96p97;1999;11995303.0;992;j
GQ;ahweal992j;p96p97;2000;15795248.3;992;j
GQ;ahweal992j;p96p97;2001;21170207.4;992;j
GQ;ahweal992j;p96p97;2002;21025007.1;992;j
GQ;ahweal992j;p96p97;2003;22425823.2;992;j
GQ;ahweal992j;p96p97;2004;30352688.6;992;j
GQ;ahweal992j;p96p97;2005;34300122.9;992;j
GQ;ahweal992j;p96p97;2006;36239762.2;992;j
GQ;ahweal992j;p96p97;2007;41583282.4;992;j
GQ;ahweal992j;p96p97;2008;49805402.9;992;j
GQ;ahweal992j;p96p97;2009;48261931.9;992;j
GQ;ahweal992j;p96p97;2010;41461561.5;992;j
GQ;ahweal992j;p96p97;2011;42814382.0;992;j
GQ;ahweal992j;p96p97;2012;42358318.5;992;j
GQ;ahweal992j;p96p97;2013;38436166.6;992;j
GQ;ahweal992j;p96p97;2014;36544277.6;992;j
GQ;ahweal992j;p96p97;2015;31024656.1;992;j
GQ;ahweal992j;p96p97;2016;28009759.0;992;j
GQ;ahweal992j;p96p97;2017;27057135.6;992;j
GQ;ahweal992j;p96p97;2018;25892006.8;992;j
GQ;ahweal992j;p96p97;2019;24350629.9;992;j
GQ;ahweal992j;p96p97;2020;24189026.6;992;j
GQ;ahweal992j;p96p97;2021;26856173.9;992;j
GQ;aptinc992j;p0p4;1980;0.0;992;j
GQ;aptinc992j;p0p4;1981;0.0;992;j
GQ;aptinc992j;p0p4;1982;0.0;992;j
GQ;aptinc992j;p0p4;1983;0.0;992;j
GQ;aptinc992j;p0p4;1984;0.0;992;j
GQ;aptinc992j;p0p4;1985;0.0;992;j
GQ;aptinc992j;p0p4;1986;0.0;992;j
GQ;aptinc992j;p0p4;1987;0.0;992;j
GQ;aptinc992j;p0p4;1988;0.0;992;j
GQ;aptinc992j;p0p4;1989;0.0;992;j
GQ;aptinc992j;p0p4;1990;0.0;992;j
GQ;aptinc992j;p0p4;1991;0.0;992;j
GQ;aptinc992j;p0p4;1992;0.0;992;j
GQ;aptinc992j;p0p4;1993;0.0;992;j
GQ;aptinc992j;p0p4;1994;0.0;992;j
GQ;aptinc992j;p0p4;1995;0.0;992;j
GQ;aptinc992j;p0p4;1996;0.0;992;j
GQ;aptinc992j;p0p4;1997;0.0;992;j
GQ;aptinc992j;p0p4;1998;0.0;992;j
GQ;aptinc992j;p0p4;1999;0.0;992;j
GQ;aptinc992j;p0p4;2000;0.0;992;j
GQ;aptinc992j;p0p4;2001;0.0;992;j
GQ;aptinc992j;p0p4;2002;0.0;992;j
GQ;aptinc992j;p0p4;2003;0.0;992;j
GQ;aptinc992j;p0p4;2004;0.0;992;j
GQ;aptinc992j;p0p4;2005;0.0;992;j
GQ;aptinc992j;p0p4;2006;0.0;992;j
GQ;aptinc992j;p0p4;2007;0.0;992;j
GQ;aptinc992j;p0p4;2008;0.0;992;j
GQ;aptinc992j;p0p4;2009;0.0;992;j
GQ;aptinc992j;p0p4;2010;0.0;992;j
GQ;aptinc992j;p0p4;2011;0.0;992;j
GQ;aptinc992j;p0p4;2012;0.0;992;j
GQ;aptinc992j;p0p4;2013;0.0;992;j
GQ;aptinc992j;p0p4;2014;0.0;992;j
GQ;aptinc992j;p0p4;2015;0.0;992;j
GQ;aptinc992j;p0p4;2016;0.5;992;j
GQ;aptinc992j;p0p4;2017;0.0;992;j
GQ;aptinc992j;p0p4;2018;0.0;992;j
GQ;aptinc992j;p0p4;2019;0.0;992;j
GQ;aptinc992j;p0p4;2020;0.0;992;j
GQ;aptinc992j;p0p4;2021;0.0;992;j
GQ;bhweal992j;p11p100;1995;83.3522720336914;992;j
GQ;bhweal992j;p11p100;1996;84.6477890014648;992;j
GQ;bhweal992j;p11p100;1997;86.2974853515625;992;j
GQ;bhweal992j;p11p100;1998;87.5699157714844;992;j
GQ;bhweal992j;p11p100;1999;88.99365234375;992;j
GQ;bhweal992j;p11p100;2000;91.799186706543;992;j
GQ;bhweal992j;p11p100;2001;87.8150482177734;992;j
GQ;bhweal992j;p11p100;2002;86.2449798583984;992;j
GQ;bhweal992j;p11p100;2003;83.9772415161133;992;j
GQ;bhweal992j;p11p100;2004;83.5174179077148;992;j
GQ;bhweal992j;p11p100;2005;100.599723815918;992;j
GQ;bhweal992j;p11p100;2006;97.4630661010742;992;j
GQ;bhweal992j;p11p100;2007;95.1463928222656;992;j
GQ;bhweal992j;p11p100;2008;94.1351318359375;992;j
GQ;bhweal992j;p11p100;2009;89.8147277832031;992;j
GQ;bhweal992j;p11p100;2010;87.7224273681641;992;j
GQ;bhweal992j;p11p100;2011;86.6470413208008;992;j
GQ;bhweal992j;p11p100;2012;84.3420028686523;992;j
GQ;bhweal992j;p11p100;2013;86.0127182006836;992;j
GQ;bhweal992j;p11p100;2014;87.2131805419922;992;j
GQ;bhweal992j;p11p100;2015;87.7840728759766;992;j
GQ;bhweal992j;p11p100;2016;89.4868621826172;992;j
GQ;bhweal992j;p11p100;2017;91.5040130615234;992;j
GQ;bhweal992j;p11p100;2018;94.1843414306641;992;j
GQ;bhweal992j;p11p100;2019;93.6025848388672;992;j
GQ;bhweal992j;p11p100;2020;93.6503219604492;992;j
GQ;bhweal992j;p11p100;2021;93.6981887817383;992;j
GQ;bhweal992j;p58p100;1995;5.48405885696411;992;j
GQ;bhweal992j;p58p100;1996;5.58160305023193;992;j
GQ;bhweal992j;p58p100;1997;5.68567752838135;992;j
GQ;bhweal992j;p58p100;1998;5.75621652603149;992;j
GQ;bhweal992j;p58p100;1999;5.82805728912354;992;j
GQ;bhweal992j;p58p100;2000;5.95377588272095;992;j
GQ;bhweal992j;p58p100;2001;5.76906442642212;992;j
GQ;bhweal992j;p58p100;2002;5.68261003494263;992;j
GQ;bhweal992j;p58p100;2003;5.53343343734741;992;j
GQ;bhweal992j;p58p100;2004;5.49760866165161;992;j
GQ;bhweal992j;p58p100;2005;6.26589298248291;992;j
GQ;bhweal992j;p58p100;2006;6.16534900665283;992;j
GQ;bhweal992j;p58p100;2007;6.08422517776489;992;j
GQ;bhweal992j;p58p100;2008;6.04663991928101;992;j
GQ;bhweal992j;p58p100;2009;5.86677312850952;992;j
GQ;bhweal992j;p58p100;2010;5.76423501968384;992;j
GQ;bhweal992j;p58p100;2011;5.70575666427612;992;j
GQ;bhweal992j;p58p100;2012;5.56016445159912;992;j
GQ;bhweal992j;p58p100;2013;5.66887426376343;992;j
GQ;bhweal992j;p58p100;2014;5.73711967468262;992;j
GQ;bhweal992j;p58p100;2015;5.76745319366455;992;j
GQ;bhweal992j;p58p100;2016;5.85152673721313;992;j
GQ;bhweal992j;p58p100;2017;5.94135761260986;992;j
GQ;bhweal992j;p58p100;2018;6.0485029220581;992;j
GQ;bhweal992j;p58p100;2019;6.02625036239624;992;j
GQ;bhweal992j;p58p100;2020;6.02809572219849;992;j
GQ;bhweal992j;p58p100;2021;6.02994251251221;992;j
GQ;bptinc992j;p14p100;1980;8.61874961853027;992;j
GQ;bptinc992j;p14p100;1981;8.61930179595947;992;j
GQ;bptinc992j;p14p100;1982;8.62037944793701;992;j
GQ;bptinc992j;p14p100;1983;8.62147235870361;992;j
GQ;bptinc992j;p14p100;1984;8.62196445465088;992;j
GQ;bptinc992j;p14p100;1985;8.62148284912109;992;j
GQ;bptinc992j;p14p100;1986;8.61995983123779;992;j
GQ;bptinc992j;p14p100;1987;8.61764144897461;992;j
GQ;bptinc992j;p14p100;1988;8.61484432220459;992;j
GQ;bptinc992j;p14p100;1989;8.61198711395264;992;j
GQ;bptinc992j;p14p100;1990;8.6093692779541;992;j
GQ;bptinc992j;p14p100;1991;8.60698890686035;992;j
GQ;bptinc992j;p14p100;1992;8.60479927062988;992;j
GQ;bptinc992j;p14p100;1993;8.58505821228027;992;j
GQ;bptinc992j;p14p100;1994;8.56603717803955;992;j
GQ;bptinc992j;p14p100;1995;8.54771995544434;992;j
GQ;bptinc992j;p14p100;1996;8.63644886016846;992;j
GQ;bptinc992j;p14p100;1997;8.7214183807373;992;j
GQ;bptinc992j;p14p100;1998;8.80968189239502;992;j
GQ;bptinc992j;p14p100;1999;8.9009838104248;992;j
GQ;bptinc992j;p14p100;2000;8.99492645263672;992;j
GQ;bptinc992j;p14p100;2001;8.90167427062988;992;j
GQ;bptinc992j;p14p100;2002;8.83325862884521;992;j
GQ;bptinc992j;p14p100;2003;8.66127872467041;992;j
GQ;bptinc992j;p14p100;2004;8.65469169616699;992;j
GQ;bptinc992j;p14p100;2005;9.66397571563721;992;j
GQ;bptinc992j;p14p100;2006;9.534912109375;992;j
GQ;bptinc992j;p14p100;2007;9.40792083740234;992;j
GQ;bptinc992j;p14p100;2008;9.30356407165527;992;j
GQ;bptinc992j;p14p100;2009;9.24713897705078;992;j
GQ;bptinc992j;p14p100;2010;9.19073104858398;992;j
GQ;bptinc992j;p14p100;2011;9.13426971435547;992;j
GQ;bptinc992j;p14p100;2012;9.05394840240479;992;j
GQ;bptinc992j;p14p100;2013;9.13853168487549;992;j
GQ;bptinc992j;p14p100;2014;9.22494220733643;992;j
GQ;bptinc992j;p14p100;2015;9.27593231201172;992;j
GQ;bptinc992j;p14p100;2016;9.32829475402832;992;j
GQ;bptinc992j;p14p100;2017;9.38194370269775;992;j
GQ;bptinc992j;p14p100;2018;9.43833541870117;992;j
GQ;bptinc992j;p14p100;2019;9.43626689910889;992;j
GQ;bptinc992j;p14p100;2020;9.43446350097656;992;j
GQ;bptinc992j;p14p100;2021;9.43446445465088;992;j
GQ;bptinc992j;p31p100;1980;4.47640371322632;992;j
GQ;bptinc992j;p31p100;1981;4.47672748565674;992;j
GQ;bptinc992j;p31p100;1982;4.47723484039307;992;j
GQ;bptinc992j;p31p100;1983;4.47768449783325;992;j
GQ;bptinc992j;p31p100;1984;4.47778606414795;992;j
GQ;bptinc992j;p31p100;1985;4.477370262146;992;j
GQ;bptinc992j;p31p100;1986;4.47639036178589;992;j
GQ;bptinc992j;p31p100;1987;4.47496795654297;992;j
GQ;bptinc992j;p31p100;1988;4.47330522537231;992;j
GQ;bptinc992j;p31p100;1989;4.47166156768799;992;j
GQ;bptinc992j;p31p100;1990;4.4702091217041;992;j
GQ;bptinc992j;p31p100;1991;4.46896314620972;992;j
GQ;bptinc992j;p31p100;1992;4.46786308288574;992;j
GQ;bptinc992j;p31p100;1993;4.45820999145508;992;j
GQ;bptinc992j;p31p100;1994;4.4487714767456;992;j
GQ;bptinc992j;p31p100;1995;4.43948411941528;992;j
GQ;bptinc992j;p31p100;1996;4.48283290863037;992;j
GQ;bptinc992j;p31p100;1997;4.51743698120117;992;j
GQ;bptinc992j;p31p100;1998;4.55323696136475;992;j
GQ;bptinc992j;p31p100;1999;4.5901575088501;992;j
GQ;bptinc992j;p31p100;2000;4.62806177139282;992;j
GQ;bptinc992j;p31p100;2001;4.58408641815185;992;j
GQ;bptinc992j;p31p100;2002;4.55495882034302;992;j
GQ;bptinc992j;p31p100;2003;4.53865194320679;992;j
GQ;bptinc992j;p31p100;2004;4.53587055206299;992;j
GQ;bptinc992j;p31p100;2005;4.7111029624939;992;j
GQ;bptinc992j;p31p100;2006;4.69986581802368;992;j
GQ;bptinc992j;p31p100;2007;4.6881914138794;992;j
GQ;bptinc992j;p31p100;2008;4.6859073638916;992;j
GQ;bptinc992j;p31p100;2009;4.68488311767578;992;j
GQ;bptinc992j;p31p100;2010;4.68358850479126;992;j
GQ;bptinc992j;p31p100;2011;4.6820068359375;992;j
GQ;bptinc992j;p31p100;2012;4.67279291152954;992;j
GQ;bptinc992j;p31p100;2013;4.70802974700928;992;j
GQ;bptinc992j;p31p100;2014;4.74391603469849;992;j
GQ;bptinc992j;p31p100;2015;4.7662935256958;992;j
GQ;bptinc992j;p31p100;2016;4.78924798965454;992;j
GQ;bptinc992j;p31p100;2017;4.8127384185791;992;j
GQ;bptinc992j;p31p100;2018;4.83759260177612;992;j
GQ;bptinc992j;p31p100;2019;4.83669662475586;992;j
GQ;bptinc992j;p31p100;2020;4.83592128753662;992;j
GQ;bptinc992j;p31p100;2021;4.79493474960327;992;j
GQ;mfsubx999i;p0p100;1987;0.0;999;i
GQ;mfsubx999i;p0p100;1988;0.0;999;i
GQ;mfsubx999i;p0p100;1989;0.0;999;i
GQ;mfsubx999i;p0p100;1990;0.0;999;i
GQ;mfsubx999i;p0p100;1991;0.0;999;i
GQ;mfsubx999i;p0p100;1992;0.0;999;i
GQ;mfsubx999i;p0p100;1993;0.0;999;i
GQ;mfsubx999i;p0p100;1994;0.0;999;i
GQ;mfsubx999i;p0p100;1995;0.0;999;i
GQ;mfsubx999i;p0p100;1996;0.0;999;i
GQ;npopul994i;p0p100;1950;41603.0;994;i
GQ;npopul994i;p0p100;1951;42132.0;994;i
GQ;npopul994i;p0p100;1952;42206.0;994;i
GQ;npopul994i;p0p100;1953;42205.0;994;i
GQ;npopul994i;p0p100;1954;42313.0;994;i
GQ;npopul994i;p0p100;1955;42565.0;994;i
GQ;npopul994i;p0p100;1956;42491.0;994;i
GQ;npopul994i;p0p100;1957;42750.0;994;i
GQ;npopul994i;p0p100;1958;43201.0;994;i
GQ;npopul994i;p0p100;1959;43714.0;994;i
GQ;npopul994i;p0p100;1960;44221.0;994;i
GQ;npopul994i;p0p100;1961;44579.0;994;i
GQ;npopul994i;p0p100;1962;44930.0;994;i
GQ;npopul994i;p0p100;1963;45356.0;994;i
GQ;npopul994i;p0p100;1964;45969.0;994;i
GQ;npopul994i;p0p100;1965;46803.0;994;i
GQ;npopul994i;p0p100;1966;47593.0;994;i
GQ;npopul994i;p0p100;1967;48583.0;994;i
GQ;npopul994i;p0p100;1968;49520.0;994;i
GQ;npopul994i;p0p100;1969;50108.0;994;i
GQ;npopul994i;p0p100;1970;50191.0;994;i
GQ;npopul994i;p0p100;1971;49014.0;994;i
GQ;npopul994i;p0p100;1972;47376.0;994;i
GQ;npopul994i;p0p100;1973;45478.0;994;i
GQ;npopul994i;p0p100;1974;43568.0;994;i
GQ;npopul994i;p0p100;1975;41827.0;994;i
GQ;npopul994i;p0p100;1976;40468.0;994;i
GQ;npopul994i;p0p100;1977;39318.0;994;i
GQ;npopul994i;p0p100;1978;38606.0;994;i
GQ;npopul994i;p0p100;1979;38571.0;994;i
GQ;npopul994i;p0p100;1980;39277.0;994;i
GQ;npopul994i;p0p100;1981;41077.0;994;i
GQ;npopul994i;p0p100;1982;43807.0;994;i
GQ;npopul994i;p0p100;1983;47015.0;994;i
GQ;npopul994i;p0p100;1984;50167.0;994;i
GQ;npopul994i;p0p100;1985;52954.0;994;i
GQ;npopul994i;p0p100;1986;54549.0;994;i
GQ;npopul994i;p0p100;1987;55852.0;994;i
GQ;npopul994i;p0p100;1988;57029.0;994;i
GQ;npopul994i;p0p100;1989;58328.0;994;i
GQ;npopul994i;p0p100;1990;59918.0;994;i
GQ;npopul994i;p0p100;1991;61547.0;994;i
GQ;npopul994i;p0p100;1992;63415.0;994;i
GQ;npopul994i;p0p100;1993;65550.0;994;i
GQ;npopul994i;p0p100;1994;67953.0;994;i
GQ;npopul994i;p0p100;1995;70618.0;994;i
GQ;npopul994i;p0p100;1996;72376.0;994;i
GQ;npopul994i;p0p100;1997;74429.0;994;i
GQ;npopul994i;p0p100;1998;76751.0;994;i
GQ;npopul994i;p0p100;1999;79281.0;994;i
GQ;npopul994i;p0p100;2000;81972.0;994;i
GQ;npopul994i;p0p100;2001;84054.0;994;i
GQ;npopul994i;p0p100;2002;86356.0;994;i
GQ;npopul994i;p0p100;2003;89073.0;994;i
GQ;npopul994i;p0p100;2004;92467.0;994;i
GQ;npopul994i;p0p100;2005;96677.0;994;i
GQ;npopul994i;p0p100;2006;100640.0;994;i
GQ;npopul994i;p0p100;2007;105464.0;994;i
GQ;npopul994i;p0p100;2008;111023.0;994;i
GQ;npopul994i;p0p100;2009;117064.0;994;i
GQ;npopul994i;p0p100;2010;123401.0;994;i
GQ;npopul994i;p0p100;2011;128459.0;994;i
GQ;npopul994i;p0p100;2012;133713.0;994;i
GQ;npopul994i;p0p100;2013;139390.0;994;i
GQ;npopul994i;p0p100;2014;145756.0;994;i
GQ;npopul994i;p0p100;2015;152915.0;994;i
GQ;npopul994i;p0p100;2016;157577.0;994;i
GQ;npopul994i;p0p100;2017;162174.0;994;i
GQ;npopul994i;p0p100;2018;166922.0;994;i
GQ;npopul994i;p0p100;2019;172037.0;994;i
GQ;npopul994i;p0p100;2020;177577.0;994;i
GQ;npopul994i;p0p100;2021;183194.0;994;i
GQ;sptinc992j;p0p36;1980;0.0591;992;j
GQ;sptinc992j;p0p36;1981;0.0591;992;j
GQ;sptinc992j;p0p36;1982;0.0591;992;j
GQ;sptinc992j;p0p36;1983;0.0591;992;j
GQ;sptinc992j;p0p36;1984;0.0591;992;j
GQ;sptinc992j;p0p36;1985;0.0591;992;j
GQ;sptinc992j;p0p36;1986;0.0591;992;j
GQ;sptinc992j;p0p36;1987;0.0591;992;j
GQ;sptinc992j;p0p36;1988;0.0592;992;j
GQ;sptinc992j;p0p36;1989;0.0592;992;j
GQ;sptinc992j;p0p36;1990;0.0592;992;j
GQ;sptinc992j;p0p36;1991;0.0592;992;j
GQ;sptinc992j;p0p36;1992;0.0592;992;j
GQ;sptinc992j;p0p36;1993;0.0594;992;j
GQ;sptinc992j;p0p36;1994;0.0595;992;j
GQ;sptinc992j;p0p36;1995;0.0596;992;j
GQ;sptinc992j;p0p36;1996;0.059;992;j
GQ;sptinc992j;p0p36;1997;0.0585;992;j
GQ;sptinc992j;p0p36;1998;0.058;992;j
GQ;sptinc992j;p0p36;1999;0.0575;992;j
GQ;sptinc992j;p0p36;2000;0.0569;992;j
GQ;sptinc992j;p0p36;2001;0.0575;992;j
GQ;sptinc992j;p0p36;2002;0.0579;992;j
GQ;sptinc992j;p0p36;2003;0.0585;992;j
GQ;sptinc992j;p0p36;2004;0.0585;992;j
GQ;sptinc992j;p0p36;2005;0.0548;992;j
GQ;sptinc992j;p0p36;2006;0.0552;992;j
GQ;sptinc992j;p0p36;2007;0.0556;992;j
GQ;sptinc992j;p0p36;2008;0.0558;992;j
GQ;sptinc992j;p0p36;2009;0.056;992;j
GQ;sptinc992j;p0p36;2010;0.0561;992;j
GQ;sptinc992j;p0p36;2011;0.0562;992;j
GQ;sptinc992j;p0p36;2012;0.0565;992;j
GQ;sptinc992j;p0p36;2013;0.056;992;j
