country;variable;percentile;year;value;age;pop
GW;ahweal992j;p11p100;1995;1953039.7;992;j
GW;ahweal992j;p11p100;1996;2059673.9;992;j
GW;ahweal992j;p11p100;1997;2116168.7;992;j
GW;ahweal992j;p11p100;1998;1509772.8;992;j
GW;ahweal992j;p11p100;1999;1513331.1;992;j
GW;ahweal992j;p11p100;2000;1456340.3;992;j
GW;ahweal992j;p11p100;2001;1432806.7;992;j
GW;ahweal992j;p11p100;2002;1320987.1;992;j
GW;ahweal992j;p11p100;2003;1277538.2;992;j
GW;ahweal992j;p11p100;2004;1278493.1;992;j
GW;ahweal992j;p11p100;2005;1327438.9;992;j
GW;ahweal992j;p11p100;2006;1356731.3;992;j
GW;ahweal992j;p11p100;2007;1308717.6;992;j
GW;ahweal992j;p11p100;2008;1393434.7;992;j
GW;ahweal992j;p11p100;2009;1459738.7;992;j
GW;ahweal992j;p11p100;2010;1563827.7;992;j
GW;ahweal992j;p11p100;2011;1644464.7;992;j
GW;ahweal992j;p11p100;2012;1517419.9;992;j
GW;ahweal992j;p11p100;2013;1523518.2;992;j
GW;ahweal992j;p11p100;2014;1559196.2;992;j
GW;ahweal992j;p11p100;2015;1669401.1;992;j
GW;ahweal992j;p11p100;2016;1753797.5;992;j
GW;ahweal992j;p11p100;2017;1845090.5;992;j
GW;ahweal992j;p11p100;2018;1766799.4;992;j
GW;ahweal992j;p11p100;2019;1847020.8;992;j
GW;ahweal992j;p11p100;2020;1805267.1;992;j
GW;ahweal992j;p11p100;2021;1874767.1;992;j
GW;ahweal992j;p4p100;1995;1808265.5;992;j
GW;ahweal992j;p4p100;1996;1907006.7;992;j
GW;ahweal992j;p4p100;1997;1959219.8;992;j
GW;ahweal992j;p4p100;1998;1397637.9;992;j
GW;ahweal992j;p4p100;1999;1400819.0;992;j
GW;ahweal992j;p4p100;2000;1347997.0;992;j
GW;ahweal992j;p4p100;2001;1326117.9;992;j
GW;ahweal992j;p4p100;2002;1222536.2;992;j
GW;ahweal992j;p4p100;2003;1182512.2;992;j
GW;ahweal992j;p4p100;2004;1183604.4;992;j
GW;ahweal992j;p4p100;2005;1229048.4;992;j
GW;ahweal992j;p4p100;2006;1255856.5;992;j
GW;ahweal992j;p4p100;2007;1210968.6;992;j
GW;ahweal992j;p4p100;2008;1288881.7;992;j
GW;ahweal992j;p4p100;2009;1349769.3;992;j
GW;ahweal992j;p4p100;2010;1445694.4;992;j
GW;ahweal992j;p4p100;2011;1520254.4;992;j
GW;ahweal992j;p4p100;2012;1402790.7;992;j
GW;ahweal992j;p4p100;2013;1408441.6;992;j
GW;ahweal992j;p4p100;2014;1441422.9;992;j
GW;ahweal992j;p4p100;2015;1543288.9;992;j
GW;ahweal992j;p4p100;2016;1621323.3;992;j
GW;ahweal992j;p4p100;2017;1705718.4;992;j
GW;ahweal992j;p4p100;2018;1633327.8;992;j
GW;ahweal992j;p4p100;2019;1707500.8;992;j
GW;ahweal992j;p4p100;2020;1668899.2;992;j
GW;ahweal992j;p4p100;2021;1733147.2;992;j
GW;aptinc992j;p20p30;1980;100409.2;992;j
GW;aptinc992j;p20p30;1981;119168.0;992;j
GW;aptinc992j;p20p30;1982;120362.2;992;j
GW;aptinc992j;p20p30;1983;114610.1;992;j
GW;aptinc992j;p20p30;1984;123520.9;992;j
GW;aptinc992j;p20p30;1985;126013.8;992;j
GW;aptinc992j;p20p30;1986;120151.9;992;j
GW;aptinc992j;p20p30;1987;121810.2;992;j
GW;aptinc992j;p20p30;1988;124536.9;992;j
GW;aptinc992j;p20p30;1989;129007.0;992;j
GW;aptinc992j;p20p30;1990;136434.5;992;j
GW;aptinc992j;p20p30;1991;138589.6;992;j
GW;aptinc992j;p20p30;1992;190207.1;992;j
GW;aptinc992j;p20p30;1993;242074.0;992;j
GW;aptinc992j;p20p30;1994;256094.6;992;j
GW;aptinc992j;p20p30;1995;274389.1;992;j
GW;aptinc992j;p20p30;1996;312665.9;992;j
GW;aptinc992j;p20p30;1997;342796.2;992;j
GW;aptinc992j;p20p30;1998;244976.6;992;j
GW;aptinc992j;p20p30;1999;251769.3;992;j
GW;aptinc992j;p20p30;2000;269746.7;992;j
GW;aptinc992j;p20p30;2001;279065.6;992;j
GW;aptinc992j;p20p30;2002;279940.5;992;j
GW;aptinc992j;p20p30;2003;259663.1;992;j
GW;aptinc992j;p20p30;2004;245446.5;992;j
GW;aptinc992j;p20p30;2005;235540.1;992;j
GW;aptinc992j;p20p30;2006;220394.7;992;j
GW;aptinc992j;p20p30;2007;207148.9;992;j
GW;aptinc992j;p20p30;2008;192560.5;992;j
GW;aptinc992j;p20p30;2009;179443.7;992;j
GW;aptinc992j;p20p30;2010;169949.6;992;j
GW;aptinc992j;p20p30;2011;175731.9;992;j
GW;aptinc992j;p20p30;2012;163745.8;992;j
GW;aptinc992j;p20p30;2013;168908.2;992;j
GW;aptinc992j;p20p30;2014;172854.6;992;j
GW;aptinc992j;p20p30;2015;176077.4;992;j
GW;aptinc992j;p20p30;2016;179645.3;992;j
GW;aptinc992j;p20p30;2017;184112.1;992;j
GW;aptinc992j;p20p30;2018;171960.2;992;j
GW;aptinc992j;p20p30;2019;173791.8;992;j
GW;aptinc992j;p20p30;2020;164497.9;992;j
GW;aptinc992j;p20p30;2021;164937.7;992;j
GW;aptinc992j;p99.94p100;1980;78309257.7;992;j
GW;aptinc992j;p99.94p100;1981;92939276.6;992;j
GW;aptinc992j;p99.94p100;1982;93870202.7;992;j
GW;aptinc992j;p99.94p100;1983;89384592.8;992;j
GW;aptinc992j;p99.94p100;1984;96334109.4;992;j
GW;aptinc992j;p99.94p100;1985;98277912.9;992;j
GW;aptinc992j;p99.94p100;1986;93706235.7;992;j
GW;aptinc992j;p99.94p100;1987;94999961.6;992;j
GW;aptinc992j;p99.94p100;1988;97126472.9;992;j
GW;aptinc992j;p99.94p100;1989;100612726.1;992;j
GW;aptinc992j;p99.94p100;1990;106404983.9;992;j
GW;aptinc992j;p99.94p100;1991;108086195.8;992;j
GW;aptinc992j;p99.94p100;1992;95785018.7;992;j
GW;aptinc992j;p99.94p100;1993;83476243.8;992;j
GW;aptinc992j;p99.94p100;1994;81118904.5;992;j
GW;aptinc992j;p99.94p100;1995;79790365.7;992;j
GW;aptinc992j;p99.94p100;1996;83399854.4;992;j
GW;aptinc992j;p99.94p100;1997;83780063.5;992;j
GW;aptinc992j;p99.94p100;1998;54782220.1;992;j
GW;aptinc992j;p99.94p100;1999;51426189.5;992;j
GW;aptinc992j;p99.94p100;2000;50223910.0;992;j
GW;aptinc992j;p99.94p100;2001;47247624.9;992;j
GW;aptinc992j;p99.94p100;2002;42975818.5;992;j
GW;aptinc992j;p99.94p100;2003;36086343.2;992;j
GW;aptinc992j;p99.94p100;2004;31361653.8;992;j
GW;aptinc992j;p99.94p100;2005;28069996.4;992;j
GW;aptinc992j;p99.94p100;2006;24828233.9;992;j
GW;aptinc992j;p99.94p100;2007;22343078.2;992;j
GW;aptinc992j;p99.94p100;2008;20133117.2;992;j
GW;aptinc992j;p99.94p100;2009;18409759.2;992;j
GW;aptinc992j;p99.94p100;2010;17319828.0;992;j
GW;aptinc992j;p99.94p100;2011;17909108.5;992;j
GW;aptinc992j;p99.94p100;2012;16687586.3;992;j
GW;aptinc992j;p99.94p100;2013;17213695.1;992;j
GW;aptinc992j;p99.94p100;2014;17615874.6;992;j
GW;aptinc992j;p99.94p100;2015;17944315.9;992;j
GW;aptinc992j;p99.94p100;2016;18307928.2;992;j
GW;aptinc992j;p99.94p100;2017;18763146.7;992;j
GW;aptinc992j;p99.94p100;2018;17524732.1;992;j
GW;aptinc992j;p99.94p100;2019;17711394.2;992;j
GW;aptinc992j;p99.94p100;2020;16764230.7;992;j
GW;aptinc992j;p99.94p100;2021;16809054.8;992;j
GW;bhweal992j;p40p100;1995;8.96080017089844;992;j
GW;bhweal992j;p40p100;1996;8.43234634399414;992;j
GW;bhweal992j;p40p100;1997;7.92996692657471;992;j
GW;bhweal992j;p40p100;1998;7.47303915023804;992;j
GW;bhweal992j;p40p100;1999;7.2709584236145;992;j
GW;bhweal992j;p40p100;2000;7.16600751876831;992;j
GW;bhweal992j;p40p100;2001;7.03493928909302;992;j
GW;bhweal992j;p40p100;2002;6.92049551010132;992;j
GW;bhweal992j;p40p100;2003;7.1918625831604;992;j
GW;bhweal992j;p40p100;2004;7.66281509399414;992;j
GW;bhweal992j;p40p100;2005;8.75602436065674;992;j
GW;bhweal992j;p40p100;2006;10.8830499649048;992;j
GW;bhweal992j;p40p100;2007;12.9618892669678;992;j
GW;bhweal992j;p40p100;2008;15.1207323074341;992;j
GW;bhweal992j;p40p100;2009;17.2431697845459;992;j
GW;bhweal992j;p40p100;2010;18.8501739501953;992;j
GW;bhweal992j;p40p100;2011;18.7792701721191;992;j
GW;bhweal992j;p40p100;2012;18.8590469360352;992;j
GW;bhweal992j;p40p100;2013;18.7881259918213;992;j
GW;bhweal992j;p40p100;2014;18.7969837188721;992;j
GW;bhweal992j;p40p100;2015;18.8679237365723;992;j
GW;bhweal992j;p40p100;2016;18.8058433532715;992;j
GW;bhweal992j;p40p100;2017;18.8147029876709;992;j
GW;bhweal992j;p40p100;2018;18.8767986297607;992;j
GW;bhweal992j;p40p100;2019;18.8235683441162;992;j
GW;bhweal992j;p40p100;2020;18.8324337005615;992;j
GW;bhweal992j;p40p100;2021;18.8413028717041;992;j
GW;bhweal992j;p73p100;1995;4.3413987159729;992;j
GW;bhweal992j;p73p100;1996;4.12371873855591;992;j
GW;bhweal992j;p73p100;1997;3.91001152992248;992;j
GW;bhweal992j;p73p100;1998;3.70899891853333;992;j
GW;bhweal992j;p73p100;1999;3.61754679679871;992;j
GW;bhweal992j;p73p100;2000;3.56925082206726;992;j
GW;bhweal992j;p73p100;2001;3.50798439979553;992;j
GW;bhweal992j;p73p100;2002;3.45341920852661;992;j
GW;bhweal992j;p73p100;2003;3.58120656013489;992;j
GW;bhweal992j;p73p100;2004;3.79335474967956;992;j
GW;bhweal992j;p73p100;2005;4.25787401199341;992;j
GW;bhweal992j;p73p100;2006;5.07814645767212;992;j
GW;bhweal992j;p73p100;2007;5.78820371627808;992;j
GW;bhweal992j;p73p100;2008;6.44362354278565;992;j
GW;bhweal992j;p73p100;2009;7.0183892250061;992;j
GW;bhweal992j;p73p100;2010;7.41376352310181;992;j
GW;bhweal992j;p73p100;2011;7.39698123931885;992;j
GW;bhweal992j;p73p100;2012;7.41585969924927;992;j
GW;bhweal992j;p73p100;2013;7.39908075332642;992;j
GW;bhweal992j;p73p100;2014;7.40117931365967;992;j
GW;bhweal992j;p73p100;2015;7.41795492172241;992;j
GW;bhweal992j;p73p100;2016;7.40327882766724;992;j
GW;bhweal992j;p73p100;2017;7.40537548065185;992;j
GW;bhweal992j;p73p100;2018;7.4200496673584;992;j
GW;bhweal992j;p73p100;2019;7.40747308731079;992;j
GW;bhweal992j;p73p100;2020;7.40957069396973;992;j
GW;bhweal992j;p73p100;2021;7.41166734695435;992;j
GW;bptinc992j;p29p100;1980;7.96524906158447;992;j
GW;bptinc992j;p29p100;1981;7.96524906158447;992;j
GW;bptinc992j;p29p100;1982;7.96524858474731;992;j
GW;bptinc992j;p29p100;1983;7.96524858474731;992;j
GW;bptinc992j;p29p100;1984;7.96525001525879;992;j
GW;bptinc992j;p29p100;1985;7.96524906158447;992;j
GW;bptinc992j;p29p100;1986;7.96524953842163;992;j
GW;bptinc992j;p29p100;1987;7.96524953842163;992;j
GW;bptinc992j;p29p100;1988;7.96524906158447;992;j
GW;bptinc992j;p29p100;1989;7.96524953842163;992;j
GW;bptinc992j;p29p100;1990;7.96524858474731;992;j
GW;bptinc992j;p29p100;1991;7.96524953842163;992;j
