country;variable;percentile;year;value;age;pop
HK;aflcir992i;p0p100;1993;100988.1;992;i
HK;aflcir992i;p0p100;1994;109680.9;992;i
HK;aflcir992i;p0p100;1995;108197.8;992;i
HK;aflcir992i;p0p100;1996;100642.3;992;i
HK;aflcir992i;p0p100;1997;110601.1;992;i
HK;aflcir992i;p0p100;1998;81941.6;992;i
HK;aflcir992i;p0p100;1999;85625.5;992;i
HK;aflcir992i;p0p100;2000;101613.2;992;i
HK;aflcir992i;p0p100;2001;90430.7;992;i
HK;aflcir992i;p0p100;2002;81636.2;992;i
HK;aflcir992i;p0p100;2003;92297.7;992;i
HK;aflcir992i;p0p100;2004;115163.4;992;i
HK;aflcir992i;p0p100;2005;141293.2;992;i
HK;aflcir992i;p0p100;2006;179092.0;992;i
HK;aflcir992i;p0p100;2007;235884.0;992;i
HK;aflcir992i;p0p100;2008;235253.5;992;i
HK;aflcir992i;p0p100;2009;198759.9;992;i
HK;aflcir992i;p0p100;2010;233300.9;992;i
HK;aflcir992i;p0p100;2011;247140.1;992;i
HK;aflcir992i;p0p100;2012;243633.3;992;i
HK;aflcir992i;p0p100;2013;254403.5;992;i
HK;aflcir992i;p0p100;2014;259869.0;992;i
HK;aflcir992i;p0p100;2015;247869.2;992;i
HK;aflcir992i;p0p100;2016;241329.0;992;i
HK;aflcir992i;p0p100;2017;259657.8;992;i
HK;aflcir992i;p0p100;2018;283355.9;992;i
HK;apinpx999i;p0p100;1993;74710.4;999;i
HK;apinpx999i;p0p100;1994;81713.6;999;i
HK;apinpx999i;p0p100;1995;79824.8;999;i
HK;apinpx999i;p0p100;1996;78432.4;999;i
HK;apinpx999i;p0p100;1997;84100.7;999;i
HK;apinpx999i;p0p100;1998;57963.1;999;i
HK;apinpx999i;p0p100;1999;63872.1;999;i
HK;apinpx999i;p0p100;2000;80090.2;999;i
HK;apinpx999i;p0p100;2001;67550.9;999;i
HK;apinpx999i;p0p100;2002;64103.2;999;i
HK;apinpx999i;p0p100;2003;67597.8;999;i
HK;apinpx999i;p0p100;2004;86940.9;999;i
HK;apinpx999i;p0p100;2005;111831.6;999;i
HK;apinpx999i;p0p100;2006;137957.0;999;i
HK;apinpx999i;p0p100;2007;180802.5;999;i
HK;apinpx999i;p0p100;2008;170956.1;999;i
HK;apinpx999i;p0p100;2009;152129.2;999;i
HK;apinpx999i;p0p100;2010;184562.7;999;i
HK;apinpx999i;p0p100;2011;195298.6;999;i
HK;apinpx999i;p0p100;2012;202535.1;999;i
HK;apinpx999i;p0p100;2013;211830.4;999;i
HK;apinpx999i;p0p100;2014;216893.6;999;i
HK;apinpx999i;p0p100;2015;208633.8;999;i
HK;apinpx999i;p0p100;2016;199743.1;999;i
HK;apinpx999i;p0p100;2017;207577.3;999;i
HK;apinpx999i;p0p100;2018;224288.8;999;i
HK;aptinc992j;p21p100;1980;194646.7;992;j
HK;aptinc992j;p21p100;1981;204310.0;992;j
HK;aptinc992j;p21p100;1982;201642.4;992;j
HK;aptinc992j;p21p100;1983;206761.1;992;j
HK;aptinc992j;p21p100;1984;221811.0;992;j
HK;aptinc992j;p21p100;1985;215511.0;992;j
HK;aptinc992j;p21p100;1986;233560.2;992;j
HK;aptinc992j;p21p100;1987;259874.2;992;j
HK;aptinc992j;p21p100;1988;275155.9;992;j
HK;aptinc992j;p21p100;1989;272832.8;992;j
HK;aptinc992j;p21p100;1990;275749.8;992;j
HK;aptinc992j;p21p100;1991;285119.2;992;j
HK;aptinc992j;p21p100;1992;297107.7;992;j
HK;aptinc992j;p21p100;1993;308967.2;992;j
HK;aptinc992j;p21p100;1994;321668.4;992;j
HK;aptinc992j;p21p100;1995;323679.4;992;j
HK;aptinc992j;p21p100;1996;324862.2;992;j
HK;aptinc992j;p21p100;1997;339177.1;992;j
HK;aptinc992j;p21p100;1998;316331.2;992;j
HK;aptinc992j;p21p100;1999;313442.3;992;j
HK;aptinc992j;p21p100;2000;328086.9;992;j
HK;aptinc992j;p21p100;2001;330529.4;992;j
HK;aptinc992j;p21p100;2002;326145.3;992;j
HK;aptinc992j;p21p100;2003;340053.2;992;j
HK;aptinc992j;p21p100;2004;365640.0;992;j
HK;aptinc992j;p21p100;2005;383209.9;992;j
HK;aptinc992j;p21p100;2006;413210.9;992;j
HK;aptinc992j;p21p100;2007;440641.4;992;j
HK;aptinc992j;p21p100;2008;459073.7;992;j
HK;aptinc992j;p21p100;2009;424357.7;992;j
HK;aptinc992j;p21p100;2010;444181.2;992;j
HK;aptinc992j;p21p100;2011;463483.8;992;j
HK;aptinc992j;p21p100;2012;450978.4;992;j
HK;aptinc992j;p21p100;2013;460564.4;992;j
HK;aptinc992j;p21p100;2014;468450.9;992;j
HK;aptinc992j;p21p100;2015;472695.7;992;j
HK;aptinc992j;p21p100;2016;483141.1;992;j
HK;aptinc992j;p21p100;2017;509543.4;992;j
HK;aptinc992j;p21p100;2018;525569.8;992;j
HK;aptinc992j;p21p100;2019;500079.3;992;j
HK;aptinc992j;p21p100;2020;481576.9;992;j
HK;aptinc992j;p21p100;2021;504228.1;992;j
HK;aptinc992j;p39p40;1980;81878.3;992;j
HK;aptinc992j;p39p40;1981;85943.2;992;j
HK;aptinc992j;p39p40;1982;85908.7;992;j
HK;aptinc992j;p39p40;1983;89037.3;992;j
HK;aptinc992j;p39p40;1984;96392.3;992;j
HK;aptinc992j;p39p40;1985;94394.4;992;j
HK;aptinc992j;p39p40;1986;103002.2;992;j
