country;variable;percentile;year;value;age;pop
KM;afsubx999i;p0p100;1980;0.0;999;i
KM;afsubx999i;p0p100;1981;0.0;999;i
KM;afsubx999i;p0p100;1982;0.0;999;i
KM;afsubx999i;p0p100;1983;0.0;999;i
KM;afsubx999i;p0p100;1984;0.0;999;i
KM;afsubx999i;p0p100;1985;0.0;999;i
KM;afsubx999i;p0p100;1986;0.0;999;i
KM;afsubx999i;p0p100;1987;0.0;999;i
KM;afsubx999i;p0p100;1988;0.0;999;i
KM;afsubx999i;p0p100;1989;0.0;999;i
KM;afsubx999i;p0p100;1990;0.0;999;i
KM;afsubx999i;p0p100;1991;0.0;999;i
KM;afsubx999i;p0p100;1992;0.0;999;i
KM;afsubx999i;p0p100;1993;0.0;999;i
KM;afsubx999i;p0p100;1994;0.0;999;i
KM;afsubx999i;p0p100;1995;0.0;999;i
KM;afsubx999i;p0p100;2014;0.0;999;i
KM;afsubx999i;p0p100;2015;0.0;999;i
KM;afsubx999i;p0p100;2016;0.0;999;i
KM;afsubx999i;p0p100;2017;0.0;999;i
KM;afsubx999i;p0p100;2018;0.0;999;i
KM;agninc992i;p0p100;1950;511546.1;992;i
KM;agninc992i;p0p100;1951;530616.1;992;i
KM;agninc992i;p0p100;1952;539279.4;992;i
KM;agninc992i;p0p100;1953;552313.5;992;i
KM;agninc992i;p0p100;1954;575195.4;992;i
KM;agninc992i;p0p100;1955;584843.3;992;i
KM;agninc992i;p0p100;1956;602090.9;992;i
KM;agninc992i;p0p100;1957;618199.6;992;i
KM;agninc992i;p0p100;1958;628945.7;992;i
KM;agninc992i;p0p100;1959;658353.1;992;i
KM;agninc992i;p0p100;1960;708052.9;992;i
KM;agninc992i;p0p100;1961;710100.1;992;i
KM;agninc992i;p0p100;1962;768354.0;992;i
KM;agninc992i;p0p100;1963;924490.6;992;i
KM;agninc992i;p0p100;1964;986602.2;992;i
KM;agninc992i;p0p100;1965;981063.6;992;i
KM;agninc992i;p0p100;1966;1074513.9;992;i
KM;agninc992i;p0p100;1967;1109403.9;992;i
KM;agninc992i;p0p100;1968;1097716.9;992;i
KM;agninc992i;p0p100;1969;1101151.3;992;i
KM;agninc992i;p0p100;1970;1168977.3;992;i
KM;agninc992i;p0p100;1971;1202451.9;992;i
KM;agninc992i;p0p100;1972;1209878.0;992;i
KM;agninc992i;p0p100;1973;1274490.6;992;i
KM;agninc992i;p0p100;1974;1283800.0;992;i
KM;agninc992i;p0p100;1975;1331856.8;992;i
KM;agninc992i;p0p100;1976;1294996.3;992;i
KM;agninc992i;p0p100;1977;1299480.0;992;i
KM;agninc992i;p0p100;1978;1289758.5;992;i
KM;agninc992i;p0p100;1979;1362187.8;992;i
KM;agninc992i;p0p100;1980;1416187.6;992;i
KM;agninc992i;p0p100;1981;1427291.9;992;i
KM;agninc992i;p0p100;1982;1480618.8;992;i
KM;agninc992i;p0p100;1983;1506208.8;992;i
KM;agninc992i;p0p100;1984;1527216.4;992;i
KM;agninc992i;p0p100;1985;1515634.9;992;i
KM;agninc992i;p0p100;1986;1506439.9;992;i
KM;agninc992i;p0p100;1987;1493011.8;992;i
KM;agninc992i;p0p100;1988;1486972.9;992;i
KM;agninc992i;p0p100;1989;1410470.0;992;i
KM;agninc992i;p0p100;1990;1432803.3;992;i
KM;agninc992i;p0p100;1991;1317009.1;992;i
KM;agninc992i;p0p100;1992;1400433.3;992;i
KM;agninc992i;p0p100;1993;1395272.1;992;i
KM;agninc992i;p0p100;1994;1277406.4;992;i
KM;agninc992i;p0p100;1995;1286772.8;992;i
KM;agninc992i;p0p100;1996;1232752.3;992;i
KM;agninc992i;p0p100;1997;1244908.0;992;i
KM;agninc992i;p0p100;1998;1223589.9;992;i
KM;agninc992i;p0p100;1999;1209722.8;992;i
KM;agninc992i;p0p100;2000;1299821.0;992;i
KM;agninc992i;p0p100;2001;1290444.5;992;i
KM;agninc992i;p0p100;2002;1280289.1;992;i
KM;agninc992i;p0p100;2003;1258904.0;992;i
KM;agninc992i;p0p100;2004;1242280.1;992;i
KM;agninc992i;p0p100;2005;1238405.3;992;i
KM;agninc992i;p0p100;2006;1234719.5;992;i
KM;agninc992i;p0p100;2007;1210496.0;992;i
KM;agninc992i;p0p100;2008;1215926.0;992;i
KM;agninc992i;p0p100;2009;1216062.3;992;i
KM;agninc992i;p0p100;2010;1223333.6;992;i
KM;agninc992i;p0p100;2011;1237387.3;992;i
KM;agninc992i;p0p100;2012;1238018.8;992;i
KM;agninc992i;p0p100;2013;1256304.9;992;i
KM;agninc992i;p0p100;2014;1252924.4;992;i
KM;agninc992i;p0p100;2015;1232300.9;992;i
KM;agninc992i;p0p100;2016;1239229.8;992;i
KM;agninc992i;p0p100;2017;1250326.0;992;i
KM;agninc992i;p0p100;2018;1261360.8;992;i
KM;agninc992i;p0p100;2019;1248615.3;992;i
KM;agninc992i;p0p100;2020;1217869.9;992;i
KM;agninc992i;p0p100;2021;1185594.1;992;i
KM;ahweal992j;p29p100;1995;3028523.0;992;j
KM;ahweal992j;p29p100;1996;2976293.4;992;j
KM;ahweal992j;p29p100;1997;3079231.7;992;j
KM;ahweal992j;p29p100;1998;3091532.8;992;j
KM;ahweal992j;p29p100;1999;3110300.8;992;j
KM;ahweal992j;p29p100;2000;3472512.2;992;j
KM;ahweal992j;p29p100;2001;3529605.1;992;j
KM;ahweal992j;p29p100;2002;3615661.3;992;j
KM;ahweal992j;p29p100;2003;3656851.2;992;j
KM;ahweal992j;p29p100;2004;3692341.4;992;j
KM;ahweal992j;p29p100;2005;3765006.7;992;j
KM;ahweal992j;p29p100;2006;3849202.4;992;j
KM;ahweal992j;p29p100;2007;3728713.8;992;j
KM;ahweal992j;p29p100;2008;3811387.8;992;j
KM;ahweal992j;p29p100;2009;3910707.5;992;j
KM;ahweal992j;p29p100;2010;4022979.3;992;j
KM;ahweal992j;p29p100;2011;4114480.5;992;j
KM;ahweal992j;p29p100;2012;4160613.0;992;j
KM;ahweal992j;p29p100;2013;4268952.3;992;j
KM;ahweal992j;p29p100;2014;4289630.9;992;j
KM;ahweal992j;p29p100;2015;4317329.0;992;j
KM;ahweal992j;p29p100;2016;4448300.9;992;j
KM;ahweal992j;p29p100;2017;4606099.8;992;j
KM;ahweal992j;p29p100;2018;4771843.9;992;j
KM;ahweal992j;p29p100;2019;4854801.2;992;j
KM;ahweal992j;p29p100;2020;4849573.7;992;j
KM;ahweal992j;p29p100;2021;4833419.5;992;j
KM;ahweal992j;p37p38;1995;357346.4;992;j
KM;ahweal992j;p37p38;1996;295761.8;992;j
KM;ahweal992j;p37p38;1997;248946.5;992;j
KM;ahweal992j;p37p38;1998;214135.3;992;j
KM;ahweal992j;p37p38;1999;186495.4;992;j
KM;ahweal992j;p37p38;2000;188529.3;992;j
KM;ahweal992j;p37p38;2001;176368.9;992;j
KM;ahweal992j;p37p38;2002;171603.5;992;j
KM;ahweal992j;p37p38;2003;168471.8;992;j
KM;ahweal992j;p37p38;2004;166311.3;992;j
KM;ahweal992j;p37p38;2005;173327.0;992;j
KM;ahweal992j;p37p38;2006;182071.4;992;j
KM;ahweal992j;p37p38;2007;183672.8;992;j
KM;ahweal992j;p37p38;2008;199440.9;992;j
KM;ahweal992j;p37p38;2009;221935.1;992;j
KM;ahweal992j;p37p38;2010;253883.5;992;j
KM;ahweal992j;p37p38;2011;300180.8;992;j
KM;ahweal992j;p37p38;2012;354944.1;992;j
KM;ahweal992j;p37p38;2013;439484.8;992;j
KM;ahweal992j;p37p38;2014;509149.7;992;j
KM;ahweal992j;p37p38;2015;511807.0;992;j
KM;ahweal992j;p37p38;2016;527180.9;992;j
KM;ahweal992j;p37p38;2017;545743.7;992;j
KM;ahweal992j;p37p38;2018;566261.8;992;j
KM;ahweal992j;p37p38;2019;575960.3;992;j
KM;ahweal992j;p37p38;2020;575174.0;992;j
KM;ahweal992j;p37p38;2021;573112.8;992;j
KM;ahweal992j;p72p100;1995;6572545.2;992;j
KM;ahweal992j;p72p100;1996;6605474.8;992;j
KM;ahweal992j;p72p100;1997;6985725.2;992;j
KM;ahweal992j;p72p100;1998;7109615.3;992;j
KM;ahweal992j;p72p100;1999;7230807.7;992;j
KM;ahweal992j;p72p100;2000;8126093.7;992;j
KM;ahweal992j;p72p100;2001;8301119.6;992;j
KM;ahweal992j;p72p100;2002;8528158.7;992;j
KM;ahweal992j;p72p100;2003;8639083.6;992;j
KM;ahweal992j;p72p100;2004;8733346.2;992;j
KM;ahweal992j;p72p100;2005;8895019.3;992;j
KM;ahweal992j;p72p100;2006;9080602.6;992;j
KM;ahweal992j;p72p100;2007;8776536.5;992;j
KM;ahweal992j;p72p100;2008;8939377.9;992;j
KM;ahweal992j;p72p100;2009;9125473.9;992;j
KM;ahweal992j;p72p100;2010;9318368.2;992;j
KM;ahweal992j;p72p100;2011;9421352.7;992;j
KM;ahweal992j;p72p100;2012;9389441.4;992;j
KM;ahweal992j;p72p100;2013;9433944.8;992;j
KM;ahweal992j;p72p100;2014;9301503.1;992;j
