country;variable;percentile;year;value;age;pop
KN;mgdpro999i;p0p100;1970;255461607.0;999;i
KN;mgdpro999i;p0p100;1971;271837508.0;999;i
KN;mgdpro999i;p0p100;1972;284937807.0;999;i
KN;mgdpro999i;p0p100;1973;296400849.0;999;i
KN;mgdpro999i;p0p100;1974;312776346.0;999;i
KN;mgdpro999i;p0p100;1975;320964437.0;999;i
KN;mgdpro999i;p0p100;1976;363614490.0;999;i
KN;mgdpro999i;p0p100;1977;551631735.0;999;i
KN;mgdpro999i;p0p100;1978;573199962.0;999;i
KN;mgdpro999i;p0p100;1979;616749971.0;999;i
KN;mgdpro999i;p0p100;1980;668803810.0;999;i
KN;mgdpro999i;p0p100;1981;679149505.0;999;i
KN;mgdpro999i;p0p100;1982;682869481.0;999;i
KN;mgdpro999i;p0p100;1983;690972784.0;999;i
KN;mgdpro999i;p0p100;1984;752233500.0;999;i
KN;mgdpro999i;p0p100;1985;816550299.0;999;i
KN;mgdpro999i;p0p100;1986;905203342.0;999;i
KN;mgdpro999i;p0p100;1987;964496374.0;999;i
KN;mgdpro999i;p0p100;1988;1053474841.0;999;i
KN;mgdpro999i;p0p100;1989;1111202321.0;999;i
KN;mgdpro999i;p0p100;1990;1165398867.0;999;i
KN;mgdpro999i;p0p100;1991;1143668575.0;999;i
KN;mgdpro999i;p0p100;1992;1192492254.0;999;i
KN;mgdpro999i;p0p100;1993;1273603666.0;999;i
KN;mgdpro999i;p0p100;1994;1341127899.0;999;i
KN;mgdpro999i;p0p100;1995;1413321388.0;999;i
KN;mgdpro999i;p0p100;1996;1495900066.0;999;i
KN;mgdpro999i;p0p100;1997;1597981017.0;999;i
KN;mgdpro999i;p0p100;1998;1590202691.0;999;i
KN;mgdpro999i;p0p100;1999;1641402668.0;999;i
KN;mgdpro999i;p0p100;2000;1806248254.0;999;i
KN;mgdpro999i;p0p100;2001;1901138984.0;999;i
KN;mgdpro999i;p0p100;2002;1927141557.0;999;i
KN;mgdpro999i;p0p100;2003;1851338040.0;999;i
KN;mgdpro999i;p0p100;2004;1925323877.0;999;i
KN;mgdpro999i;p0p100;2005;2112713154.0;999;i
KN;mgdpro999i;p0p100;2006;2179257267.0;999;i
KN;mgdpro999i;p0p100;2007;2192346069.0;999;i
KN;mgdpro999i;p0p100;2008;2326552618.0;999;i
KN;mgdpro999i;p0p100;2009;2232378897.0;999;i
KN;mgdpro999i;p0p100;2010;2218772765.0;999;i
KN;mgdpro999i;p0p100;2011;2259344035.0;999;i
KN;mgdpro999i;p0p100;2012;2209004616.0;999;i
KN;mgdpro999i;p0p100;2013;2327930858.0;999;i
KN;mgdpro999i;p0p100;2014;2474238126.0;999;i
KN;mgdpro999i;p0p100;2015;2499813043.0;999;i
