country;variable;percentile;year;value;age;pop
KY;aheago999i;p0p100;1972;1505.6;999;i
KY;aheago999i;p0p100;1983;1695.2;999;i
KY;aheago999i;p0p100;1984;1828.6;999;i
KY;aheago999i;p0p100;1985;1677.0;999;i
KY;aheago999i;p0p100;1986;1568.2;999;i
KY;aheago999i;p0p100;1987;1589.3;999;i
KY;aheago999i;p0p100;1988;1582.5;999;i
KY;aheago999i;p0p100;1989;1582.6;999;i
KY;aheago999i;p0p100;1990;2050.3;999;i
KY;aheago999i;p0p100;1991;1897.8;999;i
KY;aheago999i;p0p100;2015;515.3;999;i
KY;aheago999i;p0p100;2016;552.1;999;i
KY;aheago999i;p0p100;2017;584.4;999;i
KY;aheago999i;p0p100;2018;607.2;999;i
KY;aptfrp999i;p0p100;1970;0.0;999;i
KY;aptfrp999i;p0p100;1971;82.7;999;i
KY;aptfrp999i;p0p100;1972;169.1;999;i
KY;aptfrp999i;p0p100;1973;272.5;999;i
KY;aptfrp999i;p0p100;1974;374.7;999;i
KY;aptfrp999i;p0p100;1975;483.1;999;i
KY;aptfrp999i;p0p100;1976;598.9;999;i
KY;aptfrp999i;p0p100;1977;722.0;999;i
KY;aptfrp999i;p0p100;1978;855.6;999;i
KY;aptfrp999i;p0p100;1979;1003.4;999;i
KY;aptfrp999i;p0p100;1980;1170.0;999;i
KY;aptfrp999i;p0p100;1981;1360.0;999;i
KY;aptfrp999i;p0p100;1982;1576.4;999;i
KY;aptfrp999i;p0p100;1983;1870.3;999;i
KY;aptfrp999i;p0p100;1984;2087.6;999;i
KY;aptfrp999i;p0p100;1985;2219.4;999;i
KY;aptfrp999i;p0p100;1986;2431.9;999;i
KY;aptfrp999i;p0p100;1987;2678.4;999;i
KY;aptfrp999i;p0p100;1988;3065.4;999;i
KY;aptfrp999i;p0p100;1989;3334.5;999;i
KY;aptfrp999i;p0p100;1990;3773.4;999;i
KY;aptfrp999i;p0p100;1991;3829.0;999;i
KY;aptfrp999i;p0p100;1992;3979.0;999;i
KY;aptfrp999i;p0p100;1993;4224.5;999;i
KY;aptfrp999i;p0p100;1994;4412.3;999;i
KY;aptfrp999i;p0p100;1995;4547.0;999;i
KY;aptfrp999i;p0p100;1996;4758.9;999;i
KY;aptfrp999i;p0p100;1997;6126.5;999;i
KY;aptfrp999i;p0p100;1998;8382.9;999;i
KY;aptfrp999i;p0p100;1999;8009.6;999;i
KY;aptfrp999i;p0p100;2000;7479.0;999;i
KY;aptfrp999i;p0p100;2001;8137.1;999;i
KY;aptfrp999i;p0p100;2002;8381.2;999;i
KY;aptfrp999i;p0p100;2003;8674.1;999;i
KY;aptfrp999i;p0p100;2004;8818.9;999;i
KY;aptfrp999i;p0p100;2005;9186.1;999;i
KY;aptfrp999i;p0p100;2006;8677.5;999;i
KY;aptfrp999i;p0p100;2007;8594.2;999;i
KY;aptfrp999i;p0p100;2008;10632.5;999;i
KY;aptfrp999i;p0p100;2009;9915.0;999;i
KY;aptfrp999i;p0p100;2010;9403.5;999;i
KY;aptfrp999i;p0p100;2011;9516.6;999;i
KY;aptfrp999i;p0p100;2012;9360.5;999;i
KY;aptfrp999i;p0p100;2013;9323.3;999;i
KY;aptfrp999i;p0p100;2014;9617.0;999;i
KY;aptfrp999i;p0p100;2015;9690.9;999;i
KY;aptfrp999i;p0p100;2016;10199.1;999;i
KY;aptfrp999i;p0p100;2017;10388.9;999;i
KY;aptfrp999i;p0p100;2018;10691.0;999;i
KY;aptfrp999i;p0p100;2019;10966.8;999;i
KY;mptfnx999i;p0p100;2016;11245235200.0;999;i
KY;mptfnx999i;p0p100;2017;12194353152.0;999;i
KY;mptfnx999i;p0p100;2018;15080581120.0;999;i
KY;mgweal999i;p0p100;1995;-626085479.0;999;i
KY;mgweal999i;p0p100;1996;-642602256.0;999;i
