country;variable;percentile;year;value;age;pop
LI;ansrfc999i;p0p100;1998;13998.8;999;i
LI;ansrfc999i;p0p100;1999;16454.5;999;i
LI;ansrfc999i;p0p100;2000;17546.0;999;i
LI;ansrfc999i;p0p100;2001;16274.4;999;i
LI;ansrfc999i;p0p100;2002;11635.1;999;i
LI;ansrfc999i;p0p100;2003;6906.1;999;i
LI;ansrfc999i;p0p100;2004;9641.3;999;i
LI;ansrfc999i;p0p100;2005;12909.8;999;i
LI;ansrfc999i;p0p100;2006;13744.3;999;i
LI;ansrfc999i;p0p100;2007;17011.5;999;i
LI;ansrfc999i;p0p100;2008;21281.5;999;i
LI;ansrfc999i;p0p100;2009;6703.1;999;i
LI;ansrfc999i;p0p100;2010;8349.5;999;i
LI;ansrfc999i;p0p100;2011;8895.3;999;i
LI;ansrfc999i;p0p100;2012;2622.7;999;i
LI;ansrfc999i;p0p100;2013;4484.9;999;i
LI;ansrfc999i;p0p100;2014;4747.6;999;i
LI;ansrfc999i;p0p100;2015;4947.5;999;i
LI;ansrfc999i;p0p100;2016;269.3;999;i
LI;ansrfc999i;p0p100;2017;-2118.1;999;i
LI;aotpgo999i;p0p100;1998;870.3;999;i
LI;aotpgo999i;p0p100;1999;895.1;999;i
LI;aotpgo999i;p0p100;2000;762.7;999;i
LI;aotpgo999i;p0p100;2001;1002.6;999;i
LI;aotpgo999i;p0p100;2002;1321.2;999;i
LI;aotpgo999i;p0p100;2003;1181.0;999;i
LI;aotpgo999i;p0p100;2004;1397.6;999;i
LI;aotpgo999i;p0p100;2005;1817.6;999;i
LI;aotpgo999i;p0p100;2006;1849.7;999;i
LI;aotpgo999i;p0p100;2007;2008.9;999;i
LI;aotpgo999i;p0p100;2008;1495.9;999;i
LI;aotpgo999i;p0p100;2009;1346.3;999;i
LI;aotpgo999i;p0p100;2010;1351.1;999;i
LI;aotpgo999i;p0p100;2011;751.8;999;i
LI;aotpgo999i;p0p100;2012;809.5;999;i
LI;aotpgo999i;p0p100;2013;875.6;999;i
LI;aotpgo999i;p0p100;2014;1042.4;999;i
LI;aotpgo999i;p0p100;2015;1011.3;999;i
LI;aotpgo999i;p0p100;2016;984.0;999;i
LI;aotpgo999i;p0p100;2017;1083.8;999;i
LI;mcfcco999i;p0p100;1998;415275136.0;999;i
LI;mcfcco999i;p0p100;1999;479920576.0;999;i
LI;mcfcco999i;p0p100;2000;466992864.0;999;i
LI;mcfcco999i;p0p100;2001;502854304.0;999;i
LI;mcfcco999i;p0p100;2002;514529760.0;999;i
LI;mcfcco999i;p0p100;2003;500914304.0;999;i
LI;mcfcco999i;p0p100;2004;499425856.0;999;i
LI;mcfcco999i;p0p100;2005;480663456.0;999;i
LI;mcfcco999i;p0p100;2006;497104576.0;999;i
LI;mcfcco999i;p0p100;2007;509368096.0;999;i
LI;mcfcco999i;p0p100;2008;512307264.0;999;i
LI;mcfcco999i;p0p100;2009;671781120.0;999;i
LI;mcfcco999i;p0p100;2010;672886208.0;999;i
LI;mcfcco999i;p0p100;2011;624265984.0;999;i
LI;mcfcco999i;p0p100;2012;621715712.0;999;i
LI;mcfcco999i;p0p100;2013;695591104.0;999;i
LI;mcfcco999i;p0p100;2014;691048064.0;999;i
LI;mcfcco999i;p0p100;2015;668268864.0;999;i
LI;mcfcco999i;p0p100;2016;754098688.0;999;i
LI;mcfcco999i;p0p100;2017;705586432.0;999;i
LI;mcfchn999i;p0p100;1998;47947344.0;999;i
LI;mcfchn999i;p0p100;1999;49007784.0;999;i
LI;mcfchn999i;p0p100;2000;48946252.0;999;i
LI;mcfchn999i;p0p100;2001;52161748.0;999;i
LI;mcfchn999i;p0p100;2002;34907112.0;999;i
LI;mcfchn999i;p0p100;2003;26184500.0;999;i
LI;mcfchn999i;p0p100;2004;40205852.0;999;i
LI;mcfchn999i;p0p100;2005;52234412.0;999;i
LI;mcfchn999i;p0p100;2006;52106608.0;999;i
LI;mcfchn999i;p0p100;2007;46609660.0;999;i
LI;mcfchn999i;p0p100;2008;50570448.0;999;i
LI;mcfchn999i;p0p100;2009;61311676.0;999;i
LI;mcfchn999i;p0p100;2010;66617932.0;999;i
LI;mcfchn999i;p0p100;2011;64495256.0;999;i
LI;mcfchn999i;p0p100;2012;59895552.0;999;i
LI;mcfchn999i;p0p100;2013;60900376.0;999;i
LI;mcfchn999i;p0p100;2014;61099800.0;999;i
LI;mcfchn999i;p0p100;2015;62034100.0;999;i
LI;mcfchn999i;p0p100;2016;76338952.0;999;i
LI;mcfchn999i;p0p100;2017;75168544.0;999;i
LI;mgsrgo999i;p0p100;1998;93905840.0;999;i
LI;mgsrgo999i;p0p100;1999;94258080.0;999;i
LI;mgsrgo999i;p0p100;2000;96349520.0;999;i
LI;mgsrgo999i;p0p100;2001;101121360.0;999;i
LI;mgsrgo999i;p0p100;2002;110043336.0;999;i
LI;mgsrgo999i;p0p100;2003;103483840.0;999;i
LI;mgsrgo999i;p0p100;2004;109584248.0;999;i
LI;mgsrgo999i;p0p100;2005;103180800.0;999;i
LI;mgsrgo999i;p0p100;2006;104138136.0;999;i
LI;mgsrgo999i;p0p100;2007;110929944.0;999;i
LI;mgsrgo999i;p0p100;2008;110105184.0;999;i
LI;mgsrgo999i;p0p100;2009;134033624.0;999;i
LI;mgsrgo999i;p0p100;2010;133291080.0;999;i
LI;mgsrgo999i;p0p100;2011;132083304.0;999;i
LI;mgsrgo999i;p0p100;2012;125828744.0;999;i
LI;mgsrgo999i;p0p100;2013;127865928.0;999;i
LI;mgsrgo999i;p0p100;2014;125827040.0;999;i
LI;mgsrgo999i;p0p100;2015;134056296.0;999;i
LI;mgsrgo999i;p0p100;2016;128802448.0;999;i
LI;mgsrgo999i;p0p100;2017;88166920.0;999;i
LI;mflcin999i;p0p100;1998;23260398.0;999;i
LI;mflcin999i;p0p100;1999;-38194100.0;999;i
LI;mflcin999i;p0p100;2000;-63715352.0;999;i
LI;mflcin999i;p0p100;2001;-314313792.0;999;i
LI;mflcin999i;p0p100;2002;-368085056.0;999;i
LI;mflcin999i;p0p100;2003;-473355616.0;999;i
LI;mflcin999i;p0p100;2004;-622214912.0;999;i
LI;mflcin999i;p0p100;2005;-543533120.0;999;i
LI;mflcin999i;p0p100;2006;-470602336.0;999;i
LI;mflcin999i;p0p100;2007;-392458656.0;999;i
LI;mflcin999i;p0p100;2008;-344171584.0;999;i
LI;mflcin999i;p0p100;2009;-537349184.0;999;i
LI;mflcin999i;p0p100;2010;-689160384.0;999;i
LI;mflcin999i;p0p100;2011;-912026816.0;999;i
LI;mflcin999i;p0p100;2012;-1386094976.0;999;i
LI;mflcin999i;p0p100;2013;-1231551104.0;999;i
LI;mflcin999i;p0p100;2014;-1212577664.0;999;i
LI;mflcin999i;p0p100;2015;-1119970688.0;999;i
LI;mflcin999i;p0p100;2016;-297115168.0;999;i
