country;variable;percentile;year;value;age;pop
MC;xlceux999i;p0p100;1999;1.0;999;i
MC;xlceux999i;p0p100;2000;1.0;999;i
MC;xlceux999i;p0p100;2001;1.0;999;i
MC;xlceux999i;p0p100;2002;1.0;999;i
MC;xlceux999i;p0p100;2003;1.0;999;i
MC;xlceux999i;p0p100;2004;1.0;999;i
MC;xlceux999i;p0p100;2005;1.0;999;i
MC;xlceux999i;p0p100;2006;1.0;999;i
MC;xlceux999i;p0p100;2007;1.0;999;i
MC;xlceux999i;p0p100;2008;1.0;999;i
MC;xlceux999i;p0p100;2009;1.0;999;i
MC;xlceux999i;p0p100;2010;1.0;999;i
MC;xlceux999i;p0p100;2011;1.0;999;i
MC;xlceux999i;p0p100;2012;1.0;999;i
MC;xlceux999i;p0p100;2013;1.0;999;i
MC;xlceux999i;p0p100;2014;1.0;999;i
MC;xlceux999i;p0p100;2015;1.0;999;i
MC;xlceux999i;p0p100;2016;1.0;999;i
MC;xlceux999i;p0p100;2017;1.0;999;i
MC;xlceux999i;p0p100;2018;1.0;999;i
MC;xlceux999i;p0p100;2019;1.0;999;i
MC;xlceux999i;p0p100;2020;1.0;999;i
MC;xlceux999i;p0p100;2021;1.0;999;i
MC;aptfrp999i;p0p100;1970;87.3;999;i
MC;aptfrp999i;p0p100;1971;122.9;999;i
MC;aptfrp999i;p0p100;1972;153.3;999;i
MC;aptfrp999i;p0p100;1973;171.5;999;i
MC;aptfrp999i;p0p100;1974;178.1;999;i
MC;aptfrp999i;p0p100;1975;193.6;999;i
MC;aptfrp999i;p0p100;1976;230.8;999;i
MC;aptfrp999i;p0p100;1977;269.0;999;i
MC;aptfrp999i;p0p100;1978;295.0;999;i
MC;aptfrp999i;p0p100;1979;319.4;999;i
MC;aptfrp999i;p0p100;1980;334.8;999;i
MC;aptfrp999i;p0p100;1981;328.7;999;i
MC;aptfrp999i;p0p100;1982;357.8;999;i
MC;aptfrp999i;p0p100;1983;447.3;999;i
MC;aptfrp999i;p0p100;1984;480.8;999;i
MC;aptfrp999i;p0p100;1985;546.5;999;i
MC;aptfrp999i;p0p100;1986;693.6;999;i
MC;aptfrp999i;p0p100;1987;691.7;999;i
MC;aptfrp999i;p0p100;1988;875.2;999;i
MC;aptfrp999i;p0p100;1989;1065.1;999;i
MC;aptfrp999i;p0p100;1990;1034.8;999;i
MC;aptfrp999i;p0p100;1991;943.5;999;i
MC;aptfrp999i;p0p100;1992;913.1;999;i
MC;aptfrp999i;p0p100;1993;984.3;999;i
MC;aptfrp999i;p0p100;1994;1030.7;999;i
MC;aptfrp999i;p0p100;1995;1196.9;999;i
MC;aptfrp999i;p0p100;1996;1216.8;999;i
MC;aptfrp999i;p0p100;1997;1410.8;999;i
MC;aptfrp999i;p0p100;1998;1579.8;999;i
