country;variable;percentile;year;value;age;pop
MH;mgsrnf999i;p0p100;1997;25270316.0;999;i
MH;mgsrnf999i;p0p100;1998;29279948.0;999;i
MH;mgsrnf999i;p0p100;1999;27148602.0;999;i
MH;mgsrnf999i;p0p100;2000;28975212.0;999;i
MH;mgsrnf999i;p0p100;2001;31146088.0;999;i
MH;mgsrnf999i;p0p100;2002;36451308.0;999;i
MH;mgsrnf999i;p0p100;2003;32017826.0;999;i
MH;mgsrnf999i;p0p100;2004;29782680.0;999;i
MH;mgsrnf999i;p0p100;2005;26568984.0;999;i
MH;mgsrnf999i;p0p100;2006;27914986.0;999;i
MH;mgsrnf999i;p0p100;2007;32085296.0;999;i
MH;mgsrnf999i;p0p100;2008;25766122.0;999;i
MH;mgsrnf999i;p0p100;2009;30032828.0;999;i
MH;mgsrnf999i;p0p100;2010;37788596.0;999;i
MH;mgsrnf999i;p0p100;2011;42874584.0;999;i
MH;mgsrnf999i;p0p100;2012;50462952.0;999;i
MH;mgsrnf999i;p0p100;2013;50624040.0;999;i
MH;mgsrnf999i;p0p100;2014;40931076.0;999;i
MH;mgsrnf999i;p0p100;2015;40322568.0;999;i
MH;atpigo999i;p0p100;1997;438.4;999;i
MH;atpigo999i;p0p100;1998;447.9;999;i
MH;atpigo999i;p0p100;1999;391.8;999;i
MH;atpigo999i;p0p100;2000;352.3;999;i
MH;atpigo999i;p0p100;2001;343.5;999;i
MH;atpigo999i;p0p100;2002;384.3;999;i
MH;atpigo999i;p0p100;2003;397.2;999;i
MH;atpigo999i;p0p100;2004;379.1;999;i
MH;atpigo999i;p0p100;2005;424.2;999;i
MH;atpigo999i;p0p100;2006;414.4;999;i
MH;atpigo999i;p0p100;2007;439.3;999;i
MH;atpigo999i;p0p100;2008;409.6;999;i
MH;atpigo999i;p0p100;2009;366.9;999;i
MH;atpigo999i;p0p100;2010;387.1;999;i
MH;atpigo999i;p0p100;2011;342.2;999;i
MH;atpigo999i;p0p100;2012;330.3;999;i
MH;atpigo999i;p0p100;2013;344.4;999;i
MH;atpigo999i;p0p100;2014;332.3;999;i
MH;atpigo999i;p0p100;2015;349.4;999;i
MH;mgsrhn999i;p0p100;1997;0.0;999;i
MH;mgsrhn999i;p0p100;1998;0.0;999;i
MH;mgsrhn999i;p0p100;1999;0.0;999;i
MH;mgsrhn999i;p0p100;2000;0.0;999;i
MH;mgsrhn999i;p0p100;2001;0.0;999;i
MH;mgsrhn999i;p0p100;2002;0.0;999;i
MH;mgsrhn999i;p0p100;2003;0.0;999;i
MH;mgsrhn999i;p0p100;2004;0.0;999;i
MH;mgsrhn999i;p0p100;2005;0.0;999;i
MH;mgsrhn999i;p0p100;2006;0.0;999;i
MH;mgsrhn999i;p0p100;2007;0.0;999;i
MH;mgsrhn999i;p0p100;2008;0.0;999;i
MH;mgsrhn999i;p0p100;2009;0.0;999;i
MH;mgsrhn999i;p0p100;2010;0.0;999;i
MH;mgsrhn999i;p0p100;2011;0.0;999;i
MH;mgsrhn999i;p0p100;2012;0.0;999;i
MH;mgsrhn999i;p0p100;2013;0.0;999;i
MH;mgsrhn999i;p0p100;2014;0.0;999;i
MH;mgsrhn999i;p0p100;2015;0.0;999;i
MH;mcompx999i;p0p100;2005;223670.0;999;i
MH;mcompx999i;p0p100;2006;221978.0;999;i
MH;mcompx999i;p0p100;2007;306648.0;999;i
MH;mcompx999i;p0p100;2008;282091.0;999;i
MH;mcompx999i;p0p100;2009;325533.0;999;i
MH;mcompx999i;p0p100;2010;3558402.0;999;i
MH;mcompx999i;p0p100;2011;4177649.0;999;i
MH;mcompx999i;p0p100;2012;11888600.0;999;i
MH;mcompx999i;p0p100;2013;10054291.0;999;i
MH;mcompx999i;p0p100;2014;7649171.0;999;i
MH;mcompx999i;p0p100;2015;1545649.0;999;i
MH;mcompx999i;p0p100;2016;2553616.0;999;i
MH;mcompx999i;p0p100;2017;3604544.0;999;i
MH;mcompx999i;p0p100;2018;4754915.0;999;i
MH;anmxho999i;p0p100;1997;502.2;999;i
MH;anmxho999i;p0p100;1998;438.7;999;i
MH;anmxho999i;p0p100;1999;453.2;999;i
MH;anmxho999i;p0p100;2000;443.4;999;i
MH;anmxho999i;p0p100;2001;448.9;999;i
MH;anmxho999i;p0p100;2002;391.7;999;i
MH;anmxho999i;p0p100;2003;399.7;999;i
MH;anmxho999i;p0p100;2004;397.4;999;i
MH;anmxho999i;p0p100;2005;385.8;999;i
MH;anmxho999i;p0p100;2006;376.2;999;i
MH;anmxho999i;p0p100;2007;373.3;999;i
MH;anmxho999i;p0p100;2008;438.8;999;i
MH;anmxho999i;p0p100;2009;475.2;999;i
MH;anmxho999i;p0p100;2010;456.0;999;i
MH;anmxho999i;p0p100;2011;454.4;999;i
MH;anmxho999i;p0p100;2012;473.4;999;i
MH;anmxho999i;p0p100;2013;475.3;999;i
MH;anmxho999i;p0p100;2014;472.7;999;i
MH;anmxho999i;p0p100;2015;490.9;999;i
MH;aptfon999i;p0p100;2007;221.2;999;i
MH;aptfon999i;p0p100;2008;193.3;999;i
MH;aptfon999i;p0p100;2009;87.8;999;i
MH;aptfon999i;p0p100;2010;64.0;999;i
MH;aptfon999i;p0p100;2011;92.5;999;i
MH;aptfon999i;p0p100;2012;83.6;999;i
MH;aptfon999i;p0p100;2013;91.0;999;i
MH;aptfon999i;p0p100;2014;82.1;999;i
MH;aptfon999i;p0p100;2015;30.6;999;i
MH;aptfon999i;p0p100;2016;38.9;999;i
MH;aptfon999i;p0p100;2017;-22.7;999;i
MH;aptfon999i;p0p100;2018;-5.9;999;i
MH;mfkpin999i;p0p100;2005;32396646.0;999;i
MH;mfkpin999i;p0p100;2006;30303738.0;999;i
MH;mfkpin999i;p0p100;2007;38834556.0;999;i
MH;mfkpin999i;p0p100;2008;31296674.0;999;i
MH;mfkpin999i;p0p100;2009;28933016.0;999;i
MH;mfkpin999i;p0p100;2010;31548280.0;999;i
MH;mfkpin999i;p0p100;2011;31955662.0;999;i
MH;mfkpin999i;p0p100;2012;3551473.0;999;i
MH;mfkpin999i;p0p100;2013;8442121.0;999;i
MH;mfkpin999i;p0p100;2014;23106642.0;999;i
MH;mfkpin999i;p0p100;2015;23239262.0;999;i
MH;agninc999i;p0p100;1970;2626.9;999;i
MH;agninc999i;p0p100;1971;2563.7;999;i
MH;agninc999i;p0p100;1972;2653.0;999;i
MH;agninc999i;p0p100;1973;3279.3;999;i
MH;agninc999i;p0p100;1974;3467.9;999;i
MH;agninc999i;p0p100;1975;3330.9;999;i
MH;agninc999i;p0p100;1976;3237.8;999;i
MH;agninc999i;p0p100;1977;3231.2;999;i
MH;agninc999i;p0p100;1978;3272.3;999;i
MH;agninc999i;p0p100;1979;3145.7;999;i
MH;agninc999i;p0p100;1980;2914.0;999;i
MH;agninc999i;p0p100;1981;2960.6;999;i
MH;agninc999i;p0p100;1982;3049.3;999;i
MH;agninc999i;p0p100;1983;3268.1;999;i
MH;agninc999i;p0p100;1984;3156.0;999;i
MH;agninc999i;p0p100;1985;3046.7;999;i
MH;agninc999i;p0p100;1986;3485.9;999;i
MH;agninc999i;p0p100;1987;3621.4;999;i
MH;agninc999i;p0p100;1988;3644.8;999;i
MH;agninc999i;p0p100;1989;3486.5;999;i
MH;agninc999i;p0p100;1990;3446.8;999;i
MH;agninc999i;p0p100;1991;3429.8;999;i
MH;agninc999i;p0p100;1992;3601.7;999;i
MH;agninc999i;p0p100;1993;3771.7;999;i
MH;agninc999i;p0p100;1994;3986.2;999;i
MH;agninc999i;p0p100;1995;4094.2;999;i
MH;agninc999i;p0p100;1996;3702.2;999;i
MH;agninc999i;p0p100;1997;4248.9;999;i
MH;agninc999i;p0p100;1998;4369.6;999;i
MH;agninc999i;p0p100;1999;4465.7;999;i
MH;agninc999i;p0p100;2000;4563.2;999;i
MH;agninc999i;p0p100;2001;4760.1;999;i
MH;agninc999i;p0p100;2002;4663.5;999;i
MH;agninc999i;p0p100;2003;4480.1;999;i
MH;agninc999i;p0p100;2004;4452.4;999;i
MH;agninc999i;p0p100;2005;4661.9;999;i
MH;agninc999i;p0p100;2006;4596.0;999;i
MH;agninc999i;p0p100;2007;4589.8;999;i
MH;agninc999i;p0p100;2008;4371.2;999;i
MH;agninc999i;p0p100;2009;4511.9;999;i
MH;agninc999i;p0p100;2010;4525.9;999;i
MH;agninc999i;p0p100;2011;4436.5;999;i
MH;agninc999i;p0p100;2012;3567.6;999;i
MH;agninc999i;p0p100;2013;3824.3;999;i
MH;agninc999i;p0p100;2014;4389.9;999;i
MH;agninc999i;p0p100;2015;4799.7;999;i
MH;agninc999i;p0p100;2016;4836.3;999;i
MH;agninc999i;p0p100;2017;4930.7;999;i
MH;agninc999i;p0p100;2018;5105.9;999;i
MH;agninc999i;p0p100;2019;5287.6;999;i
MH;agninc999i;p0p100;2020;5095.8;999;i
MH;agninc999i;p0p100;2021;4985.2;999;i
MH;andpro999i;p0p100;1970;2411.2;999;i
MH;andpro999i;p0p100;1971;2331.5;999;i
MH;andpro999i;p0p100;1972;2402.7;999;i
MH;andpro999i;p0p100;1973;3009.9;999;i
MH;andpro999i;p0p100;1974;3184.0;999;i
MH;andpro999i;p0p100;1975;3039.9;999;i
MH;andpro999i;p0p100;1976;2945.8;999;i
MH;andpro999i;p0p100;1977;2942.1;999;i
MH;andpro999i;p0p100;1978;2988.8;999;i
MH;andpro999i;p0p100;1979;2869.1;999;i
MH;andpro999i;p0p100;1980;2643.6;999;i
MH;andpro999i;p0p100;1981;2692.3;999;i
MH;andpro999i;p0p100;1982;2778.8;999;i
MH;andpro999i;p0p100;1983;2992.2;999;i
MH;andpro999i;p0p100;1984;2873.4;999;i
MH;andpro999i;p0p100;1985;2755.2;999;i
MH;andpro999i;p0p100;1986;3183.5;999;i
MH;andpro999i;p0p100;1987;3310.2;999;i
MH;andpro999i;p0p100;1988;3328.7;999;i
MH;andpro999i;p0p100;1989;3168.5;999;i
MH;andpro999i;p0p100;1990;3126.4;999;i
MH;andpro999i;p0p100;1991;3104.1;999;i
MH;andpro999i;p0p100;1992;3267.5;999;i
MH;andpro999i;p0p100;1993;3428.3;999;i
MH;andpro999i;p0p100;1994;3636.8;999;i
MH;andpro999i;p0p100;1995;3745.6;999;i
MH;andpro999i;p0p100;1996;3360.8;999;i
MH;andpro999i;p0p100;1997;3188.2;999;i
MH;andpro999i;p0p100;1998;3167.2;999;i
MH;andpro999i;p0p100;1999;3143.2;999;i
MH;andpro999i;p0p100;2000;3213.4;999;i
MH;andpro999i;p0p100;2001;3376.4;999;i
MH;andpro999i;p0p100;2002;3393.9;999;i
MH;andpro999i;p0p100;2003;3284.4;999;i
MH;andpro999i;p0p100;2004;3265.5;999;i
MH;andpro999i;p0p100;2005;3275.3;999;i
MH;andpro999i;p0p100;2006;3263.1;999;i
MH;andpro999i;p0p100;2007;3270.2;999;i
MH;andpro999i;p0p100;2008;3122.1;999;i
MH;andpro999i;p0p100;2009;3255.5;999;i
