country;variable;percentile;year;value;age;pop
MP;anninc999i;p0p100;2002;28093.2;999;i
MP;anninc999i;p0p100;2003;28735.6;999;i
MP;anninc999i;p0p100;2004;28374.9;999;i
MP;anninc999i;p0p100;2005;24909.1;999;i
MP;anninc999i;p0p100;2006;23577.3;999;i
MP;anninc999i;p0p100;2007;22396.6;999;i
MP;anninc999i;p0p100;2008;20123.5;999;i
MP;anninc999i;p0p100;2009;16499.6;999;i
MP;anninc999i;p0p100;2010;17021.0;999;i
MP;anninc999i;p0p100;2011;15672.9;999;i
MP;anninc999i;p0p100;2012;15735.9;999;i
MP;anninc999i;p0p100;2013;15993.7;999;i
MP;anninc999i;p0p100;2014;16432.4;999;i
MP;anninc999i;p0p100;2015;16689.4;999;i
MP;anninc999i;p0p100;2016;21935.1;999;i
MP;anninc999i;p0p100;2017;27366.9;999;i
MP;anninc999i;p0p100;2018;21417.3;999;i
MP;anninc999i;p0p100;2019;18798.9;999;i
MP;anninc999i;p0p100;2020;16572.0;999;i
MP;anninc999i;p0p100;2021;14631.3;999;i
MP;mconfc999i;p0p100;2002;269149568.0;999;i
MP;mconfc999i;p0p100;2003;251763168.0;999;i
MP;mconfc999i;p0p100;2004;233559088.0;999;i
MP;mconfc999i;p0p100;2005;213490240.0;999;i
MP;mconfc999i;p0p100;2006;192902944.0;999;i
MP;mconfc999i;p0p100;2007;172777216.0;999;i
MP;mconfc999i;p0p100;2008;154216960.0;999;i
MP;mconfc999i;p0p100;2009;139027072.0;999;i
MP;mconfc999i;p0p100;2010;128972328.0;999;i
MP;mconfc999i;p0p100;2011;123730136.0;999;i
MP;mconfc999i;p0p100;2012;123487936.0;999;i
MP;mconfc999i;p0p100;2013;128147080.0;999;i
MP;mconfc999i;p0p100;2014;137508928.0;999;i
MP;mconfc999i;p0p100;2015;150770944.0;999;i
MP;mconfc999i;p0p100;2016;165203488.0;999;i
MP;mconfc999i;p0p100;2017;173618576.0;999;i
MP;mconfc999i;p0p100;2018;170252048.0;999;i
MP;mconfc999i;p0p100;2019;158197264.0;999;i
MP;mconfc999i;p0p100;2020;142454064.0;999;i
MP;mconfc999i;p0p100;2021;126759824.0;999;i
MP;npopul999i;p0p100;1950;6999.0;999;i
MP;npopul999i;p0p100;1951;7080.0;999;i
MP;npopul999i;p0p100;1952;7202.0;999;i
MP;npopul999i;p0p100;1953;7395.0;999;i
MP;npopul999i;p0p100;1954;7650.0;999;i
MP;npopul999i;p0p100;1955;7985.0;999;i
MP;npopul999i;p0p100;1956;8378.0;999;i
MP;npopul999i;p0p100;1957;8802.0;999;i
MP;npopul999i;p0p100;1958;9239.0;999;i
MP;npopul999i;p0p100;1959;9645.0;999;i
MP;npopul999i;p0p100;1960;9979.0;999;i
MP;npopul999i;p0p100;1961;10245.0;999;i
MP;npopul999i;p0p100;1962;10436.0;999;i
MP;npopul999i;p0p100;1963;10590.0;999;i
MP;npopul999i;p0p100;1964;10783.0;999;i
MP;npopul999i;p0p100;1965;11022.0;999;i
MP;npopul999i;p0p100;1966;11344.0;999;i
MP;npopul999i;p0p100;1967;11721.0;999;i
MP;npopul999i;p0p100;1968;12140.0;999;i
MP;npopul999i;p0p100;1969;12574.0;999;i
MP;npopul999i;p0p100;1970;12994.0;999;i
MP;npopul999i;p0p100;1971;13429.0;999;i
MP;npopul999i;p0p100;1972;13882.0;999;i
MP;npopul999i;p0p100;1973;14325.0;999;i
MP;npopul999i;p0p100;1974;14677.0;999;i
MP;npopul999i;p0p100;1975;14924.0;999;i
MP;npopul999i;p0p100;1976;15026.0;999;i
MP;npopul999i;p0p100;1977;15048.0;999;i
MP;npopul999i;p0p100;1978;15170.0;999;i
MP;npopul999i;p0p100;1979;15638.0;999;i
MP;npopul999i;p0p100;1980;16633.0;999;i
MP;npopul999i;p0p100;1981;18158.0;999;i
MP;npopul999i;p0p100;1982;20167.0;999;i
MP;npopul999i;p0p100;1983;22622.0;999;i
MP;npopul999i;p0p100;1984;25500.0;999;i
MP;npopul999i;p0p100;1985;28720.0;999;i
MP;npopul999i;p0p100;1986;32370.0;999;i
MP;npopul999i;p0p100;1987;36377.0;999;i
MP;npopul999i;p0p100;1988;40288.0;999;i
MP;npopul999i;p0p100;1989;43540.0;999;i
MP;npopul999i;p0p100;1990;45752.0;999;i
MP;npopul999i;p0p100;1991;46666.0;999;i
MP;npopul999i;p0p100;1992;46476.0;999;i
MP;npopul999i;p0p100;1993;45758.0;999;i
MP;npopul999i;p0p100;1994;45364.0;999;i
MP;npopul999i;p0p100;1995;45870.0;999;i
MP;npopul999i;p0p100;1996;47521.0;999;i
MP;npopul999i;p0p100;1997;50056.0;999;i
MP;npopul999i;p0p100;1998;52997.0;999;i
MP;npopul999i;p0p100;1999;55636.0;999;i
MP;npopul999i;p0p100;2000;57453.0;999;i
MP;npopul999i;p0p100;2001;58321.0;999;i
MP;npopul999i;p0p100;2002;58420.0;999;i
MP;npopul999i;p0p100;2003;57947.0;999;i
MP;npopul999i;p0p100;2004;57246.0;999;i
MP;npopul999i;p0p100;2005;56542.0;999;i
MP;npopul999i;p0p100;2006;55882.0;999;i
MP;npopul999i;p0p100;2007;55219.0;999;i
MP;npopul999i;p0p100;2008;54625.0;999;i
MP;npopul999i;p0p100;2009;54193.0;999;i
MP;npopul999i;p0p100;2010;53971.0;999;i
MP;npopul999i;p0p100;2011;54012.0;999;i
MP;npopul999i;p0p100;2012;54311.0;999;i
MP;npopul999i;p0p100;2013;54784.0;999;i
MP;npopul999i;p0p100;2014;55305.0;999;i
MP;npopul999i;p0p100;2015;55780.0;999;i
MP;npopul999i;p0p100;2016;56188.0;999;i
MP;npopul999i;p0p100;2017;56562.0;999;i
MP;npopul999i;p0p100;2018;56882.0;999;i
MP;npopul999i;p0p100;2019;57216.0;999;i
MP;npopul999i;p0p100;2020;57559.0;999;i
MP;npopul999i;p0p100;2021;57917.0;999;i
MP;inyixx999i;p0p100;2002;0.672127366065979;999;i
MP;inyixx999i;p0p100;2003;0.646353602409363;999;i
MP;inyixx999i;p0p100;2004;0.651270866394043;999;i
MP;inyixx999i;p0p100;2005;0.654171943664551;999;i
MP;inyixx999i;p0p100;2006;0.65543395280838;999;i
MP;inyixx999i;p0p100;2007;0.665488660335541;999;i
MP;inyixx999i;p0p100;2008;0.749124348163605;999;i
MP;inyixx999i;p0p100;2009;0.769461810588837;999;i
MP;inyixx999i;p0p100;2010;0.762686729431152;999;i
MP;inyixx999i;p0p100;2011;0.75134950876236;999;i
MP;inyixx999i;p0p100;2012;0.762686729431152;999;i
MP;inyixx999i;p0p100;2013;0.76866090297699;999;i
MP;inyixx999i;p0p100;2014;0.795182108879089;999;i
MP;inyixx999i;p0p100;2015;0.841266512870789;999;i
MP;inyixx999i;p0p100;2016;0.880023062229156;999;i
MP;inyixx999i;p0p100;2017;0.906162619590759;999;i
MP;inyixx999i;p0p100;2018;0.937694072723389;999;i
MP;inyixx999i;p0p100;2019;0.958018958568573;999;i
MP;inyixx999i;p0p100;2020;0.978784441947937;999;i
MP;inyixx999i;p0p100;2021;1.0;999;i
MP;xlceux999i;p0p100;1999;1.06577643262407;999;i
MP;xlceux999i;p0p100;2000;0.923612498870066;999;i
MP;xlceux999i;p0p100;2001;0.895629563370594;999;i
MP;xlceux999i;p0p100;2002;0.945573710176738;999;i
MP;xlceux999i;p0p100;2003;1.1311603943483;999;i
MP;xlceux999i;p0p100;2004;1.24390232871503;999;i
MP;xlceux999i;p0p100;2005;1.24409031340187;999;i
MP;xlceux999i;p0p100;2006;1.25559881945145;999;i
MP;xlceux999i;p0p100;2007;1.37047809113493;999;i
MP;xlceux999i;p0p100;2008;1.47075542573513;999;i
MP;xlceux999i;p0p100;2009;1.39478244849713;999;i
MP;xlceux999i;p0p100;2010;1.32571665176502;999;i
MP;xlceux999i;p0p100;2011;1.39195527083125;999;i
MP;xlceux999i;p0p100;2012;1.28478864897678;999;i
MP;xlceux999i;p0p100;2013;1.32811803498058;999;i
MP;xlceux999i;p0p100;2014;1.32850073689388;999;i
MP;xlceux999i;p0p100;2015;1.10951287410527;999;i
MP;xlceux999i;p0p100;2016;1.10690308181153;999;i
MP;xlceux999i;p0p100;2017;1.1296811777352;999;i
MP;xlceux999i;p0p100;2018;1.18095450473051;999;i
MP;xlceux999i;p0p100;2019;1.11948487143472;999;i
MP;xlceux999i;p0p100;2020;1.14184597576108;999;i
MP;xlceux999i;p0p100;2021;1.18584999547634;999;i
MP;apweal999i;p0p100;2002;31321.9;999;i
MP;apweal999i;p0p100;2003;33718.8;999;i
MP;apweal999i;p0p100;2004;35089.0;999;i
MP;apweal999i;p0p100;2005;32485.8;999;i
MP;apweal999i;p0p100;2006;32394.2;999;i
MP;apweal999i;p0p100;2007;32309.5;999;i
MP;apweal999i;p0p100;2008;30336.0;999;i
MP;apweal999i;p0p100;2009;25861.4;999;i
MP;apweal999i;p0p100;2010;27608.2;999;i
MP;apweal999i;p0p100;2011;26227.5;999;i
MP;apweal999i;p0p100;2012;27132.3;999;i
MP;apweal999i;p0p100;2013;28412.4;999;i
MP;apweal999i;p0p100;2014;30095.9;999;i
MP;apweal999i;p0p100;2015;31541.2;999;i
MP;apweal999i;p0p100;2016;42808.2;999;i
MP;apweal999i;p0p100;2017;55188.3;999;i
MP;apweal999i;p0p100;2018;44658.3;999;i
MP;apweal999i;p0p100;2019;40558.7;999;i
MP;apweal999i;p0p100;2020;37012.7;999;i
MP;apweal999i;p0p100;2021;33797.0;999;i
MP;wwealh999i;p0p100;2002;0.931504011154175;999;i
MP;wwealh999i;p0p100;2003;0.989395141601562;999;i
MP;wwealh999i;p0p100;2004;1.05179274082184;999;i
MP;wwealh999i;p0p100;2005;1.11840426921845;999;i
MP;wwealh999i;p0p100;2006;1.18725442886352;999;i
MP;wwealh999i;p0p100;2007;1.2551908493042;999;i
MP;wwealh999i;p0p100;2008;1.31973493099213;999;i
MP;wwealh999i;p0p100;2009;1.37979066371918;999;i
MP;wwealh999i;p0p100;2010;1.43508648872376;999;i
MP;wwealh999i;p0p100;2011;1.48770475387573;999;i
MP;wwealh999i;p0p100;2012;1.54014980792999;999;i
MP;wwealh999i;p0p100;2013;1.59444785118103;999;i
MP;wwealh999i;p0p100;2014;1.65187239646912;999;i
MP;wwealh999i;p0p100;2015;1.71297609806061;999;i
MP;wwealh999i;p0p100;2016;1.7776050567627;999;i
MP;wwealh999i;p0p100;2017;1.84575116634369;999;i
MP;wwealh999i;p0p100;2018;1.91753423213959;999;i
MP;wwealh999i;p0p100;2019;1.99317026138306;999;i
MP;wwealh999i;p0p100;2020;2.07234859466553;999;i
MP;wwealh999i;p0p100;2021;2.1520357131958;999;i
MP;mgweal999i;p0p100;2002;445438820.0;999;i
MP;mgweal999i;p0p100;2003;509641493.0;999;i
MP;mgweal999i;p0p100;2004;557551628.0;999;i
MP;mgweal999i;p0p100;2005;537510879.0;999;i
MP;mgweal999i;p0p100;2006;551913148.0;999;i
MP;mgweal999i;p0p100;2007;558810327.0;999;i
MP;mgweal999i;p0p100;2008;525389942.0;999;i
MP;mgweal999i;p0p100;2009;443352039.0;999;i
MP;mgweal999i;p0p100;2010;464370858.0;999;i
MP;mgweal999i;p0p100;2011;430006452.0;999;i
MP;mgweal999i;p0p100;2012;431088043.0;999;i
MP;mgweal999i;p0p100;2013;434658311.0;999;i
MP;mgweal999i;p0p100;2014;439839383.0;999;i
MP;mgweal999i;p0p100;2015;436779850.0;999;i
MP;mgweal999i;p0p100;2016;557994512.0;999;i
MP;mgweal999i;p0p100;2017;673989980.0;999;i
MP;mgweal999i;p0p100;2018;508812846.0;999;i
MP;mgweal999i;p0p100;2019;429848405.0;999;i
MP;mgweal999i;p0p100;2020;364172006.0;999;i
MP;mgweal999i;p0p100;2021;308178372.0;999;i
MP;mndpro999i;p0p100;2002;1641205504.0;999;i
MP;mndpro999i;p0p100;2003;1665144576.0;999;i
MP;mndpro999i;p0p100;2004;1624348416.0;999;i
MP;mndpro999i;p0p100;2005;1408408576.0;999;i
MP;mndpro999i;p0p100;2006;1317548672.0;999;i
MP;mndpro999i;p0p100;2007;1236715136.0;999;i
MP;mndpro999i;p0p100;2008;1099246464.0;999;i
MP;mndpro999i;p0p100;2009;894162496.0;999;i
MP;mndpro999i;p0p100;2010;918641280.0;999;i
MP;mndpro999i;p0p100;2011;846524416.0;999;i
MP;mndpro999i;p0p100;2012;854633920.0;999;i
MP;mndpro999i;p0p100;2013;876198464.0;999;i
MP;mndpro999i;p0p100;2014;908792128.0;999;i
MP;mndpro999i;p0p100;2015;930932224.0;999;i
MP;mndpro999i;p0p100;2016;1232488192.0;999;i
MP;mndpro999i;p0p100;2017;1547926528.0;999;i
MP;mndpro999i;p0p100;2018;1218260480.0;999;i
MP;mndpro999i;p0p100;2019;1075599488.0;999;i
MP;mndpro999i;p0p100;2020;953866112.0;999;i
MP;mndpro999i;p0p100;2021;847400320.0;999;i
MP;ahweal999i;p0p100;2002;26168.9;999;i
MP;ahweal999i;p0p100;2003;28430.9;999;i
MP;ahweal999i;p0p100;2004;29844.5;999;i
MP;ahweal999i;p0p100;2005;27858.4;999;i
MP;ahweal999i;p0p100;2006;27992.3;999;i
MP;ahweal999i;p0p100;2007;28111.9;999;i
MP;ahweal999i;p0p100;2008;26557.7;999;i
MP;ahweal999i;p0p100;2009;22766.0;999;i
MP;ahweal999i;p0p100;2010;24426.6;999;i
MP;ahweal999i;p0p100;2011;23316.6;999;i
MP;ahweal999i;p0p100;2012;24235.7;999;i
MP;ahweal999i;p0p100;2013;25501.1;999;i
MP;ahweal999i;p0p100;2014;27144.2;999;i
MP;ahweal999i;p0p100;2015;28588.5;999;i
MP;ahweal999i;p0p100;2016;38991.9;999;i
MP;ahweal999i;p0p100;2017;50512.5;999;i
MP;ahweal999i;p0p100;2018;41068.5;999;i
MP;ahweal999i;p0p100;2019;37469.5;999;i
MP;ahweal999i;p0p100;2020;34342.9;999;i
MP;ahweal999i;p0p100;2021;31487.1;999;i
MP;wwealg999i;p0p100;2002;0.271409541368484;999;i
MP;wwealg999i;p0p100;2003;0.306064397096634;999;i
MP;wwealg999i;p0p100;2004;0.343246340751648;999;i
MP;wwealg999i;p0p100;2005;0.381644129753113;999;i
MP;wwealg999i;p0p100;2006;0.418893933296204;999;i
MP;wwealg999i;p0p100;2007;0.451850473880768;999;i
MP;wwealg999i;p0p100;2008;0.477954626083374;999;i
MP;wwealg999i;p0p100;2009;0.495829373598099;999;i
MP;wwealg999i;p0p100;2010;0.505497515201569;999;i
MP;wwealg999i;p0p100;2011;0.507966995239258;999;i
MP;wwealg999i;p0p100;2012;0.504412531852722;999;i
MP;wwealg999i;p0p100;2013;0.496072888374329;999;i
MP;wwealg999i;p0p100;2014;0.483982384204865;999;i
MP;wwealg999i;p0p100;2015;0.469185441732407;999;i
MP;wwealg999i;p0p100;2016;0.452738225460052;999;i
MP;wwealg999i;p0p100;2017;0.435414701700211;999;i
MP;wwealg999i;p0p100;2018;0.417655229568481;999;i
MP;wwealg999i;p0p100;2019;0.399636119604111;999;i
MP;wwealg999i;p0p100;2020;0.381785243749618;999;i
MP;wwealg999i;p0p100;2021;0.363675057888031;999;i
MP;wwealn999i;p0p100;2002;1.38633811473846;999;i
MP;wwealn999i;p0p100;2003;1.4794784784317;999;i
MP;wwealn999i;p0p100;2004;1.57986748218536;999;i
MP;wwealn999i;p0p100;2005;1.68582022190094;999;i
MP;wwealn999i;p0p100;2006;1.79284989833832;999;i
MP;wwealn999i;p0p100;2007;1.89446067810059;999;i
MP;wwealn999i;p0p100;2008;1.98544776439667;999;i
MP;wwealn999i;p0p100;2009;2.06322836875915;999;i
MP;wwealn999i;p0p100;2010;2.1275064945221;999;i
MP;wwealn999i;p0p100;2011;2.18139743804932;999;i
MP;wwealn999i;p0p100;2012;2.22863602638245;999;i
MP;wwealn999i;p0p100;2013;2.27255082130432;999;i
MP;wwealn999i;p0p100;2014;2.31548404693604;999;i
MP;wwealn999i;p0p100;2015;2.35908317565918;999;i
MP;wwealn999i;p0p100;2016;2.40432238578796;999;i
MP;wwealn999i;p0p100;2017;2.45202326774597;999;i
MP;wwealn999i;p0p100;2018;2.50280451774597;999;i
MP;wwealn999i;p0p100;2019;2.55713796615601;999;i
MP;wwealn999i;p0p100;2020;2.61523818969727;999;i
MP;wwealn999i;p0p100;2021;2.67358565330505;999;i
MP;mgninc999i;p0p100;2002;1910355072.0;999;i
MP;mgninc999i;p0p100;2003;1916907648.0;999;i
MP;mgninc999i;p0p100;2004;1857907456.0;999;i
MP;mgninc999i;p0p100;2005;1621898880.0;999;i
MP;mgninc999i;p0p100;2006;1510451584.0;999;i
MP;mgninc999i;p0p100;2007;1409492352.0;999;i
MP;mgninc999i;p0p100;2008;1253463424.0;999;i
MP;mgninc999i;p0p100;2009;1033189568.0;999;i
MP;mgninc999i;p0p100;2010;1047613632.0;999;i
MP;mgninc999i;p0p100;2011;970254528.0;999;i
MP;mgninc999i;p0p100;2012;978121792.0;999;i
MP;mgninc999i;p0p100;2013;1004345536.0;999;i
MP;mgninc999i;p0p100;2014;1046301056.0;999;i
MP;mgninc999i;p0p100;2015;1081703168.0;999;i
MP;mgninc999i;p0p100;2016;1397691648.0;999;i
MP;mgninc999i;p0p100;2017;1721545216.0;999;i
MP;mgninc999i;p0p100;2018;1388512512.0;999;i
MP;mgninc999i;p0p100;2019;1233796736.0;999;i
MP;mgninc999i;p0p100;2020;1096320128.0;999;i
MP;mgninc999i;p0p100;2021;974160192.0;999;i
MP;anweal999i;p0p100;2002;38946.7;999;i
MP;anweal999i;p0p100;2003;42513.8;999;i
MP;anweal999i;p0p100;2004;44828.6;999;i
MP;anweal999i;p0p100;2005;41992.2;999;i
MP;anweal999i;p0p100;2006;42270.6;999;i
MP;anweal999i;p0p100;2007;42429.4;999;i
MP;anweal999i;p0p100;2008;39954.2;999;i
MP;anweal999i;p0p100;2009;34042.4;999;i
MP;anweal999i;p0p100;2010;36212.3;999;i
MP;anweal999i;p0p100;2011;34188.8;999;i
MP;anweal999i;p0p100;2012;35069.7;999;i
MP;anweal999i;p0p100;2013;36346.5;999;i
MP;anweal999i;p0p100;2014;38048.9;999;i
MP;anweal999i;p0p100;2015;39371.6;999;i
MP;anweal999i;p0p100;2016;52739.0;999;i
MP;anweal999i;p0p100;2017;67104.3;999;i
MP;anweal999i;p0p100;2018;53603.4;999;i
MP;anweal999i;p0p100;2019;48071.5;999;i
MP;anweal999i;p0p100;2020;43339.7;999;i
MP;anweal999i;p0p100;2021;39118.0;999;i
MP;mpweal999i;p0p100;2002;1829826916.0;999;i
MP;mpweal999i;p0p100;2003;1953904152.0;999;i
MP;mpweal999i;p0p100;2004;2008703568.0;999;i
MP;mpweal999i;p0p100;2005;1836812749.0;999;i
MP;mpweal999i;p0p100;2006;1810253789.0;999;i
MP;mpweal999i;p0p100;2007;1784097860.0;999;i
MP;mpweal999i;p0p100;2008;1657106453.0;999;i
MP;mpweal999i;p0p100;2009;1401509284.0;999;i
MP;mpweal999i;p0p100;2010;1490044476.0;999;i
MP;mpweal999i;p0p100;2011;1416599761.0;999;i
MP;mpweal999i;p0p100;2012;1473579922.0;999;i
MP;mpweal999i;p0p100;2013;1556547236.0;999;i
MP;mpweal999i;p0p100;2014;1664454228.0;999;i
MP;mpweal999i;p0p100;2015;1759366767.0;999;i
MP;mpweal999i;p0p100;2016;2405304375.0;999;i
MP;mpweal999i;p0p100;2017;3121561710.0;999;i
MP;mpweal999i;p0p100;2018;2540254937.0;999;i
MP;mpweal999i;p0p100;2019;2320607823.0;999;i
MP;mpweal999i;p0p100;2020;2130415046.0;999;i
MP;mpweal999i;p0p100;2021;1957418866.0;999;i
MP;xlcusx999i;p0p100;1960;1.0;999;i
MP;xlcusx999i;p0p100;1961;1.0;999;i
MP;xlcusx999i;p0p100;1962;1.0;999;i
MP;xlcusx999i;p0p100;1963;1.0;999;i
MP;xlcusx999i;p0p100;1964;1.0;999;i
MP;xlcusx999i;p0p100;1965;1.0;999;i
MP;xlcusx999i;p0p100;1966;1.0;999;i
MP;xlcusx999i;p0p100;1967;1.0;999;i
MP;xlcusx999i;p0p100;1968;1.0;999;i
MP;xlcusx999i;p0p100;1969;1.0;999;i
MP;xlcusx999i;p0p100;1970;1.0;999;i
MP;xlcusx999i;p0p100;1971;1.0;999;i
MP;xlcusx999i;p0p100;1972;1.0;999;i
MP;xlcusx999i;p0p100;1973;1.0;999;i
MP;xlcusx999i;p0p100;1974;1.0;999;i
MP;xlcusx999i;p0p100;1975;1.0;999;i
MP;xlcusx999i;p0p100;1976;1.0;999;i
MP;xlcusx999i;p0p100;1977;1.0;999;i
MP;xlcusx999i;p0p100;1978;1.0;999;i
