country;variable;percentile;year;value;age;pop
MS;agdpro999i;p0p100;1970;15361.8;999;i
MS;agdpro999i;p0p100;1971;15743.9;999;i
MS;agdpro999i;p0p100;1972;16008.0;999;i
MS;agdpro999i;p0p100;1973;16433.7;999;i
MS;agdpro999i;p0p100;1974;17036.5;999;i
MS;agdpro999i;p0p100;1975;17802.0;999;i
MS;agdpro999i;p0p100;1976;17527.6;999;i
MS;agdpro999i;p0p100;1977;17245.7;999;i
MS;agdpro999i;p0p100;1978;18597.5;999;i
MS;agdpro999i;p0p100;1979;20434.7;999;i
MS;agdpro999i;p0p100;1980;22327.9;999;i
MS;agdpro999i;p0p100;1981;23496.2;999;i
MS;agdpro999i;p0p100;1982;25106.9;999;i
MS;agdpro999i;p0p100;1983;24042.8;999;i
MS;agdpro999i;p0p100;1984;25214.8;999;i
MS;agdpro999i;p0p100;1985;27051.2;999;i
MS;agdpro999i;p0p100;1986;27993.5;999;i
MS;agdpro999i;p0p100;1987;29130.2;999;i
MS;agdpro999i;p0p100;1988;31867.4;999;i
MS;agdpro999i;p0p100;1989;32904.5;999;i
MS;agdpro999i;p0p100;1990;35213.6;999;i
MS;agdpro999i;p0p100;1991;32696.4;999;i
MS;agdpro999i;p0p100;1992;32670.6;999;i
MS;agdpro999i;p0p100;1993;32017.0;999;i
MS;agdpro999i;p0p100;1994;34681.4;999;i
MS;agdpro999i;p0p100;1995;33270.7;999;i
MS;agdpro999i;p0p100;1996;26820.1;999;i
MS;agdpro999i;p0p100;1997;23747.6;999;i
MS;agdpro999i;p0p100;1998;23066.4;999;i
MS;agdpro999i;p0p100;1999;25279.3;999;i
MS;agdpro999i;p0p100;2000;28454.5;999;i
MS;agdpro999i;p0p100;2001;30863.1;999;i
MS;agdpro999i;p0p100;2002;32322.8;999;i
MS;agdpro999i;p0p100;2003;31692.4;999;i
MS;agdpro999i;p0p100;2004;31990.8;999;i
MS;agdpro999i;p0p100;2005;32105.2;999;i
MS;agdpro999i;p0p100;2006;31505.0;999;i
MS;agdpro999i;p0p100;2007;32405.5;999;i
MS;agdpro999i;p0p100;2008;33911.6;999;i
MS;agdpro999i;p0p100;2009;33824.9;999;i
MS;agdpro999i;p0p100;2010;32816.9;999;i
MS;agdpro999i;p0p100;2011;34482.9;999;i
MS;agdpro999i;p0p100;2012;35385.9;999;i
MS;agdpro999i;p0p100;2013;36670.5;999;i
MS;agdpro999i;p0p100;2014;36920.2;999;i
MS;agdpro999i;p0p100;2015;37244.5;999;i
MS;agdpro999i;p0p100;2016;37019.9;999;i
MS;agdpro999i;p0p100;2017;36804.5;999;i
MS;agdpro999i;p0p100;2018;39175.0;999;i
MS;agdpro999i;p0p100;2019;41966.6;999;i
MS;agdpro999i;p0p100;2020;39719.0;999;i
MS;agdpro999i;p0p100;2021;37727.8;999;i
MS;arecgo999i;p0p100;1975;20.3;999;i
MS;arecgo999i;p0p100;1976;21.6;999;i
MS;arecgo999i;p0p100;1977;20.9;999;i
MS;arecgo999i;p0p100;1978;21.1;999;i
MS;arecgo999i;p0p100;1979;26.0;999;i
MS;arecgo999i;p0p100;1980;21.8;999;i
MS;arecgo999i;p0p100;1981;24.0;999;i
MS;arecgo999i;p0p100;1982;54.2;999;i
MS;arecgo999i;p0p100;1983;69.2;999;i
MS;arecgo999i;p0p100;1984;32.3;999;i
MS;arecgo999i;p0p100;1985;99.2;999;i
MS;mgdpro999i;p0p100;1970;177183505.0;999;i
MS;mgdpro999i;p0p100;1971;181322263.0;999;i
MS;mgdpro999i;p0p100;1972;184444261.0;999;i
MS;mgdpro999i;p0p100;1973;189530414.0;999;i
MS;mgdpro999i;p0p100;1974;196924454.0;999;i
MS;mgdpro999i;p0p100;1975;206147140.0;999;i
MS;mgdpro999i;p0p100;1976;203512893.0;999;i
MS;mgdpro999i;p0p100;1977;200878271.0;999;i
MS;mgdpro999i;p0p100;1978;217144693.0;999;i
MS;mgdpro999i;p0p100;1979;238452501.0;999;i
MS;mgdpro999i;p0p100;1980;259160085.0;999;i
MS;mgdpro999i;p0p100;1981;269759722.0;999;i
MS;mgdpro999i;p0p100;1982;283884144.0;999;i
MS;mgdpro999i;p0p100;1983;267043744.0;999;i
MS;mgdpro999i;p0p100;1984;275648371.0;999;i
MS;mgdpro999i;p0p100;1985;291936277.0;999;i
MS;mgdpro999i;p0p100;1986;299642872.0;999;i
MS;mgdpro999i;p0p100;1987;310498337.0;999;i
MS;mgdpro999i;p0p100;1988;339005889.0;999;i
MS;mgdpro999i;p0p100;1989;349840263.0;999;i
MS;mgdpro999i;p0p100;1990;373792590.0;999;i
MS;mgdpro999i;p0p100;1991;347628327.0;999;i
MS;mgdpro999i;p0p100;1992;348301462.0;999;i
MS;mgdpro999i;p0p100;1993;339411827.0;999;i
MS;mgdpro999i;p0p100;1994;359368555.0;999;i
MS;mgdpro999i;p0p100;1995;327650228.0;999;i
MS;mgdpro999i;p0p100;1996;241783266.0;999;i
MS;mgdpro999i;p0p100;1997;188318257.0;999;i
MS;mgdpro999i;p0p100;1998;155490489.0;999;i
MS;mgdpro999i;p0p100;1999;143889667.0;999;i
MS;mgdpro999i;p0p100;2000;140252078.0;999;i
MS;mgdpro999i;p0p100;2001;139809672.0;999;i
MS;mgdpro999i;p0p100;2002;143028386.0;999;i
MS;mgdpro999i;p0p100;2003;143725130.0;999;i
MS;mgdpro999i;p0p100;2004;150516557.0;999;i
MS;mgdpro999i;p0p100;2005;155228418.0;999;i
MS;mgdpro999i;p0p100;2006;154122395.0;999;i
MS;mgdpro999i;p0p100;2007;159110900.0;999;i
MS;mgdpro999i;p0p100;2008;166200858.0;999;i
MS;mgdpro999i;p0p100;2009;165437760.0;999;i
MS;mgdpro999i;p0p100;2010;160770005.0;999;i
MS;mgdpro999i;p0p100;2011;169552424.0;999;i
MS;mgdpro999i;p0p100;2012;174452414.0;999;i
MS;mgdpro999i;p0p100;2013;181299069.0;999;i
MS;mgdpro999i;p0p100;2014;183013304.0;999;i
MS;mgdpro999i;p0p100;2015;184993225.0;999;i
MS;mgdpro999i;p0p100;2016;184396073.0;999;i
MS;mgdpro999i;p0p100;2017;183433595.0;999;i
MS;mgdpro999i;p0p100;2018;195600781.0;999;i
MS;mgdpro999i;p0p100;2019;209371359.0;999;i
MS;mgdpro999i;p0p100;2020;198277413.0;999;i
MS;mgdpro999i;p0p100;2021;187771328.0;999;i
MS;mgninc999i;p0p100;1970;177183504.0;999;i
MS;mgninc999i;p0p100;1971;181322256.0;999;i
MS;mgninc999i;p0p100;1972;184444256.0;999;i
MS;mgninc999i;p0p100;1973;189530416.0;999;i
MS;mgninc999i;p0p100;1974;196924448.0;999;i
MS;mgninc999i;p0p100;1975;206147136.0;999;i
MS;mgninc999i;p0p100;1976;203512896.0;999;i
MS;mgninc999i;p0p100;1977;200878272.0;999;i
MS;mgninc999i;p0p100;1978;217144688.0;999;i
MS;mgninc999i;p0p100;1979;238452496.0;999;i
MS;mgninc999i;p0p100;1980;259160080.0;999;i
MS;mgninc999i;p0p100;1981;269759712.0;999;i
MS;mgninc999i;p0p100;1982;283884160.0;999;i
MS;mgninc999i;p0p100;1983;267043744.0;999;i
MS;mgninc999i;p0p100;1984;275648384.0;999;i
MS;mgninc999i;p0p100;1985;291936288.0;999;i
MS;mgninc999i;p0p100;1986;293042560.0;999;i
MS;mgninc999i;p0p100;1987;303728672.0;999;i
MS;mgninc999i;p0p100;1988;337246368.0;999;i
MS;mgninc999i;p0p100;1989;345481952.0;999;i
MS;mgninc999i;p0p100;1990;367707040.0;999;i
MS;mgninc999i;p0p100;1991;338647680.0;999;i
MS;mgninc999i;p0p100;1992;342508928.0;999;i
MS;mgninc999i;p0p100;1993;321705248.0;999;i
MS;mgninc999i;p0p100;1994;337348832.0;999;i
MS;mgninc999i;p0p100;1995;316730112.0;999;i
MS;mgninc999i;p0p100;1996;235261152.0;999;i
MS;mgninc999i;p0p100;1997;178224480.0;999;i
MS;mgninc999i;p0p100;1998;148293712.0;999;i
MS;mgninc999i;p0p100;1999;120621160.0;999;i
MS;mgninc999i;p0p100;2000;129522928.0;999;i
MS;mgninc999i;p0p100;2001;137076608.0;999;i
MS;mgninc999i;p0p100;2002;131578320.0;999;i
MS;mgninc999i;p0p100;2003;139330224.0;999;i
MS;mgninc999i;p0p100;2004;138839360.0;999;i
MS;mgninc999i;p0p100;2005;146179712.0;999;i
MS;mgninc999i;p0p100;2006;148291744.0;999;i
MS;mgninc999i;p0p100;2007;148068992.0;999;i
MS;mgninc999i;p0p100;2008;153225392.0;999;i
MS;mgninc999i;p0p100;2009;155202736.0;999;i
MS;mgninc999i;p0p100;2010;149519200.0;999;i
MS;mgninc999i;p0p100;2011;159776320.0;999;i
MS;mgninc999i;p0p100;2012;165850064.0;999;i
MS;mgninc999i;p0p100;2013;171691952.0;999;i
MS;mgninc999i;p0p100;2014;182698368.0;999;i
MS;mgninc999i;p0p100;2015;185626544.0;999;i
MS;mgninc999i;p0p100;2016;185566464.0;999;i
MS;mgninc999i;p0p100;2017;184274592.0;999;i
MS;mgninc999i;p0p100;2018;196463408.0;999;i
MS;mgninc999i;p0p100;2019;210294720.0;999;i
MS;mgninc999i;p0p100;2020;199746144.0;999;i
MS;mgninc999i;p0p100;2021;189162224.0;999;i
MS;aflcin999i;p0p100;1986;-616.6;999;i
MS;aflcin999i;p0p100;1987;-635.1;999;i
MS;aflcin999i;p0p100;1988;-165.4;999;i
MS;aflcin999i;p0p100;1989;-409.9;999;i
MS;aflcin999i;p0p100;1990;-573.3;999;i
MS;aflcin999i;p0p100;1991;-844.7;999;i
MS;aflcin999i;p0p100;1992;-543.3;999;i
MS;aflcin999i;p0p100;1993;-1670.3;999;i
MS;aflcin999i;p0p100;1994;-2125.0;999;i
MS;aflcin999i;p0p100;1995;-1108.9;999;i
MS;aflcin999i;p0p100;1996;-723.5;999;i
MS;aflcin999i;p0p100;1997;-1272.9;999;i
