country;variable;percentile;year;value;age;pop
NR;apinrx999i;p0p100;2008;753.1;999;i
NR;apinrx999i;p0p100;2009;575.8;999;i
NR;apinrx999i;p0p100;2010;699.9;999;i
NR;apinrx999i;p0p100;2011;602.1;999;i
NR;apinrx999i;p0p100;2012;547.7;999;i
NR;apinrx999i;p0p100;2013;772.8;999;i
NR;apinrx999i;p0p100;2014;252.1;999;i
NR;apinrx999i;p0p100;2015;262.8;999;i
NR;apinrx999i;p0p100;2016;217.9;999;i
NR;apinrx999i;p0p100;2017;123.0;999;i
NR;apinrx999i;p0p100;2018;155.8;999;i
NR;wwealh999i;p0p100;1995;0.375284045934677;999;i
NR;wwealh999i;p0p100;1996;0.418511033058167;999;i
NR;wwealh999i;p0p100;1997;0.465900212526321;999;i
NR;wwealh999i;p0p100;1998;0.509873151779175;999;i
NR;wwealh999i;p0p100;1999;0.549913048744202;999;i
NR;wwealh999i;p0p100;2000;0.603486716747284;999;i
NR;wwealh999i;p0p100;2001;0.664374947547913;999;i
NR;wwealh999i;p0p100;2002;0.72261255979538;999;i
NR;wwealh999i;p0p100;2003;0.778162240982056;999;i
NR;wwealh999i;p0p100;2004;0.839455902576447;999;i
NR;wwealh999i;p0p100;2005;0.908376693725586;999;i
NR;wwealh999i;p0p100;2006;0.984821200370789;999;i
NR;wwealh999i;p0p100;2007;1.04958522319794;999;i
NR;wwealh999i;p0p100;2008;1.09651207923889;999;i
NR;wwealh999i;p0p100;2009;1.15278828144074;999;i
NR;wwealh999i;p0p100;2010;1.20680177211761;999;i
NR;wwealh999i;p0p100;2011;1.25177681446075;999;i
NR;wwealh999i;p0p100;2012;1.29947412014008;999;i
NR;wwealh999i;p0p100;2013;1.35492241382599;999;i
NR;wwealh999i;p0p100;2014;1.4141241312027;999;i
NR;wwealh999i;p0p100;2015;1.47221457958221;999;i
NR;wwealh999i;p0p100;2016;1.53734910488129;999;i
NR;wwealh999i;p0p100;2017;1.60564255714417;999;i
NR;wwealh999i;p0p100;2018;1.67925345897675;999;i
NR;wwealh999i;p0p100;2019;1.75636148452759;999;i
NR;wwealh999i;p0p100;2020;1.83538329601288;999;i
NR;wwealh999i;p0p100;2021;1.91512405872345;999;i
NR;aptfrr999i;p0p100;1970;0.0;999;i
NR;aptfrr999i;p0p100;1971;0.0;999;i
NR;aptfrr999i;p0p100;1972;0.0;999;i
NR;aptfrr999i;p0p100;1973;0.0;999;i
NR;aptfrr999i;p0p100;1974;0.0;999;i
NR;aptfrr999i;p0p100;1975;0.0;999;i
NR;aptfrr999i;p0p100;1976;0.0;999;i
NR;aptfrr999i;p0p100;1977;0.0;999;i
NR;aptfrr999i;p0p100;1978;0.0;999;i
NR;aptfrr999i;p0p100;1979;0.0;999;i
NR;aptfrr999i;p0p100;1980;0.0;999;i
NR;aptfrr999i;p0p100;1981;0.0;999;i
NR;aptfrr999i;p0p100;1982;0.0;999;i
NR;aptfrr999i;p0p100;1983;0.0;999;i
NR;aptfrr999i;p0p100;1984;0.0;999;i
NR;aptfrr999i;p0p100;1985;0.0;999;i
NR;aptfrr999i;p0p100;1986;0.0;999;i
NR;aptfrr999i;p0p100;1987;0.0;999;i
NR;aptfrr999i;p0p100;1988;0.0;999;i
NR;aptfrr999i;p0p100;1989;0.0;999;i
NR;aptfrr999i;p0p100;1990;0.0;999;i
NR;aptfrr999i;p0p100;1991;0.0;999;i
NR;aptfrr999i;p0p100;1992;0.0;999;i
NR;aptfrr999i;p0p100;1993;0.0;999;i
NR;aptfrr999i;p0p100;1994;0.0;999;i
NR;aptfrr999i;p0p100;1995;0.0;999;i
NR;aptfrr999i;p0p100;1996;0.0;999;i
NR;aptfrr999i;p0p100;1997;0.0;999;i
NR;aptfrr999i;p0p100;1998;0.0;999;i
NR;aptfrr999i;p0p100;1999;0.0;999;i
NR;aptfrr999i;p0p100;2000;0.0;999;i
NR;aptfrr999i;p0p100;2001;0.0;999;i
NR;aptfrr999i;p0p100;2002;0.0;999;i
NR;aptfrr999i;p0p100;2003;0.0;999;i
NR;aptfrr999i;p0p100;2004;0.0;999;i
NR;aptfrr999i;p0p100;2005;0.0;999;i
NR;aptfrr999i;p0p100;2006;0.0;999;i
NR;aptfrr999i;p0p100;2007;0.0;999;i
NR;aptfrr999i;p0p100;2008;0.0;999;i
NR;aptfrr999i;p0p100;2009;0.0;999;i
NR;aptfrr999i;p0p100;2010;0.0;999;i
NR;aptfrr999i;p0p100;2011;0.0;999;i
NR;aptfrr999i;p0p100;2012;0.0;999;i
NR;aptfrr999i;p0p100;2013;0.0;999;i
NR;aptfrr999i;p0p100;2014;0.0;999;i
NR;aptfrr999i;p0p100;2015;0.0;999;i
NR;aptfrr999i;p0p100;2016;0.0;999;i
NR;aptfrr999i;p0p100;2017;0.0;999;i
NR;aptfrr999i;p0p100;2018;0.0;999;i
NR;aptfrr999i;p0p100;2019;0.0;999;i
NR;aptfrr999i;p0p100;2020;0.0;999;i
NR;aptfrr999i;p0p100;2021;0.0;999;i
NR;mptfpx999i;p0p100;2008;7933642.0;999;i
NR;mptfpx999i;p0p100;2009;5226805.0;999;i
NR;mptfpx999i;p0p100;2010;4785203.0;999;i
NR;mptfpx999i;p0p100;2011;3843178.0;999;i
NR;mptfpx999i;p0p100;2012;3031082.0;999;i
