country;variable;percentile;year;value;age;pop
OA-MER;ahweal992j;p57p100;1995;4053.1;992;j
OA-MER;ahweal992j;p57p100;1996;3905.9;992;j
OA-MER;ahweal992j;p57p100;1997;4026.4;992;j
OA-MER;ahweal992j;p57p100;1998;4046.5;992;j
OA-MER;ahweal992j;p57p100;1999;4126.7;992;j
OA-MER;ahweal992j;p57p100;2000;4418.1;992;j
OA-MER;ahweal992j;p57p100;2001;5103.2;992;j
OA-MER;ahweal992j;p57p100;2002;5654.5;992;j
OA-MER;ahweal992j;p57p100;2003;6258.1;992;j
OA-MER;ahweal992j;p57p100;2004;7097.6;992;j
OA-MER;ahweal992j;p57p100;2005;7790.4;992;j
OA-MER;ahweal992j;p57p100;2006;8585.4;992;j
OA-MER;ahweal992j;p57p100;2007;9669.0;992;j
OA-MER;ahweal992j;p57p100;2008;10282.4;992;j
OA-MER;ahweal992j;p57p100;2009;9708.2;992;j
OA-MER;ahweal992j;p57p100;2010;10343.5;992;j
OA-MER;ahweal992j;p57p100;2011;11315.4;992;j
OA-MER;ahweal992j;p57p100;2012;11764.3;992;j
OA-MER;ahweal992j;p57p100;2013;12475.1;992;j
OA-MER;ahweal992j;p57p100;2014;12684.9;992;j
OA-MER;ahweal992j;p57p100;2015;13783.9;992;j
OA-MER;ahweal992j;p57p100;2016;14062.6;992;j
OA-MER;ahweal992j;p57p100;2017;15198.8;992;j
OA-MER;ahweal992j;p57p100;2018;16132.1;992;j
OA-MER;ahweal992j;p57p100;2019;17449.5;992;j
OA-MER;ahweal992j;p57p100;2020;17259.5;992;j
OA-MER;ahweal992j;p57p100;2021;18682.0;992;j
OA-MER;ahweal992j;p92p93;1995;4838.3;992;j
OA-MER;ahweal992j;p92p93;1996;4659.0;992;j
OA-MER;ahweal992j;p92p93;1997;4997.5;992;j
OA-MER;ahweal992j;p92p93;1998;4997.1;992;j
OA-MER;ahweal992j;p92p93;1999;5016.3;992;j
OA-MER;ahweal992j;p92p93;2000;5323.8;992;j
OA-MER;ahweal992j;p92p93;2001;6059.2;992;j
OA-MER;ahweal992j;p92p93;2002;6777.1;992;j
OA-MER;ahweal992j;p92p93;2003;7609.6;992;j
OA-MER;ahweal992j;p92p93;2004;8633.9;992;j
OA-MER;ahweal992j;p92p93;2005;9199.1;992;j
OA-MER;ahweal992j;p92p93;2006;10338.2;992;j
OA-MER;ahweal992j;p92p93;2007;11114.0;992;j
OA-MER;ahweal992j;p92p93;2008;11878.4;992;j
OA-MER;ahweal992j;p92p93;2009;11333.5;992;j
OA-MER;ahweal992j;p92p93;2010;11641.9;992;j
OA-MER;ahweal992j;p92p93;2011;12705.6;992;j
OA-MER;ahweal992j;p92p93;2012;13286.2;992;j
OA-MER;ahweal992j;p92p93;2013;14534.3;992;j
OA-MER;ahweal992j;p92p93;2014;14346.4;992;j
OA-MER;ahweal992j;p92p93;2015;16271.6;992;j
OA-MER;ahweal992j;p92p93;2016;16344.8;992;j
OA-MER;ahweal992j;p92p93;2017;17555.5;992;j
OA-MER;ahweal992j;p92p93;2018;18423.0;992;j
OA-MER;ahweal992j;p92p93;2019;20083.3;992;j
OA-MER;ahweal992j;p92p93;2020;20038.1;992;j
OA-MER;ahweal992j;p92p93;2021;21435.7;992;j
OA-MER;aptinc992j;p42p43;1980;2387.1;992;j
OA-MER;aptinc992j;p42p43;1981;2361.4;992;j
OA-MER;aptinc992j;p42p43;1982;2342.5;992;j
OA-MER;aptinc992j;p42p43;1983;2299.2;992;j
OA-MER;aptinc992j;p42p43;1984;2273.3;992;j
OA-MER;aptinc992j;p42p43;1985;2252.8;992;j
OA-MER;aptinc992j;p42p43;1986;2229.0;992;j
OA-MER;aptinc992j;p42p43;1987;2202.1;992;j
OA-MER;aptinc992j;p42p43;1988;2258.4;992;j
OA-MER;aptinc992j;p42p43;1989;2346.2;992;j
OA-MER;aptinc992j;p42p43;1990;2277.5;992;j
OA-MER;aptinc992j;p42p43;1991;2073.0;992;j
OA-MER;aptinc992j;p42p43;1992;1766.6;992;j
OA-MER;aptinc992j;p42p43;1993;1469.2;992;j
OA-MER;aptinc992j;p42p43;1994;1182.1;992;j
OA-MER;aptinc992j;p42p43;1995;1021.2;992;j
OA-MER;aptinc992j;p42p43;1996;1065.5;992;j
OA-MER;aptinc992j;p42p43;1997;1110.2;992;j
OA-MER;aptinc992j;p42p43;1998;1143.7;992;j
OA-MER;aptinc992j;p42p43;1999;1179.9;992;j
OA-MER;aptinc992j;p42p43;2000;1207.7;992;j
OA-MER;aptinc992j;p42p43;2001;1250.7;992;j
OA-MER;aptinc992j;p42p43;2002;1335.4;992;j
OA-MER;aptinc992j;p42p43;2003;1444.9;992;j
OA-MER;aptinc992j;p42p43;2004;1553.8;992;j
OA-MER;aptinc992j;p42p43;2005;1704.6;992;j
OA-MER;aptinc992j;p42p43;2006;1821.6;992;j
OA-MER;aptinc992j;p42p43;2007;2018.2;992;j
OA-MER;aptinc992j;p42p43;2008;2213.7;992;j
OA-MER;aptinc992j;p42p43;2009;2028.7;992;j
OA-MER;aptinc992j;p42p43;2010;2181.6;992;j
OA-MER;aptinc992j;p42p43;2011;2297.5;992;j
OA-MER;aptinc992j;p42p43;2012;2412.6;992;j
OA-MER;aptinc992j;p42p43;2013;2463.1;992;j
OA-MER;aptinc992j;p42p43;2014;2210.3;992;j
OA-MER;aptinc992j;p42p43;2015;2105.2;992;j
OA-MER;aptinc992j;p42p43;2016;2008.6;992;j
OA-MER;aptinc992j;p42p43;2017;2069.9;992;j
OA-MER;aptinc992j;p42p43;2018;2164.3;992;j
OA-MER;aptinc992j;p42p43;2019;2247.1;992;j
OA-MER;aptinc992j;p42p43;2020;2154.4;992;j
OA-MER;aptinc992j;p42p43;2021;2230.1;992;j
OA-MER;aptinc992j;p82p83;1980;6762.4;992;j
OA-MER;aptinc992j;p82p83;1981;6674.8;992;j
OA-MER;aptinc992j;p82p83;1982;6619.5;992;j
OA-MER;aptinc992j;p82p83;1983;6527.4;992;j
OA-MER;aptinc992j;p82p83;1984;6479.1;992;j
OA-MER;aptinc992j;p82p83;1985;6408.9;992;j
OA-MER;aptinc992j;p82p83;1986;6259.3;992;j
OA-MER;aptinc992j;p82p83;1987;6228.8;992;j
OA-MER;aptinc992j;p82p83;1988;6402.8;992;j
OA-MER;aptinc992j;p82p83;1989;6643.1;992;j
OA-MER;aptinc992j;p82p83;1990;6414.2;992;j
OA-MER;aptinc992j;p82p83;1991;5832.4;992;j
OA-MER;aptinc992j;p82p83;1992;5073.1;992;j
OA-MER;aptinc992j;p82p83;1993;4233.1;992;j
OA-MER;aptinc992j;p82p83;1994;3421.5;992;j
OA-MER;aptinc992j;p82p83;1995;3018.3;992;j
OA-MER;aptinc992j;p82p83;1996;2804.8;992;j
OA-MER;aptinc992j;p82p83;1997;2811.5;992;j
OA-MER;aptinc992j;p82p83;1998;2804.9;992;j
OA-MER;aptinc992j;p82p83;1999;2873.6;992;j
OA-MER;aptinc992j;p82p83;2000;3008.3;992;j
OA-MER;aptinc992j;p82p83;2001;3332.2;992;j
OA-MER;aptinc992j;p82p83;2002;3516.6;992;j
OA-MER;aptinc992j;p82p83;2003;3850.4;992;j
OA-MER;aptinc992j;p82p83;2004;4358.3;992;j
OA-MER;aptinc992j;p82p83;2005;4584.4;992;j
OA-MER;aptinc992j;p82p83;2006;4934.4;992;j
OA-MER;aptinc992j;p82p83;2007;5492.1;992;j
OA-MER;aptinc992j;p82p83;2008;5708.5;992;j
OA-MER;aptinc992j;p82p83;2009;5104.3;992;j
OA-MER;aptinc992j;p82p83;2010;5372.3;992;j
OA-MER;aptinc992j;p82p83;2011;5646.3;992;j
OA-MER;aptinc992j;p82p83;2012;5700.4;992;j
OA-MER;aptinc992j;p82p83;2013;5800.3;992;j
OA-MER;aptinc992j;p82p83;2014;5755.9;992;j
OA-MER;aptinc992j;p82p83;2015;5761.6;992;j
OA-MER;aptinc992j;p82p83;2016;5528.6;992;j
OA-MER;aptinc992j;p82p83;2017;5779.8;992;j
OA-MER;aptinc992j;p82p83;2018;5862.1;992;j
OA-MER;aptinc992j;p82p83;2019;6076.1;992;j
OA-MER;aptinc992j;p82p83;2020;5833.0;992;j
OA-MER;aptinc992j;p82p83;2021;6017.0;992;j
OA-MER;aptinc992j;p99.3p99.4;1980;35135.3;992;j
OA-MER;aptinc992j;p99.3p99.4;1981;34905.7;992;j
OA-MER;aptinc992j;p99.3p99.4;1982;34493.8;992;j
OA-MER;aptinc992j;p99.3p99.4;1983;34436.3;992;j
OA-MER;aptinc992j;p99.3p99.4;1984;33968.5;992;j
OA-MER;aptinc992j;p99.3p99.4;1985;33822.7;992;j
