country;variable;percentile;year;value;age;pop
OA;aptinc992j;p18p19;1980;2629.3;992;j
OA;aptinc992j;p18p19;1981;2545.5;992;j
OA;aptinc992j;p18p19;1982;2463.8;992;j
OA;aptinc992j;p18p19;1983;2387.0;992;j
OA;aptinc992j;p18p19;1984;2355.8;992;j
OA;aptinc992j;p18p19;1985;2311.2;992;j
OA;aptinc992j;p18p19;1986;2231.0;992;j
OA;aptinc992j;p18p19;1987;2189.8;992;j
OA;aptinc992j;p18p19;1988;2289.6;992;j
OA;aptinc992j;p18p19;1989;2307.8;992;j
OA;aptinc992j;p18p19;1990;2313.0;992;j
OA;aptinc992j;p18p19;1991;2148.9;992;j
OA;aptinc992j;p18p19;1992;1713.5;992;j
OA;aptinc992j;p18p19;1993;1440.8;992;j
OA;aptinc992j;p18p19;1994;1207.9;992;j
OA;aptinc992j;p18p19;1995;1117.5;992;j
OA;aptinc992j;p18p19;1996;1135.5;992;j
OA;aptinc992j;p18p19;1997;1160.1;992;j
OA;aptinc992j;p18p19;1998;1224.1;992;j
OA;aptinc992j;p18p19;1999;1302.6;992;j
OA;aptinc992j;p18p19;2000;1396.6;992;j
OA;aptinc992j;p18p19;2001;1467.0;992;j
OA;aptinc992j;p18p19;2002;1529.4;992;j
OA;aptinc992j;p18p19;2003;1581.7;992;j
OA;aptinc992j;p18p19;2004;1666.3;992;j
OA;aptinc992j;p18p19;2005;1737.4;992;j
OA;aptinc992j;p18p19;2006;1848.0;992;j
OA;aptinc992j;p18p19;2007;2005.2;992;j
OA;aptinc992j;p18p19;2008;2125.3;992;j
OA;aptinc992j;p18p19;2009;2131.8;992;j
OA;aptinc992j;p18p19;2010;2166.4;992;j
OA;aptinc992j;p18p19;2011;2266.7;992;j
OA;aptinc992j;p18p19;2012;2387.1;992;j
OA;aptinc992j;p18p19;2013;2429.3;992;j
OA;aptinc992j;p18p19;2014;2504.7;992;j
OA;aptinc992j;p18p19;2015;2511.7;992;j
OA;aptinc992j;p18p19;2016;2534.1;992;j
OA;aptinc992j;p18p19;2017;2573.3;992;j
OA;aptinc992j;p18p19;2018;2682.2;992;j
OA;aptinc992j;p18p19;2019;2741.2;992;j
OA;aptinc992j;p18p19;2020;2658.2;992;j
OA;aptinc992j;p18p19;2021;2754.4;992;j
OA;aptinc992j;p36p37;1980;5739.3;992;j
OA;aptinc992j;p36p37;1981;5625.1;992;j
OA;aptinc992j;p36p37;1982;5543.2;992;j
OA;aptinc992j;p36p37;1983;5511.3;992;j
OA;aptinc992j;p36p37;1984;5474.8;992;j
OA;aptinc992j;p36p37;1985;5385.1;992;j
OA;aptinc992j;p36p37;1986;5280.2;992;j
OA;aptinc992j;p36p37;1987;5232.8;992;j
OA;aptinc992j;p36p37;1988;5371.2;992;j
OA;aptinc992j;p36p37;1989;5482.0;992;j
OA;aptinc992j;p36p37;1990;5417.5;992;j
OA;aptinc992j;p36p37;1991;5064.9;992;j
OA;aptinc992j;p36p37;1992;4166.8;992;j
OA;aptinc992j;p36p37;1993;3556.8;992;j
OA;aptinc992j;p36p37;1994;2860.4;992;j
OA;aptinc992j;p36p37;1995;2472.1;992;j
OA;aptinc992j;p36p37;1996;2620.5;992;j
OA;aptinc992j;p36p37;1997;2688.7;992;j
OA;aptinc992j;p36p37;1998;2790.2;992;j
OA;aptinc992j;p36p37;1999;2897.0;992;j
OA;aptinc992j;p36p37;2000;2962.4;992;j
OA;aptinc992j;p36p37;2001;3077.5;992;j
OA;aptinc992j;p36p37;2002;3262.9;992;j
OA;aptinc992j;p36p37;2003;3541.5;992;j
OA;aptinc992j;p36p37;2004;3776.0;992;j
OA;aptinc992j;p36p37;2005;4024.6;992;j
OA;aptinc992j;p36p37;2006;4340.9;992;j
OA;aptinc992j;p36p37;2007;4751.5;992;j
OA;aptinc992j;p36p37;2008;5230.6;992;j
OA;aptinc992j;p36p37;2009;5017.3;992;j
OA;aptinc992j;p36p37;2010;5252.6;992;j
OA;aptinc992j;p36p37;2011;5429.1;992;j
OA;aptinc992j;p36p37;2012;5671.8;992;j
OA;aptinc992j;p36p37;2013;5804.3;992;j
OA;aptinc992j;p36p37;2014;5562.7;992;j
OA;aptinc992j;p36p37;2015;5296.5;992;j
OA;aptinc992j;p36p37;2016;5069.0;992;j
OA;aptinc992j;p36p37;2017;5247.2;992;j
OA;aptinc992j;p36p37;2018;5520.7;992;j
OA;aptinc992j;p36p37;2019;5723.2;992;j
OA;aptinc992j;p36p37;2020;5468.9;992;j
OA;aptinc992j;p36p37;2021;5693.6;992;j
OA;aptinc992j;p91p92;1980;26479.7;992;j
OA;aptinc992j;p91p92;1981;26073.7;992;j
OA;aptinc992j;p91p92;1982;25731.9;992;j
OA;aptinc992j;p91p92;1983;25682.8;992;j
OA;aptinc992j;p91p92;1984;25341.5;992;j
OA;aptinc992j;p91p92;1985;25131.5;992;j
OA;aptinc992j;p91p92;1986;24783.4;992;j
OA;aptinc992j;p91p92;1987;24654.6;992;j
OA;aptinc992j;p91p92;1988;24866.8;992;j
OA;aptinc992j;p91p92;1989;26167.9;992;j
OA;aptinc992j;p91p92;1990;25433.4;992;j
OA;aptinc992j;p91p92;1991;22734.1;992;j
OA;aptinc992j;p91p92;1992;19966.3;992;j
OA;aptinc992j;p91p92;1993;16604.2;992;j
OA;aptinc992j;p91p92;1994;13510.0;992;j
OA;aptinc992j;p91p92;1995;12087.4;992;j
OA;aptinc992j;p91p92;1996;11459.1;992;j
OA;aptinc992j;p91p92;1997;11531.4;992;j
OA;aptinc992j;p91p92;1998;11302.2;992;j
OA;aptinc992j;p91p92;1999;11336.6;992;j
OA;aptinc992j;p91p92;2000;11862.7;992;j
OA;aptinc992j;p91p92;2001;13230.9;992;j
OA;aptinc992j;p91p92;2002;13930.3;992;j
OA;aptinc992j;p91p92;2003;15505.2;992;j
OA;aptinc992j;p91p92;2004;16974.4;992;j
OA;aptinc992j;p91p92;2005;17807.7;992;j
OA;aptinc992j;p91p92;2006;19324.5;992;j
OA;aptinc992j;p91p92;2007;20656.7;992;j
OA;aptinc992j;p91p92;2008;21691.1;992;j
OA;aptinc992j;p91p92;2009;20122.8;992;j
OA;aptinc992j;p91p92;2010;21197.7;992;j
OA;aptinc992j;p91p92;2011;22087.6;992;j
OA;aptinc992j;p91p92;2012;22516.0;992;j
OA;aptinc992j;p91p92;2013;22748.3;992;j
OA;aptinc992j;p91p92;2014;23132.0;992;j
OA;aptinc992j;p91p92;2015;23493.3;992;j
OA;aptinc992j;p91p92;2016;22638.0;992;j
OA;aptinc992j;p91p92;2017;23330.1;992;j
OA;aptinc992j;p91p92;2018;24015.6;992;j
OA;aptinc992j;p91p92;2019;24794.7;992;j
OA;aptinc992j;p91p92;2020;23782.9;992;j
OA;aptinc992j;p91p92;2021;24489.3;992;j
OA;bhweal992j;p45p100;1995;5.88669109344482;992;j
OA;bhweal992j;p45p100;1996;5.92264795303345;992;j
OA;bhweal992j;p45p100;1997;6.0279598236084;992;j
OA;bhweal992j;p45p100;1998;6.06874656677246;992;j
OA;bhweal992j;p45p100;1999;6.13538551330566;992;j
OA;bhweal992j;p45p100;2000;6.00338935852051;992;j
OA;bhweal992j;p45p100;2001;6.12385272979736;992;j
OA;bhweal992j;p45p100;2002;6.14340543746948;992;j
OA;bhweal992j;p45p100;2003;6.10440683364868;992;j
OA;bhweal992j;p45p100;2004;6.0718092918396;992;j
OA;bhweal992j;p45p100;2005;6.21273708343506;992;j
OA;bhweal992j;p45p100;2006;6.13615369796753;992;j
OA;bhweal992j;p45p100;2007;6.28040504455566;992;j
OA;bhweal992j;p45p100;2008;6.33686828613281;992;j
OA;bhweal992j;p45p100;2009;6.24301528930664;992;j
OA;bhweal992j;p45p100;2010;6.32527112960815;992;j
OA;bhweal992j;p45p100;2011;6.30606317520142;992;j
OA;bhweal992j;p45p100;2012;6.43703031539917;992;j
OA;bhweal992j;p45p100;2013;6.4851713180542;992;j
OA;bhweal992j;p45p100;2014;6.48704481124878;992;j
OA;bhweal992j;p45p100;2015;6.46928310394287;992;j
OA;bhweal992j;p45p100;2016;6.33919763565063;992;j
OA;bhweal992j;p45p100;2017;6.40407085418701;992;j
OA;bhweal992j;p45p100;2018;6.47513294219971;992;j
OA;bhweal992j;p45p100;2019;6.46158027648926;992;j
OA;bhweal992j;p45p100;2020;6.41688585281372;992;j
OA;bhweal992j;p45p100;2021;6.54780149459839;992;j
OA;bhweal992j;p7p100;1995;-45.0246963500977;992;j
OA;bhweal992j;p7p100;1996;-39.4943313598633;992;j
OA;bhweal992j;p7p100;1997;-40.0966720581055;992;j
OA;bhweal992j;p7p100;1998;-41.6696090698242;992;j
OA;bhweal992j;p7p100;1999;-42.1743774414062;992;j
OA;bhweal992j;p7p100;2000;-41.1210823059082;992;j
OA;bhweal992j;p7p100;2001;-41.9007797241211;992;j
OA;bhweal992j;p7p100;2002;-41.893684387207;992;j
OA;bhweal992j;p7p100;2003;-44.2068023681641;992;j
OA;bhweal992j;p7p100;2004;-44.9671974182129;992;j
OA;bhweal992j;p7p100;2005;-46.941951751709;992;j
OA;bhweal992j;p7p100;2006;-46.1670913696289;992;j
OA;bhweal992j;p7p100;2007;-47.1312980651855;992;j
OA;bhweal992j;p7p100;2008;-49.2338447570801;992;j
OA;bhweal992j;p7p100;2009;-40.6286430358887;992;j
OA;bhweal992j;p7p100;2010;-42.717170715332;992;j
OA;bhweal992j;p7p100;2011;-42.1024131774902;992;j
OA;bhweal992j;p7p100;2012;-42.8772315979004;992;j
OA;bhweal992j;p7p100;2013;-42.0358238220215;992;j
OA;bhweal992j;p7p100;2014;-42.8546409606934;992;j
OA;bhweal992j;p7p100;2015;-42.7280044555664;992;j
OA;bhweal992j;p7p100;2016;-42.1590232849121;992;j
OA;bhweal992j;p7p100;2017;-42.1163139343262;992;j
OA;bhweal992j;p7p100;2018;-42.6180839538574;992;j
OA;bhweal992j;p7p100;2019;-42.168140411377;992;j
OA;bhweal992j;p7p100;2020;-42.0667762756348;992;j
OA;bhweal992j;p7p100;2021;-42.5311889648438;992;j
OA;bptinc992j;p40p100;1980;3.0090765953064;992;j
OA;bptinc992j;p40p100;1981;3.00902700424194;992;j
OA;bptinc992j;p40p100;1982;3.00923871994019;992;j
OA;bptinc992j;p40p100;1983;2.99912142753601;992;j
OA;bptinc992j;p40p100;1984;2.98090600967407;992;j
OA;bptinc992j;p40p100;1985;2.99025249481201;992;j
OA;bptinc992j;p40p100;1986;2.99119472503662;992;j
OA;bptinc992j;p40p100;1987;2.9873034954071;992;j
OA;bptinc992j;p40p100;1988;2.98733186721802;992;j
OA;bptinc992j;p40p100;1989;3.04898619651794;992;j
OA;bptinc992j;p40p100;1990;3.00619912147522;992;j
OA;bptinc992j;p40p100;1991;2.97165012359619;992;j
OA;bptinc992j;p40p100;1992;3.04051899909973;992;j
OA;bptinc992j;p40p100;1993;3.00456762313843;992;j
