country;variable;percentile;year;value;age;pop
OB-MER;ahweal992j;p99.1p99.2;1995;455725.0;992;j
OB-MER;ahweal992j;p99.1p99.2;1996;464563.1;992;j
OB-MER;ahweal992j;p99.1p99.2;1997;505700.2;992;j
OB-MER;ahweal992j;p99.1p99.2;1998;515327.4;992;j
OB-MER;ahweal992j;p99.1p99.2;1999;544379.3;992;j
OB-MER;ahweal992j;p99.1p99.2;2000;577887.8;992;j
OB-MER;ahweal992j;p99.1p99.2;2001;570506.8;992;j
OB-MER;ahweal992j;p99.1p99.2;2002;604865.9;992;j
OB-MER;ahweal992j;p99.1p99.2;2003;651801.4;992;j
OB-MER;ahweal992j;p99.1p99.2;2004;699318.8;992;j
OB-MER;ahweal992j;p99.1p99.2;2005;760027.7;992;j
OB-MER;ahweal992j;p99.1p99.2;2006;832475.2;992;j
OB-MER;ahweal992j;p99.1p99.2;2007;901333.5;992;j
OB-MER;ahweal992j;p99.1p99.2;2008;926878.5;992;j
OB-MER;ahweal992j;p99.1p99.2;2009;939671.5;992;j
OB-MER;ahweal992j;p99.1p99.2;2010;1016394.8;992;j
OB-MER;ahweal992j;p99.1p99.2;2011;1069399.9;992;j
OB-MER;ahweal992j;p99.1p99.2;2012;1108324.7;992;j
OB-MER;ahweal992j;p99.1p99.2;2013;1184370.8;992;j
OB-MER;ahweal992j;p99.1p99.2;2014;1246906.8;992;j
OB-MER;ahweal992j;p99.1p99.2;2015;1280758.0;992;j
OB-MER;ahweal992j;p99.1p99.2;2016;1329033.0;992;j
OB-MER;ahweal992j;p99.1p99.2;2017;1374469.5;992;j
OB-MER;ahweal992j;p99.1p99.2;2018;1416535.1;992;j
OB-MER;ahweal992j;p99.1p99.2;2019;1474936.0;992;j
OB-MER;ahweal992j;p99.1p99.2;2020;1544026.3;992;j
OB-MER;ahweal992j;p99.1p99.2;2021;1517303.9;992;j
OB-MER;aptinc992j;p99.8p99.9;1980;67210.5;992;j
OB-MER;aptinc992j;p99.8p99.9;1981;65561.7;992;j
OB-MER;aptinc992j;p99.8p99.9;1982;70792.3;992;j
OB-MER;aptinc992j;p99.8p99.9;1983;74090.3;992;j
OB-MER;aptinc992j;p99.8p99.9;1984;77967.4;992;j
OB-MER;aptinc992j;p99.8p99.9;1985;77765.8;992;j
OB-MER;aptinc992j;p99.8p99.9;1986;83981.8;992;j
OB-MER;aptinc992j;p99.8p99.9;1987;95073.9;992;j
OB-MER;aptinc992j;p99.8p99.9;1988;105806.9;992;j
OB-MER;aptinc992j;p99.8p99.9;1989;101187.9;992;j
OB-MER;aptinc992j;p99.8p99.9;1990;105986.3;992;j
OB-MER;aptinc992j;p99.8p99.9;1991;113194.9;992;j
OB-MER;aptinc992j;p99.8p99.9;1992;118007.0;992;j
OB-MER;aptinc992j;p99.8p99.9;1993;123171.3;992;j
OB-MER;aptinc992j;p99.8p99.9;1994;132299.5;992;j
OB-MER;aptinc992j;p99.8p99.9;1995;141975.3;992;j
OB-MER;aptinc992j;p99.8p99.9;1996;142583.8;992;j
OB-MER;aptinc992j;p99.8p99.9;1997;151313.1;992;j
OB-MER;aptinc992j;p99.8p99.9;1998;132374.1;992;j
OB-MER;aptinc992j;p99.8p99.9;1999;166364.8;992;j
OB-MER;aptinc992j;p99.8p99.9;2000;196255.4;992;j
OB-MER;aptinc992j;p99.8p99.9;2001;205684.1;992;j
