country;variable;percentile;year;value;age;pop
OB;ahweal992j;p41p42;1995;12397.8;992;j
OB;ahweal992j;p41p42;1996;13379.2;992;j
OB;ahweal992j;p41p42;1997;13882.5;992;j
OB;ahweal992j;p41p42;1998;14237.6;992;j
OB;ahweal992j;p41p42;1999;15070.3;992;j
OB;ahweal992j;p41p42;2000;15659.5;992;j
OB;ahweal992j;p41p42;2001;15563.2;992;j
OB;ahweal992j;p41p42;2002;16400.3;992;j
OB;ahweal992j;p41p42;2003;17618.6;992;j
OB;ahweal992j;p41p42;2004;19037.6;992;j
OB;ahweal992j;p41p42;2005;21000.3;992;j
OB;ahweal992j;p41p42;2006;22739.4;992;j
OB;ahweal992j;p41p42;2007;24259.6;992;j
OB;ahweal992j;p41p42;2008;24783.6;992;j
OB;ahweal992j;p41p42;2009;25627.3;992;j
OB;ahweal992j;p41p42;2010;26775.0;992;j
OB;ahweal992j;p41p42;2011;27698.0;992;j
OB;ahweal992j;p41p42;2012;28087.6;992;j
OB;ahweal992j;p41p42;2013;29284.9;992;j
OB;ahweal992j;p41p42;2014;30785.9;992;j
OB;ahweal992j;p41p42;2015;31771.0;992;j
OB;ahweal992j;p41p42;2016;31734.4;992;j
OB;ahweal992j;p41p42;2017;32810.7;992;j
OB;ahweal992j;p41p42;2018;34326.4;992;j
OB;ahweal992j;p41p42;2019;36045.0;992;j
OB;ahweal992j;p41p42;2020;38350.4;992;j
OB;ahweal992j;p41p42;2021;40315.4;992;j
OB;aptinc992j;p11p12;1980;1537.7;992;j
OB;aptinc992j;p11p12;1981;1498.3;992;j
OB;aptinc992j;p11p12;1982;1587.1;992;j
OB;aptinc992j;p11p12;1983;1688.5;992;j
OB;aptinc992j;p11p12;1984;1730.2;992;j
OB;aptinc992j;p11p12;1985;1824.2;992;j
OB;aptinc992j;p11p12;1986;1965.1;992;j
OB;aptinc992j;p11p12;1987;2118.7;992;j
OB;aptinc992j;p11p12;1988;2267.2;992;j
OB;aptinc992j;p11p12;1989;2341.0;992;j
OB;aptinc992j;p11p12;1990;2230.8;992;j
OB;aptinc992j;p11p12;1991;2377.3;992;j
OB;aptinc992j;p11p12;1992;2442.9;992;j
OB;aptinc992j;p11p12;1993;2438.6;992;j
OB;aptinc992j;p11p12;1994;2520.2;992;j
OB;aptinc992j;p11p12;1995;2618.8;992;j
OB;aptinc992j;p11p12;1996;2464.4;992;j
OB;aptinc992j;p11p12;1997;2493.3;992;j
OB;aptinc992j;p11p12;1998;2652.5;992;j
OB;aptinc992j;p11p12;1999;2598.8;992;j
OB;aptinc992j;p11p12;2000;2610.0;992;j
OB;aptinc992j;p11p12;2001;2650.7;992;j
OB;aptinc992j;p11p12;2002;2725.8;992;j
OB;aptinc992j;p11p12;2003;2746.8;992;j
OB;aptinc992j;p11p12;2004;2851.8;992;j
OB;aptinc992j;p11p12;2005;3056.4;992;j
