country;variable;percentile;year;value;age;pop
OC-MER;ahweal992j;p93p94;1995;352405.2;992;j
OC-MER;ahweal992j;p93p94;1996;363969.6;992;j
OC-MER;ahweal992j;p93p94;1997;386462.3;992;j
OC-MER;ahweal992j;p93p94;1998;407702.3;992;j
OC-MER;ahweal992j;p93p94;1999;436554.6;992;j
OC-MER;ahweal992j;p93p94;2000;465234.7;992;j
OC-MER;ahweal992j;p93p94;2001;468173.0;992;j
OC-MER;ahweal992j;p93p94;2002;463298.8;992;j
OC-MER;ahweal992j;p93p94;2003;467631.5;992;j
OC-MER;ahweal992j;p93p94;2004;484842.8;992;j
OC-MER;ahweal992j;p93p94;2005;512932.8;992;j
OC-MER;ahweal992j;p93p94;2006;543215.3;992;j
OC-MER;ahweal992j;p93p94;2007;560138.7;992;j
OC-MER;ahweal992j;p93p94;2008;567744.3;992;j
OC-MER;ahweal992j;p93p94;2009;562482.5;992;j
OC-MER;ahweal992j;p93p94;2010;556377.1;992;j
OC-MER;ahweal992j;p93p94;2011;564434.6;992;j
OC-MER;ahweal992j;p93p94;2012;565521.8;992;j
OC-MER;ahweal992j;p93p94;2013;577360.4;992;j
OC-MER;ahweal992j;p93p94;2014;599947.6;992;j
OC-MER;ahweal992j;p93p94;2015;626220.8;992;j
OC-MER;ahweal992j;p93p94;2016;653628.6;992;j
OC-MER;ahweal992j;p93p94;2017;678497.8;992;j
OC-MER;ahweal992j;p93p94;2018;695119.6;992;j
OC-MER;ahweal992j;p93p94;2019;713987.1;992;j
OC-MER;ahweal992j;p93p94;2020;740151.9;992;j
OC-MER;ahweal992j;p93p94;2021;729626.8;992;j
OC-MER;aptinc992j;p32p33;1980;16592.3;992;j
OC-MER;aptinc992j;p32p33;1981;16231.6;992;j
OC-MER;aptinc992j;p32p33;1982;15995.7;992;j
OC-MER;aptinc992j;p32p33;1983;15860.0;992;j
OC-MER;aptinc992j;p32p33;1984;15857.9;992;j
OC-MER;aptinc992j;p32p33;1985;15963.4;992;j
OC-MER;aptinc992j;p32p33;1986;16197.4;992;j
OC-MER;aptinc992j;p32p33;1987;16452.9;992;j
OC-MER;aptinc992j;p32p33;1988;16870.5;992;j
OC-MER;aptinc992j;p32p33;1989;17737.6;992;j
OC-MER;aptinc992j;p32p33;1990;17230.6;992;j
OC-MER;aptinc992j;p32p33;1991;16748.9;992;j
OC-MER;aptinc992j;p32p33;1992;16817.1;992;j
OC-MER;aptinc992j;p32p33;1993;16306.5;992;j
OC-MER;aptinc992j;p32p33;1994;16596.0;992;j
OC-MER;aptinc992j;p32p33;1995;16791.6;992;j
