country;variable;percentile;year;value;age;pop
OC;agweal999i;p0p100;1995;15445.1;999;i
OC;agweal999i;p0p100;1996;15523.2;999;i
OC;agweal999i;p0p100;1997;16224.3;999;i
OC;agweal999i;p0p100;1998;16916.6;999;i
OC;agweal999i;p0p100;1999;18388.6;999;i
OC;agweal999i;p0p100;2000;20128.8;999;i
OC;agweal999i;p0p100;2001;21990.2;999;i
OC;agweal999i;p0p100;2002;22214.5;999;i
OC;agweal999i;p0p100;2003;22125.5;999;i
OC;agweal999i;p0p100;2004;23112.4;999;i
OC;agweal999i;p0p100;2005;24439.0;999;i
OC;agweal999i;p0p100;2006;27271.8;999;i
OC;agweal999i;p0p100;2007;30047.5;999;i
OC;agweal999i;p0p100;2008;30227.5;999;i
OC;agweal999i;p0p100;2009;28690.8;999;i
OC;agweal999i;p0p100;2010;28206.0;999;i
OC;agweal999i;p0p100;2011;27591.6;999;i
OC;agweal999i;p0p100;2012;26878.4;999;i
OC;agweal999i;p0p100;2013;26453.9;999;i
OC;agweal999i;p0p100;2014;26998.9;999;i
OC;agweal999i;p0p100;2015;27942.9;999;i
OC;agweal999i;p0p100;2016;28542.7;999;i
OC;agweal999i;p0p100;2017;29596.2;999;i
OC;agweal999i;p0p100;2018;30588.5;999;i
OC;agweal999i;p0p100;2019;23205.7;999;i
OC;agweal999i;p0p100;2020;21754.7;999;i
OC;agweal999i;p0p100;2021;22506.5;999;i
OC;ahweal992j;p82p100;1995;388580.2;992;j
OC;ahweal992j;p82p100;1996;407249.3;992;j
OC;ahweal992j;p82p100;1997;427357.5;992;j
OC;ahweal992j;p82p100;1998;455426.9;992;j
OC;ahweal992j;p82p100;1999;492559.1;992;j
OC;ahweal992j;p82p100;2000;517144.9;992;j
OC;ahweal992j;p82p100;2001;523939.7;992;j
OC;ahweal992j;p82p100;2002;524708.1;992;j
OC;ahweal992j;p82p100;2003;529809.6;992;j
OC;ahweal992j;p82p100;2004;552133.1;992;j
OC;ahweal992j;p82p100;2005;583067.3;992;j
OC;ahweal992j;p82p100;2006;616658.1;992;j
OC;ahweal992j;p82p100;2007;636582.8;992;j
OC;ahweal992j;p82p100;2008;634472.8;992;j
OC;ahweal992j;p82p100;2009;629338.8;992;j
OC;ahweal992j;p82p100;2010;631823.3;992;j
OC;ahweal992j;p82p100;2011;636699.3;992;j
OC;ahweal992j;p82p100;2012;638874.4;992;j
OC;ahweal992j;p82p100;2013;656511.7;992;j
OC;ahweal992j;p82p100;2014;683191.5;992;j
OC;ahweal992j;p82p100;2015;708396.7;992;j
OC;ahweal992j;p82p100;2016;728325.6;992;j
OC;ahweal992j;p82p100;2017;760913.8;992;j
OC;ahweal992j;p82p100;2018;770102.1;992;j
OC;ahweal992j;p82p100;2019;789989.5;992;j
OC;ahweal992j;p82p100;2020;818747.9;992;j
OC;ahweal992j;p82p100;2021;853072.3;992;j
OC;bptinc992j;p42p100;1980;1.92006278038025;992;j
OC;bptinc992j;p42p100;1981;1.95000743865967;992;j
OC;bptinc992j;p42p100;1982;1.97166776657104;992;j
OC;bptinc992j;p42p100;1983;1.9728456735611;992;j
OC;bptinc992j;p42p100;1984;1.99006021022797;992;j
OC;bptinc992j;p42p100;1985;1.99760591983795;992;j
OC;bptinc992j;p42p100;1986;1.99376440048218;992;j
OC;bptinc992j;p42p100;1987;1.96873700618744;992;j
OC;bptinc992j;p42p100;1988;1.99372923374176;992;j
OC;bptinc992j;p42p100;1989;1.97159695625305;992;j
OC;bptinc992j;p42p100;1990;1.97636997699738;992;j
OC;bptinc992j;p42p100;1991;2.09177160263061;992;j
OC;bptinc992j;p42p100;1992;2.06628823280335;992;j
OC;bptinc992j;p42p100;1993;2.11456775665283;992;j
OC;bptinc992j;p42p100;1994;2.12985777854919;992;j
OC;bptinc992j;p42p100;1995;2.15773177146912;992;j
OC;bptinc992j;p42p100;1996;2.15700745582581;992;j
OC;bptinc992j;p42p100;1997;2.18733620643616;992;j
OC;bptinc992j;p42p100;1998;2.1976330280304;992;j
OC;bptinc992j;p42p100;1999;2.20539331436157;992;j
OC;bptinc992j;p42p100;2000;2.23874378204346;992;j
OC;bptinc992j;p42p100;2001;2.23287200927734;992;j
OC;bptinc992j;p42p100;2002;2.21117496490479;992;j
OC;bptinc992j;p42p100;2003;2.19616866111755;992;j
OC;bptinc992j;p42p100;2004;2.23074913024902;992;j
OC;bptinc992j;p42p100;2005;2.26481366157532;992;j
OC;bptinc992j;p42p100;2006;2.30501222610474;992;j
OC;bptinc992j;p42p100;2007;2.3193359375;992;j
OC;bptinc992j;p42p100;2008;2.21996521949768;992;j
OC;bptinc992j;p42p100;2009;2.20355606079102;992;j
OC;bptinc992j;p42p100;2010;2.29730939865112;992;j
OC;bptinc992j;p42p100;2011;2.30466985702515;992;j
OC;bptinc992j;p42p100;2012;2.3104772567749;992;j
OC;bptinc992j;p42p100;2013;2.33046460151672;992;j
OC;bptinc992j;p42p100;2014;2.35369968414307;992;j
OC;bptinc992j;p42p100;2015;2.36255097389221;992;j
OC;bptinc992j;p42p100;2016;2.34720087051392;992;j
OC;bptinc992j;p42p100;2017;2.3462483882904;992;j
OC;bptinc992j;p42p100;2018;2.33547115325928;992;j
OC;bptinc992j;p42p100;2019;2.30207753181458;992;j
OC;bptinc992j;p42p100;2020;2.32430624961853;992;j
OC;bptinc992j;p42p100;2021;2.31448721885681;992;j
OC;npopul951f;p0p100;1950;5412.0;951;f
OC;npopul951f;p0p100;1951;6144.0;951;f
OC;npopul951f;p0p100;1952;7505.0;951;f
OC;npopul951f;p0p100;1953;8452.0;951;f
OC;npopul951f;p0p100;1954;8088.0;951;f
OC;npopul951f;p0p100;1955;5672.0;951;f
OC;npopul951f;p0p100;1956;6548.0;951;f
OC;npopul951f;p0p100;1957;8209.0;951;f
OC;npopul951f;p0p100;1958;9352.0;951;f
OC;npopul951f;p0p100;1959;8941.0;951;f
OC;npopul951f;p0p100;1960;6116.0;951;f
OC;npopul951f;p0p100;1961;7000.0;951;f
OC;npopul951f;p0p100;1962;8744.0;951;f
OC;npopul951f;p0p100;1963;10054.0;951;f
OC;npopul951f;p0p100;1964;9798.0;951;f
OC;npopul951f;p0p100;1965;7030.0;951;f
OC;npopul951f;p0p100;1966;8429.0;951;f
OC;npopul951f;p0p100;1967;11001.0;951;f
OC;npopul951f;p0p100;1968;12929.0;951;f
OC;npopul951f;p0p100;1969;12724.0;951;f
OC;npopul951f;p0p100;1970;9340.0;951;f
OC;npopul951f;p0p100;1971;11200.0;951;f
OC;npopul951f;p0p100;1972;14381.0;951;f
OC;npopul951f;p0p100;1973;16732.0;951;f
OC;npopul951f;p0p100;1974;16531.0;951;f
OC;npopul951f;p0p100;1975;12431.0;951;f
OC;npopul951f;p0p100;1976;14791.0;951;f
OC;npopul951f;p0p100;1977;18723.0;951;f
OC;npopul951f;p0p100;1978;21713.0;951;f
OC;npopul951f;p0p100;1979;21694.0;951;f
OC;npopul951f;p0p100;1980;17028.0;951;f
OC;npopul951f;p0p100;1981;20186.0;951;f
OC;npopul951f;p0p100;1982;25426.0;951;f
OC;npopul951f;p0p100;1983;29539.0;951;f
OC;npopul951f;p0p100;1984;29904.0;951;f
OC;npopul951f;p0p100;1985;24535.0;951;f
OC;npopul951f;p0p100;1986;28644.0;951;f
OC;npopul951f;p0p100;1987;35304.0;951;f
OC;npopul951f;p0p100;1988;40427.0;951;f
OC;npopul951f;p0p100;1989;40685.0;951;f
OC;npopul951f;p0p100;1990;33889.0;951;f
OC;npopul951f;p0p100;1991;33282.0;951;f
OC;npopul951f;p0p100;1992;40410.0;951;f
OC;npopul951f;p0p100;1993;45815.0;951;f
OC;npopul951f;p0p100;1994;46059.0;951;f
OC;npopul951f;p0p100;1995;38749.0;951;f
OC;npopul951f;p0p100;1996;44116.0;951;f
OC;npopul951f;p0p100;1997;52688.0;951;f
OC;npopul951f;p0p100;1998;59046.0;951;f
OC;npopul951f;p0p100;1999;59077.0;951;f
OC;npopul951f;p0p100;2000;50055.0;951;f
OC;npopul951f;p0p100;2001;56213.0;951;f
OC;npopul951f;p0p100;2002;66139.0;951;f
OC;npopul951f;p0p100;2003;73519.0;951;f
OC;npopul951f;p0p100;2004;73450.0;951;f
OC;npopul951f;p0p100;2005;62739.0;951;f
OC;npopul951f;p0p100;2006;71104.0;951;f
OC;npopul951f;p0p100;2007;83679.0;951;f
OC;npopul951f;p0p100;2008;92402.0;951;f
OC;npopul951f;p0p100;2009;91962.0;951;f
OC;npopul951f;p0p100;2010;79722.0;951;f
OC;npopul951f;p0p100;2011;83250.0;951;f
OC;npopul951f;p0p100;2012;89681.0;951;f
OC;npopul951f;p0p100;2013;95189.0;951;f
OC;npopul951f;p0p100;2014;95563.0;951;f
OC;npopul951f;p0p100;2015;86446.0;951;f
OC;npopul951f;p0p100;2016;99365.0;951;f
OC;npopul951f;p0p100;2017;119664.0;951;f
OC;npopul951f;p0p100;2018;134653.0;951;f
OC;npopul951f;p0p100;2019;136603.0;951;f
OC;npopul951f;p0p100;2020;122591.0;951;f
OC;npopul951f;p0p100;2021;133051.0;951;f
OC;shweal992j;p99.94p99.95;1995;0.004;992;j
OC;shweal992j;p99.94p99.95;1996;0.004;992;j
OC;shweal992j;p99.94p99.95;1997;0.004;992;j
OC;shweal992j;p99.94p99.95;1998;0.0041;992;j
OC;shweal992j;p99.94p99.95;1999;0.0041;992;j
OC;shweal992j;p99.94p99.95;2000;0.004;992;j
OC;shweal992j;p99.94p99.95;2001;0.0043;992;j
OC;shweal992j;p99.94p99.95;2002;0.0045;992;j
OC;shweal992j;p99.94p99.95;2003;0.0045;992;j
OC;shweal992j;p99.94p99.95;2004;0.0045;992;j
OC;shweal992j;p99.94p99.95;2005;0.0045;992;j
OC;shweal992j;p99.94p99.95;2006;0.0046;992;j
OC;shweal992j;p99.94p99.95;2007;0.0047;992;j
OC;shweal992j;p99.94p99.95;2008;0.0042;992;j
OC;shweal992j;p99.94p99.95;2009;0.0043;992;j
OC;shweal992j;p99.94p99.95;2010;0.0045;992;j
OC;shweal992j;p99.94p99.95;2011;0.0045;992;j
OC;shweal992j;p99.94p99.95;2012;0.0044;992;j
OC;shweal992j;p99.94p99.95;2013;0.0046;992;j
