country;variable;percentile;year;value;age;pop
OD-MER;ahweal992j;p31p32;1995;533.2;992;j
OD-MER;ahweal992j;p31p32;1996;557.0;992;j
OD-MER;ahweal992j;p31p32;1997;602.9;992;j
OD-MER;ahweal992j;p31p32;1998;632.5;992;j
OD-MER;ahweal992j;p31p32;1999;625.6;992;j
OD-MER;ahweal992j;p31p32;2000;667.0;992;j
OD-MER;ahweal992j;p31p32;2001;699.8;992;j
OD-MER;ahweal992j;p31p32;2002;719.4;992;j
OD-MER;ahweal992j;p31p32;2003;735.3;992;j
OD-MER;ahweal992j;p31p32;2004;830.7;992;j
OD-MER;ahweal992j;p31p32;2005;955.8;992;j
OD-MER;ahweal992j;p31p32;2006;854.6;992;j
OD-MER;ahweal992j;p31p32;2007;990.8;992;j
OD-MER;ahweal992j;p31p32;2008;1168.5;992;j
OD-MER;ahweal992j;p31p32;2009;1084.1;992;j
OD-MER;ahweal992j;p31p32;2010;1336.0;992;j
OD-MER;ahweal992j;p31p32;2011;1296.9;992;j
OD-MER;ahweal992j;p31p32;2012;1485.7;992;j
OD-MER;ahweal992j;p31p32;2013;1459.7;992;j
OD-MER;ahweal992j;p31p32;2014;1607.6;992;j
OD-MER;ahweal992j;p31p32;2015;1589.2;992;j
OD-MER;ahweal992j;p31p32;2016;1626.2;992;j
OD-MER;ahweal992j;p31p32;2017;1676.8;992;j
OD-MER;ahweal992j;p31p32;2018;1687.9;992;j
OD-MER;ahweal992j;p31p32;2019;1676.6;992;j
OD-MER;ahweal992j;p31p32;2020;1504.9;992;j
OD-MER;ahweal992j;p31p32;2021;1672.2;992;j
OD-MER;ahweal992j;p81p100;1995;32184.0;992;j
OD-MER;ahweal992j;p81p100;1996;33259.4;992;j
OD-MER;ahweal992j;p81p100;1997;35778.6;992;j
OD-MER;ahweal992j;p81p100;1998;37260.8;992;j
OD-MER;ahweal992j;p81p100;1999;37254.4;992;j
OD-MER;ahweal992j;p81p100;2000;38528.7;992;j
OD-MER;ahweal992j;p81p100;2001;39691.3;992;j
OD-MER;ahweal992j;p81p100;2002;39433.6;992;j
OD-MER;ahweal992j;p81p100;2003;41535.7;992;j
OD-MER;ahweal992j;p81p100;2004;45935.0;992;j
OD-MER;ahweal992j;p81p100;2005;49870.6;992;j
OD-MER;ahweal992j;p81p100;2006;57541.7;992;j
OD-MER;ahweal992j;p81p100;2007;61701.5;992;j
OD-MER;ahweal992j;p81p100;2008;64642.7;992;j
OD-MER;ahweal992j;p81p100;2009;65089.4;992;j
OD-MER;ahweal992j;p81p100;2010;64974.2;992;j
OD-MER;ahweal992j;p81p100;2011;69531.3;992;j
OD-MER;ahweal992j;p81p100;2012;70171.3;992;j
OD-MER;ahweal992j;p81p100;2013;74087.2;992;j
OD-MER;ahweal992j;p81p100;2014;73132.9;992;j
OD-MER;ahweal992j;p81p100;2015;75052.6;992;j
OD-MER;ahweal992j;p81p100;2016;72830.5;992;j
OD-MER;ahweal992j;p81p100;2017;72706.3;992;j
OD-MER;ahweal992j;p81p100;2018;72938.6;992;j
OD-MER;ahweal992j;p81p100;2019;72136.2;992;j
OD-MER;ahweal992j;p81p100;2020;65628.8;992;j
OD-MER;ahweal992j;p81p100;2021;75419.9;992;j
OD-MER;ahweal992j;p92p100;1995;62365.3;992;j
OD-MER;ahweal992j;p92p100;1996;64249.6;992;j
OD-MER;ahweal992j;p92p100;1997;69055.1;992;j
OD-MER;ahweal992j;p92p100;1998;71776.8;992;j
OD-MER;ahweal992j;p92p100;1999;71789.9;992;j
OD-MER;ahweal992j;p92p100;2000;74005.8;992;j
OD-MER;ahweal992j;p92p100;2001;76132.5;992;j
OD-MER;ahweal992j;p92p100;2002;75522.0;992;j
OD-MER;ahweal992j;p92p100;2003;79695.6;992;j
OD-MER;ahweal992j;p92p100;2004;87693.7;992;j
OD-MER;ahweal992j;p92p100;2005;93868.6;992;j
OD-MER;ahweal992j;p92p100;2006;112207.9;992;j
OD-MER;ahweal992j;p92p100;2007;119319.0;992;j
OD-MER;ahweal992j;p92p100;2008;123072.3;992;j
OD-MER;ahweal992j;p92p100;2009;125243.8;992;j
OD-MER;ahweal992j;p92p100;2010;121472.0;992;j
OD-MER;ahweal992j;p92p100;2011;132041.8;992;j
OD-MER;ahweal992j;p92p100;2012;130171.1;992;j
OD-MER;ahweal992j;p92p100;2013;138769.6;992;j
OD-MER;ahweal992j;p92p100;2014;135543.8;992;j
OD-MER;ahweal992j;p92p100;2015;139296.7;992;j
OD-MER;ahweal992j;p92p100;2016;135149.6;992;j
OD-MER;ahweal992j;p92p100;2017;133618.2;992;j
OD-MER;ahweal992j;p92p100;2018;134464.0;992;j
OD-MER;ahweal992j;p92p100;2019;133253.8;992;j
OD-MER;ahweal992j;p92p100;2020;121280.7;992;j
OD-MER;ahweal992j;p92p100;2021;139646.2;992;j
OD-MER;ahweal992j;p99.4p100;1995;400187.8;992;j
OD-MER;ahweal992j;p99.4p100;1996;412465.3;992;j
OD-MER;ahweal992j;p99.4p100;1997;440743.2;992;j
OD-MER;ahweal992j;p99.4p100;1998;453737.6;992;j
OD-MER;ahweal992j;p99.4p100;1999;450673.8;992;j
OD-MER;ahweal992j;p99.4p100;2000;460393.8;992;j
OD-MER;ahweal992j;p99.4p100;2001;477999.0;992;j
OD-MER;ahweal992j;p99.4p100;2002;472501.4;992;j
OD-MER;ahweal992j;p99.4p100;2003;501202.5;992;j
OD-MER;ahweal992j;p99.4p100;2004;547595.1;992;j
OD-MER;ahweal992j;p99.4p100;2005;556461.5;992;j
OD-MER;ahweal992j;p99.4p100;2006;734692.3;992;j
OD-MER;ahweal992j;p99.4p100;2007;764045.9;992;j
OD-MER;ahweal992j;p99.4p100;2008;756144.8;992;j
OD-MER;ahweal992j;p99.4p100;2009;785322.4;992;j
OD-MER;ahweal992j;p99.4p100;2010;710890.1;992;j
OD-MER;ahweal992j;p99.4p100;2011;806149.6;992;j
OD-MER;ahweal992j;p99.4p100;2012;738583.9;992;j
OD-MER;ahweal992j;p99.4p100;2013;826673.8;992;j
OD-MER;ahweal992j;p99.4p100;2014;783260.8;992;j
OD-MER;ahweal992j;p99.4p100;2015;808834.7;992;j
OD-MER;ahweal992j;p99.4p100;2016;784092.3;992;j
OD-MER;ahweal992j;p99.4p100;2017;753992.3;992;j
OD-MER;ahweal992j;p99.4p100;2018;765783.1;992;j
OD-MER;ahweal992j;p99.4p100;2019;752613.5;992;j
OD-MER;ahweal992j;p99.4p100;2020;681021.8;992;j
OD-MER;ahweal992j;p99.4p100;2021;802344.4;992;j
OD-MER;aptinc992j;p99.96p99.97;1980;515354.9;992;j
OD-MER;aptinc992j;p99.96p99.97;1981;497305.4;992;j
OD-MER;aptinc992j;p99.96p99.97;1982;468645.7;992;j
OD-MER;aptinc992j;p99.96p99.97;1983;452951.8;992;j
OD-MER;aptinc992j;p99.96p99.97;1984;473712.3;992;j
OD-MER;aptinc992j;p99.96p99.97;1985;457865.7;992;j
OD-MER;aptinc992j;p99.96p99.97;1986;474473.3;992;j
OD-MER;aptinc992j;p99.96p99.97;1987;455455.9;992;j
OD-MER;aptinc992j;p99.96p99.97;1988;455898.1;992;j
OD-MER;aptinc992j;p99.96p99.97;1989;439573.9;992;j
OD-MER;aptinc992j;p99.96p99.97;1990;468072.6;992;j
OD-MER;aptinc992j;p99.96p99.97;1991;477490.1;992;j
OD-MER;aptinc992j;p99.96p99.97;1992;472064.5;992;j
OD-MER;aptinc992j;p99.96p99.97;1993;484910.5;992;j
OD-MER;aptinc992j;p99.96p99.97;1994;478480.1;992;j
OD-MER;aptinc992j;p99.96p99.97;1995;490322.0;992;j
OD-MER;aptinc992j;p99.96p99.97;1996;464435.8;992;j
OD-MER;aptinc992j;p99.96p99.97;1997;478584.1;992;j
