country;variable;percentile;year;value;age;pop
OD;apweal999i;p0p100;1995;13375.2;999;i
OD;apweal999i;p0p100;1996;13504.6;999;i
OD;apweal999i;p0p100;1997;14125.4;999;i
OD;apweal999i;p0p100;1998;14264.3;999;i
OD;apweal999i;p0p100;1999;13840.0;999;i
OD;apweal999i;p0p100;2000;14141.6;999;i
OD;apweal999i;p0p100;2001;14524.4;999;i
OD;apweal999i;p0p100;2002;14095.7;999;i
OD;apweal999i;p0p100;2003;13832.1;999;i
OD;apweal999i;p0p100;2004;15257.3;999;i
OD;apweal999i;p0p100;2005;16538.6;999;i
OD;apweal999i;p0p100;2006;17915.8;999;i
OD;apweal999i;p0p100;2007;19311.0;999;i
OD;apweal999i;p0p100;2008;20478.8;999;i
OD;apweal999i;p0p100;2009;19948.7;999;i
OD;apweal999i;p0p100;2010;20332.0;999;i
OD;apweal999i;p0p100;2011;21129.2;999;i
OD;apweal999i;p0p100;2012;22009.6;999;i
OD;apweal999i;p0p100;2013;22864.6;999;i
OD;apweal999i;p0p100;2014;22969.4;999;i
OD;apweal999i;p0p100;2015;22884.8;999;i
OD;apweal999i;p0p100;2016;21824.7;999;i
OD;apweal999i;p0p100;2017;21246.2;999;i
OD;apweal999i;p0p100;2018;20645.3;999;i
OD;apweal999i;p0p100;2019;19475.3;999;i
OD;apweal999i;p0p100;2020;17352.7;999;i
OD;apweal999i;p0p100;2021;15800.9;999;i
OD;npopul501m;p0p100;1950;859238.0;501;m
OD;npopul501m;p0p100;1951;882398.0;501;m
OD;npopul501m;p0p100;1952;906418.0;501;m
OD;npopul501m;p0p100;1953;931614.0;501;m
OD;npopul501m;p0p100;1954;957677.0;501;m
OD;npopul501m;p0p100;1955;984078.0;501;m
OD;npopul501m;p0p100;1956;1003603.0;501;m
OD;npopul501m;p0p100;1957;1023576.0;501;m
OD;npopul501m;p0p100;1958;1044058.0;501;m
OD;npopul501m;p0p100;1959;1066041.0;501;m
OD;npopul501m;p0p100;1960;1090627.0;501;m
OD;npopul501m;p0p100;1961;1116911.0;501;m
OD;npopul501m;p0p100;1962;1145028.0;501;m
OD;npopul501m;p0p100;1963;1173386.0;501;m
