country;variable;percentile;year;value;age;pop
OE-MER;ahweal992j;p22p23;1995;237.8;992;j
OE-MER;ahweal992j;p22p23;1996;262.6;992;j
OE-MER;ahweal992j;p22p23;1997;279.1;992;j
OE-MER;ahweal992j;p22p23;1998;321.0;992;j
OE-MER;ahweal992j;p22p23;1999;340.5;992;j
OE-MER;ahweal992j;p22p23;2000;360.1;992;j
OE-MER;ahweal992j;p22p23;2001;373.5;992;j
OE-MER;ahweal992j;p22p23;2002;397.3;992;j
OE-MER;ahweal992j;p22p23;2003;392.9;992;j
OE-MER;ahweal992j;p22p23;2004;445.2;992;j
OE-MER;ahweal992j;p22p23;2005;462.1;992;j
OE-MER;ahweal992j;p22p23;2006;489.9;992;j
OE-MER;ahweal992j;p22p23;2007;509.5;992;j
OE-MER;ahweal992j;p22p23;2008;549.0;992;j
OE-MER;ahweal992j;p22p23;2009;583.7;992;j
OE-MER;ahweal992j;p22p23;2010;605.5;992;j
OE-MER;ahweal992j;p22p23;2011;612.5;992;j
OE-MER;ahweal992j;p22p23;2012;593.8;992;j
OE-MER;ahweal992j;p22p23;2013;605.8;992;j
OE-MER;ahweal992j;p22p23;2014;614.8;992;j
OE-MER;ahweal992j;p22p23;2015;623.0;992;j
OE-MER;ahweal992j;p22p23;2016;653.3;992;j
OE-MER;ahweal992j;p22p23;2017;671.3;992;j
OE-MER;ahweal992j;p22p23;2018;672.6;992;j
OE-MER;ahweal992j;p22p23;2019;692.3;992;j
OE-MER;ahweal992j;p22p23;2020;660.6;992;j
OE-MER;ahweal992j;p22p23;2021;667.3;992;j
OE-MER;aptinc992j;p27p28;1980;1469.3;992;j
OE-MER;aptinc992j;p27p28;1981;1393.4;992;j
OE-MER;aptinc992j;p27p28;1982;1441.6;992;j
OE-MER;aptinc992j;p27p28;1983;1398.8;992;j
OE-MER;aptinc992j;p27p28;1984;1363.3;992;j
OE-MER;aptinc992j;p27p28;1985;1372.2;992;j
OE-MER;aptinc992j;p27p28;1986;1378.2;992;j
OE-MER;aptinc992j;p27p28;1987;1368.1;992;j
OE-MER;aptinc992j;p27p28;1988;1408.6;992;j
OE-MER;aptinc992j;p27p28;1989;1385.9;992;j
OE-MER;aptinc992j;p27p28;1990;1545.9;992;j
OE-MER;aptinc992j;p27p28;1991;1302.0;992;j
OE-MER;aptinc992j;p27p28;1992;1347.2;992;j
OE-MER;aptinc992j;p27p28;1993;1376.9;992;j
OE-MER;aptinc992j;p27p28;1994;1421.1;992;j
OE-MER;aptinc992j;p27p28;1995;1352.0;992;j
OE-MER;aptinc992j;p27p28;1996;1410.8;992;j
OE-MER;aptinc992j;p27p28;1997;1417.1;992;j
OE-MER;aptinc992j;p27p28;1998;1526.5;992;j
OE-MER;aptinc992j;p27p28;1999;1565.1;992;j
OE-MER;aptinc992j;p27p28;2000;1605.7;992;j
OE-MER;aptinc992j;p27p28;2001;1606.2;992;j
OE-MER;aptinc992j;p27p28;2002;1564.7;992;j
OE-MER;aptinc992j;p27p28;2003;1478.6;992;j
OE-MER;aptinc992j;p27p28;2004;1641.1;992;j
OE-MER;aptinc992j;p27p28;2005;1640.3;992;j
OE-MER;aptinc992j;p27p28;2006;1713.5;992;j
OE-MER;aptinc992j;p27p28;2007;1765.0;992;j
OE-MER;aptinc992j;p27p28;2008;1856.9;992;j
OE-MER;aptinc992j;p27p28;2009;1896.0;992;j
OE-MER;aptinc992j;p27p28;2010;1936.2;992;j
OE-MER;aptinc992j;p27p28;2011;1840.6;992;j
OE-MER;aptinc992j;p27p28;2012;1944.5;992;j
OE-MER;aptinc992j;p27p28;2013;1976.9;992;j
OE-MER;aptinc992j;p27p28;2014;1948.0;992;j
OE-MER;aptinc992j;p27p28;2015;1904.6;992;j
OE-MER;aptinc992j;p27p28;2016;1896.6;992;j
OE-MER;aptinc992j;p27p28;2017;1922.4;992;j
OE-MER;aptinc992j;p27p28;2018;1921.7;992;j
OE-MER;aptinc992j;p27p28;2019;1868.7;992;j
OE-MER;aptinc992j;p27p28;2020;1679.7;992;j
OE-MER;aptinc992j;p27p28;2021;1759.8;992;j
OE-MER;aptinc992j;p5p6;1980;52.4;992;j
OE-MER;aptinc992j;p5p6;1981;61.2;992;j
OE-MER;aptinc992j;p5p6;1982;51.2;992;j
OE-MER;aptinc992j;p5p6;1983;49.9;992;j
OE-MER;aptinc992j;p5p6;1984;50.5;992;j
OE-MER;aptinc992j;p5p6;1985;51.1;992;j
OE-MER;aptinc992j;p5p6;1986;49.1;992;j
OE-MER;aptinc992j;p5p6;1987;47.3;992;j
OE-MER;aptinc992j;p5p6;1988;57.9;992;j
OE-MER;aptinc992j;p5p6;1989;46.8;992;j
OE-MER;aptinc992j;p5p6;1990;49.5;992;j
OE-MER;aptinc992j;p5p6;1991;45.1;992;j
OE-MER;aptinc992j;p5p6;1992;46.5;992;j
