country;variable;percentile;year;value;age;pop
OE;aptinc992j;p63p64;1980;8304.7;992;j
OE;aptinc992j;p63p64;1981;7803.3;992;j
OE;aptinc992j;p63p64;1982;8385.7;992;j
OE;aptinc992j;p63p64;1983;8613.7;992;j
OE;aptinc992j;p63p64;1984;8179.7;992;j
OE;aptinc992j;p63p64;1985;8106.5;992;j
OE;aptinc992j;p63p64;1986;7609.8;992;j
OE;aptinc992j;p63p64;1987;7490.7;992;j
OE;aptinc992j;p63p64;1988;7318.4;992;j
OE;aptinc992j;p63p64;1989;7204.9;992;j
OE;aptinc992j;p63p64;1990;8087.1;992;j
OE;aptinc992j;p63p64;1991;7916.8;992;j
OE;aptinc992j;p63p64;1992;8030.1;992;j
OE;aptinc992j;p63p64;1993;8067.0;992;j
OE;aptinc992j;p63p64;1994;8078.6;992;j
OE;aptinc992j;p63p64;1995;7969.3;992;j
OE;aptinc992j;p63p64;1996;8086.4;992;j
OE;aptinc992j;p63p64;1997;8126.3;992;j
OE;aptinc992j;p63p64;1998;8307.0;992;j
OE;aptinc992j;p63p64;1999;8426.8;992;j
OE;aptinc992j;p63p64;2000;8682.1;992;j
OE;aptinc992j;p63p64;2001;8556.5;992;j
OE;aptinc992j;p63p64;2002;8425.1;992;j
OE;aptinc992j;p63p64;2003;8331.4;992;j
OE;aptinc992j;p63p64;2004;8897.6;992;j
OE;aptinc992j;p63p64;2005;8952.0;992;j
OE;aptinc992j;p63p64;2006;9245.2;992;j
OE;aptinc992j;p63p64;2007;9765.2;992;j
OE;aptinc992j;p63p64;2008;10088.9;992;j
OE;aptinc992j;p63p64;2009;10160.0;992;j
OE;aptinc992j;p63p64;2010;10468.7;992;j
OE;aptinc992j;p63p64;2011;10241.5;992;j
OE;aptinc992j;p63p64;2012;10125.6;992;j
OE;aptinc992j;p63p64;2013;9920.2;992;j
OE;aptinc992j;p63p64;2014;9867.5;992;j
OE;aptinc992j;p63p64;2015;9734.5;992;j
OE;aptinc992j;p63p64;2016;10309.9;992;j
OE;aptinc992j;p63p64;2017;10557.8;992;j
OE;aptinc992j;p63p64;2018;10245.9;992;j
