country;variable;percentile;year;value;age;pop
OH-MER;mpweal999i;p0p100;1995;7944214344.0;999;i
OH-MER;mpweal999i;p0p100;1996;8317867916.0;999;i
OH-MER;mpweal999i;p0p100;1997;8516195448.0;999;i
OH-MER;mpweal999i;p0p100;1998;8713376260.0;999;i
OH-MER;mpweal999i;p0p100;1999;8989941136.0;999;i
OH-MER;mpweal999i;p0p100;2000;9194157988.0;999;i
OH-MER;mpweal999i;p0p100;2001;9486964240.0;999;i
OH-MER;mpweal999i;p0p100;2002;9769549140.0;999;i
OH-MER;mpweal999i;p0p100;2003;10265465440.0;999;i
OH-MER;mpweal999i;p0p100;2004;10894287668.0;999;i
OH-MER;mpweal999i;p0p100;2005;11163544096.0;999;i
OH-MER;mpweal999i;p0p100;2006;11614166288.0;999;i
OH-MER;mpweal999i;p0p100;2007;11951217020.0;999;i
OH-MER;mpweal999i;p0p100;2008;12249065116.0;999;i
OH-MER;mpweal999i;p0p100;2009;12315577248.0;999;i
OH-MER;mpweal999i;p0p100;2010;12771755040.0;999;i
OH-MER;mpweal999i;p0p100;2011;13094070808.0;999;i
OH-MER;mpweal999i;p0p100;2012;13348289536.0;999;i
OH-MER;mpweal999i;p0p100;2013;14357512592.0;999;i
OH-MER;mpweal999i;p0p100;2014;14827305240.0;999;i
OH-MER;mpweal999i;p0p100;2015;15624941560.0;999;i
OH-MER;mpweal999i;p0p100;2016;16386702424.0;999;i
OH-MER;mpweal999i;p0p100;2017;17317809656.0;999;i
OH-MER;mpweal999i;p0p100;2018;18272727072.0;999;i
OH-MER;mpweal999i;p0p100;2019;18878078032.0;999;i
OH-MER;mpweal999i;p0p100;2020;17429800064.0;999;i
OH-MER;mpweal999i;p0p100;2021;18105070528.0;999;i
OH-MER;wwealg999i;p0p100;1995;0.0093914801254869;999;i
OH-MER;wwealg999i;p0p100;1996;0.0335610322654247;999;i
OH-MER;wwealg999i;p0p100;1997;0.0396349690854549;999;i
OH-MER;wwealg999i;p0p100;1998;0.0678423643112183;999;i
OH-MER;wwealg999i;p0p100;1999;0.10417827218771;999;i
OH-MER;wwealg999i;p0p100;2000;0.105489633977413;999;i
OH-MER;wwealg999i;p0p100;2001;0.105349622666836;999;i
OH-MER;wwealg999i;p0p100;2002;0.0958038195967674;999;i
OH-MER;wwealg999i;p0p100;2003;0.0995800495147705;999;i
OH-MER;wwealg999i;p0p100;2004;0.110226161777973;999;i
OH-MER;wwealg999i;p0p100;2005;0.131982281804085;999;i
OH-MER;wwealg999i;p0p100;2006;0.139235720038414;999;i
OH-MER;wwealg999i;p0p100;2007;0.146322846412659;999;i
OH-MER;wwealg999i;p0p100;2008;0.150524005293846;999;i
OH-MER;wwealg999i;p0p100;2009;0.137446865439415;999;i
OH-MER;wwealg999i;p0p100;2010;0.136232808232307;999;i
OH-MER;wwealg999i;p0p100;2011;0.133544400334358;999;i
OH-MER;wwealg999i;p0p100;2012;0.121560230851173;999;i
OH-MER;wwealg999i;p0p100;2013;0.12188146263361;999;i
OH-MER;wwealg999i;p0p100;2014;0.129785358905792;999;i
OH-MER;wwealg999i;p0p100;2015;0.119675487279892;999;i
OH-MER;wwealg999i;p0p100;2016;0.101693257689476;999;i
OH-MER;wwealg999i;p0p100;2017;0.0924631431698799;999;i
OH-MER;wwealg999i;p0p100;2018;0.0760557651519775;999;i
OH-MER;wwealg999i;p0p100;2019;0.0566116161644459;999;i
OH-MER;wwealg999i;p0p100;2020;0.0292774196714163;999;i
OH-MER;wwealg999i;p0p100;2021;-0.0064635537564754;999;i
OH-MER;mnninc999i;p0p100;1960;712368320.0;999;i
OH-MER;mnninc999i;p0p100;1961;737861376.0;999;i
OH-MER;mnninc999i;p0p100;1962;765075008.0;999;i
OH-MER;mnninc999i;p0p100;1963;816404352.0;999;i
OH-MER;mnninc999i;p0p100;1964;858182784.0;999;i
OH-MER;mnninc999i;p0p100;1965;831580992.0;999;i
OH-MER;mnninc999i;p0p100;1966;829331648.0;999;i
OH-MER;mnninc999i;p0p100;1967;946630848.0;999;i
OH-MER;mnninc999i;p0p100;1968;1023288704.0;999;i
OH-MER;mnninc999i;p0p100;1969;1046750272.0;999;i
OH-MER;mnninc999i;p0p100;1970;2497754845.0;999;i
OH-MER;mnninc999i;p0p100;1971;2631492394.0;999;i
OH-MER;mnninc999i;p0p100;1972;2657719416.0;999;i
OH-MER;mnninc999i;p0p100;1973;2964243284.0;999;i
OH-MER;mnninc999i;p0p100;1974;3158313279.0;999;i
OH-MER;mnninc999i;p0p100;1975;3097637175.0;999;i
OH-MER;mnninc999i;p0p100;1976;3152163522.0;999;i
OH-MER;mnninc999i;p0p100;1977;3317917878.0;999;i
OH-MER;mnninc999i;p0p100;1978;3453910567.0;999;i
OH-MER;mnninc999i;p0p100;1979;3827786343.0;999;i
OH-MER;mnninc999i;p0p100;1980;3689900473.0;999;i
OH-MER;mnninc999i;p0p100;1981;3841780261.0;999;i
OH-MER;mnninc999i;p0p100;1982;3601054307.0;999;i
OH-MER;mnninc999i;p0p100;1983;3597062932.0;999;i
OH-MER;mnninc999i;p0p100;1984;3854617065.0;999;i
OH-MER;mnninc999i;p0p100;1985;3852464260.0;999;i
OH-MER;mnninc999i;p0p100;1986;4063509595.0;999;i
OH-MER;mnninc999i;p0p100;1987;3926099930.0;999;i
OH-MER;mnninc999i;p0p100;1988;3973768854.0;999;i
OH-MER;mnninc999i;p0p100;1989;4157179442.0;999;i
OH-MER;mnninc999i;p0p100;1990;4333899888.0;999;i
OH-MER;mnninc999i;p0p100;1991;4269051406.0;999;i
OH-MER;mnninc999i;p0p100;1992;4463083596.0;999;i
OH-MER;mnninc999i;p0p100;1993;4565506086.0;999;i
OH-MER;mnninc999i;p0p100;1994;4770170552.0;999;i
OH-MER;mnninc999i;p0p100;1995;5051451306.0;999;i
OH-MER;mnninc999i;p0p100;1996;5175509896.0;999;i
OH-MER;mnninc999i;p0p100;1997;5132414696.0;999;i
OH-MER;mnninc999i;p0p100;1998;5229524572.0;999;i
OH-MER;mnninc999i;p0p100;1999;5461979638.0;999;i
OH-MER;mnninc999i;p0p100;2000;5426579064.0;999;i
OH-MER;mnninc999i;p0p100;2001;5506453920.0;999;i
OH-MER;mnninc999i;p0p100;2002;5639710044.0;999;i
OH-MER;mnninc999i;p0p100;2003;5677239220.0;999;i
OH-MER;mnninc999i;p0p100;2004;5933850288.0;999;i
OH-MER;mnninc999i;p0p100;2005;5993128800.0;999;i
OH-MER;mnninc999i;p0p100;2006;6107428316.0;999;i
OH-MER;mnninc999i;p0p100;2007;6177726544.0;999;i
OH-MER;mnninc999i;p0p100;2008;6310173508.0;999;i
OH-MER;mnninc999i;p0p100;2009;6328356916.0;999;i
OH-MER;mnninc999i;p0p100;2010;6471721756.0;999;i
OH-MER;mnninc999i;p0p100;2011;6516538604.0;999;i
OH-MER;mnninc999i;p0p100;2012;6559206616.0;999;i
OH-MER;mnninc999i;p0p100;2013;7018484676.0;999;i
OH-MER;mnninc999i;p0p100;2014;7168875040.0;999;i
OH-MER;mnninc999i;p0p100;2015;7463249248.0;999;i
OH-MER;mnninc999i;p0p100;2016;7654903756.0;999;i
OH-MER;mnninc999i;p0p100;2017;7953922572.0;999;i
OH-MER;mnninc999i;p0p100;2018;8295988304.0;999;i
OH-MER;mnninc999i;p0p100;2019;8369882396.0;999;i
OH-MER;mnninc999i;p0p100;2020;7491406580.0;999;i
OH-MER;mnninc999i;p0p100;2021;7656317784.0;999;i
OH-MER;wwealp999i;p0p100;1995;1.57265973091126;999;i
OH-MER;wwealp999i;p0p100;1996;1.60715913772583;999;i
OH-MER;wwealp999i;p0p100;1997;1.6592960357666;999;i
OH-MER;wwealp999i;p0p100;1998;1.66618895530701;999;i
OH-MER;wwealp999i;p0p100;1999;1.64591264724731;999;i
OH-MER;wwealp999i;p0p100;2000;1.69428253173828;999;i
OH-MER;wwealp999i;p0p100;2001;1.72288084030151;999;i
OH-MER;wwealp999i;p0p100;2002;1.73227858543396;999;i
OH-MER;wwealp999i;p0p100;2003;1.80817914009094;999;i
OH-MER;wwealp999i;p0p100;2004;1.83595597743988;999;i
OH-MER;wwealp999i;p0p100;2005;1.86272382736206;999;i
OH-MER;wwealp999i;p0p100;2006;1.90164589881897;999;i
OH-MER;wwealp999i;p0p100;2007;1.93456554412842;999;i
OH-MER;wwealp999i;p0p100;2008;1.94116139411926;999;i
OH-MER;wwealp999i;p0p100;2009;1.946093916893;999;i
OH-MER;wwealp999i;p0p100;2010;1.97347092628479;999;i
OH-MER;wwealp999i;p0p100;2011;2.00935983657837;999;i
OH-MER;wwealp999i;p0p100;2012;2.03504633903503;999;i
OH-MER;wwealp999i;p0p100;2013;2.04567122459412;999;i
OH-MER;wwealp999i;p0p100;2014;2.06828904151917;999;i
OH-MER;wwealp999i;p0p100;2015;2.09358429908752;999;i
OH-MER;wwealp999i;p0p100;2016;2.14068031311035;999;i
OH-MER;wwealp999i;p0p100;2017;2.1772665977478;999;i
OH-MER;wwealp999i;p0p100;2018;2.20259809494019;999;i
OH-MER;wwealp999i;p0p100;2019;2.2554771900177;999;i
OH-MER;wwealp999i;p0p100;2020;2.32663917541504;999;i
OH-MER;wwealp999i;p0p100;2021;2.36472296714783;999;i
OH-MER;wwealn999i;p0p100;1995;1.58205103874206;999;i
OH-MER;wwealn999i;p0p100;1996;1.64072012901306;999;i
OH-MER;wwealn999i;p0p100;1997;1.69893085956574;999;i
OH-MER;wwealn999i;p0p100;1998;1.73403131961823;999;i
OH-MER;wwealn999i;p0p100;1999;1.75009083747864;999;i
OH-MER;wwealn999i;p0p100;2000;1.79977214336395;999;i
OH-MER;wwealn999i;p0p100;2001;1.82823050022125;999;i
OH-MER;wwealn999i;p0p100;2002;1.82808232307434;999;i
OH-MER;wwealn999i;p0p100;2003;1.90775918960571;999;i
OH-MER;wwealn999i;p0p100;2004;1.94618213176727;999;i
OH-MER;wwealn999i;p0p100;2005;1.99470615386963;999;i
OH-MER;wwealn999i;p0p100;2006;2.04088163375854;999;i
OH-MER;wwealn999i;p0p100;2007;2.08088827133179;999;i
