country;variable;percentile;year;value;age;pop
OI-MER;ahweal992j;p15p16;1995;37.1;992;j
OI-MER;ahweal992j;p15p16;1996;40.4;992;j
OI-MER;ahweal992j;p15p16;1997;42.2;992;j
OI-MER;ahweal992j;p15p16;1998;44.1;992;j
OI-MER;ahweal992j;p15p16;1999;47.1;992;j
OI-MER;ahweal992j;p15p16;2000;53.6;992;j
OI-MER;ahweal992j;p15p16;2001;58.7;992;j
OI-MER;ahweal992j;p15p16;2002;67.3;992;j
OI-MER;ahweal992j;p15p16;2003;69.9;992;j
OI-MER;ahweal992j;p15p16;2004;78.8;992;j
OI-MER;ahweal992j;p15p16;2005;85.2;992;j
OI-MER;ahweal992j;p15p16;2006;92.1;992;j
OI-MER;ahweal992j;p15p16;2007;99.1;992;j
OI-MER;ahweal992j;p15p16;2008;103.6;992;j
OI-MER;ahweal992j;p15p16;2009;115.6;992;j
OI-MER;ahweal992j;p15p16;2010;118.0;992;j
OI-MER;ahweal992j;p15p16;2011;124.0;992;j
OI-MER;ahweal992j;p15p16;2012;127.6;992;j
OI-MER;ahweal992j;p15p16;2013;141.5;992;j
OI-MER;ahweal992j;p15p16;2014;145.0;992;j
OI-MER;ahweal992j;p15p16;2015;158.5;992;j
OI-MER;ahweal992j;p15p16;2016;161.4;992;j
OI-MER;ahweal992j;p15p16;2017;171.2;992;j
OI-MER;ahweal992j;p15p16;2018;180.5;992;j
OI-MER;ahweal992j;p15p16;2019;191.8;992;j
OI-MER;ahweal992j;p15p16;2020;193.6;992;j
OI-MER;ahweal992j;p15p16;2021;196.7;992;j
OI-MER;ahweal992j;p99.5p99.6;1995;101009.6;992;j
OI-MER;ahweal992j;p99.5p99.6;1996;106863.7;992;j
OI-MER;ahweal992j;p99.5p99.6;1997;107316.9;992;j
OI-MER;ahweal992j;p99.5p99.6;1998;101882.6;992;j
OI-MER;ahweal992j;p99.5p99.6;1999;104038.9;992;j
OI-MER;ahweal992j;p99.5p99.6;2000;107927.6;992;j
OI-MER;ahweal992j;p99.5p99.6;2001;105018.4;992;j
OI-MER;ahweal992j;p99.5p99.6;2002;107706.0;992;j
OI-MER;ahweal992j;p99.5p99.6;2003;115440.2;992;j
OI-MER;ahweal992j;p99.5p99.6;2004;122463.0;992;j
OI-MER;ahweal992j;p99.5p99.6;2005;125927.8;992;j
OI-MER;ahweal992j;p99.5p99.6;2006;129945.4;992;j
OI-MER;ahweal992j;p99.5p99.6;2007;136751.5;992;j
OI-MER;ahweal992j;p99.5p99.6;2008;143011.0;992;j
OI-MER;ahweal992j;p99.5p99.6;2009;151714.7;992;j
OI-MER;ahweal992j;p99.5p99.6;2010;164279.1;992;j
OI-MER;ahweal992j;p99.5p99.6;2011;172158.7;992;j
OI-MER;ahweal992j;p99.5p99.6;2012;178214.9;992;j
OI-MER;ahweal992j;p99.5p99.6;2013;177908.3;992;j
OI-MER;ahweal992j;p99.5p99.6;2014;181970.0;992;j
OI-MER;ahweal992j;p99.5p99.6;2015;182319.6;992;j
OI-MER;ahweal992j;p99.5p99.6;2016;196040.2;992;j
OI-MER;ahweal992j;p99.5p99.6;2017;204863.7;992;j
OI-MER;ahweal992j;p99.5p99.6;2018;211085.5;992;j
OI-MER;ahweal992j;p99.5p99.6;2019;228300.7;992;j
OI-MER;ahweal992j;p99.5p99.6;2020;227921.4;992;j
OI-MER;ahweal992j;p99.5p99.6;2021;231655.4;992;j
OI-MER;aptinc992j;p35p100;1980;2718.7;992;j
OI-MER;aptinc992j;p35p100;1981;2737.2;992;j
OI-MER;aptinc992j;p35p100;1982;2772.1;992;j
OI-MER;aptinc992j;p35p100;1983;2817.7;992;j
OI-MER;aptinc992j;p35p100;1984;2798.1;992;j
OI-MER;aptinc992j;p35p100;1985;2729.1;992;j
OI-MER;aptinc992j;p35p100;1986;2688.8;992;j
OI-MER;aptinc992j;p35p100;1987;2816.2;992;j
OI-MER;aptinc992j;p35p100;1988;3016.7;992;j
OI-MER;aptinc992j;p35p100;1989;3172.1;992;j
OI-MER;aptinc992j;p35p100;1990;3300.6;992;j
OI-MER;aptinc992j;p35p100;1991;3384.5;992;j
OI-MER;aptinc992j;p35p100;1992;3496.1;992;j
OI-MER;aptinc992j;p35p100;1993;3543.8;992;j
OI-MER;aptinc992j;p35p100;1994;3723.7;992;j
OI-MER;aptinc992j;p35p100;1995;3874.2;992;j
OI-MER;aptinc992j;p35p100;1996;3972.6;992;j
OI-MER;aptinc992j;p35p100;1997;3985.8;992;j
OI-MER;aptinc992j;p35p100;1998;3742.8;992;j
OI-MER;aptinc992j;p35p100;1999;3755.7;992;j
OI-MER;aptinc992j;p35p100;2000;3929.1;992;j
OI-MER;aptinc992j;p35p100;2001;3878.6;992;j
OI-MER;aptinc992j;p35p100;2002;3986.1;992;j
OI-MER;aptinc992j;p35p100;2003;4146.1;992;j
OI-MER;aptinc992j;p35p100;2004;4326.2;992;j
OI-MER;aptinc992j;p35p100;2005;4501.0;992;j
OI-MER;aptinc992j;p35p100;2006;4714.3;992;j
OI-MER;aptinc992j;p35p100;2007;4928.6;992;j
OI-MER;aptinc992j;p35p100;2008;5032.3;992;j
OI-MER;aptinc992j;p35p100;2009;4842.9;992;j
OI-MER;aptinc992j;p35p100;2010;5198.8;992;j
OI-MER;aptinc992j;p35p100;2011;5342.3;992;j
OI-MER;aptinc992j;p35p100;2012;5453.1;992;j
OI-MER;aptinc992j;p35p100;2013;5527.7;992;j
OI-MER;aptinc992j;p35p100;2014;5697.3;992;j
