country;variable;percentile;year;value;age;pop
OI;agweal999i;p0p100;1995;-98.0;999;i
OI;agweal999i;p0p100;1996;-15.9;999;i
OI;agweal999i;p0p100;1997;28.6;999;i
OI;agweal999i;p0p100;1998;56.0;999;i
OI;agweal999i;p0p100;1999;179.3;999;i
OI;agweal999i;p0p100;2000;281.6;999;i
OI;agweal999i;p0p100;2001;313.2;999;i
OI;agweal999i;p0p100;2002;377.0;999;i
OI;agweal999i;p0p100;2003;514.1;999;i
OI;agweal999i;p0p100;2004;694.7;999;i
OI;agweal999i;p0p100;2005;908.7;999;i
OI;agweal999i;p0p100;2006;1195.3;999;i
OI;agweal999i;p0p100;2007;1401.0;999;i
OI;agweal999i;p0p100;2008;1462.4;999;i
OI;agweal999i;p0p100;2009;1437.3;999;i
OI;agweal999i;p0p100;2010;1673.1;999;i
OI;agweal999i;p0p100;2011;1707.9;999;i
OI;agweal999i;p0p100;2012;1660.7;999;i
OI;agweal999i;p0p100;2013;1584.2;999;i
OI;agweal999i;p0p100;2014;1572.0;999;i
OI;agweal999i;p0p100;2015;1515.0;999;i
OI;agweal999i;p0p100;2016;1529.6;999;i
OI;agweal999i;p0p100;2017;1522.5;999;i
OI;agweal999i;p0p100;2018;1409.9;999;i
OI;agweal999i;p0p100;2019;1316.0;999;i
OI;agweal999i;p0p100;2020;1325.1;999;i
OI;agweal999i;p0p100;2021;1256.0;999;i
OI;ahweal992j;p32p33;1995;368.1;992;j
OI;ahweal992j;p32p33;1996;387.4;992;j
OI;ahweal992j;p32p33;1997;401.6;992;j
OI;ahweal992j;p32p33;1998;420.8;992;j
OI;ahweal992j;p32p33;1999;455.6;992;j
OI;ahweal992j;p32p33;2000;512.2;992;j
OI;ahweal992j;p32p33;2001;561.9;992;j
OI;ahweal992j;p32p33;2002;636.5;992;j
OI;ahweal992j;p32p33;2003;679.9;992;j
OI;ahweal992j;p32p33;2004;754.6;992;j
OI;ahweal992j;p32p33;2005;819.0;992;j
OI;ahweal992j;p32p33;2006;900.8;992;j
OI;ahweal992j;p32p33;2007;992.3;992;j
OI;ahweal992j;p32p33;2008;1060.3;992;j
OI;ahweal992j;p32p33;2009;1154.7;992;j
OI;ahweal992j;p32p33;2010;1188.5;992;j
OI;ahweal992j;p32p33;2011;1261.4;992;j
OI;ahweal992j;p32p33;2012;1303.9;992;j
OI;ahweal992j;p32p33;2013;1456.3;992;j
OI;ahweal992j;p32p33;2014;1487.8;992;j
OI;ahweal992j;p32p33;2015;1649.8;992;j
OI;ahweal992j;p32p33;2016;1663.6;992;j
OI;ahweal992j;p32p33;2017;1767.4;992;j
OI;ahweal992j;p32p33;2018;1882.1;992;j
OI;ahweal992j;p32p33;2019;1997.9;992;j
OI;ahweal992j;p32p33;2020;2030.6;992;j
OI;ahweal992j;p32p33;2021;2113.4;992;j
OI;ahweal992j;p56p57;1995;1325.0;992;j
OI;ahweal992j;p56p57;1996;1404.6;992;j
OI;ahweal992j;p56p57;1997;1453.2;992;j
OI;ahweal992j;p56p57;1998;1526.7;992;j
OI;ahweal992j;p56p57;1999;1641.0;992;j
OI;ahweal992j;p56p57;2000;1822.3;992;j
OI;ahweal992j;p56p57;2001;1969.8;992;j
OI;ahweal992j;p56p57;2002;2175.2;992;j
OI;ahweal992j;p56p57;2003;2364.8;992;j
OI;ahweal992j;p56p57;2004;2588.4;992;j
