country;variable;percentile;year;value;age;pop
OJ-MER;ahweal992j;p15p16;1995;29.2;992;j
OJ-MER;ahweal992j;p15p16;1996;34.8;992;j
OJ-MER;ahweal992j;p15p16;1997;41.7;992;j
OJ-MER;ahweal992j;p15p16;1998;42.8;992;j
OJ-MER;ahweal992j;p15p16;1999;43.0;992;j
OJ-MER;ahweal992j;p15p16;2000;42.5;992;j
OJ-MER;ahweal992j;p15p16;2001;43.0;992;j
OJ-MER;ahweal992j;p15p16;2002;43.9;992;j
OJ-MER;ahweal992j;p15p16;2003;46.1;992;j
OJ-MER;ahweal992j;p15p16;2004;49.5;992;j
OJ-MER;ahweal992j;p15p16;2005;50.3;992;j
OJ-MER;ahweal992j;p15p16;2006;53.3;992;j
OJ-MER;ahweal992j;p15p16;2007;56.0;992;j
OJ-MER;ahweal992j;p15p16;2008;57.3;992;j
OJ-MER;ahweal992j;p15p16;2009;59.4;992;j
OJ-MER;ahweal992j;p15p16;2010;61.2;992;j
OJ-MER;ahweal992j;p15p16;2011;64.1;992;j
OJ-MER;ahweal992j;p15p16;2012;66.9;992;j
OJ-MER;ahweal992j;p15p16;2013;68.8;992;j
OJ-MER;ahweal992j;p15p16;2014;72.0;992;j
OJ-MER;ahweal992j;p15p16;2015;74.4;992;j
OJ-MER;ahweal992j;p15p16;2016;77.3;992;j
OJ-MER;ahweal992j;p15p16;2017;78.5;992;j
OJ-MER;ahweal992j;p15p16;2018;79.9;992;j
OJ-MER;ahweal992j;p15p16;2019;82.9;992;j
OJ-MER;ahweal992j;p15p16;2020;84.1;992;j
OJ-MER;ahweal992j;p15p16;2021;82.8;992;j
OJ-MER;ahweal992j;p94p100;1995;110140.4;992;j
OJ-MER;ahweal992j;p94p100;1996;121320.0;992;j
OJ-MER;ahweal992j;p94p100;1997;123351.7;992;j
OJ-MER;ahweal992j;p94p100;1998;124374.3;992;j
OJ-MER;ahweal992j;p94p100;1999;121423.9;992;j
OJ-MER;ahweal992j;p94p100;2000;117653.8;992;j
OJ-MER;ahweal992j;p94p100;2001;125387.7;992;j
OJ-MER;ahweal992j;p94p100;2002;120712.3;992;j
OJ-MER;ahweal992j;p94p100;2003;105099.2;992;j
OJ-MER;ahweal992j;p94p100;2004;76870.5;992;j
OJ-MER;ahweal992j;p94p100;2005;78516.9;992;j
OJ-MER;ahweal992j;p94p100;2006;79633.1;992;j
OJ-MER;ahweal992j;p94p100;2007;80866.1;992;j
OJ-MER;ahweal992j;p94p100;2008;81103.7;992;j
OJ-MER;ahweal992j;p94p100;2009;86423.9;992;j
OJ-MER;ahweal992j;p94p100;2010;91498.3;992;j
OJ-MER;ahweal992j;p94p100;2011;93343.0;992;j
OJ-MER;ahweal992j;p94p100;2012;97745.3;992;j
OJ-MER;ahweal992j;p94p100;2013;100705.0;992;j
OJ-MER;ahweal992j;p94p100;2014;104995.8;992;j
OJ-MER;ahweal992j;p94p100;2015;109858.8;992;j
OJ-MER;ahweal992j;p94p100;2016;112169.7;992;j
OJ-MER;ahweal992j;p94p100;2017;113462.7;992;j
OJ-MER;ahweal992j;p94p100;2018;119779.5;992;j
OJ-MER;ahweal992j;p94p100;2019;122336.2;992;j
OJ-MER;ahweal992j;p94p100;2020;120197.9;992;j
OJ-MER;ahweal992j;p94p100;2021;122338.8;992;j
OJ-MER;ahweal992j;p96p100;1995;158467.3;992;j
OJ-MER;ahweal992j;p96p100;1996;174988.8;992;j
OJ-MER;ahweal992j;p96p100;1997;177524.2;992;j
OJ-MER;ahweal992j;p96p100;1998;178801.0;992;j
OJ-MER;ahweal992j;p96p100;1999;174510.6;992;j
OJ-MER;ahweal992j;p96p100;2000;169002.8;992;j
OJ-MER;ahweal992j;p96p100;2001;180173.8;992;j
OJ-MER;ahweal992j;p96p100;2002;172437.3;992;j
OJ-MER;ahweal992j;p96p100;2003;148730.3;992;j
OJ-MER;ahweal992j;p96p100;2004;106632.0;992;j
OJ-MER;ahweal992j;p96p100;2005;108526.4;992;j
OJ-MER;ahweal992j;p96p100;2006;109874.6;992;j
OJ-MER;ahweal992j;p96p100;2007;111515.5;992;j
OJ-MER;ahweal992j;p96p100;2008;111545.8;992;j
OJ-MER;ahweal992j;p96p100;2009;119124.0;992;j
OJ-MER;ahweal992j;p96p100;2010;126123.4;992;j
OJ-MER;ahweal992j;p96p100;2011;128615.2;992;j
