country;variable;percentile;year;value;age;pop
OJ;ahweal992j;p73p100;1995;16316.9;992;j
OJ;ahweal992j;p73p100;1996;17085.9;992;j
OJ;ahweal992j;p73p100;1997;18040.8;992;j
OJ;ahweal992j;p73p100;1998;18460.1;992;j
OJ;ahweal992j;p73p100;1999;17967.7;992;j
OJ;ahweal992j;p73p100;2000;17793.2;992;j
OJ;ahweal992j;p73p100;2001;18942.4;992;j
OJ;ahweal992j;p73p100;2002;20905.0;992;j
OJ;ahweal992j;p73p100;2003;21718.1;992;j
OJ;ahweal992j;p73p100;2004;22561.0;992;j
OJ;ahweal992j;p73p100;2005;23784.3;992;j
OJ;ahweal992j;p73p100;2006;25098.8;992;j
OJ;ahweal992j;p73p100;2007;26170.8;992;j
OJ;ahweal992j;p73p100;2008;27441.9;992;j
OJ;ahweal992j;p73p100;2009;28911.8;992;j
OJ;ahweal992j;p73p100;2010;29631.1;992;j
OJ;ahweal992j;p73p100;2011;30061.6;992;j
OJ;ahweal992j;p73p100;2012;30696.9;992;j
OJ;ahweal992j;p73p100;2013;31867.5;992;j
OJ;ahweal992j;p73p100;2014;33559.0;992;j
OJ;ahweal992j;p73p100;2015;34232.8;992;j
OJ;ahweal992j;p73p100;2016;34135.7;992;j
OJ;ahweal992j;p73p100;2017;34346.9;992;j
OJ;ahweal992j;p73p100;2018;34655.2;992;j
OJ;ahweal992j;p73p100;2019;35456.9;992;j
OJ;ahweal992j;p73p100;2020;35001.4;992;j
OJ;ahweal992j;p73p100;2021;36138.6;992;j
OJ;ahweal992j;p96p100;1995;65259.7;992;j
OJ;ahweal992j;p96p100;1996;68407.9;992;j
OJ;ahweal992j;p96p100;1997;71931.9;992;j
OJ;ahweal992j;p96p100;1998;73298.3;992;j
OJ;ahweal992j;p96p100;1999;71414.3;992;j
OJ;ahweal992j;p96p100;2000;71030.9;992;j
OJ;ahweal992j;p96p100;2001;76200.1;992;j
OJ;ahweal992j;p96p100;2002;84362.0;992;j
OJ;ahweal992j;p96p100;2003;87741.6;992;j
OJ;ahweal992j;p96p100;2004;90923.3;992;j
OJ;ahweal992j;p96p100;2005;95738.3;992;j
OJ;ahweal992j;p96p100;2006;101585.5;992;j
OJ;ahweal992j;p96p100;2007;106194.7;992;j
OJ;ahweal992j;p96p100;2008;112253.2;992;j
OJ;ahweal992j;p96p100;2009;119637.2;992;j
OJ;ahweal992j;p96p100;2010;121409.1;992;j
OJ;ahweal992j;p96p100;2011;122077.9;992;j
OJ;ahweal992j;p96p100;2012;124021.0;992;j
OJ;ahweal992j;p96p100;2013;128820.1;992;j
OJ;ahweal992j;p96p100;2014;137034.9;992;j
OJ;ahweal992j;p96p100;2015;138851.3;992;j
OJ;ahweal992j;p96p100;2016;136959.9;992;j
OJ;ahweal992j;p96p100;2017;136939.1;992;j
OJ;ahweal992j;p96p100;2018;138028.2;992;j
OJ;ahweal992j;p96p100;2019;140912.3;992;j
OJ;ahweal992j;p96p100;2020;137679.4;992;j
OJ;ahweal992j;p96p100;2021;142967.6;992;j
OJ;aptinc992j;p69p70;1980;3275.4;992;j
OJ;aptinc992j;p69p70;1981;3138.0;992;j
OJ;aptinc992j;p69p70;1982;3039.4;992;j
OJ;aptinc992j;p69p70;1983;2847.4;992;j
OJ;aptinc992j;p69p70;1984;2788.5;992;j
OJ;aptinc992j;p69p70;1985;2812.6;992;j
OJ;aptinc992j;p69p70;1986;2814.2;992;j
OJ;aptinc992j;p69p70;1987;2799.4;992;j
OJ;aptinc992j;p69p70;1988;2815.5;992;j
OJ;aptinc992j;p69p70;1989;2812.9;992;j
OJ;aptinc992j;p69p70;1990;2793.9;992;j
OJ;aptinc992j;p69p70;1991;2728.0;992;j
OJ;aptinc992j;p69p70;1992;2673.0;992;j
OJ;aptinc992j;p69p70;1993;2614.2;992;j
OJ;aptinc992j;p69p70;1994;2606.9;992;j
OJ;aptinc992j;p69p70;1995;2665.0;992;j
OJ;aptinc992j;p69p70;1996;2702.1;992;j
OJ;aptinc992j;p69p70;1997;2749.0;992;j
OJ;aptinc992j;p69p70;1998;2790.2;992;j
OJ;aptinc992j;p69p70;1999;2753.7;992;j
OJ;aptinc992j;p69p70;2000;2737.5;992;j
OJ;aptinc992j;p69p70;2001;2812.8;992;j
OJ;aptinc992j;p69p70;2002;2929.3;992;j
OJ;aptinc992j;p69p70;2003;2976.5;992;j
OJ;aptinc992j;p69p70;2004;3067.5;992;j
OJ;aptinc992j;p69p70;2005;3157.6;992;j
OJ;aptinc992j;p69p70;2006;3230.5;992;j
OJ;aptinc992j;p69p70;2007;3314.0;992;j
OJ;aptinc992j;p69p70;2008;3360.6;992;j
OJ;aptinc992j;p69p70;2009;3401.7;992;j
OJ;aptinc992j;p69p70;2010;3577.8;992;j
OJ;aptinc992j;p69p70;2011;3664.0;992;j
OJ;aptinc992j;p69p70;2012;3760.7;992;j
OJ;aptinc992j;p69p70;2013;3883.2;992;j
OJ;aptinc992j;p69p70;2014;4046.0;992;j
OJ;aptinc992j;p69p70;2015;4102.1;992;j
OJ;aptinc992j;p69p70;2016;4080.0;992;j
OJ;aptinc992j;p69p70;2017;4066.2;992;j
OJ;aptinc992j;p69p70;2018;4107.2;992;j
OJ;aptinc992j;p69p70;2019;4118.7;992;j
OJ;aptinc992j;p69p70;2020;3971.0;992;j
OJ;aptinc992j;p69p70;2021;3976.4;992;j
OJ;aptinc992j;p88p100;1980;20888.0;992;j
OJ;aptinc992j;p88p100;1981;19776.8;992;j
OJ;aptinc992j;p88p100;1982;19013.4;992;j
OJ;aptinc992j;p88p100;1983;18106.8;992;j
OJ;aptinc992j;p88p100;1984;17810.5;992;j
OJ;aptinc992j;p88p100;1985;17769.3;992;j
OJ;aptinc992j;p88p100;1986;17879.9;992;j
OJ;aptinc992j;p88p100;1987;17900.4;992;j
OJ;aptinc992j;p88p100;1988;18208.1;992;j
OJ;aptinc992j;p88p100;1989;18392.8;992;j
OJ;aptinc992j;p88p100;1990;18382.7;992;j
OJ;aptinc992j;p88p100;1991;18235.7;992;j
OJ;aptinc992j;p88p100;1992;17923.1;992;j
OJ;aptinc992j;p88p100;1993;16970.8;992;j
OJ;aptinc992j;p88p100;1994;16478.8;992;j
OJ;aptinc992j;p88p100;1995;16770.6;992;j
OJ;aptinc992j;p88p100;1996;17056.8;992;j
OJ;aptinc992j;p88p100;1997;17591.9;992;j
OJ;aptinc992j;p88p100;1998;17698.1;992;j
OJ;aptinc992j;p88p100;1999;17191.5;992;j
OJ;aptinc992j;p88p100;2000;17138.3;992;j
OJ;aptinc992j;p88p100;2001;17658.4;992;j
OJ;aptinc992j;p88p100;2002;18392.3;992;j
OJ;aptinc992j;p88p100;2003;18635.3;992;j
OJ;aptinc992j;p88p100;2004;19268.5;992;j
OJ;aptinc992j;p88p100;2005;20102.7;992;j
OJ;aptinc992j;p88p100;2006;20721.5;992;j
OJ;aptinc992j;p88p100;2007;21302.5;992;j
OJ;aptinc992j;p88p100;2008;21742.2;992;j
OJ;aptinc992j;p88p100;2009;22119.1;992;j
OJ;aptinc992j;p88p100;2010;22674.5;992;j
OJ;aptinc992j;p88p100;2011;22912.3;992;j
OJ;aptinc992j;p88p100;2012;23112.3;992;j
OJ;aptinc992j;p88p100;2013;23605.0;992;j
OJ;aptinc992j;p88p100;2014;24332.2;992;j
OJ;aptinc992j;p88p100;2015;24326.1;992;j
OJ;aptinc992j;p88p100;2016;23808.2;992;j
OJ;aptinc992j;p88p100;2017;23544.3;992;j
OJ;aptinc992j;p88p100;2018;23354.5;992;j
OJ;aptinc992j;p88p100;2019;23219.0;992;j
OJ;aptinc992j;p88p100;2020;22219.4;992;j
OJ;aptinc992j;p88p100;2021;22262.2;992;j
OJ;bhweal992j;p32p100;1995;22.9633483886719;992;j
OJ;bhweal992j;p32p100;1996;21.7509288787842;992;j
OJ;bhweal992j;p32p100;1997;20.1624717712402;992;j
OJ;bhweal992j;p32p100;1998;19.8093681335449;992;j
OJ;bhweal992j;p32p100;1999;19.3174057006836;992;j
OJ;bhweal992j;p32p100;2000;19.6031951904297;992;j
OJ;bhweal992j;p32p100;2001;20.5928840637207;992;j
OJ;bhweal992j;p32p100;2002;21.7827816009521;992;j
OJ;bhweal992j;p32p100;2003;21.8963890075684;992;j
OJ;bhweal992j;p32p100;2004;21.8403663635254;992;j
OJ;bhweal992j;p32p100;2005;22.4911212921143;992;j
OJ;bhweal992j;p32p100;2006;22.4221038818359;992;j
OJ;bhweal992j;p32p100;2007;22.3063468933106;992;j
OJ;bhweal992j;p32p100;2008;22.6314315795898;992;j
OJ;bhweal992j;p32p100;2009;22.7323055267334;992;j
OJ;bhweal992j;p32p100;2010;22.5173034667969;992;j
OJ;bhweal992j;p32p100;2011;21.9293422698975;992;j
OJ;bhweal992j;p32p100;2012;21.3846759796143;992;j
OJ;bhweal992j;p32p100;2013;21.7306423187256;992;j
OJ;bhweal992j;p32p100;2014;21.9013671875;992;j
OJ;bhweal992j;p32p100;2015;21.7713565826416;992;j
OJ;bhweal992j;p32p100;2016;21.3496379852295;992;j
OJ;bhweal992j;p32p100;2017;21.1806659698486;992;j
OJ;bhweal992j;p32p100;2018;20.8016719818115;992;j
OJ;bhweal992j;p32p100;2019;20.5496692657471;992;j
OJ;bhweal992j;p32p100;2020;20.1974792480469;992;j
OJ;bhweal992j;p32p100;2021;20.2964115142822;992;j
OJ;sptinc992j;p97p100;1980;0.3353;992;j
OJ;sptinc992j;p97p100;1981;0.3356;992;j
OJ;sptinc992j;p97p100;1982;0.3344;992;j
OJ;sptinc992j;p97p100;1983;0.3381;992;j
OJ;sptinc992j;p97p100;1984;0.3419;992;j
OJ;sptinc992j;p97p100;1985;0.3393;992;j
OJ;sptinc992j;p97p100;1986;0.3397;992;j
OJ;sptinc992j;p97p100;1987;0.3404;992;j
OJ;sptinc992j;p97p100;1988;0.3421;992;j
OJ;sptinc992j;p97p100;1989;0.344;992;j
OJ;sptinc992j;p97p100;1990;0.3439;992;j
OJ;sptinc992j;p97p100;1991;0.3463;992;j
OJ;sptinc992j;p97p100;1992;0.3443;992;j
OJ;sptinc992j;p97p100;1993;0.337;992;j
OJ;sptinc992j;p97p100;1994;0.3321;992;j
OJ;sptinc992j;p97p100;1995;0.3321;992;j
OJ;sptinc992j;p97p100;1996;0.3336;992;j
OJ;sptinc992j;p97p100;1997;0.3367;992;j
OJ;sptinc992j;p97p100;1998;0.3365;992;j
OJ;sptinc992j;p97p100;1999;0.3334;992;j
OJ;sptinc992j;p97p100;2000;0.3352;992;j
OJ;sptinc992j;p97p100;2001;0.3364;992;j
OJ;sptinc992j;p97p100;2002;0.3362;992;j
OJ;sptinc992j;p97p100;2003;0.3332;992;j
OJ;sptinc992j;p97p100;2004;0.3345;992;j
OJ;sptinc992j;p97p100;2005;0.337;992;j
OJ;sptinc992j;p97p100;2006;0.3373;992;j
OJ;sptinc992j;p97p100;2007;0.3355;992;j
OJ;sptinc992j;p97p100;2008;0.3371;992;j
OJ;sptinc992j;p97p100;2009;0.3374;992;j
OJ;sptinc992j;p97p100;2010;0.3331;992;j
OJ;sptinc992j;p97p100;2011;0.3299;992;j
OJ;sptinc992j;p97p100;2012;0.3259;992;j
OJ;sptinc992j;p97p100;2013;0.3235;992;j
OJ;sptinc992j;p97p100;2014;0.3205;992;j
OJ;sptinc992j;p97p100;2015;0.317;992;j
OJ;sptinc992j;p97p100;2016;0.314;992;j
OJ;sptinc992j;p97p100;2017;0.3133;992;j
OJ;sptinc992j;p97p100;2018;0.3098;992;j
OJ;sptinc992j;p97p100;2019;0.3073;992;j
OJ;sptinc992j;p97p100;2020;0.306;992;j
OJ;sptinc992j;p97p100;2021;0.3059;992;j
OJ;sptinc992j;p99.993p100;1980;0.0199;992;j
OJ;sptinc992j;p99.993p100;1981;0.0211;992;j
OJ;sptinc992j;p99.993p100;1982;0.0216;992;j
OJ;sptinc992j;p99.993p100;1983;0.0223;992;j
OJ;sptinc992j;p99.993p100;1984;0.0229;992;j
OJ;sptinc992j;p99.993p100;1985;0.0229;992;j
OJ;sptinc992j;p99.993p100;1986;0.0229;992;j
OJ;sptinc992j;p99.993p100;1987;0.0231;992;j
OJ;sptinc992j;p99.993p100;1988;0.0233;992;j
