country;variable;percentile;year;value;age;pop
PS;ahweal992j;p37p100;1995;4151.0;992;j
PS;ahweal992j;p37p100;1996;4305.4;992;j
PS;ahweal992j;p37p100;1997;4977.0;992;j
PS;ahweal992j;p37p100;1998;6033.2;992;j
PS;ahweal992j;p37p100;1999;6589.1;992;j
PS;ahweal992j;p37p100;2000;5605.1;992;j
PS;ahweal992j;p37p100;2001;4963.6;992;j
PS;ahweal992j;p37p100;2002;4344.1;992;j
PS;ahweal992j;p37p100;2003;5103.2;992;j
PS;ahweal992j;p37p100;2004;6669.3;992;j
PS;ahweal992j;p37p100;2005;7686.1;992;j
PS;ahweal992j;p37p100;2006;7968.1;992;j
PS;ahweal992j;p37p100;2007;8475.0;992;j
PS;ahweal992j;p37p100;2008;9189.3;992;j
PS;ahweal992j;p37p100;2009;9805.0;992;j
PS;ahweal992j;p37p100;2010;10289.9;992;j
PS;ahweal992j;p37p100;2011;11231.2;992;j
PS;ahweal992j;p37p100;2012;11902.6;992;j
PS;ahweal992j;p37p100;2013;12625.9;992;j
PS;ahweal992j;p37p100;2014;12869.0;992;j
PS;ahweal992j;p37p100;2015;13599.6;992;j
PS;ahweal992j;p37p100;2016;15039.1;992;j
PS;ahweal992j;p37p100;2017;15492.2;992;j
PS;ahweal992j;p37p100;2018;16468.1;992;j
PS;ahweal992j;p37p100;2019;16805.3;992;j
PS;ahweal992j;p37p100;2020;15172.4;992;j
PS;ahweal992j;p37p100;2021;16384.4;992;j
PS;aptinc992j;p0p99.94;1980;5281897.5;992;j
PS;aptinc992j;p0p99.94;1981;4779603.0;992;j
PS;aptinc992j;p0p99.94;1982;5036867.5;992;j
PS;aptinc992j;p0p99.94;1983;4653578.0;992;j
PS;aptinc992j;p0p99.94;1984;4716653.0;992;j
PS;aptinc992j;p0p99.94;1985;4505748.5;992;j
PS;aptinc992j;p0p99.94;1986;5219544.5;992;j
PS;aptinc992j;p0p99.94;1987;4875100.5;992;j
PS;aptinc992j;p0p99.94;1988;4610578.0;992;j
PS;aptinc992j;p0p99.94;1989;4518370.0;992;j
PS;aptinc992j;p0p99.94;1990;5189914.0;992;j
