country;variable;percentile;year;value;age;pop
PW;acompx999i;p0p100;2005;-297.1;999;i
PW;acompx999i;p0p100;2006;-179.0;999;i
PW;acompx999i;p0p100;2007;-274.4;999;i
PW;acompx999i;p0p100;2008;-172.6;999;i
PW;acompx999i;p0p100;2009;4.3;999;i
PW;acompx999i;p0p100;2010;-173.8;999;i
PW;acompx999i;p0p100;2011;-385.2;999;i
PW;acompx999i;p0p100;2012;-555.2;999;i
PW;acompx999i;p0p100;2013;-439.9;999;i
PW;acompx999i;p0p100;2014;-601.8;999;i
PW;acompx999i;p0p100;2015;-626.9;999;i
PW;acompx999i;p0p100;2016;-954.2;999;i
PW;acompx999i;p0p100;2017;-492.4;999;i
PW;inyixx999i;p0p100;1970;0.072143167257309;999;i
PW;inyixx999i;p0p100;1971;0.0791230127215385;999;i
PW;inyixx999i;p0p100;1972;0.0866450220346451;999;i
PW;inyixx999i;p0p100;1973;0.0950254499912262;999;i
PW;inyixx999i;p0p100;1974;0.104347348213196;999;i
PW;inyixx999i;p0p100;1975;0.114703603088856;999;i
PW;inyixx999i;p0p100;1976;0.12555693089962;999;i
PW;inyixx999i;p0p100;1977;0.136432379484177;999;i
PW;inyixx999i;p0p100;1978;0.150757789611816;999;i
PW;inyixx999i;p0p100;1979;0.166587322950363;999;i
PW;inyixx999i;p0p100;1980;0.184079006314278;999;i
PW;inyixx999i;p0p100;1981;0.203407317399979;999;i
PW;inyixx999i;p0p100;1982;0.223396226763725;999;i
PW;inyixx999i;p0p100;1983;0.241267934441566;999;i
PW;inyixx999i;p0p100;1984;0.260569363832474;999;i
PW;inyixx999i;p0p100;1985;0.281414926052094;999;i
PW;inyixx999i;p0p100;1986;0.303928107023239;999;i
PW;inyixx999i;p0p100;1987;0.328242361545563;999;i
PW;inyixx999i;p0p100;1988;0.354501754045487;999;i
PW;inyixx999i;p0p100;1989;0.382861882448196;999;i
PW;inyixx999i;p0p100;1990;0.410450458526611;999;i
PW;inyixx999i;p0p100;1991;0.430972993373871;999;i
PW;inyixx999i;p0p100;1992;0.452493876218796;999;i
PW;inyixx999i;p0p100;1993;0.467584490776062;999;i
PW;inyixx999i;p0p100;1994;0.467555165290833;999;i
PW;inyixx999i;p0p100;1995;0.491447597742081;999;i
PW;inyixx999i;p0p100;1996;0.52571177482605;999;i
PW;inyixx999i;p0p100;1997;0.543218910694122;999;i
PW;inyixx999i;p0p100;1998;0.549837172031403;999;i
PW;inyixx999i;p0p100;1999;0.565982341766357;999;i
PW;inyixx999i;p0p100;2000;0.6178218126297;999;i
PW;inyixx999i;p0p100;2001;0.621983706951141;999;i
PW;inyixx999i;p0p100;2002;0.620028138160706;999;i
PW;inyixx999i;p0p100;2003;0.612009465694427;999;i
PW;inyixx999i;p0p100;2004;0.639572381973267;999;i
PW;inyixx999i;p0p100;2005;0.692948818206787;999;i
PW;inyixx999i;p0p100;2006;0.702669382095337;999;i
PW;inyixx999i;p0p100;2007;0.720006704330444;999;i
PW;inyixx999i;p0p100;2008;0.753265619277954;999;i
PW;inyixx999i;p0p100;2009;0.758271992206573;999;i
PW;inyixx999i;p0p100;2010;0.750865459442139;999;i
PW;inyixx999i;p0p100;2011;0.758082926273346;999;i
PW;inyixx999i;p0p100;2012;0.807550132274628;999;i
PW;inyixx999i;p0p100;2013;0.859652757644653;999;i
PW;inyixx999i;p0p100;2014;0.895094692707062;999;i
PW;inyixx999i;p0p100;2015;0.962468445301056;999;i
PW;inyixx999i;p0p100;2016;1.00549364089966;999;i
PW;inyixx999i;p0p100;2017;0.99683666229248;999;i
PW;inyixx999i;p0p100;2018;0.991516768932343;999;i
PW;inyixx999i;p0p100;2019;0.987947046756744;999;i
PW;inyixx999i;p0p100;2020;0.990102708339691;999;i
PW;inyixx999i;p0p100;2021;1.0;999;i
PW;mptfop999i;p0p100;2005;212692.0;999;i
PW;mptfop999i;p0p100;2006;1251869.0;999;i
PW;mptfop999i;p0p100;2007;474488.0;999;i
PW;mptfop999i;p0p100;2008;800890.0;999;i
PW;mptfop999i;p0p100;2009;2584450.0;999;i
PW;mptfop999i;p0p100;2010;2262796.0;999;i
PW;mptfop999i;p0p100;2011;859655.0;999;i
PW;mptfop999i;p0p100;2012;-396081.0;999;i
PW;mptfop999i;p0p100;2013;1351592.0;999;i
PW;mptfop999i;p0p100;2014;1815519.0;999;i
PW;mptfop999i;p0p100;2015;1705990.0;999;i
PW;mptfop999i;p0p100;2016;177674.0;999;i
PW;mptfop999i;p0p100;2017;2450184.0;999;i
PW;mfinpx999i;p0p100;2000;37424504.0;999;i
PW;mfinpx999i;p0p100;2001;41617332.0;999;i
PW;mfinpx999i;p0p100;2002;41947164.0;999;i
PW;mfinpx999i;p0p100;2003;36532664.0;999;i
PW;mfinpx999i;p0p100;2004;33753560.0;999;i
PW;mfinpx999i;p0p100;2005;7515157.0;999;i
PW;mfinpx999i;p0p100;2006;6515361.0;999;i
PW;mfinpx999i;p0p100;2007;7165632.0;999;i
PW;mfinpx999i;p0p100;2008;5881471.0;999;i
PW;mfinpx999i;p0p100;2009;1746889.0;999;i
PW;mfinpx999i;p0p100;2010;4329780.0;999;i
PW;mfinpx999i;p0p100;2011;10593320.0;999;i
PW;mfinpx999i;p0p100;2012;10052841.0;999;i
PW;mfinpx999i;p0p100;2013;14854876.0;999;i
PW;mfinpx999i;p0p100;2014;18438378.0;999;i
PW;mfinpx999i;p0p100;2015;20789780.0;999;i
PW;mfinpx999i;p0p100;2016;29391914.0;999;i
PW;mfinpx999i;p0p100;2017;15362003.0;999;i
PW;mfinpx999i;p0p100;2018;18008756.0;999;i
PW;mpinnx999i;p0p100;2005;-12678326.0;999;i
PW;mpinnx999i;p0p100;2006;-5160633.0;999;i
PW;mpinnx999i;p0p100;2007;-8906585.0;999;i
PW;mpinnx999i;p0p100;2008;-624516.0;999;i
PW;mpinnx999i;p0p100;2009;12215487.0;999;i
PW;mpinnx999i;p0p100;2010;3383976.0;999;i
PW;mpinnx999i;p0p100;2011;-9969908.0;999;i
PW;mpinnx999i;p0p100;2012;-19883486.0;999;i
PW;mpinnx999i;p0p100;2013;-13558325.0;999;i
PW;mpinnx999i;p0p100;2014;-23045904.0;999;i
PW;mpinnx999i;p0p100;2015;-24103376.0;999;i
PW;mpinnx999i;p0p100;2016;-46326200.0;999;i
PW;mpinnx999i;p0p100;2017;-12712208.0;999;i
PW;ansrho999i;p0p100;2000;253.7;999;i
PW;ansrho999i;p0p100;2001;285.5;999;i
PW;ansrho999i;p0p100;2002;214.0;999;i
PW;ansrho999i;p0p100;2003;180.9;999;i
PW;ansrho999i;p0p100;2004;478.1;999;i
PW;ansrho999i;p0p100;2005;948.6;999;i
PW;ansrho999i;p0p100;2006;1059.0;999;i
PW;ansrho999i;p0p100;2007;954.6;999;i
PW;ansrho999i;p0p100;2008;815.3;999;i
PW;ansrho999i;p0p100;2009;808.6;999;i
PW;ansrho999i;p0p100;2010;749.8;999;i
PW;ansrho999i;p0p100;2011;753.3;999;i
PW;ansrho999i;p0p100;2012;656.7;999;i
PW;ansrho999i;p0p100;2013;599.1;999;i
PW;ansrho999i;p0p100;2014;570.0;999;i
PW;ansrho999i;p0p100;2015;508.8;999;i
PW;ansrho999i;p0p100;2016;509.8;999;i
PW;ansrho999i;p0p100;2017;539.8;999;i
PW;ansrho999i;p0p100;2018;540.8;999;i
PW;mnsmhn999i;p0p100;2000;8248879.0;999;i
PW;mnsmhn999i;p0p100;2001;8886333.0;999;i
PW;mnsmhn999i;p0p100;2002;7733422.0;999;i
PW;mnsmhn999i;p0p100;2003;6930009.0;999;i
PW;mnsmhn999i;p0p100;2004;13223319.0;999;i
PW;mnsmhn999i;p0p100;2005;22442938.0;999;i
PW;mnsmhn999i;p0p100;2006;24579556.0;999;i
PW;mnsmhn999i;p0p100;2007;21793626.0;999;i
PW;mnsmhn999i;p0p100;2008;18772724.0;999;i
PW;mnsmhn999i;p0p100;2009;18701702.0;999;i
PW;mnsmhn999i;p0p100;2010;17506098.0;999;i
PW;mnsmhn999i;p0p100;2011;17672646.0;999;i
PW;mnsmhn999i;p0p100;2012;15516700.0;999;i
PW;mnsmhn999i;p0p100;2013;14569896.0;999;i
PW;mnsmhn999i;p0p100;2014;13994134.0;999;i
PW;mnsmhn999i;p0p100;2015;12498522.0;999;i
PW;mnsmhn999i;p0p100;2016;12464351.0;999;i
PW;mnsmhn999i;p0p100;2017;13169762.0;999;i
PW;mnsmhn999i;p0p100;2018;13304554.0;999;i
PW;annfin999i;p0p100;2000;-2414.2;999;i
PW;annfin999i;p0p100;2001;-2497.3;999;i
PW;annfin999i;p0p100;2002;-2616.9;999;i
PW;annfin999i;p0p100;2003;-2324.5;999;i
PW;annfin999i;p0p100;2004;-2245.4;999;i
PW;annfin999i;p0p100;2005;-351.2;999;i
PW;annfin999i;p0p100;2006;-89.1;999;i
PW;annfin999i;p0p100;2007;-199.0;999;i
PW;annfin999i;p0p100;2008;133.3;999;i
PW;annfin999i;p0p100;2009;677.2;999;i
PW;annfin999i;p0p100;2010;366.9;999;i
PW;annfin999i;p0p100;2011;-185.3;999;i
PW;annfin999i;p0p100;2012;-595.6;999;i
PW;annfin999i;p0p100;2013;-329.8;999;i
PW;annfin999i;p0p100;2014;-700.3;999;i
PW;annfin999i;p0p100;2015;-725.9;999;i
PW;annfin999i;p0p100;2016;-1665.4;999;i
PW;annfin999i;p0p100;2017;-190.6;999;i
PW;annfin999i;p0p100;2018;-492.9;999;i
PW;annfin999i;p0p100;2019;-471.6;999;i
PW;annfin999i;p0p100;2020;-423.1;999;i
PW;annfin999i;p0p100;2021;-376.1;999;i
PW;agsrnf999i;p0p100;2000;3034.2;999;i
PW;agsrnf999i;p0p100;2001;3142.1;999;i
PW;agsrnf999i;p0p100;2002;3102.0;999;i
