country;variable;percentile;year;value;age;pop
QB;ahweal992j;p57p58;1995;1562.9;992;j
QB;ahweal992j;p57p58;1996;1658.7;992;j
QB;ahweal992j;p57p58;1997;1770.1;992;j
QB;ahweal992j;p57p58;1998;1844.9;992;j
QB;ahweal992j;p57p58;1999;1849.4;992;j
QB;ahweal992j;p57p58;2000;1819.8;992;j
QB;ahweal992j;p57p58;2001;1891.9;992;j
QB;ahweal992j;p57p58;2002;1981.7;992;j
QB;ahweal992j;p57p58;2003;2075.1;992;j
QB;ahweal992j;p57p58;2004;2201.5;992;j
QB;ahweal992j;p57p58;2005;2367.8;992;j
QB;ahweal992j;p57p58;2006;2523.4;992;j
QB;ahweal992j;p57p58;2007;2632.0;992;j
QB;ahweal992j;p57p58;2008;2716.0;992;j
QB;ahweal992j;p57p58;2009;2846.0;992;j
QB;ahweal992j;p57p58;2010;2975.5;992;j
QB;ahweal992j;p57p58;2011;3081.5;992;j
QB;ahweal992j;p57p58;2012;3201.8;992;j
QB;ahweal992j;p57p58;2013;3279.9;992;j
QB;ahweal992j;p57p58;2014;3434.6;992;j
QB;ahweal992j;p57p58;2015;3544.7;992;j
QB;ahweal992j;p57p58;2016;3588.6;992;j
QB;ahweal992j;p57p58;2017;3685.2;992;j
QB;ahweal992j;p57p58;2018;3772.4;992;j
QB;ahweal992j;p57p58;2019;3905.4;992;j
QB;ahweal992j;p57p58;2020;3917.7;992;j
QB;ahweal992j;p57p58;2021;4073.0;992;j
QB;ahweal992j;p59p60;1995;1728.4;992;j
QB;ahweal992j;p59p60;1996;1827.8;992;j
QB;ahweal992j;p59p60;1997;1946.9;992;j
QB;ahweal992j;p59p60;1998;2033.1;992;j
QB;ahweal992j;p59p60;1999;2037.0;992;j
QB;ahweal992j;p59p60;2000;2004.3;992;j
QB;ahweal992j;p59p60;2001;2086.9;992;j
QB;ahweal992j;p59p60;2002;2184.5;992;j
QB;ahweal992j;p59p60;2003;2283.2;992;j
QB;ahweal992j;p59p60;2004;2431.4;992;j
QB;ahweal992j;p59p60;2005;2610.5;992;j
QB;ahweal992j;p59p60;2006;2796.5;992;j
QB;ahweal992j;p59p60;2007;2913.1;992;j
QB;ahweal992j;p59p60;2008;3013.1;992;j
QB;ahweal992j;p59p60;2009;3155.2;992;j
QB;ahweal992j;p59p60;2010;3285.6;992;j
QB;ahweal992j;p59p60;2011;3408.9;992;j
QB;ahweal992j;p59p60;2012;3529.3;992;j
QB;ahweal992j;p59p60;2013;3620.5;992;j
QB;ahweal992j;p59p60;2014;3790.2;992;j
QB;ahweal992j;p59p60;2015;3901.4;992;j
QB;ahweal992j;p59p60;2016;3964.5;992;j
QB;ahweal992j;p59p60;2017;4065.5;992;j
QB;ahweal992j;p59p60;2018;4162.0;992;j
QB;ahweal992j;p59p60;2019;4313.2;992;j
QB;ahweal992j;p59p60;2020;4330.6;992;j
QB;ahweal992j;p59p60;2021;4512.2;992;j
QB;bhweal992j;p78p100;1995;5.65616989135742;992;j
QB;bhweal992j;p78p100;1996;5.5268611907959;992;j
QB;bhweal992j;p78p100;1997;5.36983108520508;992;j
QB;bhweal992j;p78p100;1998;5.2004075050354;992;j
QB;bhweal992j;p78p100;1999;5.18419551849365;992;j
QB;bhweal992j;p78p100;2000;5.22797060012817;992;j
QB;bhweal992j;p78p100;2001;5.25830411911011;992;j
QB;bhweal992j;p78p100;2002;5.19384288787842;992;j
QB;bhweal992j;p78p100;2003;5.19561004638672;992;j
QB;bhweal992j;p78p100;2004;5.16355133056641;992;j
QB;bhweal992j;p78p100;2005;5.19390726089478;992;j
QB;bhweal992j;p78p100;2006;5.30299949645996;992;j
QB;bhweal992j;p78p100;2007;5.43822622299194;992;j
QB;bhweal992j;p78p100;2008;5.38018703460693;992;j
QB;bhweal992j;p78p100;2009;5.30068778991699;992;j
QB;bhweal992j;p78p100;2010;5.20788669586182;992;j
QB;bhweal992j;p78p100;2011;5.09164524078369;992;j
QB;bhweal992j;p78p100;2012;5.01149463653565;992;j
