country;variable;percentile;year;value;age;pop
QC-MER;wwealn999i;p0p100;1995;3.51370191574097;999;i
QC-MER;wwealn999i;p0p100;1996;3.62525582313538;999;i
QC-MER;wwealn999i;p0p100;1997;3.77083611488342;999;i
QC-MER;wwealn999i;p0p100;1998;4.00099658966065;999;i
QC-MER;wwealn999i;p0p100;1999;4.25280380249023;999;i
QC-MER;wwealn999i;p0p100;2000;4.27341413497925;999;i
QC-MER;wwealn999i;p0p100;2001;4.26094245910645;999;i
QC-MER;wwealn999i;p0p100;2002;4.15457773208618;999;i
QC-MER;wwealn999i;p0p100;2003;4.19235181808472;999;i
QC-MER;wwealn999i;p0p100;2004;4.41138792037964;999;i
QC-MER;wwealn999i;p0p100;2005;4.62532711029053;999;i
QC-MER;wwealn999i;p0p100;2006;4.7540020942688;999;i
QC-MER;wwealn999i;p0p100;2007;4.86256170272827;999;i
QC-MER;wwealn999i;p0p100;2008;4.48760223388672;999;i
QC-MER;wwealn999i;p0p100;2009;4.19537305831909;999;i
QC-MER;wwealn999i;p0p100;2010;4.08721351623535;999;i
QC-MER;wwealn999i;p0p100;2011;4.02838325500488;999;i
QC-MER;wwealn999i;p0p100;2012;3.98675513267517;999;i
QC-MER;wwealn999i;p0p100;2013;4.23153400421143;999;i
QC-MER;wwealn999i;p0p100;2014;4.40548133850098;999;i
QC-MER;wwealn999i;p0p100;2015;4.46339654922485;999;i
QC-MER;wwealn999i;p0p100;2016;4.56211042404175;999;i
QC-MER;wwealn999i;p0p100;2017;4.74428081512451;999;i
QC-MER;wwealn999i;p0p100;2018;4.75397872924805;999;i
QC-MER;wwealn999i;p0p100;2019;4.88863801956177;999;i
QC-MER;wwealn999i;p0p100;2020;5.58296871185303;999;i
QC-MER;wwealn999i;p0p100;2021;5.82391262054443;999;i
QC-MER;mgdpro999i;p0p100;1950;491916039552.0;999;i
QC-MER;mgdpro999i;p0p100;1951;518748679552.0;999;i
QC-MER;mgdpro999i;p0p100;1952;545098453632.0;999;i
QC-MER;mgdpro999i;p0p100;1953;567944940672.0;999;i
QC-MER;mgdpro999i;p0p100;1954;590534304384.0;999;i
QC-MER;mgdpro999i;p0p100;1955;634861267840.0;999;i
QC-MER;mgdpro999i;p0p100;1956;670543050752.0;999;i
QC-MER;mgdpro999i;p0p100;1957;711497312000.0;999;i
QC-MER;mgdpro999i;p0p100;1958;740755994368.0;999;i
QC-MER;mgdpro999i;p0p100;1959;763915153408.0;999;i
QC-MER;mgdpro999i;p0p100;1960;3943729149928.0;999;i
QC-MER;mgdpro999i;p0p100;1961;4076519748952.0;999;i
QC-MER;mgdpro999i;p0p100;1962;4324228837408.0;999;i
QC-MER;mgdpro999i;p0p100;1963;4504762194560.0;999;i
QC-MER;mgdpro999i;p0p100;1964;4777361173216.0;999;i
QC-MER;mgdpro999i;p0p100;1965;5077088798312.0;999;i
QC-MER;mgdpro999i;p0p100;1966;5399205091672.0;999;i
QC-MER;mgdpro999i;p0p100;1967;5559507669376.0;999;i
QC-MER;mgdpro999i;p0p100;1968;5850273552768.0;999;i
QC-MER;mgdpro999i;p0p100;1969;6064196424192.0;999;i
QC-MER;mgdpro999i;p0p100;1970;6137746061276.0;999;i
QC-MER;mgdpro999i;p0p100;1971;6368186550488.0;999;i
QC-MER;mgdpro999i;p0p100;1972;6724137195000.0;999;i
QC-MER;mgdpro999i;p0p100;1973;7143452241744.0;999;i
QC-MER;mgdpro999i;p0p100;1974;7204457082972.0;999;i
QC-MER;mgdpro999i;p0p100;1975;7244058432912.0;999;i
QC-MER;mgdpro999i;p0p100;1976;7642186513984.0;999;i
QC-MER;mgdpro999i;p0p100;1977;7993199466176.0;999;i
QC-MER;mgdpro999i;p0p100;1978;8412784323964.0;999;i
QC-MER;mgdpro999i;p0p100;1979;8734401279132.0;999;i
QC-MER;mgdpro999i;p0p100;1980;8822798480304.0;999;i
QC-MER;mgdpro999i;p0p100;1981;9023817944160.0;999;i
QC-MER;mgdpro999i;p0p100;1982;8876096925608.0;999;i
QC-MER;mgdpro999i;p0p100;1983;9148849005528.0;999;i
QC-MER;mgdpro999i;p0p100;1984;9744487732120.0;999;i
QC-MER;mgdpro999i;p0p100;1985;10138023288936.0;999;i
QC-MER;mgdpro999i;p0p100;1986;10479843711160.0;999;i
QC-MER;mgdpro999i;p0p100;1987;10861767738336.0;999;i
QC-MER;mgdpro999i;p0p100;1988;11276263812352.0;999;i
QC-MER;mgdpro999i;p0p100;1989;11632226722768.0;999;i
QC-MER;mgdpro999i;p0p100;1990;11805120707568.0;999;i
QC-MER;mgdpro999i;p0p100;1991;11862325458400.0;999;i
QC-MER;mgdpro999i;p0p100;1992;12248856193296.0;999;i
QC-MER;mgdpro999i;p0p100;1993;12727672644096.0;999;i
QC-MER;mgdpro999i;p0p100;1994;13263983327680.0;999;i
QC-MER;mgdpro999i;p0p100;1995;13582342223328.0;999;i
QC-MER;mgdpro999i;p0p100;1996;14054379655392.0;999;i
QC-MER;mgdpro999i;p0p100;1997;14705759595008.0;999;i
QC-MER;mgdpro999i;p0p100;1998;15315419917504.0;999;i
QC-MER;mgdpro999i;p0p100;1999;15937285140224.0;999;i
QC-MER;mgdpro999i;p0p100;2000;16611089528768.0;999;i
QC-MER;mgdpro999i;p0p100;2001;16766059420512.0;999;i
QC-MER;mgdpro999i;p0p100;2002;17020669174240.0;999;i
QC-MER;mgdpro999i;p0p100;2003;17411982783808.0;999;i
QC-MER;mgdpro999i;p0p100;2004;18146645961056.0;999;i
QC-MER;mgdpro999i;p0p100;2005;18794001667776.0;999;i
QC-MER;mgdpro999i;p0p100;2006;19401491913664.0;999;i
QC-MER;mgdpro999i;p0p100;2007;19889878429920.0;999;i
QC-MER;mgdpro999i;p0p100;2008;20028054059072.0;999;i
QC-MER;mgdpro999i;p0p100;2009;19535386481664.0;999;i
