country;variable;percentile;year;value;age;pop
QD-MER;ahweal992j;p39p100;1995;22095.0;992;j
QD-MER;ahweal992j;p39p100;1996;22418.6;992;j
QD-MER;ahweal992j;p39p100;1997;23134.2;992;j
QD-MER;ahweal992j;p39p100;1998;23356.7;992;j
QD-MER;ahweal992j;p39p100;1999;24100.3;992;j
QD-MER;ahweal992j;p39p100;2000;24979.2;992;j
QD-MER;ahweal992j;p39p100;2001;25085.6;992;j
QD-MER;ahweal992j;p39p100;2002;26033.2;992;j
QD-MER;ahweal992j;p39p100;2003;27045.4;992;j
QD-MER;ahweal992j;p39p100;2004;28463.2;992;j
QD-MER;ahweal992j;p39p100;2005;30216.0;992;j
QD-MER;ahweal992j;p39p100;2006;32355.3;992;j
QD-MER;ahweal992j;p39p100;2007;34256.9;992;j
QD-MER;ahweal992j;p39p100;2008;34736.5;992;j
QD-MER;ahweal992j;p39p100;2009;36277.0;992;j
QD-MER;ahweal992j;p39p100;2010;38045.1;992;j
QD-MER;ahweal992j;p39p100;2011;39271.0;992;j
QD-MER;ahweal992j;p39p100;2012;40980.5;992;j
QD-MER;ahweal992j;p39p100;2013;43597.7;992;j
QD-MER;ahweal992j;p39p100;2014;45796.4;992;j
QD-MER;ahweal992j;p39p100;2015;47632.1;992;j
QD-MER;ahweal992j;p39p100;2016;50236.1;992;j
QD-MER;ahweal992j;p39p100;2017;51989.3;992;j
QD-MER;ahweal992j;p39p100;2018;53892.6;992;j
QD-MER;ahweal992j;p39p100;2019;57237.8;992;j
QD-MER;ahweal992j;p39p100;2020;57460.2;992;j
QD-MER;ahweal992j;p39p100;2021;59631.2;992;j
QD-MER;aptinc992j;p99.96p99.97;1980;308457.2;992;j
QD-MER;aptinc992j;p99.96p99.97;1981;300507.1;992;j
QD-MER;aptinc992j;p99.96p99.97;1982;295567.7;992;j
QD-MER;aptinc992j;p99.96p99.97;1983;291296.6;992;j
QD-MER;aptinc992j;p99.96p99.97;1984;274653.4;992;j
QD-MER;aptinc992j;p99.96p99.97;1985;284774.1;992;j
