country;variable;percentile;year;value;age;pop
QD;ahweal992j;p12p100;1995;19070.4;992;j
QD;ahweal992j;p12p100;1996;19849.5;992;j
QD;ahweal992j;p12p100;1997;20858.6;992;j
QD;ahweal992j;p12p100;1998;21361.2;992;j
QD;ahweal992j;p12p100;1999;22154.5;992;j
QD;ahweal992j;p12p100;2000;23082.0;992;j
QD;ahweal992j;p12p100;2001;23472.4;992;j
QD;ahweal992j;p12p100;2002;24691.6;992;j
QD;ahweal992j;p12p100;2003;26114.2;992;j
QD;ahweal992j;p12p100;2004;27725.8;992;j
QD;ahweal992j;p12p100;2005;29837.3;992;j
QD;ahweal992j;p12p100;2006;32548.9;992;j
QD;ahweal992j;p12p100;2007;35287.6;992;j
QD;ahweal992j;p12p100;2008;36360.1;992;j
QD;ahweal992j;p12p100;2009;38144.0;992;j
QD;ahweal992j;p12p100;2010;40431.4;992;j
QD;ahweal992j;p12p100;2011;41629.5;992;j
QD;ahweal992j;p12p100;2012;43955.0;992;j
QD;ahweal992j;p12p100;2013;46581.2;992;j
QD;ahweal992j;p12p100;2014;49232.4;992;j
QD;ahweal992j;p12p100;2015;51924.4;992;j
QD;ahweal992j;p12p100;2016;54803.2;992;j
QD;ahweal992j;p12p100;2017;56791.9;992;j
QD;ahweal992j;p12p100;2018;59302.6;992;j
QD;ahweal992j;p12p100;2019;62976.1;992;j
QD;ahweal992j;p12p100;2020;62880.6;992;j
QD;ahweal992j;p12p100;2021;67856.4;992;j
QD;ahweal992j;p14p100;1995;19505.2;992;j
QD;ahweal992j;p14p100;1996;20301.4;992;j
QD;ahweal992j;p14p100;1997;21333.2;992;j
QD;ahweal992j;p14p100;1998;21846.9;992;j
QD;ahweal992j;p14p100;1999;22658.3;992;j
QD;ahweal992j;p14p100;2000;23605.9;992;j
QD;ahweal992j;p14p100;2001;24004.9;992;j
QD;ahweal992j;p14p100;2002;25251.4;992;j
QD;ahweal992j;p14p100;2003;26706.1;992;j
QD;ahweal992j;p14p100;2004;28353.7;992;j
QD;ahweal992j;p14p100;2005;30513.0;992;j
QD;ahweal992j;p14p100;2006;33284.5;992;j
QD;ahweal992j;p14p100;2007;36085.1;992;j
QD;ahweal992j;p14p100;2008;37181.5;992;j
QD;ahweal992j;p14p100;2009;39006.3;992;j
QD;ahweal992j;p14p100;2010;41352.8;992;j
QD;ahweal992j;p14p100;2011;42578.1;992;j
QD;ahweal992j;p14p100;2012;44956.9;992;j
QD;ahweal992j;p14p100;2013;47642.7;992;j
QD;ahweal992j;p14p100;2014;50354.8;992;j
QD;ahweal992j;p14p100;2015;53108.6;992;j
QD;ahweal992j;p14p100;2016;56053.3;992;j
QD;ahweal992j;p14p100;2017;58087.3;992;j
QD;ahweal992j;p14p100;2018;60655.3;992;j
QD;ahweal992j;p14p100;2019;64413.2;992;j
QD;ahweal992j;p14p100;2020;64316.1;992;j
QD;ahweal992j;p14p100;2021;69405.3;992;j
QD;ahweal992j;p98p99;1995;167304.2;992;j
QD;ahweal992j;p98p99;1996;171975.1;992;j
QD;ahweal992j;p98p99;1997;173708.0;992;j
QD;ahweal992j;p98p99;1998;176776.4;992;j
QD;ahweal992j;p98p99;1999;180666.9;992;j
QD;ahweal992j;p98p99;2000;185047.0;992;j
QD;ahweal992j;p98p99;2001;182036.4;992;j
QD;ahweal992j;p98p99;2002;188716.3;992;j
QD;ahweal992j;p98p99;2003;192573.9;992;j
QD;ahweal992j;p98p99;2004;205541.8;992;j
QD;ahweal992j;p98p99;2005;220926.5;992;j
QD;ahweal992j;p98p99;2006;240519.3;992;j
QD;ahweal992j;p98p99;2007;264245.6;992;j
QD;ahweal992j;p98p99;2008;280529.6;992;j
QD;ahweal992j;p98p99;2009;279165.9;992;j
QD;ahweal992j;p98p99;2010;306729.0;992;j
QD;ahweal992j;p98p99;2011;345796.0;992;j
QD;ahweal992j;p98p99;2012;383099.9;992;j
QD;ahweal992j;p98p99;2013;391001.5;992;j
QD;ahweal992j;p98p99;2014;409518.8;992;j
QD;ahweal992j;p98p99;2015;427987.7;992;j
QD;ahweal992j;p98p99;2016;458861.2;992;j
QD;ahweal992j;p98p99;2017;477195.3;992;j
QD;ahweal992j;p98p99;2018;507955.0;992;j
QD;ahweal992j;p98p99;2019;555885.8;992;j
QD;ahweal992j;p98p99;2020;564670.3;992;j
QD;ahweal992j;p98p99;2021;588146.1;992;j
QD;ahweal992j;p99.2p99.3;1995;281168.2;992;j
QD;ahweal992j;p99.2p99.3;1996;285465.0;992;j
QD;ahweal992j;p99.2p99.3;1997;294385.3;992;j
QD;ahweal992j;p99.2p99.3;1998;292591.2;992;j
QD;ahweal992j;p99.2p99.3;1999;295306.9;992;j
QD;ahweal992j;p99.2p99.3;2000;310172.4;992;j
QD;ahweal992j;p99.2p99.3;2001;300633.2;992;j
QD;ahweal992j;p99.2p99.3;2002;308395.8;992;j
QD;ahweal992j;p99.2p99.3;2003;320482.3;992;j
QD;ahweal992j;p99.2p99.3;2004;334668.5;992;j
QD;ahweal992j;p99.2p99.3;2005;357397.5;992;j
QD;ahweal992j;p99.2p99.3;2006;398376.5;992;j
QD;ahweal992j;p99.2p99.3;2007;415841.3;992;j
QD;ahweal992j;p99.2p99.3;2008;428641.9;992;j
QD;ahweal992j;p99.2p99.3;2009;457935.1;992;j
QD;ahweal992j;p99.2p99.3;2010;483887.8;992;j
