country;variable;percentile;year;value;age;pop
QE-MER;ahweal992j;p40p41;1995;14812.2;992;j
QE-MER;ahweal992j;p40p41;1996;15313.1;992;j
QE-MER;ahweal992j;p40p41;1997;15566.7;992;j
QE-MER;ahweal992j;p40p41;1998;16365.8;992;j
QE-MER;ahweal992j;p40p41;1999;16808.4;992;j
QE-MER;ahweal992j;p40p41;2000;16672.4;992;j
QE-MER;ahweal992j;p40p41;2001;17431.4;992;j
QE-MER;ahweal992j;p40p41;2002;17817.1;992;j
QE-MER;ahweal992j;p40p41;2003;19303.3;992;j
QE-MER;ahweal992j;p40p41;2004;20319.5;992;j
QE-MER;ahweal992j;p40p41;2005;20953.2;992;j
QE-MER;ahweal992j;p40p41;2006;19876.1;992;j
QE-MER;ahweal992j;p40p41;2007;20102.1;992;j
QE-MER;ahweal992j;p40p41;2008;19929.7;992;j
QE-MER;ahweal992j;p40p41;2009;18915.3;992;j
QE-MER;ahweal992j;p40p41;2010;19640.1;992;j
QE-MER;ahweal992j;p40p41;2011;19444.3;992;j
QE-MER;ahweal992j;p40p41;2012;18838.3;992;j
QE-MER;ahweal992j;p40p41;2013;19143.5;992;j
QE-MER;ahweal992j;p40p41;2014;19822.3;992;j
QE-MER;ahweal992j;p40p41;2015;21223.6;992;j
QE-MER;ahweal992j;p40p41;2016;22195.0;992;j
QE-MER;ahweal992j;p40p41;2017;22873.2;992;j
QE-MER;ahweal992j;p40p41;2018;23980.0;992;j
QE-MER;ahweal992j;p40p41;2019;25342.8;992;j
QE-MER;ahweal992j;p40p41;2020;25299.7;992;j
QE-MER;ahweal992j;p40p41;2021;26363.0;992;j
QE-MER;ahweal992j;p5p100;1995;91920.0;992;j
QE-MER;ahweal992j;p5p100;1996;95596.9;992;j
QE-MER;ahweal992j;p5p100;1997;100299.8;992;j
QE-MER;ahweal992j;p5p100;1998;106754.3;992;j
QE-MER;ahweal992j;p5p100;1999;113948.2;992;j
QE-MER;ahweal992j;p5p100;2000;119392.8;992;j
QE-MER;ahweal992j;p5p100;2001;121999.3;992;j
QE-MER;ahweal992j;p5p100;2002;124056.5;992;j
QE-MER;ahweal992j;p5p100;2003;128604.3;992;j
QE-MER;ahweal992j;p5p100;2004;136033.2;992;j
QE-MER;ahweal992j;p5p100;2005;145042.2;992;j
QE-MER;ahweal992j;p5p100;2006;153858.4;992;j
QE-MER;ahweal992j;p5p100;2007;159811.5;992;j
QE-MER;ahweal992j;p5p100;2008;157146.6;992;j
QE-MER;ahweal992j;p5p100;2009;153072.9;992;j
QE-MER;ahweal992j;p5p100;2010;155119.2;992;j
QE-MER;ahweal992j;p5p100;2011;156132.1;992;j
QE-MER;ahweal992j;p5p100;2012;155928.7;992;j
QE-MER;ahweal992j;p5p100;2013;158470.4;992;j
QE-MER;ahweal992j;p5p100;2014;161651.3;992;j
QE-MER;ahweal992j;p5p100;2015;166868.9;992;j
QE-MER;ahweal992j;p5p100;2016;171158.9;992;j
QE-MER;ahweal992j;p5p100;2017;175761.9;992;j
QE-MER;ahweal992j;p5p100;2018;179276.2;992;j
QE-MER;ahweal992j;p5p100;2019;183986.2;992;j
QE-MER;ahweal992j;p5p100;2020;183802.8;992;j
QE-MER;ahweal992j;p5p100;2021;187822.7;992;j
QE-MER;ahweal992j;p61p100;1995;204315.8;992;j
QE-MER;ahweal992j;p61p100;1996;212950.7;992;j
QE-MER;ahweal992j;p61p100;1997;224158.2;992;j
QE-MER;ahweal992j;p61p100;1998;239063.5;992;j
QE-MER;ahweal992j;p61p100;1999;255469.3;992;j
QE-MER;ahweal992j;p61p100;2000;267882.8;992;j
