country;variable;percentile;year;value;age;pop
QE;ahweal992j;p47p48;1995;26405.0;992;j
QE;ahweal992j;p47p48;1996;26986.1;992;j
QE;ahweal992j;p47p48;1997;27478.2;992;j
QE;ahweal992j;p47p48;1998;29123.3;992;j
QE;ahweal992j;p47p48;1999;30034.5;992;j
QE;ahweal992j;p47p48;2000;30015.5;992;j
QE;ahweal992j;p47p48;2001;31404.3;992;j
QE;ahweal992j;p47p48;2002;32673.3;992;j
QE;ahweal992j;p47p48;2003;34180.6;992;j
QE;ahweal992j;p47p48;2004;37159.1;992;j
QE;ahweal992j;p47p48;2005;37344.3;992;j
QE;ahweal992j;p47p48;2006;38546.3;992;j
QE;ahweal992j;p47p48;2007;39317.9;992;j
QE;ahweal992j;p47p48;2008;38974.6;992;j
QE;ahweal992j;p47p48;2009;37157.1;992;j
QE;ahweal992j;p47p48;2010;37380.3;992;j
QE;ahweal992j;p47p48;2011;36819.6;992;j
QE;ahweal992j;p47p48;2012;36069.7;992;j
QE;ahweal992j;p47p48;2013;36286.1;992;j
QE;ahweal992j;p47p48;2014;37265.8;992;j
QE;ahweal992j;p47p48;2015;39724.6;992;j
QE;ahweal992j;p47p48;2016;41275.4;992;j
QE;ahweal992j;p47p48;2017;42525.1;992;j
QE;ahweal992j;p47p48;2018;44524.0;992;j
QE;ahweal992j;p47p48;2019;46375.5;992;j
QE;ahweal992j;p47p48;2020;45270.2;992;j
QE;ahweal992j;p47p48;2021;48546.4;992;j
QE;ahweal992j;p71p100;1995;250643.2;992;j
QE;ahweal992j;p71p100;1996;259980.3;992;j
QE;ahweal992j;p71p100;1997;273431.1;992;j
QE;ahweal992j;p71p100;1998;290930.5;992;j
QE;ahweal992j;p71p100;1999;311307.7;992;j
QE;ahweal992j;p71p100;2000;326033.1;992;j
QE;ahweal992j;p71p100;2001;332817.5;992;j
QE;ahweal992j;p71p100;2002;339286.9;992;j
QE;ahweal992j;p71p100;2003;351388.6;992;j
QE;ahweal992j;p71p100;2004;370762.9;992;j
QE;ahweal992j;p71p100;2005;396468.1;992;j
QE;ahweal992j;p71p100;2006;421678.7;992;j
QE;ahweal992j;p71p100;2007;438531.0;992;j
QE;ahweal992j;p71p100;2008;431866.9;992;j
QE;ahweal992j;p71p100;2009;421484.1;992;j
QE;ahweal992j;p71p100;2010;426884.3;992;j
QE;ahweal992j;p71p100;2011;430886.2;992;j
QE;ahweal992j;p71p100;2012;431467.8;992;j
QE;ahweal992j;p71p100;2013;436564.9;992;j
QE;ahweal992j;p71p100;2014;448162.3;992;j
QE;ahweal992j;p71p100;2015;460566.5;992;j
QE;ahweal992j;p71p100;2016;474210.2;992;j
QE;ahweal992j;p71p100;2017;490414.3;992;j
QE;ahweal992j;p71p100;2018;501711.0;992;j
QE;ahweal992j;p71p100;2019;513348.5;992;j
QE;ahweal992j;p71p100;2020;508935.6;992;j
QE;ahweal992j;p71p100;2021;539432.2;992;j
QE;ahweal992j;p99.996p100;1995;66526916.0;992;j
QE;ahweal992j;p99.996p100;1996;71146048.0;992;j
QE;ahweal992j;p99.996p100;1997;75533536.0;992;j
QE;ahweal992j;p99.996p100;1998;78597336.0;992;j
QE;ahweal992j;p99.996p100;1999;101621672.0;992;j
QE;ahweal992j;p99.996p100;2000;103772456.0;992;j
QE;ahweal992j;p99.996p100;2001;106993504.0;992;j
QE;ahweal992j;p99.996p100;2002;107064424.0;992;j
QE;ahweal992j;p99.996p100;2003;108625584.0;992;j
QE;ahweal992j;p99.996p100;2004;118872320.0;992;j
QE;ahweal992j;p99.996p100;2005;127605456.0;992;j
QE;ahweal992j;p99.996p100;2006;138639040.0;992;j
QE;ahweal992j;p99.996p100;2007;151422320.0;992;j
QE;ahweal992j;p99.996p100;2008;154126064.0;992;j
QE;ahweal992j;p99.996p100;2009;128151856.0;992;j
QE;ahweal992j;p99.996p100;2010;139504624.0;992;j
QE;ahweal992j;p99.996p100;2011;141643312.0;992;j
QE;ahweal992j;p99.996p100;2012;148316336.0;992;j
QE;ahweal992j;p99.996p100;2013;168780752.0;992;j
QE;ahweal992j;p99.996p100;2014;207107712.0;992;j
QE;ahweal992j;p99.996p100;2015;186431456.0;992;j
QE;ahweal992j;p99.996p100;2016;184199968.0;992;j
QE;ahweal992j;p99.996p100;2017;191299968.0;992;j
QE;ahweal992j;p99.996p100;2018;209371120.0;992;j
QE;ahweal992j;p99.996p100;2019;200290176.0;992;j
QE;ahweal992j;p99.996p100;2020;189648144.0;992;j
QE;ahweal992j;p99.996p100;2021;234850672.0;992;j
QE;ahweal992j;p99.997p99.998;1995;26817889.3;992;j
QE;ahweal992j;p99.997p99.998;1996;31976487.4;992;j
QE;ahweal992j;p99.997p99.998;1997;36256905.1;992;j
QE;ahweal992j;p99.997p99.998;1998;39268211.6;992;j
QE;ahweal992j;p99.997p99.998;1999;44986734.1;992;j
QE;ahweal992j;p99.997p99.998;2000;49660875.1;992;j
QE;ahweal992j;p99.997p99.998;2001;49524985.6;992;j
QE;ahweal992j;p99.997p99.998;2002;50054595.2;992;j
QE;ahweal992j;p99.997p99.998;2003;55071689.7;992;j
QE;ahweal992j;p99.997p99.998;2004;57341311.0;992;j
QE;ahweal992j;p99.997p99.998;2005;61114975.4;992;j
QE;ahweal992j;p99.997p99.998;2006;67554922.5;992;j
QE;ahweal992j;p99.997p99.998;2007;69453225.5;992;j
QE;ahweal992j;p99.997p99.998;2008;64568411.0;992;j
QE;ahweal992j;p99.997p99.998;2009;62141193.1;992;j
QE;ahweal992j;p99.997p99.998;2010;67696676.6;992;j
QE;ahweal992j;p99.997p99.998;2011;64306235.8;992;j
QE;ahweal992j;p99.997p99.998;2012;61565772.4;992;j
QE;ahweal992j;p99.997p99.998;2013;73507862.5;992;j
QE;ahweal992j;p99.997p99.998;2014;85204988.9;992;j
QE;ahweal992j;p99.997p99.998;2015;67360211.8;992;j
QE;ahweal992j;p99.997p99.998;2016;57979138.7;992;j
QE;ahweal992j;p99.997p99.998;2017;57477692.4;992;j
QE;ahweal992j;p99.997p99.998;2018;57717501.2;992;j
QE;ahweal992j;p99.997p99.998;2019;59968719.4;992;j
QE;ahweal992j;p99.997p99.998;2020;60536635.6;992;j
QE;ahweal992j;p99.997p99.998;2021;62277804.2;992;j
QE;aptinc992j;p13p14;1980;5145.5;992;j
QE;aptinc992j;p13p14;1981;5098.2;992;j
QE;aptinc992j;p13p14;1982;5107.6;992;j
QE;aptinc992j;p13p14;1983;5143.4;992;j
QE;aptinc992j;p13p14;1984;5174.9;992;j
QE;aptinc992j;p13p14;1985;5204.4;992;j
QE;aptinc992j;p13p14;1986;5243.8;992;j
QE;aptinc992j;p13p14;1987;5292.0;992;j
QE;aptinc992j;p13p14;1988;5317.8;992;j
QE;aptinc992j;p13p14;1989;5433.1;992;j
QE;aptinc992j;p13p14;1990;5229.7;992;j
QE;aptinc992j;p13p14;1991;4868.7;992;j
QE;aptinc992j;p13p14;1992;4472.2;992;j
QE;aptinc992j;p13p14;1993;4230.8;992;j
QE;aptinc992j;p13p14;1994;4137.5;992;j
QE;aptinc992j;p13p14;1995;4098.7;992;j
QE;aptinc992j;p13p14;1996;4302.7;992;j
QE;aptinc992j;p13p14;1997;4443.7;992;j
QE;aptinc992j;p13p14;1998;4547.7;992;j
QE;aptinc992j;p13p14;1999;4592.9;992;j
QE;aptinc992j;p13p14;2000;4675.0;992;j
QE;aptinc992j;p13p14;2001;4849.8;992;j
QE;aptinc992j;p13p14;2002;4921.6;992;j
QE;aptinc992j;p13p14;2003;4977.1;992;j
QE;aptinc992j;p13p14;2004;5205.7;992;j
QE;aptinc992j;p13p14;2005;5236.8;992;j
QE;aptinc992j;p13p14;2006;5458.2;992;j
QE;aptinc992j;p13p14;2007;5594.6;992;j
QE;aptinc992j;p13p14;2008;5905.8;992;j
QE;aptinc992j;p13p14;2009;5645.0;992;j
QE;aptinc992j;p13p14;2010;5729.6;992;j
QE;aptinc992j;p13p14;2011;5735.6;992;j
QE;aptinc992j;p13p14;2012;5603.1;992;j
QE;aptinc992j;p13p14;2013;5678.1;992;j
QE;aptinc992j;p13p14;2014;5675.7;992;j
QE;aptinc992j;p13p14;2015;5866.5;992;j
QE;aptinc992j;p13p14;2016;6078.0;992;j
QE;aptinc992j;p13p14;2017;6376.3;992;j
QE;aptinc992j;p13p14;2018;6540.9;992;j
QE;aptinc992j;p13p14;2019;6637.9;992;j
QE;aptinc992j;p13p14;2020;6274.7;992;j
QE;aptinc992j;p13p14;2021;6614.4;992;j
QE;aptinc992j;p20p100;1980;27025.8;992;j
QE;aptinc992j;p20p100;1981;26797.9;992;j
QE;aptinc992j;p20p100;1982;26695.3;992;j
QE;aptinc992j;p20p100;1983;26932.7;992;j
QE;aptinc992j;p20p100;1984;27464.2;992;j
QE;aptinc992j;p20p100;1985;27870.6;992;j
QE;aptinc992j;p20p100;1986;28457.5;992;j
QE;aptinc992j;p20p100;1987;28888.4;992;j
QE;aptinc992j;p20p100;1988;29788.3;992;j
QE;aptinc992j;p20p100;1989;30552.7;992;j
QE;aptinc992j;p20p100;1990;30721.2;992;j
QE;aptinc992j;p20p100;1991;30200.3;992;j
QE;aptinc992j;p20p100;1992;29956.3;992;j
QE;aptinc992j;p20p100;1993;29565.6;992;j
QE;aptinc992j;p20p100;1994;30242.7;992;j
QE;aptinc992j;p20p100;1995;31054.7;992;j
QE;aptinc992j;p20p100;1996;31468.2;992;j
QE;aptinc992j;p20p100;1997;32303.8;992;j
QE;aptinc992j;p20p100;1998;33198.8;992;j
QE;aptinc992j;p20p100;1999;34201.7;992;j
QE;aptinc992j;p20p100;2000;35203.5;992;j
QE;aptinc992j;p20p100;2001;35665.0;992;j
QE;aptinc992j;p20p100;2002;35797.1;992;j
QE;aptinc992j;p20p100;2003;36131.9;992;j
QE;aptinc992j;p20p100;2004;36999.6;992;j
QE;aptinc992j;p20p100;2005;37650.1;992;j
QE;aptinc992j;p20p100;2006;38865.6;992;j
QE;aptinc992j;p20p100;2007;39632.0;992;j
QE;aptinc992j;p20p100;2008;39590.3;992;j
QE;aptinc992j;p20p100;2009;37885.8;992;j
QE;aptinc992j;p20p100;2010;38107.6;992;j
QE;aptinc992j;p20p100;2011;38406.9;992;j
QE;aptinc992j;p20p100;2012;37939.7;992;j
QE;aptinc992j;p20p100;2013;37968.9;992;j
QE;aptinc992j;p20p100;2014;38498.0;992;j
QE;aptinc992j;p20p100;2015;39197.7;992;j
QE;aptinc992j;p20p100;2016;39851.0;992;j
QE;aptinc992j;p20p100;2017;40900.4;992;j
QE;aptinc992j;p20p100;2018;41694.7;992;j
QE;aptinc992j;p20p100;2019;41851.0;992;j
QE;aptinc992j;p20p100;2020;39023.1;992;j
QE;aptinc992j;p20p100;2021;41088.8;992;j
QE;aptinc992j;p44p45;1980;16377.1;992;j
QE;aptinc992j;p44p45;1981;16260.1;992;j
QE;aptinc992j;p44p45;1982;16130.9;992;j
QE;aptinc992j;p44p45;1983;16255.1;992;j
QE;aptinc992j;p44p45;1984;16518.0;992;j
QE;aptinc992j;p44p45;1985;16671.7;992;j
QE;aptinc992j;p44p45;1986;16798.1;992;j
QE;aptinc992j;p44p45;1987;17033.9;992;j
QE;aptinc992j;p44p45;1988;17398.1;992;j
QE;aptinc992j;p44p45;1989;17505.6;992;j
QE;aptinc992j;p44p45;1990;17229.2;992;j
QE;aptinc992j;p44p45;1991;16596.9;992;j
QE;aptinc992j;p44p45;1992;16336.7;992;j
QE;aptinc992j;p44p45;1993;15921.1;992;j
QE;aptinc992j;p44p45;1994;16267.1;992;j
QE;aptinc992j;p44p45;1995;16630.1;992;j
QE;aptinc992j;p44p45;1996;16775.5;992;j
QE;aptinc992j;p44p45;1997;17118.0;992;j
QE;aptinc992j;p44p45;1998;17433.9;992;j
QE;aptinc992j;p44p45;1999;17918.2;992;j
QE;aptinc992j;p44p45;2000;18571.8;992;j
QE;aptinc992j;p44p45;2001;18769.8;992;j
QE;aptinc992j;p44p45;2002;19015.1;992;j
