country;variable;percentile;year;value;age;pop
QF-MER;aptinc992j;p0p100;1980;30838.5;992;j
QF-MER;aptinc992j;p0p100;1981;31572.9;992;j
QF-MER;aptinc992j;p0p100;1982;30981.5;992;j
QF-MER;aptinc992j;p0p100;1983;30095.8;992;j
QF-MER;aptinc992j;p0p100;1984;30755.6;992;j
QF-MER;aptinc992j;p0p100;1985;31499.3;992;j
QF-MER;aptinc992j;p0p100;1986;31820.5;992;j
QF-MER;aptinc992j;p0p100;1987;31912.5;992;j
QF-MER;aptinc992j;p0p100;1988;33129.9;992;j
QF-MER;aptinc992j;p0p100;1989;33211.3;992;j
QF-MER;aptinc992j;p0p100;1990;33196.2;992;j
QF-MER;aptinc992j;p0p100;1991;31904.4;992;j
QF-MER;aptinc992j;p0p100;1992;31467.6;992;j
QF-MER;aptinc992j;p0p100;1993;32762.5;992;j
QF-MER;aptinc992j;p0p100;1994;33779.4;992;j
QF-MER;aptinc992j;p0p100;1995;34158.3;992;j
QF-MER;aptinc992j;p0p100;1996;34999.2;992;j
QF-MER;aptinc992j;p0p100;1997;36042.1;992;j
QF-MER;aptinc992j;p0p100;1998;36549.2;992;j
QF-MER;aptinc992j;p0p100;1999;38283.0;992;j
QF-MER;aptinc992j;p0p100;2000;39336.7;992;j
QF-MER;aptinc992j;p0p100;2001;39452.8;992;j
QF-MER;aptinc992j;p0p100;2002;40474.0;992;j
QF-MER;aptinc992j;p0p100;2003;41114.5;992;j
QF-MER;aptinc992j;p0p100;2004;42208.9;992;j
QF-MER;aptinc992j;p0p100;2005;42476.8;992;j
QF-MER;aptinc992j;p0p100;2006;42834.7;992;j
QF-MER;aptinc992j;p0p100;2007;43276.6;992;j
QF-MER;aptinc992j;p0p100;2008;43723.0;992;j
QF-MER;aptinc992j;p0p100;2009;43622.1;992;j
QF-MER;aptinc992j;p0p100;2010;43418.7;992;j
QF-MER;aptinc992j;p0p100;2011;43675.4;992;j
QF-MER;aptinc992j;p0p100;2012;43871.6;992;j
QF-MER;aptinc992j;p0p100;2013;44633.0;992;j
QF-MER;aptinc992j;p0p100;2014;44401.2;992;j
QF-MER;aptinc992j;p0p100;2015;43830.2;992;j
QF-MER;aptinc992j;p0p100;2016;44580.9;992;j
QF-MER;aptinc992j;p0p100;2017;45085.6;992;j
QF-MER;aptinc992j;p0p100;2018;44888.8;992;j
QF-MER;aptinc992j;p0p100;2019;44615.7;992;j
QF-MER;aptinc992j;p0p100;2020;44356.4;992;j
QF-MER;aptinc992j;p0p100;2021;45947.3;992;j
QF-MER;aptinc992j;p28p100;1980;41502.7;992;j
QF-MER;aptinc992j;p28p100;1981;42513.0;992;j
QF-MER;aptinc992j;p28p100;1982;41747.3;992;j
QF-MER;aptinc992j;p28p100;1983;40539.6;992;j
QF-MER;aptinc992j;p28p100;1984;41449.3;992;j
QF-MER;aptinc992j;p28p100;1985;42465.9;992;j
QF-MER;aptinc992j;p28p100;1986;42917.1;992;j
QF-MER;aptinc992j;p28p100;1987;43071.8;992;j
QF-MER;aptinc992j;p28p100;1988;44760.8;992;j
QF-MER;aptinc992j;p28p100;1989;44882.4;992;j
QF-MER;aptinc992j;p28p100;1990;44911.8;992;j
QF-MER;aptinc992j;p28p100;1991;43156.7;992;j
QF-MER;aptinc992j;p28p100;1992;42567.2;992;j
QF-MER;aptinc992j;p28p100;1993;44284.0;992;j
QF-MER;aptinc992j;p28p100;1994;45671.6;992;j
QF-MER;aptinc992j;p28p100;1995;46233.4;992;j
QF-MER;aptinc992j;p28p100;1996;47347.5;992;j
QF-MER;aptinc992j;p28p100;1997;48832.6;992;j
QF-MER;aptinc992j;p28p100;1998;49606.7;992;j
QF-MER;aptinc992j;p28p100;1999;51943.2;992;j
QF-MER;aptinc992j;p28p100;2000;53422.6;992;j
QF-MER;aptinc992j;p28p100;2001;53581.3;992;j
QF-MER;aptinc992j;p28p100;2002;55015.5;992;j
QF-MER;aptinc992j;p28p100;2003;55898.9;992;j
QF-MER;aptinc992j;p28p100;2004;57439.2;992;j
QF-MER;aptinc992j;p28p100;2005;57784.4;992;j
QF-MER;aptinc992j;p28p100;2006;58293.3;992;j
QF-MER;aptinc992j;p28p100;2007;58898.2;992;j
QF-MER;aptinc992j;p28p100;2008;59446.6;992;j
QF-MER;aptinc992j;p28p100;2009;59375.1;992;j
QF-MER;aptinc992j;p28p100;2010;59065.9;992;j
QF-MER;aptinc992j;p28p100;2011;59416.6;992;j
QF-MER;aptinc992j;p28p100;2012;59711.7;992;j
QF-MER;aptinc992j;p28p100;2013;60787.1;992;j
QF-MER;aptinc992j;p28p100;2014;60403.0;992;j
QF-MER;aptinc992j;p28p100;2015;59623.8;992;j
QF-MER;aptinc992j;p28p100;2016;60651.2;992;j
QF-MER;aptinc992j;p28p100;2017;61360.3;992;j
QF-MER;aptinc992j;p28p100;2018;61105.0;992;j
QF-MER;aptinc992j;p28p100;2019;60756.0;992;j
QF-MER;aptinc992j;p28p100;2020;60452.6;992;j
QF-MER;aptinc992j;p28p100;2021;62652.5;992;j
QF-MER;aptinc992j;p37p38;1980;15013.2;992;j
QF-MER;aptinc992j;p37p38;1981;15281.2;992;j
QF-MER;aptinc992j;p37p38;1982;14757.5;992;j
QF-MER;aptinc992j;p37p38;1983;14602.3;992;j
QF-MER;aptinc992j;p37p38;1984;14840.3;992;j
QF-MER;aptinc992j;p37p38;1985;15098.5;992;j
QF-MER;aptinc992j;p37p38;1986;14933.1;992;j
QF-MER;aptinc992j;p37p38;1987;14704.2;992;j
QF-MER;aptinc992j;p37p38;1988;14930.1;992;j
QF-MER;aptinc992j;p37p38;1989;15528.2;992;j
QF-MER;aptinc992j;p37p38;1990;15489.7;992;j
QF-MER;aptinc992j;p37p38;1991;14498.1;992;j
QF-MER;aptinc992j;p37p38;1992;14204.3;992;j
QF-MER;aptinc992j;p37p38;1993;14657.4;992;j
QF-MER;aptinc992j;p37p38;1994;14989.8;992;j
QF-MER;aptinc992j;p37p38;1995;15363.4;992;j
QF-MER;aptinc992j;p37p38;1996;16049.8;992;j
QF-MER;aptinc992j;p37p38;1997;16130.5;992;j
QF-MER;aptinc992j;p37p38;1998;16305.0;992;j
QF-MER;aptinc992j;p37p38;1999;16737.8;992;j
QF-MER;aptinc992j;p37p38;2000;17142.6;992;j
QF-MER;aptinc992j;p37p38;2001;17819.5;992;j
QF-MER;aptinc992j;p37p38;2002;17938.0;992;j
QF-MER;aptinc992j;p37p38;2003;18334.5;992;j
QF-MER;aptinc992j;p37p38;2004;18776.8;992;j
QF-MER;aptinc992j;p37p38;2005;18505.6;992;j
QF-MER;aptinc992j;p37p38;2006;18866.1;992;j
QF-MER;aptinc992j;p37p38;2007;19192.4;992;j
QF-MER;aptinc992j;p37p38;2008;20649.6;992;j
QF-MER;aptinc992j;p37p38;2009;19629.4;992;j
QF-MER;aptinc992j;p37p38;2010;19405.2;992;j
QF-MER;aptinc992j;p37p38;2011;19977.1;992;j
QF-MER;aptinc992j;p37p38;2012;19290.9;992;j
QF-MER;aptinc992j;p37p38;2013;18727.7;992;j
QF-MER;aptinc992j;p37p38;2014;18699.4;992;j
QF-MER;aptinc992j;p37p38;2015;18175.7;992;j
QF-MER;aptinc992j;p37p38;2016;18674.6;992;j
QF-MER;aptinc992j;p37p38;2017;18746.5;992;j
QF-MER;aptinc992j;p37p38;2018;19063.0;992;j
QF-MER;aptinc992j;p37p38;2019;18972.1;992;j
QF-MER;aptinc992j;p37p38;2020;18832.6;992;j
QF-MER;aptinc992j;p37p38;2021;19548.8;992;j
QF-MER;bhweal992j;p87p100;1995;2.81434750556946;992;j
QF-MER;bhweal992j;p87p100;1996;2.81024885177612;992;j
QF-MER;bhweal992j;p87p100;1997;2.79894280433655;992;j
QF-MER;bhweal992j;p87p100;1998;2.79521346092224;992;j
QF-MER;bhweal992j;p87p100;1999;2.76798248291016;992;j
QF-MER;bhweal992j;p87p100;2000;2.77067828178406;992;j
QF-MER;bhweal992j;p87p100;2001;2.75718259811401;992;j
QF-MER;bhweal992j;p87p100;2002;2.82122182846069;992;j
QF-MER;bhweal992j;p87p100;2003;2.82619953155518;992;j
QF-MER;bhweal992j;p87p100;2004;2.82219052314758;992;j
QF-MER;bhweal992j;p87p100;2005;2.81688117980957;992;j
QF-MER;bhweal992j;p87p100;2006;2.80670285224915;992;j
QF-MER;bhweal992j;p87p100;2007;2.78923010826111;992;j
QF-MER;bhweal992j;p87p100;2008;2.81122803688049;992;j
QF-MER;bhweal992j;p87p100;2009;2.79585790634155;992;j
QF-MER;bhweal992j;p87p100;2010;2.82995414733887;992;j
QF-MER;bhweal992j;p87p100;2011;2.83820462226868;992;j
QF-MER;bhweal992j;p87p100;2012;2.87707471847534;992;j
QF-MER;bhweal992j;p87p100;2013;2.91022825241089;992;j
QF-MER;bhweal992j;p87p100;2014;2.91406226158142;992;j
QF-MER;bhweal992j;p87p100;2015;2.87377524375915;992;j
QF-MER;bhweal992j;p87p100;2016;2.8852961063385;992;j
QF-MER;bhweal992j;p87p100;2017;2.93682837486267;992;j
QF-MER;bhweal992j;p87p100;2018;2.96133136749268;992;j
QF-MER;bhweal992j;p87p100;2019;2.92256641387939;992;j
QF-MER;bhweal992j;p87p100;2020;2.90339136123657;992;j
QF-MER;bhweal992j;p87p100;2021;2.98346447944641;992;j
QF-MER;bptinc992j;p99.998p100;1980;1.42551755905151;992;j
QF-MER;bptinc992j;p99.998p100;1981;1.47051179409027;992;j
QF-MER;bptinc992j;p99.998p100;1982;1.53069853782654;992;j
QF-MER;bptinc992j;p99.998p100;1983;1.53589308261871;992;j
QF-MER;bptinc992j;p99.998p100;1984;1.51751363277435;992;j
QF-MER;bptinc992j;p99.998p100;1985;1.55537712574005;992;j
QF-MER;bptinc992j;p99.998p100;1986;1.52822875976562;992;j
QF-MER;bptinc992j;p99.998p100;1987;1.64917659759522;992;j
QF-MER;bptinc992j;p99.998p100;1988;2.02615785598755;992;j
QF-MER;bptinc992j;p99.998p100;1989;1.63620483875275;992;j
QF-MER;bptinc992j;p99.998p100;1990;1.74386394023895;992;j
QF-MER;bptinc992j;p99.998p100;1991;1.73697578907013;992;j
QF-MER;bptinc992j;p99.998p100;1992;1.78313612937927;992;j
QF-MER;bptinc992j;p99.998p100;1993;1.82147216796875;992;j
QF-MER;bptinc992j;p99.998p100;1994;1.89291155338287;992;j
QF-MER;bptinc992j;p99.998p100;1995;1.97244167327881;992;j
QF-MER;bptinc992j;p99.998p100;1996;1.58635032176971;992;j
QF-MER;bptinc992j;p99.998p100;1997;1.64519882202148;992;j
QF-MER;bptinc992j;p99.998p100;1998;1.76385223865509;992;j
QF-MER;bptinc992j;p99.998p100;1999;2.28346705436706;992;j
QF-MER;bptinc992j;p99.998p100;2000;1.95545315742493;992;j
QF-MER;bptinc992j;p99.998p100;2001;1.77095079421997;992;j
QF-MER;bptinc992j;p99.998p100;2002;1.72890639305115;992;j
QF-MER;bptinc992j;p99.998p100;2003;1.84029638767242;992;j
QF-MER;bptinc992j;p99.998p100;2004;2.02016162872314;992;j
QF-MER;bptinc992j;p99.998p100;2005;1.95143270492554;992;j
QF-MER;bptinc992j;p99.998p100;2006;2.06574773788452;992;j
QF-MER;bptinc992j;p99.998p100;2007;2.08741807937622;992;j
QF-MER;bptinc992j;p99.998p100;2008;1.96433770656586;992;j
QF-MER;bptinc992j;p99.998p100;2009;1.84818005561829;992;j
QF-MER;bptinc992j;p99.998p100;2010;1.93296349048615;992;j
QF-MER;bptinc992j;p99.998p100;2011;1.799365401268;992;j
QF-MER;bptinc992j;p99.998p100;2012;1.91511237621307;992;j
QF-MER;bptinc992j;p99.998p100;2013;2.03640580177307;992;j
QF-MER;bptinc992j;p99.998p100;2014;2.06780862808227;992;j
QF-MER;bptinc992j;p99.998p100;2015;2.0771791934967;992;j
QF-MER;bptinc992j;p99.998p100;2016;2.10812878608704;992;j
QF-MER;bptinc992j;p99.998p100;2017;2.81415915489197;992;j
QF-MER;bptinc992j;p99.998p100;2018;2.84199714660644;992;j
QF-MER;bptinc992j;p99.998p100;2019;2.84206199645996;992;j
