country;variable;percentile;year;value;age;pop
QF;ahweal992j;p31p32;1995;6940.9;992;j
QF;ahweal992j;p31p32;1996;6976.7;992;j
QF;ahweal992j;p31p32;1997;7268.5;992;j
QF;ahweal992j;p31p32;1998;7094.3;992;j
QF;ahweal992j;p31p32;1999;7535.9;992;j
QF;ahweal992j;p31p32;2000;7782.0;992;j
QF;ahweal992j;p31p32;2001;8050.4;992;j
QF;ahweal992j;p31p32;2002;7828.0;992;j
QF;ahweal992j;p31p32;2003;8332.4;992;j
QF;ahweal992j;p31p32;2004;8873.5;992;j
QF;ahweal992j;p31p32;2005;9453.9;992;j
QF;ahweal992j;p31p32;2006;9792.7;992;j
QF;ahweal992j;p31p32;2007;10394.0;992;j
QF;ahweal992j;p31p32;2008;10037.7;992;j
QF;ahweal992j;p31p32;2009;9501.2;992;j
QF;ahweal992j;p31p32;2010;9794.9;992;j
QF;ahweal992j;p31p32;2011;9706.5;992;j
QF;ahweal992j;p31p32;2012;9475.4;992;j
QF;ahweal992j;p31p32;2013;9585.7;992;j
QF;ahweal992j;p31p32;2014;10140.3;992;j
QF;ahweal992j;p31p32;2015;10956.3;992;j
QF;ahweal992j;p31p32;2016;11694.2;992;j
QF;ahweal992j;p31p32;2017;12229.1;992;j
QF;ahweal992j;p31p32;2018;12558.9;992;j
QF;ahweal992j;p31p32;2019;12380.4;992;j
QF;ahweal992j;p31p32;2020;12056.7;992;j
QF;ahweal992j;p31p32;2021;12524.1;992;j
QF;ahweal992j;p40p41;1995;15038.7;992;j
QF;ahweal992j;p40p41;1996;15007.2;992;j
QF;ahweal992j;p40p41;1997;15669.5;992;j
QF;ahweal992j;p40p41;1998;15504.3;992;j
QF;ahweal992j;p40p41;1999;16322.1;992;j
QF;ahweal992j;p40p41;2000;17412.9;992;j
QF;ahweal992j;p40p41;2001;17063.6;992;j
QF;ahweal992j;p40p41;2002;17588.2;992;j
QF;ahweal992j;p40p41;2003;18983.4;992;j
QF;ahweal992j;p40p41;2004;20696.4;992;j
QF;ahweal992j;p40p41;2005;21867.2;992;j
QF;ahweal992j;p40p41;2006;22622.0;992;j
QF;ahweal992j;p40p41;2007;23975.0;992;j
QF;ahweal992j;p40p41;2008;23929.4;992;j
QF;ahweal992j;p40p41;2009;21928.1;992;j
QF;ahweal992j;p40p41;2010;22730.0;992;j
QF;ahweal992j;p40p41;2011;21343.2;992;j
QF;ahweal992j;p40p41;2012;21808.8;992;j
QF;ahweal992j;p40p41;2013;20909.8;992;j
QF;ahweal992j;p40p41;2014;23208.9;992;j
QF;ahweal992j;p40p41;2015;23982.0;992;j
QF;ahweal992j;p40p41;2016;25456.9;992;j
QF;ahweal992j;p40p41;2017;26531.5;992;j
QF;ahweal992j;p40p41;2018;27013.8;992;j
QF;ahweal992j;p40p41;2019;26584.9;992;j
QF;ahweal992j;p40p41;2020;26709.1;992;j
QF;ahweal992j;p40p41;2021;27662.9;992;j
QF;ahweal992j;p88p100;1995;429794.7;992;j
QF;ahweal992j;p88p100;1996;428226.8;992;j
QF;ahweal992j;p88p100;1997;449012.8;992;j
QF;ahweal992j;p88p100;1998;466722.9;992;j
QF;ahweal992j;p88p100;1999;504377.3;992;j
QF;ahweal992j;p88p100;2000;531154.1;992;j
QF;ahweal992j;p88p100;2001;546491.2;992;j
QF;ahweal992j;p88p100;2002;576908.9;992;j
QF;ahweal992j;p88p100;2003;622682.3;992;j
QF;ahweal992j;p88p100;2004;678211.0;992;j
QF;ahweal992j;p88p100;2005;720817.5;992;j
QF;ahweal992j;p88p100;2006;754230.6;992;j
QF;ahweal992j;p88p100;2007;793754.1;992;j
QF;ahweal992j;p88p100;2008;789719.1;992;j
QF;ahweal992j;p88p100;2009;730410.6;992;j
QF;ahweal992j;p88p100;2010;746935.8;992;j
QF;ahweal992j;p88p100;2011;745523.3;992;j
QF;ahweal992j;p88p100;2012;733581.3;992;j
QF;ahweal992j;p88p100;2013;753597.1;992;j
QF;ahweal992j;p88p100;2014;793774.9;992;j
QF;ahweal992j;p88p100;2015;855935.4;992;j
QF;ahweal992j;p88p100;2016;907024.4;992;j
QF;ahweal992j;p88p100;2017;951984.9;992;j
QF;ahweal992j;p88p100;2018;982459.2;992;j
QF;ahweal992j;p88p100;2019;972410.4;992;j
QF;ahweal992j;p88p100;2020;976887.5;992;j
QF;ahweal992j;p88p100;2021;1025364.8;992;j
QF;ahweal992j;p99.96p100;1995;13377395.0;992;j
QF;ahweal992j;p99.96p100;1996;13407740.0;992;j
QF;ahweal992j;p99.96p100;1997;13745203.0;992;j
QF;ahweal992j;p99.96p100;1998;14226512.0;992;j
QF;ahweal992j;p99.96p100;1999;15900871.0;992;j
QF;ahweal992j;p99.96p100;2000;16237092.0;992;j
QF;ahweal992j;p99.96p100;2001;17303380.0;992;j
QF;ahweal992j;p99.96p100;2002;18804310.0;992;j
QF;ahweal992j;p99.96p100;2003;20357258.0;992;j
QF;ahweal992j;p99.96p100;2004;21962982.0;992;j
QF;ahweal992j;p99.96p100;2005;22454330.0;992;j
QF;ahweal992j;p99.96p100;2006;24322900.0;992;j
QF;ahweal992j;p99.96p100;2007;25638296.0;992;j
QF;ahweal992j;p99.96p100;2008;26182260.0;992;j
QF;ahweal992j;p99.96p100;2009;23818474.0;992;j
QF;ahweal992j;p99.96p100;2010;25288046.0;992;j
QF;ahweal992j;p99.96p100;2011;25618952.0;992;j
QF;ahweal992j;p99.96p100;2012;25678782.0;992;j
QF;ahweal992j;p99.96p100;2013;27650076.0;992;j
QF;ahweal992j;p99.96p100;2014;29482100.0;992;j
QF;ahweal992j;p99.96p100;2015;29905436.0;992;j
QF;ahweal992j;p99.96p100;2016;30849956.0;992;j
QF;ahweal992j;p99.96p100;2017;32446970.0;992;j
QF;ahweal992j;p99.96p100;2018;35149764.0;992;j
QF;ahweal992j;p99.96p100;2019;34444072.0;992;j
QF;ahweal992j;p99.96p100;2020;33194556.0;992;j
QF;ahweal992j;p99.96p100;2021;39636784.0;992;j
QF;aptinc992j;p14p15;1980;2290.6;992;j
QF;aptinc992j;p14p15;1981;2299.0;992;j
QF;aptinc992j;p14p15;1982;2224.5;992;j
QF;aptinc992j;p14p15;1983;2177.1;992;j
QF;aptinc992j;p14p15;1984;2172.3;992;j
QF;aptinc992j;p14p15;1985;2222.7;992;j
QF;aptinc992j;p14p15;1986;2194.6;992;j
QF;aptinc992j;p14p15;1987;2145.5;992;j
QF;aptinc992j;p14p15;1988;2143.6;992;j
QF;aptinc992j;p14p15;1989;2016.1;992;j
QF;aptinc992j;p14p15;1990;1870.7;992;j
QF;aptinc992j;p14p15;1991;1908.2;992;j
QF;aptinc992j;p14p15;1992;2043.8;992;j
QF;aptinc992j;p14p15;1993;2239.4;992;j
QF;aptinc992j;p14p15;1994;2298.2;992;j
QF;aptinc992j;p14p15;1995;2178.6;992;j
QF;aptinc992j;p14p15;1996;2299.3;992;j
QF;aptinc992j;p14p15;1997;2171.1;992;j
QF;aptinc992j;p14p15;1998;2020.4;992;j
QF;aptinc992j;p14p15;1999;2054.9;992;j
QF;aptinc992j;p14p15;2000;1998.2;992;j
QF;aptinc992j;p14p15;2001;1997.9;992;j
QF;aptinc992j;p14p15;2002;1977.2;992;j
QF;aptinc992j;p14p15;2003;1978.6;992;j
QF;aptinc992j;p14p15;2004;2030.8;992;j
QF;aptinc992j;p14p15;2005;2010.4;992;j
QF;aptinc992j;p14p15;2006;1978.4;992;j
QF;aptinc992j;p14p15;2007;2113.1;992;j
QF;aptinc992j;p14p15;2008;2165.1;992;j
QF;aptinc992j;p14p15;2009;2174.3;992;j
QF;aptinc992j;p14p15;2010;2264.3;992;j
QF;aptinc992j;p14p15;2011;2264.0;992;j
QF;aptinc992j;p14p15;2012;2245.5;992;j
QF;aptinc992j;p14p15;2013;2268.2;992;j
QF;aptinc992j;p14p15;2014;2492.5;992;j
QF;aptinc992j;p14p15;2015;2564.3;992;j
QF;aptinc992j;p14p15;2016;2652.3;992;j
QF;aptinc992j;p14p15;2017;2586.7;992;j
QF;aptinc992j;p14p15;2018;2458.5;992;j
QF;aptinc992j;p14p15;2019;2445.5;992;j
QF;aptinc992j;p14p15;2020;2321.0;992;j
QF;aptinc992j;p14p15;2021;2320.8;992;j
QF;aptinc992j;p61p62;1980;24544.0;992;j
QF;aptinc992j;p61p62;1981;25264.7;992;j
QF;aptinc992j;p61p62;1982;24293.9;992;j
QF;aptinc992j;p61p62;1983;23834.7;992;j
QF;aptinc992j;p61p62;1984;24179.6;992;j
QF;aptinc992j;p61p62;1985;24536.7;992;j
QF;aptinc992j;p61p62;1986;24855.5;992;j
QF;aptinc992j;p61p62;1987;23911.5;992;j
QF;aptinc992j;p61p62;1988;24197.2;992;j
QF;aptinc992j;p61p62;1989;25035.1;992;j
QF;aptinc992j;p61p62;1990;25024.1;992;j
QF;aptinc992j;p61p62;1991;23608.4;992;j
QF;aptinc992j;p61p62;1992;23191.3;992;j
QF;aptinc992j;p61p62;1993;23497.5;992;j
QF;aptinc992j;p61p62;1994;24141.6;992;j
QF;aptinc992j;p61p62;1995;24610.0;992;j
QF;aptinc992j;p61p62;1996;25579.0;992;j
QF;aptinc992j;p61p62;1997;25827.2;992;j
QF;aptinc992j;p61p62;1998;26094.8;992;j
QF;aptinc992j;p61p62;1999;26733.5;992;j
QF;aptinc992j;p61p62;2000;27449.2;992;j
QF;aptinc992j;p61p62;2001;28286.7;992;j
QF;aptinc992j;p61p62;2002;28523.0;992;j
QF;aptinc992j;p61p62;2003;29053.6;992;j
QF;aptinc992j;p61p62;2004;29716.5;992;j
QF;aptinc992j;p61p62;2005;29369.2;992;j
QF;aptinc992j;p61p62;2006;28695.1;992;j
QF;aptinc992j;p61p62;2007;30652.4;992;j
QF;aptinc992j;p61p62;2008;30914.9;992;j
QF;aptinc992j;p61p62;2009;30692.3;992;j
QF;aptinc992j;p61p62;2010;30517.0;992;j
QF;aptinc992j;p61p62;2011;31410.9;992;j
QF;aptinc992j;p61p62;2012;30491.3;992;j
QF;aptinc992j;p61p62;2013;29687.5;992;j
QF;aptinc992j;p61p62;2014;30153.4;992;j
QF;aptinc992j;p61p62;2015;30620.1;992;j
QF;aptinc992j;p61p62;2016;30322.3;992;j
QF;aptinc992j;p61p62;2017;30738.0;992;j
QF;aptinc992j;p61p62;2018;31233.9;992;j
QF;aptinc992j;p61p62;2019;31156.7;992;j
QF;aptinc992j;p61p62;2020;30926.5;992;j
QF;aptinc992j;p61p62;2021;31991.6;992;j
QF;bptinc992j;p99.94p100;1980;1.54283094406128;992;j
QF;bptinc992j;p99.94p100;1981;1.576624751091;992;j
QF;bptinc992j;p99.94p100;1982;1.6155858039856;992;j
QF;bptinc992j;p99.94p100;1983;1.75751376152039;992;j
QF;bptinc992j;p99.94p100;1984;1.66086673736572;992;j
QF;bptinc992j;p99.94p100;1985;1.64852333068848;992;j
QF;bptinc992j;p99.94p100;1986;1.78201937675476;992;j
QF;bptinc992j;p99.94p100;1987;1.92167615890503;992;j
QF;bptinc992j;p99.94p100;1988;2.18274164199829;992;j
QF;bptinc992j;p99.94p100;1989;1.79059457778931;992;j
QF;bptinc992j;p99.94p100;1990;1.94925498962402;992;j
QF;bptinc992j;p99.94p100;1991;1.84256041049957;992;j
QF;bptinc992j;p99.94p100;1992;1.88755595684051;992;j
QF;bptinc992j;p99.94p100;1993;1.94609344005585;992;j
QF;bptinc992j;p99.94p100;1994;2.03448128700256;992;j
QF;bptinc992j;p99.94p100;1995;2.11030602455139;992;j
QF;bptinc992j;p99.94p100;1996;1.76485252380371;992;j
QF;bptinc992j;p99.94p100;1997;1.83516955375671;992;j
QF;bptinc992j;p99.94p100;1998;1.94202589988708;992;j
QF;bptinc992j;p99.94p100;1999;2.40818190574646;992;j
QF;bptinc992j;p99.94p100;2000;2.30916309356689;992;j
QF;bptinc992j;p99.94p100;2001;2.05589556694031;992;j
QF;bptinc992j;p99.94p100;2002;2.0597939491272;992;j
QF;bptinc992j;p99.94p100;2003;2.12986350059509;992;j
QF;bptinc992j;p99.94p100;2004;2.27007722854614;992;j
QF;bptinc992j;p99.94p100;2005;2.24004435539246;992;j
QF;bptinc992j;p99.94p100;2006;2.43365788459778;992;j
QF;bptinc992j;p99.94p100;2007;2.50139904022217;992;j
QF;bptinc992j;p99.94p100;2008;2.31506967544556;992;j
QF;bptinc992j;p99.94p100;2009;2.19004797935486;992;j
QF;bptinc992j;p99.94p100;2010;2.30475163459778;992;j
