country;variable;percentile;year;value;age;pop
QG-MER;mndpro999i;p0p100;1950;132299868160.0;999;i
QG-MER;mndpro999i;p0p100;1951;134568032256.0;999;i
QG-MER;mndpro999i;p0p100;1952;136019800064.0;999;i
QG-MER;mndpro999i;p0p100;1953;140007731200.0;999;i
QG-MER;mndpro999i;p0p100;1954;151224477696.0;999;i
QG-MER;mndpro999i;p0p100;1955;158335291392.0;999;i
QG-MER;mndpro999i;p0p100;1956;163913064448.0;999;i
QG-MER;mndpro999i;p0p100;1957;166628157440.0;999;i
QG-MER;mndpro999i;p0p100;1958;174247333888.0;999;i
QG-MER;mndpro999i;p0p100;1959;185737617408.0;999;i
QG-MER;mndpro999i;p0p100;1960;191765856256.0;999;i
QG-MER;mndpro999i;p0p100;1961;195903311872.0;999;i
QG-MER;mndpro999i;p0p100;1962;200125009920.0;999;i
QG-MER;mndpro999i;p0p100;1963;210996199424.0;999;i
QG-MER;mndpro999i;p0p100;1964;226595594240.0;999;i
QG-MER;mndpro999i;p0p100;1965;239522910208.0;999;i
QG-MER;mndpro999i;p0p100;1966;243413520384.0;999;i
QG-MER;mndpro999i;p0p100;1967;253595099136.0;999;i
QG-MER;mndpro999i;p0p100;1968;263251279872.0;999;i
QG-MER;mndpro999i;p0p100;1969;282968702976.0;999;i
QG-MER;mndpro999i;p0p100;1970;298110611456.0;999;i
QG-MER;mndpro999i;p0p100;1971;312227135488.0;999;i
QG-MER;mndpro999i;p0p100;1972;328375734272.0;999;i
QG-MER;mndpro999i;p0p100;1973;343961927680.0;999;i
QG-MER;mndpro999i;p0p100;1974;350731395072.0;999;i
QG-MER;mndpro999i;p0p100;1975;356163739648.0;999;i
QG-MER;mndpro999i;p0p100;1976;366739619840.0;999;i
QG-MER;mndpro999i;p0p100;1977;374231019520.0;999;i
QG-MER;mndpro999i;p0p100;1978;375732170752.0;999;i
QG-MER;mndpro999i;p0p100;1979;391037390848.0;999;i
QG-MER;mndpro999i;p0p100;1980;402240684032.0;999;i
QG-MER;mndpro999i;p0p100;1981;420315303936.0;999;i
QG-MER;mndpro999i;p0p100;1982;422681051136.0;999;i
QG-MER;mndpro999i;p0p100;1983;419665702912.0;999;i
QG-MER;mndpro999i;p0p100;1984;441257144320.0;999;i
QG-MER;mndpro999i;p0p100;1985;463130185728.0;999;i
QG-MER;mndpro999i;p0p100;1986;476743757824.0;999;i
QG-MER;mndpro999i;p0p100;1987;487360172032.0;999;i
QG-MER;mndpro999i;p0p100;1988;516157489152.0;999;i
QG-MER;mndpro999i;p0p100;1989;533526093824.0;999;i
QG-MER;mndpro999i;p0p100;1990;546817355776.0;999;i
QG-MER;mndpro999i;p0p100;1991;537364221952.0;999;i
QG-MER;mndpro999i;p0p100;1992;535838932992.0;999;i
QG-MER;mndpro999i;p0p100;1993;563955040256.0;999;i
QG-MER;mndpro999i;p0p100;1994;589325090816.0;999;i
QG-MER;mndpro999i;p0p100;1995;610871943168.0;999;i
QG-MER;mndpro999i;p0p100;1996;636455133184.0;999;i
QG-MER;mndpro999i;p0p100;1997;662677807104.0;999;i
QG-MER;mndpro999i;p0p100;1998;688983007232.0;999;i
QG-MER;mndpro999i;p0p100;1999;723754737664.0;999;i
QG-MER;mndpro999i;p0p100;2000;751535800320.0;999;i
QG-MER;mndpro999i;p0p100;2001;766749761536.0;999;i
QG-MER;mndpro999i;p0p100;2002;796987981824.0;999;i
QG-MER;mndpro999i;p0p100;2003;825179611136.0;999;i
QG-MER;mndpro999i;p0p100;2004;861418938368.0;999;i
QG-MER;mndpro999i;p0p100;2005;887797809152.0;999;i
QG-MER;mndpro999i;p0p100;2006;911019368448.0;999;i
QG-MER;mndpro999i;p0p100;2007;948016177152.0;999;i
QG-MER;mndpro999i;p0p100;2008;977376165888.0;999;i
QG-MER;mndpro999i;p0p100;2009;985194364928.0;999;i
QG-MER;mndpro999i;p0p100;2010;1005996441600.0;999;i
QG-MER;mndpro999i;p0p100;2011;1029928902656.0;999;i
QG-MER;mndpro999i;p0p100;2012;1039812165632.0;999;i
QG-MER;mndpro999i;p0p100;2013;1074462425088.0;999;i
QG-MER;mndpro999i;p0p100;2014;1080815058944.0;999;i
QG-MER;mndpro999i;p0p100;2015;1082119831552.0;999;i
QG-MER;mndpro999i;p0p100;2016;1120942899200.0;999;i
QG-MER;mndpro999i;p0p100;2017;1156123590656.0;999;i
QG-MER;mndpro999i;p0p100;2018;1188705435648.0;999;i
QG-MER;mndpro999i;p0p100;2019;1197325860864.0;999;i
QG-MER;mndpro999i;p0p100;2020;1201514381312.0;999;i
QG-MER;mndpro999i;p0p100;2021;1258979557376.0;999;i
QG-MER;wwealh999i;p0p100;1995;3.34694075584412;999;i
QG-MER;wwealh999i;p0p100;1996;3.26107168197632;999;i
QG-MER;wwealh999i;p0p100;1997;3.32716774940491;999;i
QG-MER;wwealh999i;p0p100;1998;3.40722274780273;999;i
QG-MER;wwealh999i;p0p100;1999;3.4950602054596;999;i
QG-MER;wwealh999i;p0p100;2000;3.58469152450561;999;i
QG-MER;wwealh999i;p0p100;2001;3.67107772827148;999;i
QG-MER;wwealh999i;p0p100;2002;3.77270817756653;999;i
QG-MER;wwealh999i;p0p100;2003;4.00555324554443;999;i
QG-MER;wwealh999i;p0p100;2004;4.25114631652832;999;i
QG-MER;wwealh999i;p0p100;2005;4.50530052185059;999;i
QG-MER;wwealh999i;p0p100;2006;4.6624002456665;999;i
QG-MER;wwealh999i;p0p100;2007;4.85222768783569;999;i
QG-MER;wwealh999i;p0p100;2008;4.78116226196289;999;i
QG-MER;wwealh999i;p0p100;2009;4.42967510223389;999;i
QG-MER;wwealh999i;p0p100;2010;4.53667640686035;999;i
QG-MER;wwealh999i;p0p100;2011;4.49948358535767;999;i
QG-MER;wwealh999i;p0p100;2012;4.39473962783813;999;i
QG-MER;wwealh999i;p0p100;2013;4.41850996017456;999;i
QG-MER;wwealh999i;p0p100;2014;4.67770290374756;999;i
QG-MER;wwealh999i;p0p100;2015;5.1227912902832;999;i
QG-MER;wwealh999i;p0p100;2016;5.35104370117188;999;i
QG-MER;wwealh999i;p0p100;2017;5.5538592338562;999;i
QG-MER;wwealh999i;p0p100;2018;5.7785906791687;999;i
QG-MER;wwealh999i;p0p100;2019;5.74537229537964;999;i
QG-MER;wwealh999i;p0p100;2020;5.78894376754761;999;i
QG-MER;wwealh999i;p0p100;2021;5.83208703994751;999;i
QG-MER;mnweal999i;p0p100;1995;2926097989632.0;999;i
QG-MER;mnweal999i;p0p100;1996;2964809351168.0;999;i
QG-MER;mnweal999i;p0p100;1997;3131327152128.0;999;i
QG-MER;mnweal999i;p0p100;1998;3294056480768.0;999;i
QG-MER;mnweal999i;p0p100;1999;3625917972480.0;999;i
QG-MER;mnweal999i;p0p100;2000;3878618464256.0;999;i
QG-MER;mnweal999i;p0p100;2001;4042506993664.0;999;i
QG-MER;mnweal999i;p0p100;2002;4287441272832.0;999;i
QG-MER;mnweal999i;p0p100;2003;4636164096000.0;999;i
QG-MER;mnweal999i;p0p100;2004;5079437213696.0;999;i
QG-MER;mnweal999i;p0p100;2005;5481973743616.0;999;i
QG-MER;mnweal999i;p0p100;2006;5804212224000.0;999;i
QG-MER;mnweal999i;p0p100;2007;6242192654336.0;999;i
QG-MER;mnweal999i;p0p100;2008;6447572844544.0;999;i
QG-MER;mnweal999i;p0p100;2009;6256798007296.0;999;i
QG-MER;mnweal999i;p0p100;2010;6486420029440.0;999;i
QG-MER;mnweal999i;p0p100;2011;6522273071104.0;999;i
QG-MER;mnweal999i;p0p100;2012;6452422639616.0;999;i
QG-MER;mnweal999i;p0p100;2013;6664337817600.0;999;i
QG-MER;mnweal999i;p0p100;2014;7088495656960.0;999;i
QG-MER;mnweal999i;p0p100;2015;7644391211008.0;999;i
QG-MER;mnweal999i;p0p100;2016;8074460725248.0;999;i
QG-MER;mnweal999i;p0p100;2017;8467466551296.0;999;i
QG-MER;mnweal999i;p0p100;2018;8853192441856.0;999;i
QG-MER;mnweal999i;p0p100;2019;8890436026368.0;999;i
QG-MER;mnweal999i;p0p100;2020;9024604471296.0;999;i
QG-MER;mnweal999i;p0p100;2021;9488195649536.0;999;i
QG-MER;mhweal999i;p0p100;1995;1996303007744.0;999;i
