country;variable;percentile;year;value;age;pop
QJ-MER;ahweal992j;p99.96p100;1995;461309.9;992;j
QJ-MER;ahweal992j;p99.96p100;1996;459885.8;992;j
QJ-MER;ahweal992j;p99.96p100;1997;467995.5;992;j
QJ-MER;ahweal992j;p99.96p100;1998;473450.9;992;j
QJ-MER;ahweal992j;p99.96p100;1999;493845.9;992;j
QJ-MER;ahweal992j;p99.96p100;2000;489171.8;992;j
QJ-MER;ahweal992j;p99.96p100;2001;578257.6;992;j
QJ-MER;ahweal992j;p99.96p100;2002;626027.2;992;j
QJ-MER;ahweal992j;p99.96p100;2003;675243.0;992;j
QJ-MER;ahweal992j;p99.96p100;2004;724221.6;992;j
QJ-MER;ahweal992j;p99.96p100;2005;971385.4;992;j
QJ-MER;ahweal992j;p99.96p100;2006;1131610.6;992;j
QJ-MER;ahweal992j;p99.96p100;2007;1453217.0;992;j
QJ-MER;ahweal992j;p99.96p100;2008;1430999.4;992;j
QJ-MER;ahweal992j;p99.96p100;2009;1176430.0;992;j
QJ-MER;ahweal992j;p99.96p100;2010;1691146.9;992;j
QJ-MER;ahweal992j;p99.96p100;2011;1795264.1;992;j
QJ-MER;ahweal992j;p99.96p100;2012;1733500.0;992;j
QJ-MER;ahweal992j;p99.96p100;2013;1920509.4;992;j
QJ-MER;ahweal992j;p99.96p100;2014;2045283.1;992;j
QJ-MER;ahweal992j;p99.96p100;2015;2169212.0;992;j
QJ-MER;ahweal992j;p99.96p100;2016;2091686.3;992;j
QJ-MER;ahweal992j;p99.96p100;2017;2277354.0;992;j
QJ-MER;ahweal992j;p99.96p100;2018;2624203.0;992;j
QJ-MER;ahweal992j;p99.96p100;2019;2853128.3;992;j
QJ-MER;ahweal992j;p99.96p100;2020;2574831.5;992;j
QJ-MER;ahweal992j;p99.96p100;2021;3036715.8;992;j
QJ-MER;aptinc992j;p51p100;1980;7195.8;992;j
QJ-MER;aptinc992j;p51p100;1981;7058.3;992;j
QJ-MER;aptinc992j;p51p100;1982;6862.3;992;j
QJ-MER;aptinc992j;p51p100;1983;6711.3;992;j
QJ-MER;aptinc992j;p51p100;1984;6538.2;992;j
QJ-MER;aptinc992j;p51p100;1985;6413.3;992;j
QJ-MER;aptinc992j;p51p100;1986;6295.1;992;j
QJ-MER;aptinc992j;p51p100;1987;6158.3;992;j
QJ-MER;aptinc992j;p51p100;1988;6249.1;992;j
QJ-MER;aptinc992j;p51p100;1989;6167.4;992;j
QJ-MER;aptinc992j;p51p100;1990;6436.7;992;j
QJ-MER;aptinc992j;p51p100;1991;5887.9;992;j
QJ-MER;aptinc992j;p51p100;1992;5447.6;992;j
QJ-MER;aptinc992j;p51p100;1993;4818.3;992;j
QJ-MER;aptinc992j;p51p100;1994;4069.4;992;j
QJ-MER;aptinc992j;p51p100;1995;3904.4;992;j
QJ-MER;aptinc992j;p51p100;1996;3896.8;992;j
QJ-MER;aptinc992j;p51p100;1997;3906.2;992;j
QJ-MER;aptinc992j;p51p100;1998;3907.8;992;j
QJ-MER;aptinc992j;p51p100;1999;3968.8;992;j
QJ-MER;aptinc992j;p51p100;2000;4011.5;992;j
QJ-MER;aptinc992j;p51p100;2001;4431.3;992;j
QJ-MER;aptinc992j;p51p100;2002;4702.4;992;j
QJ-MER;aptinc992j;p51p100;2003;4959.0;992;j
QJ-MER;aptinc992j;p51p100;2004;5238.9;992;j
QJ-MER;aptinc992j;p51p100;2005;5438.7;992;j
QJ-MER;aptinc992j;p51p100;2006;5760.1;992;j
QJ-MER;aptinc992j;p51p100;2007;6115.7;992;j
QJ-MER;aptinc992j;p51p100;2008;6167.3;992;j
QJ-MER;aptinc992j;p51p100;2009;6348.3;992;j
QJ-MER;aptinc992j;p51p100;2010;6536.1;992;j
QJ-MER;aptinc992j;p51p100;2011;6874.0;992;j
QJ-MER;aptinc992j;p51p100;2012;7215.1;992;j
QJ-MER;aptinc992j;p51p100;2013;7737.2;992;j
QJ-MER;aptinc992j;p51p100;2014;8007.4;992;j
QJ-MER;aptinc992j;p51p100;2015;8308.5;992;j
QJ-MER;aptinc992j;p51p100;2016;8269.2;992;j
QJ-MER;aptinc992j;p51p100;2017;8457.5;992;j
QJ-MER;aptinc992j;p51p100;2018;8623.8;992;j
QJ-MER;aptinc992j;p51p100;2019;8918.1;992;j
QJ-MER;aptinc992j;p51p100;2020;8542.7;992;j
QJ-MER;aptinc992j;p51p100;2021;8747.6;992;j
