country;variable;percentile;year;value;age;pop
QJ;ahweal992j;p40p100;1995;9833.5;992;j
QJ;ahweal992j;p40p100;1996;9736.6;992;j
QJ;ahweal992j;p40p100;1997;10158.8;992;j
QJ;ahweal992j;p40p100;1998;10184.1;992;j
QJ;ahweal992j;p40p100;1999;10577.5;992;j
QJ;ahweal992j;p40p100;2000;11085.8;992;j
QJ;ahweal992j;p40p100;2001;12284.5;992;j
QJ;ahweal992j;p40p100;2002;13078.6;992;j
QJ;ahweal992j;p40p100;2003;14144.7;992;j
QJ;ahweal992j;p40p100;2004;15511.3;992;j
QJ;ahweal992j;p40p100;2005;16826.8;992;j
QJ;ahweal992j;p40p100;2006;18357.6;992;j
QJ;ahweal992j;p40p100;2007;20174.9;992;j
QJ;ahweal992j;p40p100;2008;20976.5;992;j
QJ;ahweal992j;p40p100;2009;22227.8;992;j
QJ;ahweal992j;p40p100;2010;22844.0;992;j
QJ;ahweal992j;p40p100;2011;24443.7;992;j
QJ;ahweal992j;p40p100;2012;26135.2;992;j
QJ;ahweal992j;p40p100;2013;28264.1;992;j
QJ;ahweal992j;p40p100;2014;30160.8;992;j
QJ;ahweal992j;p40p100;2015;32340.1;992;j
QJ;ahweal992j;p40p100;2016;33489.0;992;j
QJ;ahweal992j;p40p100;2017;35446.6;992;j
QJ;ahweal992j;p40p100;2018;37858.5;992;j
QJ;ahweal992j;p40p100;2019;40644.1;992;j
QJ;ahweal992j;p40p100;2020;40585.2;992;j
QJ;ahweal992j;p40p100;2021;43032.1;992;j
QJ;ahweal992j;p61p100;1995;13988.0;992;j
QJ;ahweal992j;p61p100;1996;13855.5;992;j
QJ;ahweal992j;p61p100;1997;14465.2;992;j
QJ;ahweal992j;p61p100;1998;14512.5;992;j
QJ;ahweal992j;p61p100;1999;15060.3;992;j
QJ;ahweal992j;p61p100;2000;15747.6;992;j
QJ;ahweal992j;p61p100;2001;17449.3;992;j
QJ;ahweal992j;p61p100;2002;18589.0;992;j
QJ;ahweal992j;p61p100;2003;20113.2;992;j
QJ;ahweal992j;p61p100;2004;22072.7;992;j
QJ;ahweal992j;p61p100;2005;23963.0;992;j
QJ;ahweal992j;p61p100;2006;26158.4;992;j
QJ;ahweal992j;p61p100;2007;28751.0;992;j
QJ;ahweal992j;p61p100;2008;29891.6;992;j
QJ;ahweal992j;p61p100;2009;31697.0;992;j
QJ;ahweal992j;p61p100;2010;32603.6;992;j
QJ;ahweal992j;p61p100;2011;34888.3;992;j
QJ;ahweal992j;p61p100;2012;37310.6;992;j
QJ;ahweal992j;p61p100;2013;40395.8;992;j
QJ;ahweal992j;p61p100;2014;43112.2;992;j
QJ;ahweal992j;p61p100;2015;46250.5;992;j
QJ;ahweal992j;p61p100;2016;47868.5;992;j
QJ;ahweal992j;p61p100;2017;50681.3;992;j
QJ;ahweal992j;p61p100;2018;54173.9;992;j
QJ;ahweal992j;p61p100;2019;58177.6;992;j
QJ;ahweal992j;p61p100;2020;58065.7;992;j
QJ;ahweal992j;p61p100;2021;61615.5;992;j
QJ;aptinc992j;p70p71;1980;10245.8;992;j
QJ;aptinc992j;p70p71;1981;10024.4;992;j
QJ;aptinc992j;p70p71;1982;9763.1;992;j
QJ;aptinc992j;p70p71;1983;9479.5;992;j
QJ;aptinc992j;p70p71;1984;9268.4;992;j
QJ;aptinc992j;p70p71;1985;9061.2;992;j
QJ;aptinc992j;p70p71;1986;8934.3;992;j
QJ;aptinc992j;p70p71;1987;8671.3;992;j
QJ;aptinc992j;p70p71;1988;8966.6;992;j
QJ;aptinc992j;p70p71;1989;8862.1;992;j
QJ;aptinc992j;p70p71;1990;9019.7;992;j
QJ;aptinc992j;p70p71;1991;8431.3;992;j
QJ;aptinc992j;p70p71;1992;7573.0;992;j
QJ;aptinc992j;p70p71;1993;6728.7;992;j
QJ;aptinc992j;p70p71;1994;5585.3;992;j
QJ;aptinc992j;p70p71;1995;5111.6;992;j
QJ;aptinc992j;p70p71;1996;4817.6;992;j
QJ;aptinc992j;p70p71;1997;4813.6;992;j
QJ;aptinc992j;p70p71;1998;4720.9;992;j
QJ;aptinc992j;p70p71;1999;4819.7;992;j
QJ;aptinc992j;p70p71;2000;4876.1;992;j
QJ;aptinc992j;p70p71;2001;5152.5;992;j
QJ;aptinc992j;p70p71;2002;5306.3;992;j
QJ;aptinc992j;p70p71;2003;5677.9;992;j
QJ;aptinc992j;p70p71;2004;6470.3;992;j
QJ;aptinc992j;p70p71;2005;6394.5;992;j
QJ;aptinc992j;p70p71;2006;6770.0;992;j
QJ;aptinc992j;p70p71;2007;7395.8;992;j
QJ;aptinc992j;p70p71;2008;7403.8;992;j
QJ;aptinc992j;p70p71;2009;7491.3;992;j
QJ;aptinc992j;p70p71;2010;7688.2;992;j
QJ;aptinc992j;p70p71;2011;8321.7;992;j
QJ;aptinc992j;p70p71;2012;8643.3;992;j
QJ;aptinc992j;p70p71;2013;9256.8;992;j
QJ;aptinc992j;p70p71;2014;9803.0;992;j
QJ;aptinc992j;p70p71;2015;10630.5;992;j
QJ;aptinc992j;p70p71;2016;9872.6;992;j
QJ;aptinc992j;p70p71;2017;10115.1;992;j
QJ;aptinc992j;p70p71;2018;10239.5;992;j
QJ;aptinc992j;p70p71;2019;10592.1;992;j
QJ;aptinc992j;p70p71;2020;10214.2;992;j
QJ;aptinc992j;p70p71;2021;10470.9;992;j
QJ;aptinc992j;p98p100;1980;95710.9;992;j
QJ;aptinc992j;p98p100;1981;93768.3;992;j
QJ;aptinc992j;p98p100;1982;91599.3;992;j
