country;variable;percentile;year;value;age;pop
QK-MER;aptinc992j;p16p100;1980;12964.2;992;j
QK-MER;aptinc992j;p16p100;1981;14228.7;992;j
QK-MER;aptinc992j;p16p100;1982;14290.8;992;j
QK-MER;aptinc992j;p16p100;1983;14127.1;992;j
QK-MER;aptinc992j;p16p100;1984;13575.5;992;j
QK-MER;aptinc992j;p16p100;1985;14007.8;992;j
QK-MER;aptinc992j;p16p100;1986;13786.1;992;j
QK-MER;aptinc992j;p16p100;1987;13600.6;992;j
QK-MER;aptinc992j;p16p100;1988;14019.2;992;j
QK-MER;aptinc992j;p16p100;1989;14217.3;992;j
QK-MER;aptinc992j;p16p100;1990;14590.4;992;j
QK-MER;aptinc992j;p16p100;1991;14828.8;992;j
QK-MER;aptinc992j;p16p100;1992;12858.2;992;j
QK-MER;aptinc992j;p16p100;1993;12696.4;992;j
QK-MER;aptinc992j;p16p100;1994;12995.7;992;j
QK-MER;aptinc992j;p16p100;1995;12705.2;992;j
QK-MER;aptinc992j;p16p100;1996;13792.7;992;j
QK-MER;aptinc992j;p16p100;1997;13597.2;992;j
QK-MER;aptinc992j;p16p100;1998;13512.7;992;j
QK-MER;aptinc992j;p16p100;1999;13258.4;992;j
QK-MER;aptinc992j;p16p100;2000;12520.9;992;j
QK-MER;aptinc992j;p16p100;2001;12497.7;992;j
QK-MER;aptinc992j;p16p100;2002;11323.1;992;j
QK-MER;aptinc992j;p16p100;2003;9547.2;992;j
QK-MER;aptinc992j;p16p100;2004;8987.6;992;j
QK-MER;aptinc992j;p16p100;2005;8577.4;992;j
QK-MER;aptinc992j;p16p100;2006;8291.7;992;j
QK-MER;aptinc992j;p16p100;2007;8109.9;992;j
QK-MER;aptinc992j;p16p100;2008;6916.4;992;j
QK-MER;aptinc992j;p16p100;2009;7183.3;992;j
QK-MER;aptinc992j;p16p100;2010;8037.4;992;j
QK-MER;aptinc992j;p16p100;2011;8671.4;992;j
QK-MER;aptinc992j;p16p100;2012;9577.4;992;j
