country;variable;percentile;year;value;age;pop
QK;ahweal992j;p80p81;1995;2631.9;992;j
QK;ahweal992j;p80p81;1996;2777.9;992;j
QK;ahweal992j;p80p81;1997;2940.2;992;j
QK;ahweal992j;p80p81;1998;3009.0;992;j
QK;ahweal992j;p80p81;1999;3127.8;992;j
QK;ahweal992j;p80p81;2000;3209.9;992;j
QK;ahweal992j;p80p81;2001;3296.9;992;j
QK;ahweal992j;p80p81;2002;3402.2;992;j
QK;ahweal992j;p80p81;2003;3477.2;992;j
QK;ahweal992j;p80p81;2004;3547.7;992;j
QK;ahweal992j;p80p81;2005;3733.9;992;j
QK;ahweal992j;p80p81;2006;4004.6;992;j
QK;ahweal992j;p80p81;2007;4337.2;992;j
QK;ahweal992j;p80p81;2008;4527.1;992;j
QK;ahweal992j;p80p81;2009;4700.9;992;j
QK;ahweal992j;p80p81;2010;4970.1;992;j
QK;ahweal992j;p80p81;2011;5396.6;992;j
QK;ahweal992j;p80p81;2012;5716.0;992;j
QK;ahweal992j;p80p81;2013;5980.6;992;j
QK;ahweal992j;p80p81;2014;6216.2;992;j
QK;ahweal992j;p80p81;2015;6491.7;992;j
QK;ahweal992j;p80p81;2016;6691.3;992;j
QK;ahweal992j;p80p81;2017;6768.4;992;j
QK;ahweal992j;p80p81;2018;7187.5;992;j
QK;ahweal992j;p80p81;2019;7523.4;992;j
QK;ahweal992j;p80p81;2020;7583.8;992;j
QK;ahweal992j;p80p81;2021;7897.9;992;j
QK;ahweal992j;p99.6p99.7;1995;69126.4;992;j
QK;ahweal992j;p99.6p99.7;1996;69442.3;992;j
QK;ahweal992j;p99.6p99.7;1997;72292.9;992;j
QK;ahweal992j;p99.6p99.7;1998;74389.2;992;j
QK;ahweal992j;p99.6p99.7;1999;76408.3;992;j
QK;ahweal992j;p99.6p99.7;2000;79202.1;992;j
QK;ahweal992j;p99.6p99.7;2001;84829.6;992;j
QK;ahweal992j;p99.6p99.7;2002;88941.6;992;j
QK;ahweal992j;p99.6p99.7;2003;89466.4;992;j
QK;ahweal992j;p99.6p99.7;2004;87835.2;992;j
QK;ahweal992j;p99.6p99.7;2005;92753.4;992;j
QK;ahweal992j;p99.6p99.7;2006;99035.9;992;j
QK;ahweal992j;p99.6p99.7;2007;107788.6;992;j
QK;ahweal992j;p99.6p99.7;2008;110845.6;992;j
QK;ahweal992j;p99.6p99.7;2009;113719.9;992;j
QK;ahweal992j;p99.6p99.7;2010;114435.4;992;j
QK;ahweal992j;p99.6p99.7;2011;118439.4;992;j
QK;ahweal992j;p99.6p99.7;2012;122354.5;992;j
QK;ahweal992j;p99.6p99.7;2013;126709.9;992;j
QK;ahweal992j;p99.6p99.7;2014;125679.8;992;j
QK;ahweal992j;p99.6p99.7;2015;132324.6;992;j
QK;ahweal992j;p99.6p99.7;2016;138096.2;992;j
QK;ahweal992j;p99.6p99.7;2017;143550.9;992;j
QK;ahweal992j;p99.6p99.7;2018;150317.4;992;j
QK;ahweal992j;p99.6p99.7;2019;154217.2;992;j
QK;ahweal992j;p99.6p99.7;2020;157799.8;992;j
QK;ahweal992j;p99.6p99.7;2021;162612.5;992;j
QK;aptinc992j;p57p100;1980;5242.2;992;j
QK;aptinc992j;p57p100;1981;5266.5;992;j
QK;aptinc992j;p57p100;1982;5227.1;992;j
QK;aptinc992j;p57p100;1983;5093.6;992;j
QK;aptinc992j;p57p100;1984;4912.8;992;j
QK;aptinc992j;p57p100;1985;4909.2;992;j
QK;aptinc992j;p57p100;1986;5005.4;992;j
QK;aptinc992j;p57p100;1987;5097.7;992;j
QK;aptinc992j;p57p100;1988;5185.5;992;j
QK;aptinc992j;p57p100;1989;5275.2;992;j
QK;aptinc992j;p57p100;1990;5328.2;992;j
QK;aptinc992j;p57p100;1991;5208.4;992;j
QK;aptinc992j;p57p100;1992;4973.0;992;j
QK;aptinc992j;p57p100;1993;5057.4;992;j
QK;aptinc992j;p57p100;1994;5005.4;992;j
QK;aptinc992j;p57p100;1995;5079.4;992;j
QK;aptinc992j;p57p100;1996;5236.5;992;j
QK;aptinc992j;p57p100;1997;5237.0;992;j
QK;aptinc992j;p57p100;1998;5217.2;992;j
QK;aptinc992j;p57p100;1999;5244.1;992;j
QK;aptinc992j;p57p100;2000;5180.5;992;j
QK;aptinc992j;p57p100;2001;5304.8;992;j
QK;aptinc992j;p57p100;2002;5169.5;992;j
QK;aptinc992j;p57p100;2003;5149.5;992;j
QK;aptinc992j;p57p100;2004;5259.8;992;j
QK;aptinc992j;p57p100;2005;5423.3;992;j
QK;aptinc992j;p57p100;2006;5651.5;992;j
QK;aptinc992j;p57p100;2007;5876.9;992;j
QK;aptinc992j;p57p100;2008;5916.7;992;j
QK;aptinc992j;p57p100;2009;6030.9;992;j
QK;aptinc992j;p57p100;2010;6292.9;992;j
QK;aptinc992j;p57p100;2011;6522.4;992;j
QK;aptinc992j;p57p100;2012;6725.3;992;j
QK;aptinc992j;p57p100;2013;6828.5;992;j
QK;aptinc992j;p57p100;2014;6951.7;992;j
QK;aptinc992j;p57p100;2015;7079.4;992;j
QK;aptinc992j;p57p100;2016;7155.4;992;j
QK;aptinc992j;p57p100;2017;7191.6;992;j
QK;aptinc992j;p57p100;2018;7397.9;992;j
QK;aptinc992j;p57p100;2019;7379.9;992;j
QK;aptinc992j;p57p100;2020;7151.9;992;j
QK;aptinc992j;p57p100;2021;7232.3;992;j
QK;aptinc992j;p99.93p99.94;1980;134159.7;992;j
QK;aptinc992j;p99.93p99.94;1981;139236.9;992;j
QK;aptinc992j;p99.93p99.94;1982;134786.3;992;j
QK;aptinc992j;p99.93p99.94;1983;130397.4;992;j
QK;aptinc992j;p99.93p99.94;1984;127971.3;992;j
QK;aptinc992j;p99.93p99.94;1985;125373.2;992;j
QK;aptinc992j;p99.93p99.94;1986;133052.1;992;j
QK;aptinc992j;p99.93p99.94;1987;142556.0;992;j
QK;aptinc992j;p99.93p99.94;1988;147998.4;992;j
QK;aptinc992j;p99.93p99.94;1989;147561.5;992;j
QK;aptinc992j;p99.93p99.94;1990;149992.8;992;j
QK;aptinc992j;p99.93p99.94;1991;152398.1;992;j
QK;aptinc992j;p99.93p99.94;1992;139852.4;992;j
QK;aptinc992j;p99.93p99.94;1993;135606.2;992;j
QK;aptinc992j;p99.93p99.94;1994;116276.9;992;j
QK;aptinc992j;p99.93p99.94;1995;119642.6;992;j
QK;aptinc992j;p99.93p99.94;1996;123271.7;992;j
QK;aptinc992j;p99.93p99.94;1997;124569.3;992;j
QK;aptinc992j;p99.93p99.94;1998;116967.7;992;j
QK;aptinc992j;p99.93p99.94;1999;115716.5;992;j
QK;aptinc992j;p99.93p99.94;2000;116157.9;992;j
QK;aptinc992j;p99.93p99.94;2001;123070.6;992;j
QK;aptinc992j;p99.93p99.94;2002;120212.5;992;j
QK;aptinc992j;p99.93p99.94;2003;119239.4;992;j
QK;aptinc992j;p99.93p99.94;2004;119820.1;992;j
QK;aptinc992j;p99.93p99.94;2005;124977.2;992;j
QK;aptinc992j;p99.93p99.94;2006;133174.2;992;j
QK;aptinc992j;p99.93p99.94;2007;131723.5;992;j
QK;aptinc992j;p99.93p99.94;2008;132204.6;992;j
QK;aptinc992j;p99.93p99.94;2009;136812.1;992;j
QK;aptinc992j;p99.93p99.94;2010;138982.7;992;j
QK;aptinc992j;p99.93p99.94;2011;137480.8;992;j
QK;aptinc992j;p99.93p99.94;2012;132204.6;992;j
QK;aptinc992j;p99.93p99.94;2013;131387.6;992;j
QK;aptinc992j;p99.93p99.94;2014;129268.0;992;j
QK;aptinc992j;p99.93p99.94;2015;134127.8;992;j
QK;aptinc992j;p99.93p99.94;2016;126430.7;992;j
QK;aptinc992j;p99.93p99.94;2017;129868.8;992;j
QK;aptinc992j;p99.93p99.94;2018;139278.3;992;j
QK;aptinc992j;p99.93p99.94;2019;136460.8;992;j
QK;aptinc992j;p99.93p99.94;2020;126069.6;992;j
QK;aptinc992j;p99.93p99.94;2021;129363.7;992;j
QK;aptinc992j;p9p10;1980;114.5;992;j
QK;aptinc992j;p9p10;1981;113.4;992;j
QK;aptinc992j;p9p10;1982;112.7;992;j
QK;aptinc992j;p9p10;1983;106.0;992;j
QK;aptinc992j;p9p10;1984;103.5;992;j
QK;aptinc992j;p9p10;1985;98.2;992;j
QK;aptinc992j;p9p10;1986;100.0;992;j
QK;aptinc992j;p9p10;1987;102.9;992;j
QK;aptinc992j;p9p10;1988;102.1;992;j
QK;aptinc992j;p9p10;1989;104.1;992;j
QK;aptinc992j;p9p10;1990;105.2;992;j
QK;aptinc992j;p9p10;1991;98.2;992;j
QK;aptinc992j;p9p10;1992;95.4;992;j
QK;aptinc992j;p9p10;1993;104.2;992;j
QK;aptinc992j;p9p10;1994;99.8;992;j
QK;aptinc992j;p9p10;1995;103.2;992;j
QK;aptinc992j;p9p10;1996;115.8;992;j
QK;aptinc992j;p9p10;1997;120.7;992;j
QK;aptinc992j;p9p10;1998;124.7;992;j
QK;aptinc992j;p9p10;1999;139.0;992;j
QK;aptinc992j;p9p10;2000;138.8;992;j
QK;aptinc992j;p9p10;2001;143.3;992;j
QK;aptinc992j;p9p10;2002;143.1;992;j
QK;aptinc992j;p9p10;2003;153.2;992;j
QK;aptinc992j;p9p10;2004;158.3;992;j
QK;aptinc992j;p9p10;2005;165.4;992;j
QK;aptinc992j;p9p10;2006;173.1;992;j
