country;variable;percentile;year;value;age;pop
QL-MER;ahweal992j;p58p59;1995;4695.6;992;j
QL-MER;ahweal992j;p58p59;1996;4939.4;992;j
QL-MER;ahweal992j;p58p59;1997;5727.5;992;j
QL-MER;ahweal992j;p58p59;1998;5970.6;992;j
QL-MER;ahweal992j;p58p59;1999;6478.0;992;j
QL-MER;ahweal992j;p58p59;2000;6961.7;992;j
QL-MER;ahweal992j;p58p59;2001;7398.8;992;j
QL-MER;ahweal992j;p58p59;2002;8390.8;992;j
QL-MER;ahweal992j;p58p59;2003;9325.2;992;j
QL-MER;ahweal992j;p58p59;2004;9997.5;992;j
QL-MER;ahweal992j;p58p59;2005;10936.0;992;j
QL-MER;ahweal992j;p58p59;2006;11642.6;992;j
QL-MER;ahweal992j;p58p59;2007;12414.8;992;j
QL-MER;ahweal992j;p58p59;2008;12484.0;992;j
QL-MER;ahweal992j;p58p59;2009;13835.4;992;j
QL-MER;ahweal992j;p58p59;2010;13869.4;992;j
QL-MER;ahweal992j;p58p59;2011;12517.5;992;j
QL-MER;ahweal992j;p58p59;2012;13887.9;992;j
QL-MER;ahweal992j;p58p59;2013;15303.5;992;j
QL-MER;ahweal992j;p58p59;2014;16484.6;992;j
QL-MER;ahweal992j;p58p59;2015;17588.6;992;j
QL-MER;ahweal992j;p58p59;2016;19034.6;992;j
QL-MER;ahweal992j;p58p59;2017;19945.6;992;j
QL-MER;ahweal992j;p58p59;2018;21308.2;992;j
QL-MER;ahweal992j;p58p59;2019;23653.6;992;j
QL-MER;ahweal992j;p58p59;2020;24168.1;992;j
QL-MER;ahweal992j;p58p59;2021;24853.4;992;j
QL-MER;ahweal992j;p84p85;1995;12246.1;992;j
QL-MER;ahweal992j;p84p85;1996;14033.1;992;j
QL-MER;ahweal992j;p84p85;1997;15912.4;992;j
QL-MER;ahweal992j;p84p85;1998;17501.1;992;j
QL-MER;ahweal992j;p84p85;1999;19685.5;992;j
QL-MER;ahweal992j;p84p85;2000;21948.7;992;j
QL-MER;ahweal992j;p84p85;2001;22937.2;992;j
QL-MER;ahweal992j;p84p85;2002;25144.6;992;j
QL-MER;ahweal992j;p84p85;2003;27854.9;992;j
QL-MER;ahweal992j;p84p85;2004;30050.2;992;j
QL-MER;ahweal992j;p84p85;2005;33311.5;992;j
QL-MER;ahweal992j;p84p85;2006;34892.1;992;j
QL-MER;ahweal992j;p84p85;2007;35459.4;992;j
QL-MER;ahweal992j;p84p85;2008;35530.7;992;j
QL-MER;ahweal992j;p84p85;2009;39352.4;992;j
QL-MER;ahweal992j;p84p85;2010;46485.7;992;j
QL-MER;ahweal992j;p84p85;2011;46182.8;992;j
QL-MER;ahweal992j;p84p85;2012;49004.0;992;j
QL-MER;ahweal992j;p84p85;2013;53124.9;992;j
QL-MER;ahweal992j;p84p85;2014;57677.5;992;j
QL-MER;ahweal992j;p84p85;2015;61789.4;992;j
QL-MER;ahweal992j;p84p85;2016;63143.0;992;j
QL-MER;ahweal992j;p84p85;2017;63989.8;992;j
QL-MER;ahweal992j;p84p85;2018;68038.4;992;j
QL-MER;ahweal992j;p84p85;2019;75355.2;992;j
QL-MER;ahweal992j;p84p85;2020;76824.5;992;j
QL-MER;ahweal992j;p84p85;2021;79104.3;992;j
QL-MER;ahweal992j;p93p94;1995;63998.5;992;j
QL-MER;ahweal992j;p93p94;1996;64474.1;992;j
QL-MER;ahweal992j;p93p94;1997;67042.4;992;j
QL-MER;ahweal992j;p93p94;1998;67805.0;992;j
QL-MER;ahweal992j;p93p94;1999;71221.1;992;j
QL-MER;ahweal992j;p93p94;2000;74416.9;992;j
QL-MER;ahweal992j;p93p94;2001;72335.2;992;j
QL-MER;ahweal992j;p93p94;2002;76835.2;992;j
QL-MER;ahweal992j;p93p94;2003;78990.1;992;j
QL-MER;ahweal992j;p93p94;2004;87298.6;992;j
QL-MER;ahweal992j;p93p94;2005;95590.7;992;j
QL-MER;ahweal992j;p93p94;2006;98707.8;992;j
QL-MER;ahweal992j;p93p94;2007;101136.3;992;j
QL-MER;ahweal992j;p93p94;2008;104276.4;992;j
QL-MER;ahweal992j;p93p94;2009;107302.5;992;j
QL-MER;ahweal992j;p93p94;2010;132547.4;992;j
QL-MER;ahweal992j;p93p94;2011;146356.9;992;j
QL-MER;ahweal992j;p93p94;2012;159792.7;992;j
QL-MER;ahweal992j;p93p94;2013;172900.5;992;j
QL-MER;ahweal992j;p93p94;2014;186449.6;992;j
QL-MER;ahweal992j;p93p94;2015;199127.7;992;j
QL-MER;ahweal992j;p93p94;2016;200475.6;992;j
QL-MER;ahweal992j;p93p94;2017;203865.3;992;j
QL-MER;ahweal992j;p93p94;2018;208095.0;992;j
QL-MER;ahweal992j;p93p94;2019;227417.3;992;j
QL-MER;ahweal992j;p93p94;2020;231318.4;992;j
QL-MER;ahweal992j;p93p94;2021;237380.0;992;j
QL-MER;aptinc992j;p15p100;1980;4892.4;992;j
QL-MER;aptinc992j;p15p100;1981;5013.4;992;j
QL-MER;aptinc992j;p15p100;1982;5189.3;992;j
QL-MER;aptinc992j;p15p100;1983;5277.0;992;j
QL-MER;aptinc992j;p15p100;1984;5497.0;992;j
QL-MER;aptinc992j;p15p100;1985;5738.8;992;j
QL-MER;aptinc992j;p15p100;1986;5792.4;992;j
QL-MER;aptinc992j;p15p100;1987;5966.4;992;j
QL-MER;aptinc992j;p15p100;1988;6245.0;992;j
QL-MER;aptinc992j;p15p100;1989;6361.6;992;j
QL-MER;aptinc992j;p15p100;1990;6411.2;992;j
QL-MER;aptinc992j;p15p100;1991;6492.3;992;j
QL-MER;aptinc992j;p15p100;1992;6551.4;992;j
QL-MER;aptinc992j;p15p100;1993;6639.3;992;j
QL-MER;aptinc992j;p15p100;1994;6808.2;992;j
QL-MER;aptinc992j;p15p100;1995;7012.5;992;j
QL-MER;aptinc992j;p15p100;1996;7099.8;992;j
QL-MER;aptinc992j;p15p100;1997;7238.8;992;j
QL-MER;aptinc992j;p15p100;1998;6945.5;992;j
QL-MER;aptinc992j;p15p100;1999;7038.5;992;j
QL-MER;aptinc992j;p15p100;2000;7300.3;992;j
QL-MER;aptinc992j;p15p100;2001;7396.7;992;j
QL-MER;aptinc992j;p15p100;2002;7709.8;992;j
QL-MER;aptinc992j;p15p100;2003;7992.8;992;j
QL-MER;aptinc992j;p15p100;2004;8466.2;992;j
QL-MER;aptinc992j;p15p100;2005;8850.2;992;j
QL-MER;aptinc992j;p15p100;2006;9430.3;992;j
QL-MER;aptinc992j;p15p100;2007;10058.7;992;j
QL-MER;aptinc992j;p15p100;2008;10143.3;992;j
QL-MER;aptinc992j;p15p100;2009;10061.4;992;j
QL-MER;aptinc992j;p15p100;2010;10726.8;992;j
QL-MER;aptinc992j;p15p100;2011;11198.1;992;j
QL-MER;aptinc992j;p15p100;2012;11643.4;992;j
QL-MER;aptinc992j;p15p100;2013;12373.9;992;j
QL-MER;aptinc992j;p15p100;2014;13054.0;992;j
QL-MER;aptinc992j;p15p100;2015;13571.0;992;j
QL-MER;aptinc992j;p15p100;2016;14104.5;992;j
QL-MER;aptinc992j;p15p100;2017;14778.4;992;j
QL-MER;aptinc992j;p15p100;2018;15360.1;992;j
QL-MER;aptinc992j;p15p100;2019;15893.4;992;j
QL-MER;aptinc992j;p15p100;2020;15887.9;992;j
QL-MER;aptinc992j;p15p100;2021;17006.1;992;j
QL-MER;shweal992j;p30p100;1995;0.9993;992;j
QL-MER;shweal992j;p30p100;1996;0.9984;992;j
QL-MER;shweal992j;p30p100;1997;0.9962;992;j
