country;variable;percentile;year;value;age;pop
QL;aptinc992j;p13p14;1980;835.0;992;j
QL;aptinc992j;p13p14;1981;857.4;992;j
QL;aptinc992j;p13p14;1982;889.9;992;j
QL;aptinc992j;p13p14;1983;934.1;992;j
QL;aptinc992j;p13p14;1984;996.1;992;j
QL;aptinc992j;p13p14;1985;1036.4;992;j
QL;aptinc992j;p13p14;1986;986.1;992;j
QL;aptinc992j;p13p14;1987;993.1;992;j
QL;aptinc992j;p13p14;1988;994.1;992;j
QL;aptinc992j;p13p14;1989;936.9;992;j
QL;aptinc992j;p13p14;1990;921.4;992;j
QL;aptinc992j;p13p14;1991;883.3;992;j
QL;aptinc992j;p13p14;1992;892.5;992;j
QL;aptinc992j;p13p14;1993;893.4;992;j
QL;aptinc992j;p13p14;1994;916.8;992;j
QL;aptinc992j;p13p14;1995;1006.3;992;j
QL;aptinc992j;p13p14;1996;1045.3;992;j
QL;aptinc992j;p13p14;1997;1084.3;992;j
QL;aptinc992j;p13p14;1998;1065.3;992;j
QL;aptinc992j;p13p14;1999;1047.3;992;j
QL;aptinc992j;p13p14;2000;996.5;992;j
QL;aptinc992j;p13p14;2001;989.6;992;j
QL;aptinc992j;p13p14;2002;1016.5;992;j
QL;aptinc992j;p13p14;2003;1047.9;992;j
QL;aptinc992j;p13p14;2004;1156.5;992;j
QL;aptinc992j;p13p14;2005;1143.1;992;j
QL;aptinc992j;p13p14;2006;1261.6;992;j
QL;aptinc992j;p13p14;2007;1364.1;992;j
QL;aptinc992j;p13p14;2008;1399.9;992;j
QL;aptinc992j;p13p14;2009;1370.7;992;j
QL;aptinc992j;p13p14;2010;1468.9;992;j
QL;aptinc992j;p13p14;2011;1463.6;992;j
QL;aptinc992j;p13p14;2012;1567.4;992;j
QL;aptinc992j;p13p14;2013;1706.0;992;j
QL;aptinc992j;p13p14;2014;1870.6;992;j
QL;aptinc992j;p13p14;2015;1963.0;992;j
QL;aptinc992j;p13p14;2016;2078.7;992;j
QL;aptinc992j;p13p14;2017;2199.5;992;j
QL;aptinc992j;p13p14;2018;2312.9;992;j
QL;aptinc992j;p13p14;2019;2434.5;992;j
QL;aptinc992j;p13p14;2020;2450.9;992;j
QL;aptinc992j;p13p14;2021;2636.9;992;j
QL;aptinc992j;p36p100;1980;6787.5;992;j
QL;aptinc992j;p36p100;1981;6968.7;992;j
QL;aptinc992j;p36p100;1982;7236.0;992;j
QL;aptinc992j;p36p100;1983;7389.8;992;j
QL;aptinc992j;p36p100;1984;7735.2;992;j
QL;aptinc992j;p36p100;1985;8070.6;992;j
QL;aptinc992j;p36p100;1986;8250.5;992;j
QL;aptinc992j;p36p100;1987;8527.6;992;j
QL;aptinc992j;p36p100;1988;8907.0;992;j
QL;aptinc992j;p36p100;1989;9067.8;992;j
QL;aptinc992j;p36p100;1990;9073.9;992;j
QL;aptinc992j;p36p100;1991;9281.4;992;j
QL;aptinc992j;p36p100;1992;9497.3;992;j
QL;aptinc992j;p36p100;1993;9724.3;992;j
QL;aptinc992j;p36p100;1994;10026.6;992;j
