country;variable;percentile;year;value;age;pop
QM-MER;ahweal992j;p18p100;1995;20211.2;992;j
QM-MER;ahweal992j;p18p100;1996;21279.6;992;j
QM-MER;ahweal992j;p18p100;1997;20915.7;992;j
QM-MER;ahweal992j;p18p100;1998;21740.7;992;j
QM-MER;ahweal992j;p18p100;1999;22183.4;992;j
QM-MER;ahweal992j;p18p100;2000;22785.9;992;j
QM-MER;ahweal992j;p18p100;2001;23166.2;992;j
QM-MER;ahweal992j;p18p100;2002;23897.4;992;j
QM-MER;ahweal992j;p18p100;2003;24867.0;992;j
QM-MER;ahweal992j;p18p100;2004;25903.4;992;j
QM-MER;ahweal992j;p18p100;2005;27240.7;992;j
QM-MER;ahweal992j;p18p100;2006;28978.9;992;j
QM-MER;ahweal992j;p18p100;2007;30526.5;992;j
QM-MER;ahweal992j;p18p100;2008;31583.9;992;j
QM-MER;ahweal992j;p18p100;2009;30939.9;992;j
QM-MER;ahweal992j;p18p100;2010;31437.1;992;j
QM-MER;ahweal992j;p18p100;2011;32088.3;992;j
QM-MER;ahweal992j;p18p100;2012;33043.5;992;j
QM-MER;ahweal992j;p18p100;2013;34400.2;992;j
QM-MER;ahweal992j;p18p100;2014;35832.7;992;j
QM-MER;ahweal992j;p18p100;2015;37622.4;992;j
QM-MER;ahweal992j;p18p100;2016;39511.7;992;j
QM-MER;ahweal992j;p18p100;2017;41613.7;992;j
QM-MER;ahweal992j;p18p100;2018;43376.9;992;j
QM-MER;ahweal992j;p18p100;2019;46038.6;992;j
QM-MER;ahweal992j;p18p100;2020;46144.3;992;j
QM-MER;ahweal992j;p18p100;2021;48520.8;992;j
QM-MER;ahweal992j;p72p100;1995;50798.7;992;j
QM-MER;ahweal992j;p72p100;1996;53179.2;992;j
QM-MER;ahweal992j;p72p100;1997;52075.5;992;j
QM-MER;ahweal992j;p72p100;1998;53876.7;992;j
QM-MER;ahweal992j;p72p100;1999;54846.9;992;j
QM-MER;ahweal992j;p72p100;2000;56215.5;992;j
QM-MER;ahweal992j;p72p100;2001;57011.0;992;j
QM-MER;ahweal992j;p72p100;2002;58881.8;992;j
QM-MER;ahweal992j;p72p100;2003;61019.4;992;j
QM-MER;ahweal992j;p72p100;2004;63296.9;992;j
QM-MER;ahweal992j;p72p100;2005;66458.0;992;j
QM-MER;ahweal992j;p72p100;2006;70735.3;992;j
QM-MER;ahweal992j;p72p100;2007;74665.4;992;j
QM-MER;ahweal992j;p72p100;2008;77275.3;992;j
QM-MER;ahweal992j;p72p100;2009;75578.8;992;j
QM-MER;ahweal992j;p72p100;2010;76621.5;992;j
QM-MER;ahweal992j;p72p100;2011;78201.9;992;j
QM-MER;ahweal992j;p72p100;2012;80634.1;992;j
QM-MER;ahweal992j;p72p100;2013;83719.1;992;j
QM-MER;ahweal992j;p72p100;2014;87264.1;992;j
QM-MER;ahweal992j;p72p100;2015;91549.5;992;j
QM-MER;ahweal992j;p72p100;2016;95854.5;992;j
QM-MER;ahweal992j;p72p100;2017;100909.0;992;j
QM-MER;ahweal992j;p72p100;2018;105215.0;992;j
QM-MER;ahweal992j;p72p100;2019;111791.9;992;j
QM-MER;ahweal992j;p72p100;2020;111965.6;992;j
QM-MER;ahweal992j;p72p100;2021;117796.7;992;j
QM-MER;aptinc992j;p99.91p99.92;1980;53946.4;992;j
QM-MER;aptinc992j;p99.91p99.92;1981;53040.2;992;j
QM-MER;aptinc992j;p99.91p99.92;1982;54825.4;992;j
QM-MER;aptinc992j;p99.91p99.92;1983;56985.0;992;j
QM-MER;aptinc992j;p99.91p99.92;1984;60667.9;992;j
QM-MER;aptinc992j;p99.91p99.92;1985;59548.4;992;j
QM-MER;aptinc992j;p99.91p99.92;1986;60691.3;992;j
QM-MER;aptinc992j;p99.91p99.92;1987;61108.6;992;j
QM-MER;aptinc992j;p99.91p99.92;1988;61660.9;992;j
QM-MER;aptinc992j;p99.91p99.92;1989;67329.3;992;j
QM-MER;aptinc992j;p99.91p99.92;1990;75525.9;992;j
QM-MER;aptinc992j;p99.91p99.92;1991;81333.6;992;j
QM-MER;aptinc992j;p99.91p99.92;1992;84324.6;992;j
QM-MER;aptinc992j;p99.91p99.92;1993;90972.0;992;j
QM-MER;aptinc992j;p99.91p99.92;1994;104384.5;992;j
QM-MER;aptinc992j;p99.91p99.92;1995;120568.5;992;j
QM-MER;aptinc992j;p99.91p99.92;1996;120074.5;992;j
QM-MER;aptinc992j;p99.91p99.92;1997;122851.8;992;j
QM-MER;aptinc992j;p99.91p99.92;1998;135290.0;992;j
QM-MER;aptinc992j;p99.91p99.92;1999;133028.0;992;j
QM-MER;aptinc992j;p99.91p99.92;2000;136094.7;992;j
QM-MER;aptinc992j;p99.91p99.92;2001;137658.0;992;j
QM-MER;aptinc992j;p99.91p99.92;2002;153227.8;992;j
QM-MER;aptinc992j;p99.91p99.92;2003;154776.7;992;j
QM-MER;aptinc992j;p99.91p99.92;2004;178001.5;992;j
QM-MER;aptinc992j;p99.91p99.92;2005;193044.3;992;j
QM-MER;aptinc992j;p99.91p99.92;2006;212576.0;992;j
QM-MER;aptinc992j;p99.91p99.92;2007;231260.3;992;j
QM-MER;aptinc992j;p99.91p99.92;2008;240262.3;992;j
QM-MER;aptinc992j;p99.91p99.92;2009;213142.7;992;j
QM-MER;aptinc992j;p99.91p99.92;2010;212311.0;992;j
QM-MER;aptinc992j;p99.91p99.92;2011;208611.2;992;j
QM-MER;aptinc992j;p99.91p99.92;2012;226133.4;992;j
QM-MER;aptinc992j;p99.91p99.92;2013;224262.3;992;j
QM-MER;aptinc992j;p99.91p99.92;2014;240873.0;992;j
QM-MER;aptinc992j;p99.91p99.92;2015;249280.7;992;j
QM-MER;aptinc992j;p99.91p99.92;2016;242290.6;992;j
QM-MER;aptinc992j;p99.91p99.92;2017;263353.6;992;j
QM-MER;aptinc992j;p99.91p99.92;2018;266089.2;992;j
QM-MER;aptinc992j;p99.91p99.92;2019;283460.6;992;j
QM-MER;aptinc992j;p99.91p99.92;2020;274801.7;992;j
QM-MER;aptinc992j;p99.91p99.92;2021;285610.0;992;j
QM-MER;aptinc992j;p99.99p100;1980;248776.9;992;j
QM-MER;aptinc992j;p99.99p100;1981;245368.0;992;j
QM-MER;aptinc992j;p99.99p100;1982;249505.9;992;j
QM-MER;aptinc992j;p99.99p100;1983;254608.9;992;j
QM-MER;aptinc992j;p99.99p100;1984;285333.1;992;j
QM-MER;aptinc992j;p99.99p100;1985;267179.4;992;j
QM-MER;aptinc992j;p99.99p100;1986;260385.5;992;j
QM-MER;aptinc992j;p99.99p100;1987;276943.4;992;j
QM-MER;aptinc992j;p99.99p100;1988;290377.0;992;j
QM-MER;aptinc992j;p99.99p100;1989;316108.5;992;j
QM-MER;aptinc992j;p99.99p100;1990;399652.2;992;j
QM-MER;aptinc992j;p99.99p100;1991;478027.7;992;j
QM-MER;aptinc992j;p99.99p100;1992;742189.6;992;j
QM-MER;aptinc992j;p99.99p100;1993;870581.6;992;j
QM-MER;aptinc992j;p99.99p100;1994;1100265.6;992;j
QM-MER;aptinc992j;p99.99p100;1995;1167356.4;992;j
QM-MER;aptinc992j;p99.99p100;1996;915808.1;992;j
QM-MER;aptinc992j;p99.99p100;1997;955823.2;992;j
QM-MER;aptinc992j;p99.99p100;1998;1124800.5;992;j
QM-MER;aptinc992j;p99.99p100;1999;1093278.4;992;j
QM-MER;aptinc992j;p99.99p100;2000;1012549.3;992;j
QM-MER;aptinc992j;p99.99p100;2001;1005989.8;992;j
QM-MER;aptinc992j;p99.99p100;2002;1083594.0;992;j
QM-MER;aptinc992j;p99.99p100;2003;1102335.9;992;j
QM-MER;aptinc992j;p99.99p100;2004;1413595.0;992;j
QM-MER;aptinc992j;p99.99p100;2005;1838504.5;992;j
QM-MER;aptinc992j;p99.99p100;2006;1957202.4;992;j
QM-MER;aptinc992j;p99.99p100;2007;2633054.3;992;j
QM-MER;aptinc992j;p99.99p100;2008;2729617.8;992;j
QM-MER;aptinc992j;p99.99p100;2009;2281847.0;992;j
QM-MER;aptinc992j;p99.99p100;2010;1897695.3;992;j
QM-MER;aptinc992j;p99.99p100;2011;2125891.0;992;j
QM-MER;aptinc992j;p99.99p100;2012;2230821.0;992;j
QM-MER;aptinc992j;p99.99p100;2013;2163462.3;992;j
QM-MER;aptinc992j;p99.99p100;2014;2481502.0;992;j
QM-MER;aptinc992j;p99.99p100;2015;2763523.3;992;j
QM-MER;aptinc992j;p99.99p100;2016;2727609.5;992;j
QM-MER;aptinc992j;p99.99p100;2017;2884102.0;992;j
QM-MER;aptinc992j;p99.99p100;2018;2961403.3;992;j
QM-MER;aptinc992j;p99.99p100;2019;3236548.3;992;j
QM-MER;aptinc992j;p99.99p100;2020;3095742.3;992;j
QM-MER;aptinc992j;p99.99p100;2021;3234039.0;992;j
QM-MER;bhweal992j;p27p100;1995;20.1977558135986;992;j
QM-MER;bhweal992j;p27p100;1996;19.0958137512207;992;j
QM-MER;bhweal992j;p27p100;1997;18.2162418365479;992;j
QM-MER;bhweal992j;p27p100;1998;17.6694297790527;992;j
QM-MER;bhweal992j;p27p100;1999;17.8744926452637;992;j
QM-MER;bhweal992j;p27p100;2000;17.2753772735596;992;j
QM-MER;bhweal992j;p27p100;2001;16.499303817749;992;j
QM-MER;bhweal992j;p27p100;2002;16.4596042633057;992;j
QM-MER;bhweal992j;p27p100;2003;16.0420379638672;992;j
QM-MER;bhweal992j;p27p100;2004;15.4358978271484;992;j
QM-MER;bhweal992j;p27p100;2005;15.2299461364746;992;j
QM-MER;bhweal992j;p27p100;2006;15.2986516952515;992;j
QM-MER;bhweal992j;p27p100;2007;15.504753112793;992;j
QM-MER;bhweal992j;p27p100;2008;14.964448928833;992;j
QM-MER;bhweal992j;p27p100;2009;15.0751428604126;992;j
QM-MER;bhweal992j;p27p100;2010;14.7007532119751;992;j
QM-MER;bhweal992j;p27p100;2011;14.7645330429077;992;j
QM-MER;bhweal992j;p27p100;2012;14.8308486938477;992;j
QM-MER;bhweal992j;p27p100;2013;14.7481803894043;992;j
