country;variable;percentile;year;value;age;pop
QM;ahweal992j;p17p18;1995;690.3;992;j
QM;ahweal992j;p17p18;1996;789.7;992;j
QM;ahweal992j;p17p18;1997;799.3;992;j
QM;ahweal992j;p17p18;1998;834.4;992;j
QM;ahweal992j;p17p18;1999;823.0;992;j
QM;ahweal992j;p17p18;2000;880.1;992;j
QM;ahweal992j;p17p18;2001;937.5;992;j
QM;ahweal992j;p17p18;2002;1017.7;992;j
QM;ahweal992j;p17p18;2003;1061.8;992;j
QM;ahweal992j;p17p18;2004;1148.0;992;j
QM;ahweal992j;p17p18;2005;1222.2;992;j
QM;ahweal992j;p17p18;2006;1287.4;992;j
QM;ahweal992j;p17p18;2007;1359.0;992;j
QM;ahweal992j;p17p18;2008;1462.2;992;j
QM;ahweal992j;p17p18;2009;1413.4;992;j
QM;ahweal992j;p17p18;2010;1445.3;992;j
QM;ahweal992j;p17p18;2011;1470.9;992;j
QM;ahweal992j;p17p18;2012;1485.9;992;j
QM;ahweal992j;p17p18;2013;1586.6;992;j
QM;ahweal992j;p17p18;2014;1583.9;992;j
QM;ahweal992j;p17p18;2015;1723.7;992;j
QM;ahweal992j;p17p18;2016;1845.6;992;j
QM;ahweal992j;p17p18;2017;1970.7;992;j
QM;ahweal992j;p17p18;2018;2076.3;992;j
QM;ahweal992j;p17p18;2019;2152.7;992;j
QM;ahweal992j;p17p18;2020;2153.9;992;j
QM;ahweal992j;p17p18;2021;2285.9;992;j
QM;aptinc992j;p29p100;1980;16128.7;992;j
QM;aptinc992j;p29p100;1981;15761.0;992;j
QM;aptinc992j;p29p100;1982;15615.3;992;j
QM;aptinc992j;p29p100;1983;15894.0;992;j
QM;aptinc992j;p29p100;1984;16295.9;992;j
QM;aptinc992j;p29p100;1985;16379.5;992;j
QM;aptinc992j;p29p100;1986;16636.0;992;j
QM;aptinc992j;p29p100;1987;16691.8;992;j
QM;aptinc992j;p29p100;1988;16979.9;992;j
QM;aptinc992j;p29p100;1989;16899.5;992;j
QM;aptinc992j;p29p100;1990;15716.9;992;j
QM;aptinc992j;p29p100;1991;15140.5;992;j
QM;aptinc992j;p29p100;1992;13679.2;992;j
QM;aptinc992j;p29p100;1993;13346.1;992;j
QM;aptinc992j;p29p100;1994;13846.0;992;j
QM;aptinc992j;p29p100;1995;14468.4;992;j
QM;aptinc992j;p29p100;1996;15073.2;992;j
QM;aptinc992j;p29p100;1997;15406.8;992;j
QM;aptinc992j;p29p100;1998;15891.8;992;j
QM;aptinc992j;p29p100;1999;15952.2;992;j
QM;aptinc992j;p29p100;2000;16654.4;992;j
QM;aptinc992j;p29p100;2001;17111.2;992;j
QM;aptinc992j;p29p100;2002;17752.6;992;j
QM;aptinc992j;p29p100;2003;18335.3;992;j
QM;aptinc992j;p29p100;2004;19219.3;992;j
QM;aptinc992j;p29p100;2005;20378.2;992;j
QM;aptinc992j;p29p100;2006;21519.3;992;j
QM;aptinc992j;p29p100;2007;22675.5;992;j
QM;aptinc992j;p29p100;2008;23913.3;992;j
QM;aptinc992j;p29p100;2009;22916.9;992;j
QM;aptinc992j;p29p100;2010;22999.5;992;j
QM;aptinc992j;p29p100;2011;23628.2;992;j
QM;aptinc992j;p29p100;2012;23782.5;992;j
QM;aptinc992j;p29p100;2013;24201.3;992;j
QM;aptinc992j;p29p100;2014;24959.4;992;j
QM;aptinc992j;p29p100;2015;25901.9;992;j
QM;aptinc992j;p29p100;2016;26707.0;992;j
QM;aptinc992j;p29p100;2017;28162.1;992;j
QM;aptinc992j;p29p100;2018;29582.5;992;j
QM;aptinc992j;p29p100;2019;31083.9;992;j
QM;aptinc992j;p29p100;2020;29764.2;992;j
QM;aptinc992j;p29p100;2021;31164.7;992;j
QM;aptinc992j;p99p99.1;1980;43257.4;992;j
QM;aptinc992j;p99p99.1;1981;42357.3;992;j
QM;aptinc992j;p99p99.1;1982;42147.9;992;j
QM;aptinc992j;p99p99.1;1983;43661.4;992;j
QM;aptinc992j;p99p99.1;1984;45477.4;992;j
QM;aptinc992j;p99p99.1;1985;45107.6;992;j
QM;aptinc992j;p99p99.1;1986;45700.8;992;j
QM;aptinc992j;p99p99.1;1987;45588.2;992;j
QM;aptinc992j;p99p99.1;1988;45700.7;992;j
QM;aptinc992j;p99p99.1;1989;47811.3;992;j
QM;aptinc992j;p99p99.1;1990;48913.2;992;j
QM;aptinc992j;p99p99.1;1991;48936.0;992;j
QM;aptinc992j;p99p99.1;1992;45784.8;992;j
QM;aptinc992j;p99p99.1;1993;44025.9;992;j
QM;aptinc992j;p99p99.1;1994;48770.1;992;j
QM;aptinc992j;p99p99.1;1995;55329.8;992;j
QM;aptinc992j;p99p99.1;1996;58867.5;992;j
QM;aptinc992j;p99p99.1;1997;61473.1;992;j
QM;aptinc992j;p99p99.1;1998;64626.7;992;j
QM;aptinc992j;p99p99.1;1999;63619.3;992;j
QM;aptinc992j;p99p99.1;2000;65941.9;992;j
QM;aptinc992j;p99p99.1;2001;67296.9;992;j
QM;aptinc992j;p99p99.1;2002;70869.9;992;j
QM;aptinc992j;p99p99.1;2003;73122.2;992;j
QM;aptinc992j;p99p99.1;2004;76118.7;992;j
QM;aptinc992j;p99p99.1;2005;84242.8;992;j
QM;aptinc992j;p99p99.1;2006;87032.6;992;j
QM;aptinc992j;p99p99.1;2007;93062.3;992;j
QM;aptinc992j;p99p99.1;2008;102871.6;992;j
QM;aptinc992j;p99p99.1;2009;94488.5;992;j
QM;aptinc992j;p99p99.1;2010;89315.3;992;j
QM;aptinc992j;p99p99.1;2011;93929.8;992;j
QM;aptinc992j;p99p99.1;2012;91897.4;992;j
