country;variable;percentile;year;value;age;pop
QN-MER;ahweal992j;p12p100;1995;2519.4;992;j
QN-MER;ahweal992j;p12p100;1996;2517.3;992;j
QN-MER;ahweal992j;p12p100;1997;2923.6;992;j
QN-MER;ahweal992j;p12p100;1998;3022.2;992;j
QN-MER;ahweal992j;p12p100;1999;3060.3;992;j
QN-MER;ahweal992j;p12p100;2000;2345.7;992;j
QN-MER;ahweal992j;p12p100;2001;2337.6;992;j
QN-MER;ahweal992j;p12p100;2002;2349.9;992;j
QN-MER;ahweal992j;p12p100;2003;2413.9;992;j
QN-MER;ahweal992j;p12p100;2004;2514.1;992;j
QN-MER;ahweal992j;p12p100;2005;2615.8;992;j
QN-MER;ahweal992j;p12p100;2006;2678.7;992;j
QN-MER;ahweal992j;p12p100;2007;2823.8;992;j
QN-MER;ahweal992j;p12p100;2008;2928.4;992;j
QN-MER;ahweal992j;p12p100;2009;3253.3;992;j
QN-MER;ahweal992j;p12p100;2010;3106.4;992;j
QN-MER;ahweal992j;p12p100;2011;2905.0;992;j
QN-MER;ahweal992j;p12p100;2012;3020.6;992;j
QN-MER;ahweal992j;p12p100;2013;3056.2;992;j
QN-MER;ahweal992j;p12p100;2014;3265.5;992;j
QN-MER;ahweal992j;p12p100;2015;3348.8;992;j
QN-MER;ahweal992j;p12p100;2016;3317.7;992;j
QN-MER;ahweal992j;p12p100;2017;3283.1;992;j
QN-MER;ahweal992j;p12p100;2018;3259.8;992;j
QN-MER;ahweal992j;p12p100;2019;3376.4;992;j
QN-MER;ahweal992j;p12p100;2020;3356.2;992;j
QN-MER;ahweal992j;p12p100;2021;3292.4;992;j
QN-MER;ahweal992j;p47p100;1995;4047.4;992;j
QN-MER;ahweal992j;p47p100;1996;4040.1;992;j
QN-MER;ahweal992j;p47p100;1997;4698.2;992;j
QN-MER;ahweal992j;p47p100;1998;4857.5;992;j
QN-MER;ahweal992j;p47p100;1999;4930.6;992;j
QN-MER;ahweal992j;p47p100;2000;3778.1;992;j
QN-MER;ahweal992j;p47p100;2001;3768.4;992;j
QN-MER;ahweal992j;p47p100;2002;3793.2;992;j
QN-MER;ahweal992j;p47p100;2003;3900.4;992;j
QN-MER;ahweal992j;p47p100;2004;4066.9;992;j
QN-MER;ahweal992j;p47p100;2005;4253.4;992;j
QN-MER;ahweal992j;p47p100;2006;4358.2;992;j
QN-MER;ahweal992j;p47p100;2007;4601.3;992;j
QN-MER;ahweal992j;p47p100;2008;4779.3;992;j
QN-MER;ahweal992j;p47p100;2009;5309.7;992;j
QN-MER;ahweal992j;p47p100;2010;5058.2;992;j
QN-MER;ahweal992j;p47p100;2011;4726.1;992;j
QN-MER;ahweal992j;p47p100;2012;4910.8;992;j
QN-MER;ahweal992j;p47p100;2013;4967.9;992;j
QN-MER;ahweal992j;p47p100;2014;5304.8;992;j
QN-MER;ahweal992j;p47p100;2015;5438.6;992;j
QN-MER;ahweal992j;p47p100;2016;5384.5;992;j
QN-MER;ahweal992j;p47p100;2017;5328.6;992;j
QN-MER;ahweal992j;p47p100;2018;5286.9;992;j
QN-MER;ahweal992j;p47p100;2019;5472.9;992;j
QN-MER;ahweal992j;p47p100;2020;5436.8;992;j
QN-MER;ahweal992j;p47p100;2021;5333.9;992;j
QN-MER;ahweal992j;p61p62;1995;895.2;992;j
QN-MER;ahweal992j;p61p62;1996;904.8;992;j
QN-MER;ahweal992j;p61p62;1997;1014.8;992;j
QN-MER;ahweal992j;p61p62;1998;1059.3;992;j
