country;variable;percentile;year;value;age;pop
QN;bhweal992j;p93p100;1995;3.37255120277405;992;j
QN;bhweal992j;p93p100;1996;3.4239718914032;992;j
QN;bhweal992j;p93p100;1997;3.55310726165771;992;j
QN;bhweal992j;p93p100;1998;3.5559778213501;992;j
QN;bhweal992j;p93p100;1999;3.50738787651062;992;j
QN;bhweal992j;p93p100;2000;3.90282392501831;992;j
QN;bhweal992j;p93p100;2001;3.975013256073;992;j
QN;bhweal992j;p93p100;2002;3.99434185028076;992;j
QN;bhweal992j;p93p100;2003;3.94585061073303;992;j
QN;bhweal992j;p93p100;2004;3.92399597167969;992;j
QN;bhweal992j;p93p100;2005;3.91171503067017;992;j
QN;bhweal992j;p93p100;2006;3.79229474067688;992;j
QN;bhweal992j;p93p100;2007;3.75469136238098;992;j
QN;bhweal992j;p93p100;2008;3.60833930969238;992;j
QN;bhweal992j;p93p100;2009;3.78280782699585;992;j
QN;bhweal992j;p93p100;2010;3.8400228023529;992;j
QN;bhweal992j;p93p100;2011;3.85757541656494;992;j
QN;bhweal992j;p93p100;2012;4.01479625701904;992;j
QN;bhweal992j;p93p100;2013;4.11767339706421;992;j
QN;bhweal992j;p93p100;2014;4.2950029373169;992;j
QN;bhweal992j;p93p100;2015;4.21045589447021;992;j
QN;bhweal992j;p93p100;2016;4.24400520324707;992;j
QN;bhweal992j;p93p100;2017;4.30045366287231;992;j
QN;bhweal992j;p93p100;2018;4.25256776809692;992;j
QN;bhweal992j;p93p100;2019;4.20211219787598;992;j
QN;bhweal992j;p93p100;2020;4.11583614349365;992;j
QN;bhweal992j;p93p100;2021;4.130286693573;992;j
QN;bptinc992j;p19p100;1980;9.72219467163086;992;j
QN;bptinc992j;p19p100;1981;9.70336055755615;992;j
QN;bptinc992j;p19p100;1982;9.37282371520996;992;j
QN;bptinc992j;p19p100;1983;9.49968528747559;992;j
QN;bptinc992j;p19p100;1984;9.54786777496338;992;j
QN;bptinc992j;p19p100;1985;8.97410202026367;992;j
QN;bptinc992j;p19p100;1986;9.21831130981445;992;j
QN;bptinc992j;p19p100;1987;9.1916332244873;992;j
QN;bptinc992j;p19p100;1988;8.86404132843018;992;j
QN;bptinc992j;p19p100;1989;8.69097995758057;992;j
QN;bptinc992j;p19p100;1990;8.83338260650635;992;j
QN;bptinc992j;p19p100;1991;8.85954189300537;992;j
QN;bptinc992j;p19p100;1992;8.96157932281494;992;j
QN;bptinc992j;p19p100;1993;8.84817504882812;992;j
QN;bptinc992j;p19p100;1994;9.06214332580566;992;j
QN;bptinc992j;p19p100;1995;9.20602416992188;992;j
QN;bptinc992j;p19p100;1996;9.43306350708008;992;j
QN;bptinc992j;p19p100;1997;10.4290103912353;992;j
QN;bptinc992j;p19p100;1998;10.8303318023682;992;j
QN;bptinc992j;p19p100;1999;10.7548828125;992;j
QN;bptinc992j;p19p100;2000;11.5027275085449;992;j
QN;bptinc992j;p19p100;2001;12.1214742660522;992;j
QN;bptinc992j;p19p100;2002;12.6248321533203;992;j
QN;bptinc992j;p19p100;2003;12.6161756515503;992;j
QN;bptinc992j;p19p100;2004;12.9166660308838;992;j
QN;bptinc992j;p19p100;2005;13.8795547485352;992;j
QN;bptinc992j;p19p100;2006;13.8908624649048;992;j
QN;bptinc992j;p19p100;2007;14.4763383865356;992;j
QN;bptinc992j;p19p100;2008;14.554536819458;992;j
QN;bptinc992j;p19p100;2009;14.7715749740601;992;j
QN;bptinc992j;p19p100;2010;14.4938926696777;992;j
QN;bptinc992j;p19p100;2011;13.9660158157349;992;j
QN;bptinc992j;p19p100;2012;13.8730897903442;992;j
QN;bptinc992j;p19p100;2013;14.3944149017334;992;j
QN;bptinc992j;p19p100;2014;13.3196754455566;992;j
QN;bptinc992j;p19p100;2015;12.9216470718384;992;j
QN;bptinc992j;p19p100;2016;12.470757484436;992;j
QN;bptinc992j;p19p100;2017;12.2426700592041;992;j
QN;bptinc992j;p19p100;2018;11.7708587646484;992;j
QN;bptinc992j;p19p100;2019;11.4354085922241;992;j
QN;bptinc992j;p19p100;2020;11.075496673584;992;j
QN;bptinc992j;p19p100;2021;10.9163780212402;992;j
QN;bptinc992j;p3p100;1984;-10317524369408.0;992;j
QN;bptinc992j;p3p100;1987;-11607215177728.0;992;j
QN;bptinc992j;p3p100;1998;-4235.76806640625;992;j
QN;bptinc992j;p3p100;2000;-4730.58203125;992;j
QN;npopul302m;p0p100;1950;1522226.0;302;m
QN;npopul302m;p0p100;1951;1544029.0;302;m
QN;npopul302m;p0p100;1952;1570426.0;302;m
QN;npopul302m;p0p100;1953;1600870.0;302;m
QN;npopul302m;p0p100;1954;1634914.0;302;m
QN;npopul302m;p0p100;1955;1671777.0;302;m
QN;npopul302m;p0p100;1956;1708864.0;302;m
QN;npopul302m;p0p100;1957;1748998.0;302;m
QN;npopul302m;p0p100;1958;1791121.0;302;m
QN;npopul302m;p0p100;1959;1834973.0;302;m
QN;npopul302m;p0p100;1960;1880994.0;302;m
QN;npopul302m;p0p100;1961;1916502.0;302;m
QN;npopul302m;p0p100;1962;1954757.0;302;m
QN;npopul302m;p0p100;1963;1995810.0;302;m
QN;npopul302m;p0p100;1964;2039388.0;302;m
QN;npopul302m;p0p100;1965;2084567.0;302;m
QN;npopul302m;p0p100;1966;2116609.0;302;m
QN;npopul302m;p0p100;1967;2153263.0;302;m
QN;npopul302m;p0p100;1968;2193231.0;302;m
QN;npopul302m;p0p100;1969;2235862.0;302;m
QN;npopul302m;p0p100;1970;2282249.0;302;m
QN;npopul302m;p0p100;1971;2329769.0;302;m
QN;npopul302m;p0p100;1972;2379340.0;302;m
QN;npopul302m;p0p100;1973;2432046.0;302;m
QN;npopul302m;p0p100;1974;2489367.0;302;m
QN;npopul302m;p0p100;1975;2551552.0;302;m
QN;npopul302m;p0p100;1976;2607772.0;302;m
QN;npopul302m;p0p100;1977;2671628.0;302;m
QN;npopul302m;p0p100;1978;2740964.0;302;m
QN;npopul302m;p0p100;1979;2812621.0;302;m
QN;npopul302m;p0p100;1980;2884927.0;302;m
QN;npopul302m;p0p100;1981;2950778.0;302;m
QN;npopul302m;p0p100;1982;3019180.0;302;m
QN;npopul302m;p0p100;1983;3091536.0;302;m
QN;npopul302m;p0p100;1984;3170028.0;302;m
QN;npopul302m;p0p100;1985;3255706.0;302;m
QN;npopul302m;p0p100;1986;3335693.0;302;m
QN;npopul302m;p0p100;1987;3423937.0;302;m
QN;npopul302m;p0p100;1988;3522306.0;302;m
QN;npopul302m;p0p100;1989;3633098.0;302;m
QN;npopul302m;p0p100;1990;3757053.0;302;m
QN;npopul302m;p0p100;1991;3888762.0;302;m
QN;npopul302m;p0p100;1992;4036730.0;302;m
QN;npopul302m;p0p100;1993;4194028.0;302;m
QN;npopul302m;p0p100;1994;4351724.0;302;m
QN;npopul302m;p0p100;1995;4504523.0;302;m
QN;npopul302m;p0p100;1996;4633541.0;302;m
QN;npopul302m;p0p100;1997;4759375.0;302;m
