country;variable;percentile;year;value;age;pop
QO-MER;ahweal992j;p22p100;1995;2573.7;992;j
QO-MER;ahweal992j;p22p100;1996;2790.6;992;j
QO-MER;ahweal992j;p22p100;1997;2899.3;992;j
QO-MER;ahweal992j;p22p100;1998;3093.9;992;j
QO-MER;ahweal992j;p22p100;1999;3215.2;992;j
QO-MER;ahweal992j;p22p100;2000;3358.6;992;j
QO-MER;ahweal992j;p22p100;2001;3643.0;992;j
QO-MER;ahweal992j;p22p100;2002;3875.5;992;j
QO-MER;ahweal992j;p22p100;2003;4157.1;992;j
QO-MER;ahweal992j;p22p100;2004;4401.8;992;j
QO-MER;ahweal992j;p22p100;2005;4771.2;992;j
QO-MER;ahweal992j;p22p100;2006;5194.6;992;j
QO-MER;ahweal992j;p22p100;2007;5520.9;992;j
QO-MER;ahweal992j;p22p100;2008;5745.6;992;j
QO-MER;ahweal992j;p22p100;2009;5944.9;992;j
QO-MER;ahweal992j;p22p100;2010;6160.4;992;j
QO-MER;ahweal992j;p22p100;2011;6246.1;992;j
QO-MER;ahweal992j;p22p100;2012;6314.9;992;j
QO-MER;ahweal992j;p22p100;2013;6455.3;992;j
QO-MER;ahweal992j;p22p100;2014;6696.7;992;j
QO-MER;ahweal992j;p22p100;2015;7022.8;992;j
QO-MER;ahweal992j;p22p100;2016;7137.3;992;j
QO-MER;ahweal992j;p22p100;2017;7378.6;992;j
QO-MER;ahweal992j;p22p100;2018;7753.6;992;j
QO-MER;ahweal992j;p22p100;2019;8096.8;992;j
QO-MER;ahweal992j;p22p100;2020;8034.2;992;j
QO-MER;ahweal992j;p22p100;2021;8320.5;992;j
QO-MER;ahweal992j;p31p100;1995;2888.8;992;j
QO-MER;ahweal992j;p31p100;1996;3132.6;992;j
QO-MER;ahweal992j;p31p100;1997;3254.4;992;j
QO-MER;ahweal992j;p31p100;1998;3472.9;992;j
QO-MER;ahweal992j;p31p100;1999;3609.3;992;j
QO-MER;ahweal992j;p31p100;2000;3770.1;992;j
QO-MER;ahweal992j;p31p100;2001;4089.0;992;j
QO-MER;ahweal992j;p31p100;2002;4349.4;992;j
QO-MER;ahweal992j;p31p100;2003;4665.0;992;j
QO-MER;ahweal992j;p31p100;2004;4939.2;992;j
