country;variable;percentile;year;value;age;pop
QO;ahweal992j;p99.997p100;1995;6532720.0;992;j
QO;ahweal992j;p99.997p100;1996;7052905.5;992;j
QO;ahweal992j;p99.997p100;1997;6816948.0;992;j
QO;ahweal992j;p99.997p100;1998;7059461.0;992;j
QO;ahweal992j;p99.997p100;1999;7829638.0;992;j
QO;ahweal992j;p99.997p100;2000;9316683.0;992;j
QO;ahweal992j;p99.997p100;2001;9710505.0;992;j
QO;ahweal992j;p99.997p100;2002;9514206.0;992;j
QO;ahweal992j;p99.997p100;2003;10192838.0;992;j
QO;ahweal992j;p99.997p100;2004;10293153.0;992;j
QO;ahweal992j;p99.997p100;2005;13790692.0;992;j
QO;ahweal992j;p99.997p100;2006;17264160.0;992;j
QO;ahweal992j;p99.997p100;2007;23117798.0;992;j
QO;ahweal992j;p99.997p100;2008;23825090.0;992;j
QO;ahweal992j;p99.997p100;2009;18797898.0;992;j
QO;ahweal992j;p99.997p100;2010;23023202.0;992;j
QO;ahweal992j;p99.997p100;2011;26078150.0;992;j
QO;ahweal992j;p99.997p100;2012;28108874.0;992;j
QO;ahweal992j;p99.997p100;2013;28706470.0;992;j
QO;ahweal992j;p99.997p100;2014;32887058.0;992;j
QO;ahweal992j;p99.997p100;2015;32993620.0;992;j
QO;ahweal992j;p99.997p100;2016;27015730.0;992;j
QO;ahweal992j;p99.997p100;2017;30980710.0;992;j
QO;ahweal992j;p99.997p100;2018;31855448.0;992;j
QO;ahweal992j;p99.997p100;2019;30540042.0;992;j
QO;ahweal992j;p99.997p100;2020;29389354.0;992;j
QO;ahweal992j;p99.997p100;2021;38941844.0;992;j
QO;aptinc992j;p25p26;1980;2120.5;992;j
QO;aptinc992j;p25p26;1981;2087.5;992;j
QO;aptinc992j;p25p26;1982;2149.5;992;j
QO;aptinc992j;p25p26;1983;2124.8;992;j
QO;aptinc992j;p25p26;1984;2177.6;992;j
QO;aptinc992j;p25p26;1985;2125.2;992;j
QO;aptinc992j;p25p26;1986;2176.3;992;j
QO;aptinc992j;p25p26;1987;2237.7;992;j
QO;aptinc992j;p25p26;1988;2310.5;992;j
QO;aptinc992j;p25p26;1989;2338.7;992;j
QO;aptinc992j;p25p26;1990;2358.8;992;j
QO;aptinc992j;p25p26;1991;2402.4;992;j
QO;aptinc992j;p25p26;1992;2411.3;992;j
QO;aptinc992j;p25p26;1993;2406.2;992;j
QO;aptinc992j;p25p26;1994;2468.5;992;j
QO;aptinc992j;p25p26;1995;2407.9;992;j
QO;aptinc992j;p25p26;1996;2513.7;992;j
QO;aptinc992j;p25p26;1997;2513.9;992;j
QO;aptinc992j;p25p26;1998;2594.0;992;j
QO;aptinc992j;p25p26;1999;2534.4;992;j
QO;aptinc992j;p25p26;2000;2583.8;992;j
QO;aptinc992j;p25p26;2001;2664.1;992;j
QO;aptinc992j;p25p26;2002;2689.9;992;j
QO;aptinc992j;p25p26;2003;2792.6;992;j
QO;aptinc992j;p25p26;2004;2830.5;992;j
QO;aptinc992j;p25p26;2005;2881.2;992;j
QO;aptinc992j;p25p26;2006;2983.2;992;j
QO;aptinc992j;p25p26;2007;3108.4;992;j
QO;aptinc992j;p25p26;2008;3181.0;992;j
QO;aptinc992j;p25p26;2009;3161.7;992;j
QO;aptinc992j;p25p26;2010;3269.3;992;j
QO;aptinc992j;p25p26;2011;3195.5;992;j
QO;aptinc992j;p25p26;2012;3109.0;992;j
QO;aptinc992j;p25p26;2013;3145.0;992;j
QO;aptinc992j;p25p26;2014;3152.8;992;j
QO;aptinc992j;p25p26;2015;3179.1;992;j
QO;aptinc992j;p25p26;2016;3181.1;992;j
QO;aptinc992j;p25p26;2017;3220.6;992;j
QO;aptinc992j;p25p26;2018;3195.9;992;j
QO;aptinc992j;p25p26;2019;3119.2;992;j
QO;aptinc992j;p25p26;2020;2911.0;992;j
QO;aptinc992j;p25p26;2021;2956.7;992;j
QO;bhweal992j;p30p100;1995;14.4026384353638;992;j
QO;bhweal992j;p30p100;1996;14.541729927063;992;j
QO;bhweal992j;p30p100;1997;14.716609954834;992;j
QO;bhweal992j;p30p100;1998;14.4804458618164;992;j
QO;bhweal992j;p30p100;1999;14.597466468811;992;j
QO;bhweal992j;p30p100;2000;14.6255550384522;992;j
QO;bhweal992j;p30p100;2001;14.4680852890015;992;j
QO;bhweal992j;p30p100;2002;14.3427991867065;992;j
QO;bhweal992j;p30p100;2003;14.0705366134644;992;j
QO;bhweal992j;p30p100;2004;13.9962282180786;992;j
QO;bhweal992j;p30p100;2005;13.9808301925659;992;j
QO;bhweal992j;p30p100;2006;13.7982368469238;992;j
QO;bhweal992j;p30p100;2007;14.2923059463501;992;j
QO;bhweal992j;p30p100;2008;13.8969554901123;992;j
QO;bhweal992j;p30p100;2009;13.7832689285278;992;j
QO;bhweal992j;p30p100;2010;13.7179336547852;992;j
QO;bhweal992j;p30p100;2011;13.6933689117432;992;j
QO;bhweal992j;p30p100;2012;13.8963117599487;992;j
QO;bhweal992j;p30p100;2013;14.3574590682983;992;j
QO;bhweal992j;p30p100;2014;14.6825532913208;992;j
QO;bhweal992j;p30p100;2015;14.9838247299194;992;j
QO;bhweal992j;p30p100;2016;14.7903709411621;992;j
QO;bhweal992j;p30p100;2017;15.0359039306641;992;j
QO;bhweal992j;p30p100;2018;15.3434009552002;992;j
QO;bhweal992j;p30p100;2019;15.3708381652832;992;j
QO;bhweal992j;p30p100;2020;15.0715780258179;992;j
QO;bhweal992j;p30p100;2021;15.918511390686;992;j
QO;npopul802m;p0p100;1950;63274.0;802;m
QO;npopul802m;p0p100;1951;66604.0;802;m
QO;npopul802m;p0p100;1952;68334.0;802;m
QO;npopul802m;p0p100;1953;68523.0;802;m
QO;npopul802m;p0p100;1954;67287.0;802;m
QO;npopul802m;p0p100;1955;64601.0;802;m
QO;npopul802m;p0p100;1956;70716.0;802;m
QO;npopul802m;p0p100;1957;75327.0;802;m
QO;npopul802m;p0p100;1958;78218.0;802;m
QO;npopul802m;p0p100;1959;79437.0;802;m
QO;npopul802m;p0p100;1960;78910.0;802;m
QO;npopul802m;p0p100;1961;87214.0;802;m
QO;npopul802m;p0p100;1962;93734.0;802;m
QO;npopul802m;p0p100;1963;97889.0;802;m
QO;npopul802m;p0p100;1964;99531.0;802;m
