country;variable;percentile;year;value;age;pop
QP-MER;ahweal992j;p79p80;1995;186306.1;992;j
QP-MER;ahweal992j;p79p80;1996;193922.4;992;j
QP-MER;ahweal992j;p79p80;1997;206315.9;992;j
QP-MER;ahweal992j;p79p80;1998;217161.6;992;j
QP-MER;ahweal992j;p79p80;1999;237521.4;992;j
QP-MER;ahweal992j;p79p80;2000;242409.5;992;j
QP-MER;ahweal992j;p79p80;2001;243756.5;992;j
QP-MER;ahweal992j;p79p80;2002;236163.8;992;j
QP-MER;ahweal992j;p79p80;2003;241178.4;992;j
QP-MER;ahweal992j;p79p80;2004;262054.9;992;j
QP-MER;ahweal992j;p79p80;2005;278591.7;992;j
QP-MER;ahweal992j;p79p80;2006;291834.9;992;j
QP-MER;ahweal992j;p79p80;2007;290334.7;992;j
QP-MER;ahweal992j;p79p80;2008;259386.4;992;j
QP-MER;ahweal992j;p79p80;2009;238149.8;992;j
QP-MER;ahweal992j;p79p80;2010;233643.0;992;j
QP-MER;ahweal992j;p79p80;2011;230764.5;992;j
QP-MER;ahweal992j;p79p80;2012;226264.5;992;j
QP-MER;ahweal992j;p79p80;2013;239481.0;992;j
QP-MER;ahweal992j;p79p80;2014;255228.4;992;j
QP-MER;ahweal992j;p79p80;2015;271454.3;992;j
QP-MER;ahweal992j;p79p80;2016;282028.0;992;j
QP-MER;ahweal992j;p79p80;2017;302514.6;992;j
QP-MER;ahweal992j;p79p80;2018;309255.5;992;j
QP-MER;ahweal992j;p79p80;2019;323352.4;992;j
QP-MER;ahweal992j;p79p80;2020;334138.5;992;j
QP-MER;ahweal992j;p79p80;2021;333281.5;992;j
QP-MER;aptinc992j;p99.997p100;1980;7597694.5;992;j
QP-MER;aptinc992j;p99.997p100;1981;8064843.0;992;j
QP-MER;aptinc992j;p99.997p100;1982;10984336.0;992;j
QP-MER;aptinc992j;p99.997p100;1983;13297431.0;992;j
QP-MER;aptinc992j;p99.997p100;1984;15251775.0;992;j
QP-MER;aptinc992j;p99.997p100;1985;15143943.0;992;j
QP-MER;aptinc992j;p99.997p100;1986;14562995.0;992;j
QP-MER;aptinc992j;p99.997p100;1987;18734282.0;992;j
QP-MER;aptinc992j;p99.997p100;1988;22430090.0;992;j
QP-MER;aptinc992j;p99.997p100;1989;22009200.0;992;j
QP-MER;aptinc992j;p99.997p100;1990;21208148.0;992;j
QP-MER;aptinc992j;p99.997p100;1991;18434514.0;992;j
QP-MER;aptinc992j;p99.997p100;1992;22126874.0;992;j
QP-MER;aptinc992j;p99.997p100;1993;20109554.0;992;j
QP-MER;aptinc992j;p99.997p100;1994;20195024.0;992;j
QP-MER;aptinc992j;p99.997p100;1995;21817372.0;992;j
QP-MER;aptinc992j;p99.997p100;1996;25313090.0;992;j
QP-MER;aptinc992j;p99.997p100;1997;28431278.0;992;j
QP-MER;aptinc992j;p99.997p100;1998;30053334.0;992;j
QP-MER;aptinc992j;p99.997p100;1999;33976516.0;992;j
QP-MER;aptinc992j;p99.997p100;2000;38954220.0;992;j
QP-MER;aptinc992j;p99.997p100;2001;34341984.0;992;j
QP-MER;aptinc992j;p99.997p100;2002;33561976.0;992;j
QP-MER;aptinc992j;p99.997p100;2003;36510668.0;992;j
QP-MER;aptinc992j;p99.997p100;2004;38746644.0;992;j
QP-MER;aptinc992j;p99.997p100;2005;40913896.0;992;j
QP-MER;aptinc992j;p99.997p100;2006;43704112.0;992;j
QP-MER;aptinc992j;p99.997p100;2007;44082476.0;992;j
QP-MER;aptinc992j;p99.997p100;2008;47041696.0;992;j
QP-MER;aptinc992j;p99.997p100;2009;40302000.0;992;j
QP-MER;aptinc992j;p99.997p100;2010;40297020.0;992;j
QP-MER;aptinc992j;p99.997p100;2011;43243792.0;992;j
QP-MER;aptinc992j;p99.997p100;2012;51467988.0;992;j
QP-MER;aptinc992j;p99.997p100;2013;53872664.0;992;j
QP-MER;aptinc992j;p99.997p100;2014;56821128.0;992;j
QP-MER;aptinc992j;p99.997p100;2015;55737776.0;992;j
QP-MER;aptinc992j;p99.997p100;2016;54488320.0;992;j
QP-MER;aptinc992j;p99.997p100;2017;55706764.0;992;j
QP-MER;aptinc992j;p99.997p100;2018;53114952.0;992;j
QP-MER;aptinc992j;p99.997p100;2019;50928432.0;992;j
QP-MER;aptinc992j;p99.997p100;2020;44650444.0;992;j
QP-MER;aptinc992j;p99.997p100;2021;52007752.0;992;j
QP-MER;bptinc992j;p72p100;1980;1.87460398674011;992;j
QP-MER;bptinc992j;p72p100;1981;1.88248097896576;992;j
QP-MER;bptinc992j;p72p100;1982;1.8787362575531;992;j
QP-MER;bptinc992j;p72p100;1983;1.90279054641724;992;j
QP-MER;bptinc992j;p72p100;1984;1.95068645477295;992;j
QP-MER;bptinc992j;p72p100;1985;1.95549559593201;992;j
QP-MER;bptinc992j;p72p100;1986;1.93165862560272;992;j
QP-MER;bptinc992j;p72p100;1987;1.99057722091675;992;j
QP-MER;bptinc992j;p72p100;1988;2.08699321746826;992;j
QP-MER;bptinc992j;p72p100;1989;2.06014323234558;992;j
QP-MER;bptinc992j;p72p100;1990;2.05348491668701;992;j
QP-MER;bptinc992j;p72p100;1991;2.04032039642334;992;j
QP-MER;bptinc992j;p72p100;1992;2.11491966247559;992;j
QP-MER;bptinc992j;p72p100;1993;2.10523080825806;992;j
QP-MER;bptinc992j;p72p100;1994;2.12041592597961;992;j
QP-MER;bptinc992j;p72p100;1995;2.1340274810791;992;j
QP-MER;bptinc992j;p72p100;1996;2.21755766868591;992;j
QP-MER;bptinc992j;p72p100;1997;2.25749516487122;992;j
QP-MER;bptinc992j;p72p100;1998;2.29032492637634;992;j
QP-MER;bptinc992j;p72p100;1999;2.31421494483948;992;j
QP-MER;bptinc992j;p72p100;2000;2.34353399276733;992;j
QP-MER;bptinc992j;p72p100;2001;2.29829382896423;992;j
QP-MER;bptinc992j;p72p100;2002;2.24788022041321;992;j
QP-MER;bptinc992j;p72p100;2003;2.25929021835327;992;j
QP-MER;bptinc992j;p72p100;2004;2.30611944198608;992;j
QP-MER;bptinc992j;p72p100;2005;2.38540697097778;992;j
QP-MER;bptinc992j;p72p100;2006;2.43383193016052;992;j
QP-MER;bptinc992j;p72p100;2007;2.4271240234375;992;j
QP-MER;bptinc992j;p72p100;2008;2.37086749076843;992;j
QP-MER;bptinc992j;p72p100;2009;2.31403708457947;992;j
QP-MER;bptinc992j;p72p100;2010;2.40169477462769;992;j
