country;variable;percentile;year;value;age;pop
QP;ahweal992j;p18p19;1995;88.0;992;j
QP;ahweal992j;p18p19;1996;1.2;992;j
QP;ahweal992j;p18p19;1997;223.4;992;j
QP;ahweal992j;p18p19;1998;78.2;992;j
QP;ahweal992j;p18p19;1999;43.6;992;j
QP;ahweal992j;p18p19;2000;8.8;992;j
QP;ahweal992j;p18p19;2001;16.5;992;j
QP;ahweal992j;p18p19;2002;6.1;992;j
QP;ahweal992j;p18p19;2003;17.1;992;j
QP;ahweal992j;p18p19;2004;64.7;992;j
QP;ahweal992j;p18p19;2005;6.2;992;j
QP;ahweal992j;p18p19;2006;0.6;992;j
QP;ahweal992j;p18p19;2007;17.7;992;j
QP;ahweal992j;p18p19;2008;48.7;992;j
QP;ahweal992j;p18p19;2009;6.1;992;j
QP;ahweal992j;p18p19;2010;64.4;992;j
QP;ahweal992j;p18p19;2011;18.3;992;j
QP;ahweal992j;p18p19;2012;32.1;992;j
QP;ahweal992j;p18p19;2013;25.4;992;j
QP;ahweal992j;p18p19;2014;132.3;992;j
QP;ahweal992j;p18p19;2015;65.0;992;j
QP;ahweal992j;p18p19;2016;4.9;992;j
QP;ahweal992j;p18p19;2017;114.5;992;j
QP;ahweal992j;p18p19;2018;8.4;992;j
QP;ahweal992j;p18p19;2019;115.8;992;j
QP;ahweal992j;p18p19;2020;2.9;992;j
QP;ahweal992j;p18p19;2021;144.9;992;j
QP;ahweal992j;p21p100;1995;174027.6;992;j
QP;ahweal992j;p21p100;1996;183908.1;992;j
QP;ahweal992j;p21p100;1997;195900.6;992;j
QP;ahweal992j;p21p100;1998;213792.8;992;j
QP;ahweal992j;p21p100;1999;232097.0;992;j
QP;ahweal992j;p21p100;2000;237423.9;992;j
QP;ahweal992j;p21p100;2001;233405.5;992;j
QP;ahweal992j;p21p100;2002;226822.7;992;j
QP;ahweal992j;p21p100;2003;231246.2;992;j
QP;ahweal992j;p21p100;2004;253173.2;992;j
QP;ahweal992j;p21p100;2005;271848.0;992;j
QP;ahweal992j;p21p100;2006;283381.7;992;j
QP;ahweal992j;p21p100;2007;285879.8;992;j
QP;ahweal992j;p21p100;2008;257382.8;992;j
QP;ahweal992j;p21p100;2009;234254.3;992;j
QP;ahweal992j;p21p100;2010;241693.6;992;j
QP;ahweal992j;p21p100;2011;244204.5;992;j
QP;ahweal992j;p21p100;2012;247680.8;992;j
QP;ahweal992j;p21p100;2013;267956.7;992;j
QP;ahweal992j;p21p100;2014;287129.7;992;j
QP;ahweal992j;p21p100;2015;300885.2;992;j
QP;ahweal992j;p21p100;2016;308342.0;992;j
QP;ahweal992j;p21p100;2017;325384.5;992;j
QP;ahweal992j;p21p100;2018;329864.1;992;j
QP;ahweal992j;p21p100;2019;342302.5;992;j
QP;ahweal992j;p21p100;2020;379835.2;992;j
QP;ahweal992j;p21p100;2021;426661.6;992;j
QP;ahweal992j;p23p100;1995;178514.3;992;j
QP;ahweal992j;p23p100;1996;188671.5;992;j
QP;ahweal992j;p23p100;1997;200981.9;992;j
QP;ahweal992j;p23p100;1998;219343.5;992;j
QP;ahweal992j;p23p100;1999;238123.5;992;j
QP;ahweal992j;p23p100;2000;243590.3;992;j
QP;ahweal992j;p23p100;2001;239467.3;992;j
QP;ahweal992j;p23p100;2002;232709.5;992;j
QP;ahweal992j;p23p100;2003;237247.0;992;j
QP;ahweal992j;p23p100;2004;259742.5;992;j
QP;ahweal992j;p23p100;2005;278897.3;992;j
QP;ahweal992j;p23p100;2006;290736.2;992;j
QP;ahweal992j;p23p100;2007;293304.6;992;j
QP;ahweal992j;p23p100;2008;264066.5;992;j
QP;ahweal992j;p23p100;2009;240338.6;992;j
QP;ahweal992j;p23p100;2010;247969.4;992;j
QP;ahweal992j;p23p100;2011;250546.9;992;j
QP;ahweal992j;p23p100;2012;254113.0;992;j
QP;ahweal992j;p23p100;2013;274915.8;992;j
QP;ahweal992j;p23p100;2014;294583.5;992;j
QP;ahweal992j;p23p100;2015;308698.3;992;j
QP;ahweal992j;p23p100;2016;316350.7;992;j
QP;ahweal992j;p23p100;2017;333832.5;992;j
QP;ahweal992j;p23p100;2018;338431.7;992;j
QP;ahweal992j;p23p100;2019;351188.2;992;j
QP;ahweal992j;p23p100;2020;389697.0;992;j
QP;ahweal992j;p23p100;2021;437737.0;992;j
QP;aptinc992j;p20p100;1980;35893.4;992;j
QP;aptinc992j;p20p100;1981;36227.9;992;j
QP;aptinc992j;p20p100;1982;35067.7;992;j
QP;aptinc992j;p20p100;1983;35817.8;992;j
QP;aptinc992j;p20p100;1984;38232.5;992;j
QP;aptinc992j;p20p100;1985;39042.0;992;j
QP;aptinc992j;p20p100;1986;39460.1;992;j
QP;aptinc992j;p20p100;1987;40758.4;992;j
QP;aptinc992j;p20p100;1988;42550.8;992;j
QP;aptinc992j;p20p100;1989;43158.4;992;j
QP;aptinc992j;p20p100;1990;43204.3;992;j
QP;aptinc992j;p20p100;1991;42414.6;992;j
QP;aptinc992j;p20p100;1992;43320.1;992;j
QP;aptinc992j;p20p100;1993;43773.0;992;j
QP;aptinc992j;p20p100;1994;45264.8;992;j
QP;aptinc992j;p20p100;1995;46287.0;992;j
QP;aptinc992j;p20p100;1996;47744.3;992;j
QP;aptinc992j;p20p100;1997;49590.7;992;j
QP;aptinc992j;p20p100;1998;51554.2;992;j
QP;aptinc992j;p20p100;1999;53272.0;992;j
QP;aptinc992j;p20p100;2000;55165.0;992;j
QP;aptinc992j;p20p100;2001;54938.0;992;j
QP;aptinc992j;p20p100;2002;54959.8;992;j
QP;aptinc992j;p20p100;2003;55625.0;992;j
QP;aptinc992j;p20p100;2004;57277.4;992;j
QP;aptinc992j;p20p100;2005;58606.7;992;j
QP;aptinc992j;p20p100;2006;60066.7;992;j
QP;aptinc992j;p20p100;2007;59553.7;992;j
QP;aptinc992j;p20p100;2008;58027.2;992;j
